time,channel_id,center_frequency_mhz,power
1974-12-01 00:00:00,0,0.025,-99.96952829202456
1974-12-01 00:00:00,1,0.035,-100.10399841062404
1974-12-01 00:00:00,2,0.044,-99.92495488041935
1974-12-01 00:00:00,3,0.055,-99.90594352836088
1974-12-01 00:00:00,4,0.067,-100.19510351886538
1974-12-01 00:00:00,5,0.083,-100.13021795068623
1974-12-01 00:00:00,6,0.096,-99.98721595968327
1974-12-01 00:00:00,7,0.11,-100.03162425923436
1974-12-01 00:00:00,8,0.13,-100.00168011575043
1974-12-01 00:00:00,9,0.155,-100.08530439275737
1974-12-01 00:00:00,10,0.185,-99.91206020251371
1974-12-01 00:00:00,11,0.21,-99.9222208064571
1974-12-01 00:00:00,12,0.25,-99.99339693024388
1974-12-01 00:00:00,13,0.292,-99.8872758793032
1974-12-01 00:00:00,14,0.36,-99.9532490657748
1974-12-01 00:00:00,15,0.425,-100.08592924628833
1974-12-01 00:00:00,16,0.475,-99.96312492159176
1974-12-01 00:00:00,17,0.6,-100.0958882600829
1974-12-01 00:00:00,18,0.737,-99.91215496986928
1974-12-01 00:00:00,19,0.87,-100.00499259109863
1974-12-01 00:00:00,20,1.03,-100.01848623635452
1974-12-01 00:00:00,21,1.27,-100.06809295444039
1974-12-01 00:00:00,22,1.45,-99.8777458661326
1974-12-01 00:00:00,23,1.85,-100.01545294820689
1974-12-01 00:00:00,24,2.2,-100.04283278221631
1974-12-01 00:00:00,25,2.8,-100.03521335504882
1974-12-01 00:00:00,26,3.93,-99.94676908144467
1974-12-01 00:00:00,27,4.7,-99.9634555935636
1974-12-01 00:00:00,28,6.55,-99.9587267388404
1974-12-01 00:00:00,29,9.18,-99.9569178996992
1974-12-01 00:00:00,30,11.8,-99.78583523991296
1974-12-01 00:00:00,31,13.1,-100.04064150163846
1974-12-01 00:01:00,0,0.025,-100.05122427290715
1974-12-01 00:01:00,1,0.035,-100.08137727282478
1974-12-01 00:01:00,2,0.044,-99.93840205774245
1974-12-01 00:01:00,3,0.055,-99.8871027707279
1974-12-01 00:01:00,4,0.067,-100.01139474576549
1974-12-01 00:01:00,5,0.083,-100.08401564769625
1974-12-01 00:01:00,6,0.096,-100.08244812156913
1974-12-01 00:01:00,7,0.11,-99.93494072121753
1974-12-01 00:01:00,8,0.13,-99.92567458287965
1974-12-01 00:01:00,9,0.155,-99.94568457316949
1974-12-01 00:01:00,10,0.185,-100.06655097072887
1974-12-01 00:01:00,11,0.21,-99.97678386769333
1974-12-01 00:01:00,12,0.25,-99.98833141908592
1974-12-01 00:01:00,13,0.292,-99.9781311403271
1974-12-01 00:01:00,14,0.36,-99.91285712220518
1974-12-01 00:01:00,15,0.425,-99.97764044512253
1974-12-01 00:01:00,16,0.475,-99.93210864369281
1974-12-01 00:01:00,17,0.6,-99.99324209305111
1974-12-01 00:01:00,18,0.737,-99.971088060131
1974-12-01 00:01:00,19,0.87,-99.93687117741615
1974-12-01 00:01:00,20,1.03,-100.14571558198557
1974-12-01 00:01:00,21,1.27,-100.03196712163573
1974-12-01 00:01:00,22,1.45,-100.04703726542928
1974-12-01 00:01:00,23,1.85,-100.06388778482433
1974-12-01 00:01:00,24,2.2,-100.02751422512267
1974-12-01 00:01:00,25,2.8,-99.85050586887657
1974-12-01 00:01:00,26,3.93,-100.08658311156933
1974-12-01 00:01:00,27,4.7,-99.90317216454085
1974-12-01 00:01:00,28,6.55,-100.16828697716159
1974-12-01 00:01:00,29,9.18,-100.03348850299858
1974-12-01 00:01:00,30,11.8,-99.9837246934895
1974-12-01 00:01:00,31,13.1,-99.94137776686408
1974-12-01 00:02:00,0,0.025,-99.92887734202071
1974-12-01 00:02:00,1,0.035,-99.92066527648001
1974-12-01 00:02:00,2,0.044,-100.03487250722485
1974-12-01 00:02:00,3,0.055,-100.04623517926646
1974-12-01 00:02:00,4,0.067,-99.91420241187429
1974-12-01 00:02:00,5,0.083,-100.01913043248817
1974-12-01 00:02:00,6,0.096,-100.12756863233379
1974-12-01 00:02:00,7,0.11,-100.11332872140035
1974-12-01 00:02:00,8,0.13,-100.09194522860017
1974-12-01 00:02:00,9,0.155,-99.95028392559462
1974-12-01 00:02:00,10,0.185,-99.98575742639294
1974-12-01 00:02:00,11,0.21,-99.93095146459322
1974-12-01 00:02:00,12,0.25,-100.04272526463366
1974-12-01 00:02:00,13,0.292,-99.98414603089233
1974-12-01 00:02:00,14,0.36,-99.93744096060327
1974-12-01 00:02:00,15,0.425,-100.03093465397203
