event_key,event_time,event_type,planet,channel_start,channel_end,run_length,channels,min_delta_db,max_delta_db,mean_delta_db
1974-09-09 23:59:53.463|1974-09-09 23:59:57.272|DISAPPEARANCE,1974-09-09 23:59:57.272,DISAPPEARANCE,Cygnus-A,5,7,3,"5,6,7",1.0542710544936449,3.8878974807990363,2.670292455642562
1974-09-10 11:31:56.380|1974-09-10 11:31:58.305|REAPPEARANCE,1974-09-10 11:31:58.305,REAPPEARANCE,Cygnus-A,1,3,3,"1,2,3",0.8000550947548866,4.724450293884641,2.127614377641604
1974-09-10 15:13:45.623|1974-09-10 15:13:47.548|REAPPEARANCE,1974-09-10 15:13:47.548,REAPPEARANCE,Cygnus-A,2,9,8,"2,3,4,5,6,7,8,9",0.6273040624410618,2.967552831898735,1.757495099718028
1974-09-10 18:51:57.808|1974-09-10 18:51:59.733|DISAPPEARANCE,1974-09-10 18:51:59.733,DISAPPEARANCE,Cygnus-A,1,4,4,"1,2,3,4",1.1299696165609956,3.027100976901946,1.8453049142028357
1974-09-10 18:55:36.695|1974-09-10 18:55:38.620|REAPPEARANCE,1974-09-10 18:55:38.620,REAPPEARANCE,Cygnus-A,2,6,5,"2,3,4,5,6",0.6478285396879068,2.5651171038688543,1.454949810751159
1974-09-14 23:59:54.873|1974-09-14 23:59:56.798|DISAPPEARANCE,1974-09-14 23:59:56.798,DISAPPEARANCE,Cygnus-A,6,9,4,"6,7,8,9",1.068017641108999,4.296241116373825,2.8901684193444375
1974-09-15 20:56:26.263|1974-09-15 20:56:30.073|DISAPPEARANCE,1974-09-15 20:56:30.073,DISAPPEARANCE,Cygnus-A,5,9,5,"5,6,7,8,9",1.9274079884525117,6.912945383776022,3.824726616766644
1974-09-29 23:59:57.978|1974-09-29 23:59:59.903|REAPPEARANCE,1974-09-29 23:59:59.903,REAPPEARANCE,Cygnus-A,2,5,4,"2,3,4,5",0.6663881981309528,1.9065282131198533,1.3922397128242936
1974-10-04 23:59:56.245|1974-10-05 00:00:00.055|DISAPPEARANCE,1974-10-05 00:00:00.055,DISAPPEARANCE,Cygnus-A,2,5,4,"2,3,4,5",0.5027674709298221,1.8746959624730732,1.2398955273165515
1974-10-06 00:00:03.133|1974-10-06 00:00:05.058|DISAPPEARANCE,1974-10-06 00:00:05.058,DISAPPEARANCE,Cygnus-A,6,9,4,"6,7,8,9",2.1821331735330194,8.560080356655691,4.538249424337576
1974-10-09 00:02:11.821|1974-10-09 00:02:14.995|DISAPPEARANCE,1974-10-09 00:02:14.995,DISAPPEARANCE,Cygnus-A,1,4,4,"1,2,3,4",0.5544457317184016,4.267336459386977,1.9443435375994633
1974-10-10 00:00:00.606|1974-10-10 00:00:02.531|DISAPPEARANCE,1974-10-10 00:00:02.531,DISAPPEARANCE,Cygnus-A,7,9,3,"7,8,9",0.7917423570918967,5.391720475998742,2.6838676215353883
1974-10-19 23:59:58.957|1974-10-20 00:00:16.987|REAPPEARANCE,1974-10-20 00:00:16.987,REAPPEARANCE,Cygnus-A,2,7,6,"2,3,4,5,6,7",0.6571972398790482,1.2864693483083856,0.9293967826230896
