event_key,event_time,event_type,planet,channel_id,frequency_mhz,delta_db,sign_bit
1974-09-08 00:14:01.925|1974-09-08 00:14:05.735|DISAPPEARANCE,1974-09-08 00:14:05.735,DISAPPEARANCE,Cygnus-A,1,0.45,-6.52865061390532,-1
1974-09-08 00:14:01.925|1974-09-08 00:14:05.735|DISAPPEARANCE,1974-09-08 00:14:05.735,DISAPPEARANCE,Cygnus-A,2,0.7,-0.4730054219365044,-1
1974-09-08 00:14:01.925|1974-09-08 00:14:05.735|DISAPPEARANCE,1974-09-08 00:14:05.735,DISAPPEARANCE,Cygnus-A,3,0.9,-0.24642114986024202,-1
1974-09-08 00:14:01.925|1974-09-08 00:14:05.735|DISAPPEARANCE,1974-09-08 00:14:05.735,DISAPPEARANCE,Cygnus-A,4,1.31,0.0,-1
1974-09-08 00:14:01.925|1974-09-08 00:14:05.735|DISAPPEARANCE,1974-09-08 00:14:05.735,DISAPPEARANCE,Cygnus-A,5,2.2,-0.33436363836221994,-1
1974-09-08 00:14:01.925|1974-09-08 00:14:05.735|DISAPPEARANCE,1974-09-08 00:14:05.735,DISAPPEARANCE,Cygnus-A,6,3.93,-0.322646853609683,-1
1974-09-08 00:14:01.925|1974-09-08 00:14:05.735|DISAPPEARANCE,1974-09-08 00:14:05.735,DISAPPEARANCE,Cygnus-A,7,4.7,0.8049502420262322,1
1974-09-08 00:14:01.925|1974-09-08 00:14:05.735|DISAPPEARANCE,1974-09-08 00:14:05.735,DISAPPEARANCE,Cygnus-A,8,6.55,-0.5806902640988799,-1
1974-09-08 00:14:01.925|1974-09-08 00:14:05.735|DISAPPEARANCE,1974-09-08 00:14:05.735,DISAPPEARANCE,Cygnus-A,9,9.18,0.35071819136157534,1
1974-09-08 00:23:12.947|1974-09-08 00:23:14.872|REAPPEARANCE,1974-09-08 00:23:14.872,REAPPEARANCE,Cygnus-A,1,0.45,-2.058581143954761,-1
