event_type,pre_event_time,post_event_time,event_time,event_key,planet,sun_sep_deg,mercury_sep_deg,venus_sep_deg,earth_sep_deg,mars_sep_deg,jupiter_sep_deg,saturn_sep_deg,uranus_sep_deg,neptune_sep_deg
DISAPPEARANCE,1974-09-08 00:14:01.925,1974-09-08 00:14:05.735,1974-09-08 00:14:05.735,1974-09-08 00:14:01.925|1974-09-08 00:14:05.735|DISAPPEARANCE,Cygnus-A,103.6481893081298,90.58284998887002,117.57697433357961,86.21318537737353,109.2078837110303,63.75410961438391,114.7521397068567,99.44501369090126,77.86081886445028
REAPPEARANCE,1974-09-08 00:23:12.947,1974-09-08 00:23:14.872,1974-09-08 00:23:14.872,1974-09-08 00:23:12.947|1974-09-08 00:23:14.872|REAPPEARANCE,Cygnus-A,103.63106149693941,90.57508385983719,117.57771475079086,86.16821884090062,109.2068107968699,63.754269679794994,114.75221293640938,99.44496980644662,77.86079823549771
DISAPPEARANCE,1974-09-08 07:37:53.634,1974-09-08 07:37:55.559,1974-09-08 07:37:55.559,1974-09-08 07:37:53.634|1974-09-08 07:37:55.559|DISAPPEARANCE,Cygnus-A,102.58242261665481,90.20672665430295,117.60298367315107,83.88887575458818,109.15440276464994,63.76091956489051,114.75514316073549,99.44286426348596,77.85977183695479
REAPPEARANCE,1974-09-08 07:47:04.659,1974-09-08 07:47:06.584,1974-09-08 07:47:06.584,1974-09-08 07:47:04.659|1974-09-08 07:47:06.584|REAPPEARANCE,Cygnus-A,102.56405023924249,90.19896296372983,117.60367860090899,83.84563914553468,109.15332561684436,63.76108084329832,114.75521614440831,99.44282036389859,77.85975104447635
DISAPPEARANCE,1974-09-08 11:19:48.524,1974-09-08 11:19:50.449,1974-09-08 11:19:50.449,1974-09-08 11:19:48.524|1974-09-08 11:19:50.449|DISAPPEARANCE,Cygnus-A,102.03946889638466,90.01919818718075,117.6151172437661,82.72736310758629,109.12765989690207,63.76433787277731,114.75663595510514,99.44179237333915,77.8592467492696
DISAPPEARANCE,1974-09-08 18:42:40.807,1974-09-08 18:42:42.732,1974-09-08 18:42:42.732,1974-09-08 18:42:40.807|1974-09-08 18:42:42.732|DISAPPEARANCE,Cygnus-A,100.9334707665079,89.64603049690756,117.63760110573425,80.41068429609113,109.0742888830871,63.771187171050336,114.75959732248964,99.43965924257328,77.85819582651749
REAPPEARANCE,1974-09-08 18:52:53.268,1974-09-08 18:52:55.193,1974-09-08 18:52:55.193,1974-09-08 18:52:53.268|1974-09-08 18:52:55.193|REAPPEARANCE,Cygnus-A,100.91321106501867,89.6374805711338,117.63828039814916,80.37118152972448,109.0730921394898,63.77136614427203,114.75967740872164,99.43961125669,77.85817292541985
DISAPPEARANCE,1974-09-08 22:25:33.295,1974-09-08 22:25:35.220,1974-09-08 22:25:35.220,1974-09-08 22:25:33.295|1974-09-08 22:25:35.220|DISAPPEARANCE,Cygnus-A,100.37032298338384,89.4588522992635,117.64805853548775,79.25761969413348,109.047440520072,63.77464963916571,114.76108085492604,99.43859030244614,77.85766650677296
DISAPPEARANCE,1974-09-09 02:07:28.186,1974-09-09 02:07:30.111,1974-09-09 02:07:30.111,1974-09-09 02:07:28.186|1974-09-09 02:07:30.111|DISAPPEARANCE,Cygnus-A,99.80050821856108,89.27284856565016,117.65789312526874,78.10966696986618,109.02070931957668,63.77810677781184,114.76255200531646,99.43752814117117,77.85713849227776
DISAPPEARANCE,1974-09-09 16:55:11.655,1974-09-09 16:55:15.465,1974-09-09 16:55:15.465,1974-09-09 16:55:11.655|1974-09-09 16:55:15.465|DISAPPEARANCE,Cygnus-A,97.45330821964798,88.53289042385872,117.69156998597857,73.5933111547502,108.91385844192615,63.792043797144,114.7683910837796,99.43331029548989,77.85502318662044
DISAPPEARANCE,1974-09-09 20:37:08.502,1974-09-09 20:37:12.312,1974-09-09 20:37:12.312,1974-09-09 20:37:08.502|1974-09-09 20:37:12.312|DISAPPEARANCE,Cygnus-A,96.84940600571082,88.3489755677563,117.69858521116281,72.49002660011442,108.88717400033647,63.79555621125358,114.76984063653752,99.43226461044405,77.85449424668697
DISAPPEARANCE,1974-09-09 23:59:53.463,1974-09-09 23:59:57.272,1974-09-09 23:59:57.272,1974-09-09 23:59:53.463|1974-09-09 23:59:57.272|DISAPPEARANCE,Cygnus-A,95.9507988424843,88.17757099408465,117.70367821393741,70.68612842855529,108.86266675313935,63.798802125347606,114.77097469653646,99.431259856759,77.85394096576923
