event_key,event_time,event_type,planet,channel_start,channel_end,run_length,channels,min_delta_db,max_delta_db,mean_delta_db
1974-09-09 23:59:57.272|1974-09-09 23:59:59.197|DISAPPEARANCE,1974-09-09 23:59:59.197,DISAPPEARANCE,Earth,4,7,4,"4,5,6,7",1.0542710544936449,3.8878974807990363,2.4549061673723704
1974-09-18 00:00:05.960|1974-09-18 00:00:07.885|DISAPPEARANCE,1974-09-18 00:00:07.885,DISAPPEARANCE,Earth,1,5,5,"1,2,3,4,5",1.9734594613584264,6.085341341392473,2.940296757829319
1974-10-02 00:05:09.390|1974-10-02 00:05:10.599|DISAPPEARANCE,1974-10-02 00:05:10.599,DISAPPEARANCE,Earth,4,7,4,"4,5,6,7",0.6209190032800188,5.087451617504495,1.8966138146141223
1974-10-02 00:05:24.750|1974-10-02 00:05:25.959|DISAPPEARANCE,1974-10-02 00:05:25.959,DISAPPEARANCE,Earth,4,7,4,"4,5,6,7",0.8002204526335331,1.6654631969833578,1.2506225537079265
1974-10-02 00:06:41.550|1974-10-02 00:06:42.759|DISAPPEARANCE,1974-10-02 00:06:42.759,DISAPPEARANCE,Earth,6,8,3,"6,7,8",1.0312390073504392,2.435225498324127,1.521301798711035
1974-10-02 00:06:56.194|1974-10-02 00:06:58.119|DISAPPEARANCE,1974-10-02 00:06:58.119,DISAPPEARANCE,Earth,6,8,3,"6,7,8",1.0974408904585389,2.5770825372638315,1.6973698577734613
1974-10-02 00:07:11.553|1974-10-02 00:07:13.478|DISAPPEARANCE,1974-10-02 00:07:13.478,DISAPPEARANCE,Earth,6,8,3,"6,7,8",1.0974408904585389,1.750283977714586,1.3271310190915668
1974-10-02 00:07:27.630|1974-10-02 00:07:28.838|DISAPPEARANCE,1974-10-02 00:07:28.838,DISAPPEARANCE,Earth,6,8,3,"6,7,8",0.9087547778629763,2.194898103034616,1.4134581873045728
1974-10-02 00:11:48.750|1974-10-02 00:11:49.957|DISAPPEARANCE,1974-10-02 00:11:49.957,DISAPPEARANCE,Earth,4,7,4,"4,5,6,7",0.6463641340807462,4.554425298366435,1.704887255159704
1974-10-02 00:12:04.110|1974-10-02 00:12:05.317|DISAPPEARANCE,1974-10-02 00:12:05.317,DISAPPEARANCE,Earth,3,7,5,"3,4,5,6,7",0.7611540477613205,1.9944371144636854,1.14144705378891
1974-10-04 23:59:56.245|1974-10-05 00:00:00.055|DISAPPEARANCE,1974-10-05 00:00:00.055,DISAPPEARANCE,Earth,2,5,4,"2,3,4,5",0.5027674709298221,1.8746959624730732,1.2398955273165515
1974-10-09 00:02:11.821|1974-10-09 00:02:14.995|DISAPPEARANCE,1974-10-09 00:02:14.995,DISAPPEARANCE,Earth,1,4,4,"1,2,3,4",0.5544457317184016,4.267336459386977,1.9443435375994633
1974-10-09 00:02:27.181|1974-10-09 00:02:30.354|DISAPPEARANCE,1974-10-09 00:02:30.354,DISAPPEARANCE,Earth,1,3,3,"1,2,3",0.5544457317184016,1.9664167946513598,1.2485514041969978
1974-10-09 00:03:43.981|1974-10-09 00:03:47.154|DISAPPEARANCE,1974-10-09 00:03:47.154,DISAPPEARANCE,Earth,3,5,3,"3,4,5",0.769394263692753,1.710236259272545,1.1368109086136677
1974-10-09 00:03:43.981|1974-10-09 00:03:47.154|DISAPPEARANCE,1974-10-09 00:03:47.154,DISAPPEARANCE,Earth,7,9,3,"7,8,9",0.6023507261175489,3.811381362495129,1.8066419182440938
1974-10-09 00:03:59.341|1974-10-09 00:04:02.513|DISAPPEARANCE,1974-10-09 00:04:02.513,DISAPPEARANCE,Earth,1,5,5,"1,2,3,4,5",0.5914658488687226,5.619715432768513,1.924322801495648
1974-10-24 23:59:56.611|1974-10-24 23:59:58.536|DISAPPEARANCE,1974-10-24 23:59:58.536,DISAPPEARANCE,Earth,2,5,4,"2,3,4,5",0.5169791523229064,10.553464484958228,3.6782307459064154
1974-11-10 23:59:51.755|1974-11-10 23:59:53.680|DISAPPEARANCE,1974-11-10 23:59:53.680,DISAPPEARANCE,Earth,2,5,4,"2,3,4,5",0.5689035840154274,1.048482786392888,0.7669336923783607
1974-11-13 00:00:04.942|1974-11-13 00:00:06.867|DISAPPEARANCE,1974-11-13 00:00:06.867,DISAPPEARANCE,Earth,2,5,4,"2,3,4,5",0.9508218422396797,1.6619971649323515,1.3113949113049284
1974-11-16 23:59:52.147|1974-11-16 23:59:54.072|DISAPPEARANCE,1974-11-16 23:59:54.072,DISAPPEARANCE,Earth,3,5,3,"3,4,5",0.8108829930300625,1.9549359456409015,1.5269145272394598
1974-11-22 00:00:35.675|1974-11-22 00:00:37.600|DISAPPEARANCE,1974-11-22 00:00:37.600,DISAPPEARANCE,Earth,1,3,3,"1,2,3",0.507890826353256,1.540218162852332,1.0255271860782535
1974-11-22 00:02:35.074|1974-11-22 00:02:36.627|DISAPPEARANCE,1974-11-22 00:02:36.627,DISAPPEARANCE,Earth,2,4,3,"2,3,4",0.8495176942944775,1.165265268027493,1.0163808141088124
1974-11-22 00:06:59.996|1974-11-22 00:07:01.590|DISAPPEARANCE,1974-11-22 00:07:01.590,DISAPPEARANCE,Earth,3,5,3,"3,4,5",0.8113274763311813,1.3059180802218575,1.0020553468792592
1974-11-22 00:09:18.233|1974-11-22 00:09:19.827|DISAPPEARANCE,1974-11-22 00:09:19.827,DISAPPEARANCE,Earth,3,5,3,"3,4,5",1.0069571831963096,1.2960055275239755,1.1789185191722975
1974-11-22 00:11:36.469|1974-11-22 00:11:38.064|DISAPPEARANCE,1974-11-22 00:11:38.064,DISAPPEARANCE,Earth,3,5,3,"3,4,5",1.0790817369884884,1.5601631072678388,1.334235627162802
1974-11-22 00:13:54.706|1974-11-22 00:13:56.300|DISAPPEARANCE,1974-11-22 00:13:56.300,DISAPPEARANCE,Earth,3,5,3,"3,4,5",0.9531883289888022,1.9582687631539035,1.429879804691809
1974-11-22 00:16:12.942|1974-11-22 00:16:14.537|DISAPPEARANCE,1974-11-22 00:16:14.537,DISAPPEARANCE,Earth,1,5,5,"1,2,3,4,5",0.5490160010484487,1.617985274844957,0.9900854610407412
1974-11-22 00:16:24.492|1974-11-22 00:16:26.046|DISAPPEARANCE,1974-11-22 00:16:26.046,DISAPPEARANCE,Earth,1,4,4,"1,2,3,4",0.5490160010484487,1.617985274844957,1.1174382208189528
1974-11-22 00:16:28.302|1974-11-22 00:16:29.896|DISAPPEARANCE,1974-11-22 00:16:29.896,DISAPPEARANCE,Earth,1,4,4,"1,2,3,4",0.5490160010484487,1.6765876893522473,1.1815576027353745
1974-11-22 00:16:39.852|1974-11-22 00:16:41.406|DISAPPEARANCE,1974-11-22 00:16:41.406,DISAPPEARANCE,Earth,1,3,3,"1,2,3",0.5490160010484487,1.4922488595057564,1.1218651096861352
1975-01-08 00:05:59.682|1975-01-08 00:08:26.095|DISAPPEARANCE,1975-01-08 00:08:26.095,DISAPPEARANCE,Earth,2,5,4,"2,3,4,5",0.543745243576439,1.2961226388755214,0.9804259802799868
1975-01-10 23:59:52.693|1975-01-10 23:59:54.618|DISAPPEARANCE,1975-01-10 23:59:54.618,DISAPPEARANCE,Earth,2,5,4,"2,3,4,5",0.8660043219465775,1.3430876520454653,1.0895992335386337
1975-01-31 23:59:08.032|1975-01-31 23:59:09.957|DISAPPEARANCE,1975-01-31 23:59:09.957,DISAPPEARANCE,Earth,1,3,3,"1,2,3",0.9467434690555167,1.4260848120723113,1.1902288022046756
1975-01-31 23:59:08.032|1975-01-31 23:59:09.957|DISAPPEARANCE,1975-01-31 23:59:09.957,DISAPPEARANCE,Earth,5,7,3,"5,6,7",0.5124966121350498,3.8295715115040956,1.7820899934979835
1975-02-06 23:59:53.796|1975-02-06 23:59:55.721|DISAPPEARANCE,1975-02-06 23:59:55.721,DISAPPEARANCE,Earth,2,9,8,"2,3,4,5,6,7,8,9",0.5613200116590553,3.6615949861665635,1.5900563175399496
1975-02-13 00:00:02.649|1975-02-13 00:00:04.574|DISAPPEARANCE,1975-02-13 00:00:04.574,DISAPPEARANCE,Earth,1,5,5,"1,2,3,4,5",1.2701384670560165,4.805446450697657,2.2970257463022485
1975-03-17 00:00:51.748|1975-03-17 00:00:53.422|DISAPPEARANCE,1975-03-17 00:00:53.422,DISAPPEARANCE,Earth,2,4,3,"2,3,4",0.6233387539700151,1.8990902885869032,1.447270216027823
1975-03-17 00:01:07.107|1975-03-17 00:01:09.032|DISAPPEARANCE,1975-03-17 00:01:09.032,DISAPPEARANCE,Earth,1,4,4,"1,2,3,4",1.0438331568956785,3.7751099397314647,2.1343537476851493
1975-03-17 00:01:22.465|1975-03-17 00:01:24.140|DISAPPEARANCE,1975-03-17 00:01:24.140,DISAPPEARANCE,Earth,1,4,4,"1,2,3,4",1.2269231505360023,2.3333225121664762,1.7783466796680376
1975-03-17 00:01:37.824|1975-03-17 00:01:39.499|DISAPPEARANCE,1975-03-17 00:01:39.499,DISAPPEARANCE,Earth,1,4,4,"1,2,3,4",0.9023941918319417,1.8418970319438477,1.5065332930967377
1975-03-17 00:02:54.618|1975-03-17 00:02:56.293|DISAPPEARANCE,1975-03-17 00:02:56.293,DISAPPEARANCE,Earth,1,3,3,"1,2,3",0.7841512497312574,2.9249498079448872,1.544417388955485
1975-03-17 00:03:09.977|1975-03-17 00:03:11.652|DISAPPEARANCE,1975-03-17 00:03:11.652,DISAPPEARANCE,Earth,1,3,3,"1,2,3",1.138842244039099,2.9249498079448872,1.772231084547751
1975-03-17 00:07:38.528|1975-03-17 00:07:38.736|DISAPPEARANCE,1975-03-17 00:07:38.736,DISAPPEARANCE,Earth,1,3,3,"1,2,3",1.1632297983814202,1.7844063443491298,1.457328640952845
1975-03-17 00:07:46.436|1975-03-17 00:07:48.112|DISAPPEARANCE,1975-03-17 00:07:48.112,DISAPPEARANCE,Earth,1,3,3,"1,2,3",1.2464023908207749,1.7844063443491298,1.4850528384326303
1975-03-20 23:59:53.395|1975-03-20 23:59:57.245|DISAPPEARANCE,1975-03-20 23:59:57.245,DISAPPEARANCE,Earth,1,5,5,"1,2,3,4,5",1.14972060739754,29.074339183710322,8.161741128626577
1975-03-25 23:59:00.639|1975-03-26 00:00:15.315|DISAPPEARANCE,1975-03-26 00:00:15.315,DISAPPEARANCE,Earth,1,5,5,"1,2,3,4,5",0.5208580009954713,5.124598306943885,1.9079817179745604
1975-03-26 00:00:28.943|1975-03-26 00:00:30.673|DISAPPEARANCE,1975-03-26 00:00:30.673,DISAPPEARANCE,Earth,2,4,3,"2,3,4",1.2936736723611006,1.5899651899170253,1.4342148394191205
1975-03-29 23:59:59.391|1975-03-30 00:00:01.316|DISAPPEARANCE,1975-03-30 00:00:01.316,DISAPPEARANCE,Earth,2,5,4,"2,3,4,5",1.128238731204281,4.900028472830841,3.028339026087955
