event_key,event_time,event_type,planet,channel_id,frequency_mhz,delta_db,sign_bit
1974-09-09 23:59:57.272|1974-09-09 23:59:59.197|DISAPPEARANCE,1974-09-09 23:59:59.197,DISAPPEARANCE,Earth,1,0.45,-5.813466964817335,-1
1974-09-09 23:59:57.272|1974-09-09 23:59:59.197|DISAPPEARANCE,1974-09-09 23:59:59.197,DISAPPEARANCE,Earth,2,0.7,-1.4640833353217282,-1
1974-09-09 23:59:57.272|1974-09-09 23:59:59.197|DISAPPEARANCE,1974-09-09 23:59:59.197,DISAPPEARANCE,Earth,4,1.31,1.8087473025617973,1
1974-09-09 23:59:57.272|1974-09-09 23:59:59.197|DISAPPEARANCE,1974-09-09 23:59:59.197,DISAPPEARANCE,Earth,5,2.2,3.0687088316350035,1
1974-09-09 23:59:57.272|1974-09-09 23:59:59.197|DISAPPEARANCE,1974-09-09 23:59:59.197,DISAPPEARANCE,Earth,6,3.93,1.0542710544936449,1
1974-09-09 23:59:57.272|1974-09-09 23:59:59.197|DISAPPEARANCE,1974-09-09 23:59:59.197,DISAPPEARANCE,Earth,7,4.7,3.8878974807990363,1
1974-09-09 23:59:57.272|1974-09-09 23:59:59.197|DISAPPEARANCE,1974-09-09 23:59:59.197,DISAPPEARANCE,Earth,8,6.55,-0.6496423093952068,-1
1974-09-09 23:59:57.272|1974-09-09 23:59:59.197|DISAPPEARANCE,1974-09-09 23:59:59.197,DISAPPEARANCE,Earth,9,9.18,-2.48634815670858,-1
1974-09-17 00:00:01.541|1974-09-17 00:00:03.466|DISAPPEARANCE,1974-09-17 00:00:03.466,DISAPPEARANCE,Earth,1,0.45,5.353698537126583,1
1974-09-17 00:00:01.541|1974-09-17 00:00:03.466|DISAPPEARANCE,1974-09-17 00:00:03.466,DISAPPEARANCE,Earth,2,0.7,10.50465814379348,1
1974-09-17 00:00:01.541|1974-09-17 00:00:03.466|DISAPPEARANCE,1974-09-17 00:00:03.466,DISAPPEARANCE,Earth,3,0.9,-0.46977751515830846,-1
1974-09-17 00:00:01.541|1974-09-17 00:00:03.466|DISAPPEARANCE,1974-09-17 00:00:03.466,DISAPPEARANCE,Earth,4,1.31,-1.6485342510079857,-1
1974-09-17 00:00:01.541|1974-09-17 00:00:03.466|DISAPPEARANCE,1974-09-17 00:00:03.466,DISAPPEARANCE,Earth,5,2.2,-1.6461444391911442,-1
1974-09-17 00:00:01.541|1974-09-17 00:00:03.466|DISAPPEARANCE,1974-09-17 00:00:03.466,DISAPPEARANCE,Earth,6,3.93,0.22333161540925484,1
1974-09-17 00:00:01.541|1974-09-17 00:00:03.466|DISAPPEARANCE,1974-09-17 00:00:03.466,DISAPPEARANCE,Earth,7,4.7,0.16948882773344107,1
1974-09-17 00:00:01.541|1974-09-17 00:00:03.466|DISAPPEARANCE,1974-09-17 00:00:03.466,DISAPPEARANCE,Earth,8,6.55,1.8072012844543786,1
1974-09-17 00:00:01.541|1974-09-17 00:00:03.466|DISAPPEARANCE,1974-09-17 00:00:03.466,DISAPPEARANCE,Earth,9,9.18,-0.06572749548785489,-1
1974-09-18 00:00:05.960|1974-09-18 00:00:07.885|DISAPPEARANCE,1974-09-18 00:00:07.885,DISAPPEARANCE,Earth,1,0.45,6.085341341392473,1
