event_key,event_time,event_type,planet,channel_id,frequency_mhz,delta_db,sign_bit
1974-09-07 14:23:11.847|1974-09-07 14:23:17.581|DISAPPEARANCE,1974-09-07 14:23:17.581,DISAPPEARANCE,Fornax-A,1,0.45,0.27715768595370693,1
1974-09-07 14:23:11.847|1974-09-07 14:23:17.581|DISAPPEARANCE,1974-09-07 14:23:17.581,DISAPPEARANCE,Fornax-A,2,0.7,-0.1849207731326381,-1
1974-09-07 14:23:11.847|1974-09-07 14:23:17.581|DISAPPEARANCE,1974-09-07 14:23:17.581,DISAPPEARANCE,Fornax-A,3,0.9,0.0,-1
1974-09-07 14:23:11.847|1974-09-07 14:23:17.581|DISAPPEARANCE,1974-09-07 14:23:17.581,DISAPPEARANCE,Fornax-A,4,1.31,0.0,-1
1974-09-07 14:23:11.847|1974-09-07 14:23:17.581|DISAPPEARANCE,1974-09-07 14:23:17.581,DISAPPEARANCE,Fornax-A,5,2.2,-0.26286071943269473,-1
1974-09-07 14:23:11.847|1974-09-07 14:23:17.581|DISAPPEARANCE,1974-09-07 14:23:17.581,DISAPPEARANCE,Fornax-A,6,3.93,0.0,-1
1974-09-07 14:23:11.847|1974-09-07 14:23:17.581|DISAPPEARANCE,1974-09-07 14:23:17.581,DISAPPEARANCE,Fornax-A,7,4.7,-0.2608769791342431,-1
1974-09-07 14:23:11.847|1974-09-07 14:23:17.581|DISAPPEARANCE,1974-09-07 14:23:17.581,DISAPPEARANCE,Fornax-A,8,6.55,0.20327611926574882,1
1974-09-07 14:23:11.847|1974-09-07 14:23:17.581|DISAPPEARANCE,1974-09-07 14:23:17.581,DISAPPEARANCE,Fornax-A,9,9.18,-0.4041227904310113,-1
1974-09-07 21:47:09.265|1974-09-07 21:47:11.190|DISAPPEARANCE,1974-09-07 21:47:11.190,DISAPPEARANCE,Fornax-A,1,0.45,0.7039357022022136,1
1974-09-07 21:47:09.265|1974-09-07 21:47:11.190|DISAPPEARANCE,1974-09-07 21:47:11.190,DISAPPEARANCE,Fornax-A,2,0.7,0.18136690419040408,1
1974-09-07 21:47:09.265|1974-09-07 21:47:11.190|DISAPPEARANCE,1974-09-07 21:47:11.190,DISAPPEARANCE,Fornax-A,3,0.9,0.05455528345041662,1
1974-09-07 21:47:09.265|1974-09-07 21:47:11.190|DISAPPEARANCE,1974-09-07 21:47:11.190,DISAPPEARANCE,Fornax-A,4,1.31,0.0,-1
1974-09-07 21:47:09.265|1974-09-07 21:47:11.190|DISAPPEARANCE,1974-09-07 21:47:11.190,DISAPPEARANCE,Fornax-A,5,2.2,-0.2642816290234679,-1
1974-09-07 21:47:09.265|1974-09-07 21:47:11.190|DISAPPEARANCE,1974-09-07 21:47:11.190,DISAPPEARANCE,Fornax-A,6,3.93,-3.1244359278340914,-1
1974-09-07 21:47:09.265|1974-09-07 21:47:11.190|DISAPPEARANCE,1974-09-07 21:47:11.190,DISAPPEARANCE,Fornax-A,7,4.7,0.7914814747008001,1
1974-09-07 21:47:09.265|1974-09-07 21:47:11.190|DISAPPEARANCE,1974-09-07 21:47:11.190,DISAPPEARANCE,Fornax-A,8,6.55,-0.2183191412883473,-1
1974-09-07 21:47:09.265|1974-09-07 21:47:11.190|DISAPPEARANCE,1974-09-07 21:47:11.190,DISAPPEARANCE,Fornax-A,9,9.18,1.8836173750703986,1
1974-09-08 01:29:06.109|1974-09-08 01:29:08.034|DISAPPEARANCE,1974-09-08 01:29:08.034,DISAPPEARANCE,Fornax-A,1,0.45,-6.488850815769648,-1
1974-09-08 01:29:06.109|1974-09-08 01:29:08.034|DISAPPEARANCE,1974-09-08 01:29:08.034,DISAPPEARANCE,Fornax-A,2,0.7,0.7032294267171573,1
1974-09-08 01:29:06.109|1974-09-08 01:29:08.034|DISAPPEARANCE,1974-09-08 01:29:08.034,DISAPPEARANCE,Fornax-A,3,0.9,0.5452899860923023,1
1974-09-08 01:29:06.109|1974-09-08 01:29:08.034|DISAPPEARANCE,1974-09-08 01:29:08.034,DISAPPEARANCE,Fornax-A,4,1.31,0.7313892740576022,1
1974-09-08 01:29:06.109|1974-09-08 01:29:08.034|DISAPPEARANCE,1974-09-08 01:29:08.034,DISAPPEARANCE,Fornax-A,5,2.2,-0.7113252176207608,-1
1974-09-08 01:29:06.109|1974-09-08 01:29:08.034|DISAPPEARANCE,1974-09-08 01:29:08.034,DISAPPEARANCE,Fornax-A,6,3.93,-3.5571224507722676,-1
1974-09-08 01:29:06.109|1974-09-08 01:29:08.034|DISAPPEARANCE,1974-09-08 01:29:08.034,DISAPPEARANCE,Fornax-A,7,4.7,0.5240312993929854,1
1974-09-08 01:29:06.109|1974-09-08 01:29:08.034|DISAPPEARANCE,1974-09-08 01:29:08.034,DISAPPEARANCE,Fornax-A,8,6.55,1.1926947684673976,1
1974-09-08 01:29:06.109|1974-09-08 01:29:08.034|DISAPPEARANCE,1974-09-08 01:29:08.034,DISAPPEARANCE,Fornax-A,9,9.18,2.7783596942978788,1
1974-09-08 02:15:12.770|1974-09-08 02:15:14.695|REAPPEARANCE,1974-09-08 02:15:14.695,REAPPEARANCE,Fornax-A,2,0.7,0.4625893496617699,1
1974-09-08 02:15:12.770|1974-09-08 02:15:14.695|REAPPEARANCE,1974-09-08 02:15:14.695,REAPPEARANCE,Fornax-A,3,0.9,0.20256695378591646,1
1974-09-08 02:15:12.770|1974-09-08 02:15:14.695|REAPPEARANCE,1974-09-08 02:15:14.695,REAPPEARANCE,Fornax-A,4,1.31,-0.10678171169325326,-1
1974-09-08 02:15:12.770|1974-09-08 02:15:14.695|REAPPEARANCE,1974-09-08 02:15:14.695,REAPPEARANCE,Fornax-A,5,2.2,-0.3321149372416424,-1
1974-09-08 02:15:12.770|1974-09-08 02:15:14.695|REAPPEARANCE,1974-09-08 02:15:14.695,REAPPEARANCE,Fornax-A,6,3.93,1.7151377939145849,1
1974-09-08 02:15:12.770|1974-09-08 02:15:14.695|REAPPEARANCE,1974-09-08 02:15:14.695,REAPPEARANCE,Fornax-A,7,4.7,0.0,-1
1974-09-08 02:15:12.770|1974-09-08 02:15:14.695|REAPPEARANCE,1974-09-08 02:15:14.695,REAPPEARANCE,Fornax-A,8,6.55,-0.5131221342164844,-1
1974-09-08 02:15:12.770|1974-09-08 02:15:14.695|REAPPEARANCE,1974-09-08 02:15:14.695,REAPPEARANCE,Fornax-A,9,9.18,0.47450859811808443,1
1974-09-08 05:11:04.846|1974-09-08 05:11:06.771|DISAPPEARANCE,1974-09-08 05:11:06.771,DISAPPEARANCE,Fornax-A,1,0.45,-0.020368780136482516,-1
1974-09-08 05:11:04.846|1974-09-08 05:11:06.771|DISAPPEARANCE,1974-09-08 05:11:06.771,DISAPPEARANCE,Fornax-A,2,0.7,-0.22906342449403663,-1
