event_type,pre_event_time,post_event_time,event_time,event_key,planet,sun_sep_deg,mercury_sep_deg,venus_sep_deg,earth_sep_deg,mars_sep_deg,jupiter_sep_deg,saturn_sep_deg,uranus_sep_deg,neptune_sep_deg
DISAPPEARANCE,1974-09-07 14:23:11.847,1974-09-07 14:23:17.581,1974-09-07 14:23:17.581,1974-09-07 14:23:11.847|1974-09-07 14:23:17.581|DISAPPEARANCE,Fornax-A,124.91679468545328,126.29620184889689,94.91012184113396,122.2260951245217,123.11253080347083,66.00323188805794,76.87740770006877,127.28527363804724,120.30913168347155
DISAPPEARANCE,1974-09-07 21:47:09.265,1974-09-07 21:47:11.190,1974-09-07 21:47:11.190,1974-09-07 21:47:09.265|1974-09-07 21:47:11.190|DISAPPEARANCE,Fornax-A,125.44055634739296,126.03843627889485,95.22383071189782,121.50900984928565,123.15829293233847,65.98961609527063,76.88403477389922,127.28556442530646,120.30824651581531
DISAPPEARANCE,1974-09-08 01:29:06.109,1974-09-08 01:29:08.034,1974-09-08 01:29:08.034,1974-09-08 01:29:06.109|1974-09-08 01:29:08.034|DISAPPEARANCE,Fornax-A,125.69254106582615,125.90616640982286,95.38043252961835,121.08434804046006,123.1810723014528,65.98278689569615,76.8873358190398,127.2857100811144,120.30780319535862
REAPPEARANCE,1974-09-08 02:15:12.770,1974-09-08 02:15:14.695,1974-09-08 02:15:14.695,1974-09-08 02:15:12.770|1974-09-08 02:15:14.695|REAPPEARANCE,Fornax-A,125.7304673174185,125.87919845192002,95.41277100193446,121.16393582377985,123.18562450815365,65.98128987828406,76.88805264971661,127.28574412859813,120.30772867372096
DISAPPEARANCE,1974-09-08 05:11:04.846,1974-09-08 05:11:06.771,1974-09-08 05:11:06.771,1974-09-08 05:11:04.846|1974-09-08 05:11:06.771|DISAPPEARANCE,Fornax-A,125.93778164908932,125.77165986017232,95.536883189352,120.61625132476202,123.20378500022711,65.97594178508035,76.89062915601816,127.2858558447802,120.30735940089328
DISAPPEARANCE,1974-09-08 08:53:01.686,1974-09-08 08:53:03.611,1974-09-08 08:53:03.611,1974-09-08 08:53:01.686|1974-09-08 08:53:03.611|DISAPPEARANCE,Fornax-A,126.17643235671433,125.63498670853488,95.69313722688123,120.10577574115297,123.22642417184758,65.96908258358754,76.89391410127652,127.28600167750828,120.30691533940998
REAPPEARANCE,1974-09-08 09:39:06.432,1974-09-08 09:39:08.357,1974-09-08 09:39:08.357,1974-09-08 09:39:06.432|1974-09-08 09:39:08.357|REAPPEARANCE,Fornax-A,126.21844221679684,125.60715421016509,95.72537166846347,120.17770635927792,123.23094525088291,65.96758038938192,76.89462716809923,127.28603578906046,120.30684075805816
DISAPPEARANCE,1974-09-08 12:34:58.512,1974-09-08 12:35:00.437,1974-09-08 12:35:00.437,1974-09-08 12:34:58.512|1974-09-08 12:35:00.437|DISAPPEARANCE,Fornax-A,126.40839692356755,125.49615766095613,95.84921322186055,119.55354566713558,123.24899139889749,65.96220774549525,76.89719125606318,127.28614752565849,120.30647100956392
REAPPEARANCE,1974-09-08 13:21:03.265,1974-09-08 13:21:05.190,1974-09-08 13:21:05.190,1974-09-08 13:21:03.265|1974-09-08 13:21:05.190|REAPPEARANCE,Fornax-A,126.45265783718006,125.46789196761688,95.8814058584758,119.6205976399383,123.25349801488161,65.96070227377501,76.89790272388784,127.28618165503403,120.3063963865241
DISAPPEARANCE,1974-09-08 19:58:52.210,1974-09-08 19:58:54.135,1974-09-08 19:58:54.135,1974-09-08 19:58:52.210|1974-09-08 19:58:54.135|DISAPPEARANCE,Fornax-A,126.85231061015163,125.21215040621462,96.16082184099315,118.32730404220086,123.29390524455054,65.94840944604134,76.90372299215025,127.28643906161751,120.3055818221923
REAPPEARANCE,1974-09-08 20:44:56.949,1974-09-08 20:44:58.874,1974-09-08 20:44:58.874,1974-09-08 20:44:56.949|1974-09-08 20:44:58.874|REAPPEARANCE,Fornax-A,126.90165606259049,125.1830366397728,96.19292941489965,118.38268233349775,123.29838226836091,65.94689723124615,76.90443140952269,127.28647320474332,120.30550716799316
DISAPPEARANCE,1974-09-09 03:22:45.862,1974-09-09 03:22:47.787,1974-09-09 03:22:47.787,1974-09-09 03:22:45.862|1974-09-09 03:22:47.787|DISAPPEARANCE,Fornax-A,127.26989187421654,124.91987577628694,96.47168889614346,116.94516078191273,123.33851678556286,65.93454376729203,76.91022605639627,127.28673003780419,120.3046924248925
DISAPPEARANCE,1974-09-09 18:10:33.177,1974-09-09 18:10:35.102,1974-09-09 18:10:35.102,1974-09-09 18:10:33.177|1974-09-09 18:10:35.102|DISAPPEARANCE,Fornax-A,128.02984811155358,124.31145008237893,97.09113195583886,113.74741101902413,123.42679547962841,65.9065986978304,76.92315419172657,127.28730856219047,120.30291545885723
REAPPEARANCE,1974-09-09 18:56:36.020,1974-09-09 18:56:37.945,1974-09-09 18:56:37.945,1974-09-09 18:56:36.020|1974-09-09 18:56:37.945|REAPPEARANCE,Fornax-A,128.09974135073656,124.27995038040122,97.12295293095596,113.75248331557948,123.43117488018542,65.90506548612053,76.923854236505,127.28734244382811,120.30284114334914
REAPPEARANCE,1974-09-10 00:15:44.047,1974-09-10 00:18:07.811,1974-09-10 00:18:07.811,1974-09-10 00:15:44.047|1974-09-10 00:18:07.811|REAPPEARANCE,Fornax-A,128.7763743177769,124.05442632932566,97.34917850871415,112.991348137251,123.4639419470307,65.8952785019308,76.92868826982873,127.28763578656547,120.30224128422567
DISAPPEARANCE,1974-09-10 01:34:34.627,1974-09-10 01:34:36.552,1974-09-10 01:34:36.552,1974-09-10 01:34:34.627|1974-09-10 01:34:36.552|DISAPPEARANCE,Fornax-A,128.37811080997952,123.99567161046923,97.399770366929,111.9500315616156,123.4704618294099,65.89251111622974,76.92958569813432,127.2875957312708,120.30202902187011
REAPPEARANCE,1974-09-10 02:20:47.032,1974-09-10 02:20:48.957,1974-09-10 02:20:48.957,1974-09-10 02:20:47.032|1974-09-10 02:20:48.957|REAPPEARANCE,Fornax-A,128.45615265943505,123.96329402580963,97.4316097699743,111.93316061551644,123.47482059716243,65.89096430899184,76.93028596327066,127.28762930162041,120.30195459368467
DISAPPEARANCE,1974-09-10 12:40:19.366,1974-09-10 12:40:21.291,1974-09-10 12:40:21.291,1974-09-10 12:40:19.366|1974-09-10 12:40:21.291|DISAPPEARANCE,Fornax-A,128.86273030964722,123.50846289963984,97.86102676144162,109.03419454922361,123.5352890325469,65.87124210979125,76.93919332679246,127.28802103134328,120.30070448138497
REAPPEARANCE,1974-09-10 13:25:15.028,1974-09-10 13:26:35.636,1974-09-10 13:26:35.636,1974-09-10 13:25:15.028|1974-09-10 13:26:35.636|REAPPEARANCE,Fornax-A,128.95738087551948,123.47496098473825,97.89274930912218,108.9816707511911,123.53959860824594,65.86968196632135,76.93989136405624,127.28805422950772,120.300630463655
DISAPPEARANCE,1974-09-10 16:22:16.253,1974-09-10 16:22:18.178,1974-09-10 16:22:18.178,1974-09-10 16:22:16.253|1974-09-10 16:22:18.178|DISAPPEARANCE,Fornax-A,129.01725235976753,123.34248257730152,98.01439727944914,108.00823991866032,123.55672696642011,65.86411164906227,76.94238830965483,127.28816131815323,120.30026449157066
REAPPEARANCE,1974-09-10 17:08:28.702,1974-09-10 17:08:34.437,1974-09-10 17:08:34.437,1974-09-10 17:08:28.702|1974-09-10 17:08:34.437|REAPPEARANCE,Fornax-A,129.11927823741937,123.30860640527251,98.04609761207452,107.94389018285212,123.56102307264081,65.86254667277836,76.94308632007939,127.28819452244112,120.30019069781676
DISAPPEARANCE,1974-09-10 20:04:11.180,1974-09-10 20:04:13.105,1974-09-10 20:04:13.105,1974-09-10 20:04:11.180|1974-09-10 20:04:13.105|DISAPPEARANCE,Fornax-A,129.1696253345403,123.1747956739819,98.16754350392554,106.95782412536687,123.5780736718064,65.85696237920955,76.94557954023483,127.28830077058453,120.29982552039827
DISAPPEARANCE,1974-09-10 23:46:06.134,1974-09-10 23:46:08.059,1974-09-10 23:46:08.059,1974-09-10 23:46:06.134|1974-09-10 23:46:08.059|DISAPPEARANCE,Fornax-A,129.32067017063977,123.00540333119696,98.32048704889401,105.88395918760492,123.59933105322266,65.84979298513838,76.94876787362136,127.28843932127133,120.29938758504633
