event_key,event_time,event_type,planet,channel_start,channel_end,run_length,channels,min_delta_db,max_delta_db,mean_delta_db
1974-09-14 23:59:45.288|1974-09-14 23:59:49.098|DISAPPEARANCE,1974-09-14 23:59:49.098,DISAPPEARANCE,Jupiter,6,9,4,"6,7,8,9",1.068017641108999,4.296241116373825,2.8901684193444375
1974-09-29 23:59:57.978|1974-09-29 23:59:59.903|REAPPEARANCE,1974-09-29 23:59:59.903,REAPPEARANCE,Jupiter,2,5,4,"2,3,4,5",0.6663881981309528,1.9065282131198533,1.3922397128242936
1974-10-02 00:10:27.422|1974-10-02 00:10:28.140|REAPPEARANCE,1974-10-02 00:10:28.140,REAPPEARANCE,Jupiter,6,8,3,"6,7,8",0.6336879465247635,1.3804762755477853,0.9148222123385977
1974-10-09 00:02:21.406|1974-10-09 00:02:22.695|REAPPEARANCE,1974-10-09 00:02:22.695,REAPPEARANCE,Jupiter,5,7,3,"5,6,7",0.5695039924156385,2.277871568413494,1.2035628170660153
1974-10-09 00:02:52.126|1974-10-09 00:02:53.414|REAPPEARANCE,1974-10-09 00:02:53.414,REAPPEARANCE,Jupiter,3,5,3,"3,4,5",0.657139223635502,2.441257623088554,1.6096152849184726
1974-10-09 00:03:07.486|1974-10-09 00:03:08.774|REAPPEARANCE,1974-10-09 00:03:08.774,REAPPEARANCE,Jupiter,3,5,3,"3,4,5",0.657139223635502,2.0650127836955288,1.4842003384541311
1974-10-25 23:59:59.053|1974-10-26 00:00:00.978|REAPPEARANCE,1974-10-26 00:00:00.978,REAPPEARANCE,Jupiter,2,5,4,"2,3,4,5",0.5027221922387638,2.736803211328133,1.434582835703295
1974-11-10 23:59:51.755|1974-11-10 23:59:53.680|DISAPPEARANCE,1974-11-10 23:59:53.680,DISAPPEARANCE,Jupiter,2,5,4,"2,3,4,5",0.5689035840154274,1.048482786392888,0.7669336923783607
1974-11-11 23:59:58.368|1974-11-12 00:00:00.293|REAPPEARANCE,1974-11-12 00:00:00.293,REAPPEARANCE,Jupiter,1,5,5,"1,2,3,4,5",0.5681805817419223,2.5354168314679777,1.335497877010497
1974-11-13 00:00:01.092|1974-11-13 00:00:03.017|DISAPPEARANCE,1974-11-13 00:00:03.017,DISAPPEARANCE,Jupiter,2,5,4,"2,3,4,5",0.9508218422396797,1.6619971649323515,1.3113949113049284
1974-11-15 23:59:59.279|1974-11-16 00:00:01.204|REAPPEARANCE,1974-11-16 00:00:01.204,REAPPEARANCE,Jupiter,1,5,5,"1,2,3,4,5",1.9667623912930963,2.5372769553018544,2.2765930538484698
1974-11-16 23:59:48.297|1974-11-16 23:59:50.222|DISAPPEARANCE,1974-11-16 23:59:50.222,DISAPPEARANCE,Jupiter,3,5,3,"3,4,5",0.6731388545364375,1.9549359456409015,1.4809998144082515
1974-11-18 00:00:08.074|1974-11-18 00:00:09.999|REAPPEARANCE,1974-11-18 00:00:09.999,REAPPEARANCE,Jupiter,3,5,3,"3,4,5",1.0462693614217853,2.2678587313606573,1.7171105576032233
1974-11-21 23:59:13.474|1974-11-21 23:59:15.399|REAPPEARANCE,1974-11-21 23:59:15.399,REAPPEARANCE,Jupiter,2,5,4,"2,3,4,5",1.0720359726143616,1.4632305278503563,1.3415298475664974
1974-11-22 00:00:29.940|1974-11-22 00:00:33.750|DISAPPEARANCE,1974-11-22 00:00:33.750,DISAPPEARANCE,Jupiter,1,3,3,"1,2,3",0.507890826353256,1.0284725690291732,0.8462020317554245
