event_key,event_time,event_type,planet,channel_id,frequency_mhz,delta_db,sign_bit
1974-09-10 23:59:51.747|1974-09-10 23:59:57.482|DISAPPEARANCE,1974-09-10 23:59:57.482,DISAPPEARANCE,Jupiter,1,0.45,10.544461286732593,1
1974-09-10 23:59:51.747|1974-09-10 23:59:57.482|DISAPPEARANCE,1974-09-10 23:59:57.482,DISAPPEARANCE,Jupiter,2,0.7,-1.4409747338134236,-1
1974-09-10 23:59:51.747|1974-09-10 23:59:57.482|DISAPPEARANCE,1974-09-10 23:59:57.482,DISAPPEARANCE,Jupiter,3,0.9,-2.430310523941372,-1
1974-09-10 23:59:51.747|1974-09-10 23:59:57.482|DISAPPEARANCE,1974-09-10 23:59:57.482,DISAPPEARANCE,Jupiter,4,1.31,-3.4001038664233842,-1
1974-09-10 23:59:51.747|1974-09-10 23:59:57.482|DISAPPEARANCE,1974-09-10 23:59:57.482,DISAPPEARANCE,Jupiter,5,2.2,-3.716355512188975,-1
1974-09-10 23:59:51.747|1974-09-10 23:59:57.482|DISAPPEARANCE,1974-09-10 23:59:57.482,DISAPPEARANCE,Jupiter,6,3.93,-1.6432372952862635,-1
1974-09-10 23:59:51.747|1974-09-10 23:59:57.482|DISAPPEARANCE,1974-09-10 23:59:57.482,DISAPPEARANCE,Jupiter,7,4.7,-1.291817559211263,-1
1974-09-10 23:59:51.747|1974-09-10 23:59:57.482|DISAPPEARANCE,1974-09-10 23:59:57.482,DISAPPEARANCE,Jupiter,8,6.55,4.213001612967188,1
1974-09-10 23:59:51.747|1974-09-10 23:59:57.482|DISAPPEARANCE,1974-09-10 23:59:57.482,DISAPPEARANCE,Jupiter,9,9.18,2.3830547224210057,1
1974-09-14 23:59:45.288|1974-09-14 23:59:49.098|DISAPPEARANCE,1974-09-14 23:59:49.098,DISAPPEARANCE,Jupiter,1,0.45,-1.493417367462462,-1
1974-09-14 23:59:45.288|1974-09-14 23:59:49.098|DISAPPEARANCE,1974-09-14 23:59:49.098,DISAPPEARANCE,Jupiter,2,0.7,-4.739814135521032,-1
1974-09-14 23:59:45.288|1974-09-14 23:59:49.098|DISAPPEARANCE,1974-09-14 23:59:49.098,DISAPPEARANCE,Jupiter,3,0.9,-1.11692108454782,-1
1974-09-14 23:59:45.288|1974-09-14 23:59:49.098|DISAPPEARANCE,1974-09-14 23:59:49.098,DISAPPEARANCE,Jupiter,4,1.31,-2.280754772889711,-1
1974-09-14 23:59:45.288|1974-09-14 23:59:49.098|DISAPPEARANCE,1974-09-14 23:59:49.098,DISAPPEARANCE,Jupiter,5,2.2,-1.3722808142331535,-1
1974-09-14 23:59:45.288|1974-09-14 23:59:49.098|DISAPPEARANCE,1974-09-14 23:59:49.098,DISAPPEARANCE,Jupiter,6,3.93,4.296241116373825,1
1974-09-14 23:59:45.288|1974-09-14 23:59:49.098|DISAPPEARANCE,1974-09-14 23:59:49.098,DISAPPEARANCE,Jupiter,7,4.7,1.068017641108999,1
1974-09-14 23:59:45.288|1974-09-14 23:59:49.098|DISAPPEARANCE,1974-09-14 23:59:49.098,DISAPPEARANCE,Jupiter,8,6.55,2.0861318276471126,1
1974-09-14 23:59:45.288|1974-09-14 23:59:49.098|DISAPPEARANCE,1974-09-14 23:59:49.098,DISAPPEARANCE,Jupiter,9,9.18,4.110283092247812,1
1974-09-15 23:59:59.169|1974-09-16 00:00:16.901|REAPPEARANCE,1974-09-16 00:00:16.901,REAPPEARANCE,Jupiter,1,0.45,-3.757636263047006,-1
1974-09-15 23:59:59.169|1974-09-16 00:00:16.901|REAPPEARANCE,1974-09-16 00:00:16.901,REAPPEARANCE,Jupiter,2,0.7,-0.14333786082246064,-1
1974-09-15 23:59:59.169|1974-09-16 00:00:16.901|REAPPEARANCE,1974-09-16 00:00:16.901,REAPPEARANCE,Jupiter,3,0.9,-4.1042394635457615,-1
1974-09-15 23:59:59.169|1974-09-16 00:00:16.901|REAPPEARANCE,1974-09-16 00:00:16.901,REAPPEARANCE,Jupiter,4,1.31,-4.787638816359259,-1
1974-09-15 23:59:59.169|1974-09-16 00:00:16.901|REAPPEARANCE,1974-09-16 00:00:16.901,REAPPEARANCE,Jupiter,5,2.2,-3.956295261100406,-1
1974-09-15 23:59:59.169|1974-09-16 00:00:16.901|REAPPEARANCE,1974-09-16 00:00:16.901,REAPPEARANCE,Jupiter,6,3.93,-0.4905202918999623,-1
1974-09-15 23:59:59.169|1974-09-16 00:00:16.901|REAPPEARANCE,1974-09-16 00:00:16.901,REAPPEARANCE,Jupiter,7,4.7,-1.7374731236829655,-1
1974-09-15 23:59:59.169|1974-09-16 00:00:16.901|REAPPEARANCE,1974-09-16 00:00:16.901,REAPPEARANCE,Jupiter,8,6.55,1.5836828900049293,1
1974-09-15 23:59:59.169|1974-09-16 00:00:16.901|REAPPEARANCE,1974-09-16 00:00:16.901,REAPPEARANCE,Jupiter,9,9.18,-0.005591773972585822,-1
1974-09-16 23:59:57.731|1974-09-17 00:00:01.541|DISAPPEARANCE,1974-09-17 00:00:01.541,DISAPPEARANCE,Jupiter,1,0.45,5.353698537126583,1
1974-09-16 23:59:57.731|1974-09-17 00:00:01.541|DISAPPEARANCE,1974-09-17 00:00:01.541,DISAPPEARANCE,Jupiter,2,0.7,3.0130225647623945,1
1974-09-16 23:59:57.731|1974-09-17 00:00:01.541|DISAPPEARANCE,1974-09-17 00:00:01.541,DISAPPEARANCE,Jupiter,3,0.9,-0.46977751515830846,-1
1974-09-16 23:59:57.731|1974-09-17 00:00:01.541|DISAPPEARANCE,1974-09-17 00:00:01.541,DISAPPEARANCE,Jupiter,4,1.31,-1.6485342510079857,-1
1974-09-16 23:59:57.731|1974-09-17 00:00:01.541|DISAPPEARANCE,1974-09-17 00:00:01.541,DISAPPEARANCE,Jupiter,5,2.2,-1.6461444391911442,-1
1974-09-16 23:59:57.731|1974-09-17 00:00:01.541|DISAPPEARANCE,1974-09-17 00:00:01.541,DISAPPEARANCE,Jupiter,6,3.93,0.22333161540925484,1
1974-09-16 23:59:57.731|1974-09-17 00:00:01.541|DISAPPEARANCE,1974-09-17 00:00:01.541,DISAPPEARANCE,Jupiter,7,4.7,0.16948882773344107,1
1974-09-16 23:59:57.731|1974-09-17 00:00:01.541|DISAPPEARANCE,1974-09-17 00:00:01.541,DISAPPEARANCE,Jupiter,8,6.55,1.8072012844543786,1
1974-09-16 23:59:57.731|1974-09-17 00:00:01.541|DISAPPEARANCE,1974-09-17 00:00:01.541,DISAPPEARANCE,Jupiter,9,9.18,-0.06572749548785489,-1
