event_type,pre_event_time,post_event_time,event_time,event_key,planet,sun_sep_deg,mercury_sep_deg,venus_sep_deg,earth_sep_deg,mars_sep_deg,jupiter_sep_deg,saturn_sep_deg,uranus_sep_deg,neptune_sep_deg
DISAPPEARANCE,1974-09-10 23:59:51.747,1974-09-10 23:59:57.482,1974-09-10 23:59:57.482,1974-09-10 23:59:51.747|1974-09-10 23:59:57.482|DISAPPEARANCE,jupiter,124.45687380276482,108.6883859929545,149.19466309194974,62.145748775440474,157.72739416716874,0.0,117.73259736996941,135.67278305221444,94.48647820450505
DISAPPEARANCE,1974-09-14 23:59:45.288,1974-09-14 23:59:49.098,1974-09-14 23:59:49.098,1974-09-14 23:59:45.288|1974-09-14 23:59:49.098|DISAPPEARANCE,jupiter,122.10336756983524,97.78099174925232,155.08969605415442,7.945209052511897,156.3630379662142,0.0,117.48366569685707,136.0084442020773,94.84540961709463
REAPPEARANCE,1974-09-15 23:59:59.169,1974-09-16 00:00:16.901,1974-09-16 00:00:16.901,1974-09-15 23:59:59.169|1974-09-16 00:00:16.901|REAPPEARANCE,jupiter,119.72340984669565,95.15631576614959,156.51937989978825,22.984050946493568,156.05851026617916,0.0,117.41398585773706,136.10327747550434,94.94446340422411
DISAPPEARANCE,1974-09-16 23:59:57.731,1974-09-17 00:00:01.541,1974-09-17 00:00:01.541,1974-09-16 23:59:57.731|1974-09-17 00:00:01.541|DISAPPEARANCE,jupiter,119.9327235889462,92.49382848241694,158.03849277870896,24.686274485681817,155.70203495238067,0.0,117.360176578953,136.18203077093466,95.02984867492016
REAPPEARANCE,1974-09-18 00:00:11.735,1974-09-18 00:00:14.264,1974-09-18 00:00:14.264,1974-09-18 00:00:11.735|1974-09-18 00:00:14.264|REAPPEARANCE,jupiter,123.98826656906803,89.92746774485356,159.50111638749058,50.70270558764187,155.39247958878087,0.0,117.29749246727339,136.27421649805308,95.12671182916166
DISAPPEARANCE,1974-09-22 23:59:50.491,1974-09-22 23:59:54.301,1974-09-22 23:59:54.301,1974-09-22 23:59:50.491|1974-09-22 23:59:54.301|DISAPPEARANCE,jupiter,146.31376585070925,76.82656600231948,167.0720953018803,103.47231022144074,153.6407843353238,0.0,117.03734686527058,136.674670600307,95.55959726983322
REAPPEARANCE,1974-09-22 23:59:58.151,1974-09-23 00:00:00.076,1974-09-23 00:00:00.076,1974-09-22 23:59:58.151|1974-09-23 00:00:00.076|REAPPEARANCE,jupiter,148.42793379420877,76.85172673724256,167.08084691894388,108.16422335470325,153.6415210372742,0.0,117.0392777799393,136.67434087699684,95.55933904900462
REAPPEARANCE,1974-09-29 23:59:57.978,1974-09-29 23:59:59.903,1974-09-29 23:59:59.903,1974-09-29 23:59:57.978|1974-09-29 23:59:59.903|REAPPEARANCE,jupiter,169.66939685611237,57.79286095850704,177.1895647590097,162.52941222373497,150.99116950387506,0.0,116.72185473773429,137.17906064045553,96.11784073473562
REAPPEARANCE,1974-10-02 00:08:24.543,1974-10-02 00:08:25.260,1974-10-02 00:08:25.260,1974-10-02 00:08:24.543|1974-10-02 00:08:25.260|REAPPEARANCE,jupiter,157.64908269834226,51.96923819805588,177.43372124172933,137.50366339722274,150.2074409303221,0.0,116.62648730214931,137.32020393534543,96.27479630106396
REAPPEARANCE,1974-10-02 00:08:39.903,1974-10-02 00:08:40.620,1974-10-02 00:08:40.620,1974-10-02 00:08:39.903|1974-10-02 00:08:40.620|REAPPEARANCE,jupiter,157.64808045062895,51.96870636462925,177.43358371886552,137.50111679165178,150.20737228378127,0.0,116.62647776357163,137.32021696242745,96.27481068531148
REAPPEARANCE,1974-10-02 00:09:25.983,1974-10-02 00:09:26.700,1974-10-02 00:09:26.700,1974-10-02 00:09:25.983|1974-10-02 00:09:26.700|REAPPEARANCE,jupiter,157.6451402736141,51.96711085284434,177.43317123493327,137.49361016929862,150.2071666148116,0.0,116.62644909444545,137.32025612057097,96.27485390348004
REAPPEARANCE,1974-10-02 00:09:41.343,1974-10-02 00:09:42.060,1974-10-02 00:09:42.060,1974-10-02 00:09:41.343|1974-10-02 00:09:42.060|REAPPEARANCE,jupiter,157.6441735354349,51.96657902784353,177.43303373785628,137.49113559862374,150.20709811288154,0.0,116.62643952873046,137.32026918831045,96.2748683223307
