event_key,event_time,event_type,planet,channel_start,channel_end,run_length,channels,min_delta_db,max_delta_db,mean_delta_db
1974-09-09 23:59:57.272|1974-09-09 23:59:59.197|DISAPPEARANCE,1974-09-09 23:59:59.197,DISAPPEARANCE,Mars,4,7,4,"4,5,6,7",1.0542710544936449,3.8878974807990363,2.4549061673723704
1974-09-29 23:59:57.978|1974-09-29 23:59:59.903|REAPPEARANCE,1974-09-29 23:59:59.903,REAPPEARANCE,Mars,2,5,4,"2,3,4,5",0.6663881981309528,1.9065282131198533,1.3922397128242936
1974-10-02 00:03:52.590|1974-10-02 00:03:53.800|DISAPPEARANCE,1974-10-02 00:03:53.800,DISAPPEARANCE,Mars,3,5,3,"3,4,5",0.6155075778601183,0.9820277539486748,0.7900578256975805
1974-10-02 00:05:09.390|1974-10-02 00:05:10.599|DISAPPEARANCE,1974-10-02 00:05:10.599,DISAPPEARANCE,Mars,4,7,4,"4,5,6,7",0.6209190032800188,5.087451617504495,1.8966138146141223
1974-10-02 00:05:24.750|1974-10-02 00:05:25.959|DISAPPEARANCE,1974-10-02 00:05:25.959,DISAPPEARANCE,Mars,4,7,4,"4,5,6,7",0.8002204526335331,1.6654631969833578,1.2506225537079265
1974-10-02 00:06:41.550|1974-10-02 00:06:42.759|DISAPPEARANCE,1974-10-02 00:06:42.759,DISAPPEARANCE,Mars,6,8,3,"6,7,8",1.0312390073504392,2.435225498324127,1.521301798711035
1974-10-02 00:06:56.194|1974-10-02 00:06:58.119|DISAPPEARANCE,1974-10-02 00:06:58.119,DISAPPEARANCE,Mars,6,8,3,"6,7,8",1.0974408904585389,2.5770825372638315,1.6973698577734613
1974-10-02 00:07:11.553|1974-10-02 00:07:13.478|DISAPPEARANCE,1974-10-02 00:07:13.478,DISAPPEARANCE,Mars,6,8,3,"6,7,8",1.0974408904585389,1.750283977714586,1.3271310190915668
1974-10-02 00:07:27.630|1974-10-02 00:07:28.838|DISAPPEARANCE,1974-10-02 00:07:28.838,DISAPPEARANCE,Mars,6,8,3,"6,7,8",0.9087547778629763,2.194898103034616,1.4134581873045728
1974-10-02 00:11:48.750|1974-10-02 00:11:49.957|DISAPPEARANCE,1974-10-02 00:11:49.957,DISAPPEARANCE,Mars,4,7,4,"4,5,6,7",0.6463641340807462,4.554425298366435,1.704887255159704
1974-10-02 00:12:04.110|1974-10-02 00:12:05.317|DISAPPEARANCE,1974-10-02 00:12:05.317,DISAPPEARANCE,Mars,3,7,5,"3,4,5,6,7",0.7611540477613205,1.9944371144636854,1.14144705378891
1974-10-06 00:00:03.133|1974-10-06 00:00:05.058|DISAPPEARANCE,1974-10-06 00:00:05.058,DISAPPEARANCE,Mars,6,9,4,"6,7,8,9",2.1821331735330194,8.560080356655691,4.538249424337576
1974-10-10 00:00:00.606|1974-10-10 00:00:02.531|DISAPPEARANCE,1974-10-10 00:00:02.531,DISAPPEARANCE,Mars,7,9,3,"7,8,9",0.7917423570918967,5.391720475998742,2.6838676215353883
1974-11-10 23:59:51.755|1974-11-10 23:59:53.680|DISAPPEARANCE,1974-11-10 23:59:53.680,DISAPPEARANCE,Mars,2,5,4,"2,3,4,5",0.5689035840154274,1.048482786392888,0.7669336923783607
1974-11-11 23:59:58.368|1974-11-12 00:00:00.293|REAPPEARANCE,1974-11-12 00:00:00.293,REAPPEARANCE,Mars,1,5,5,"1,2,3,4,5",0.5681805817419223,2.5354168314679777,1.335497877010497
1974-11-13 00:00:01.092|1974-11-13 00:00:03.017|DISAPPEARANCE,1974-11-13 00:00:03.017,DISAPPEARANCE,Mars,2,5,4,"2,3,4,5",0.9508218422396797,1.6619971649323515,1.3113949113049284
1974-11-16 00:00:01.204|1974-11-16 00:00:03.129|REAPPEARANCE,1974-11-16 00:00:03.129,REAPPEARANCE,Mars,1,5,5,"1,2,3,4,5",1.9667623912930963,2.5372769553018544,2.2765930538484698
1974-11-16 23:59:48.297|1974-11-16 23:59:50.222|DISAPPEARANCE,1974-11-16 23:59:50.222,DISAPPEARANCE,Mars,3,5,3,"3,4,5",0.6731388545364375,1.9549359456409015,1.4809998144082515
1974-11-18 00:00:09.999|1974-11-18 00:00:11.924|REAPPEARANCE,1974-11-18 00:00:11.924,REAPPEARANCE,Mars,3,5,3,"3,4,5",1.2955377862111255,2.2678587313606573,1.8002000325330034
1974-11-22 00:00:29.940|1974-11-22 00:00:33.750|DISAPPEARANCE,1974-11-22 00:00:33.750,DISAPPEARANCE,Mars,1,3,3,"1,2,3",0.507890826353256,1.0284725690291732,0.8462020317554245
1974-11-22 00:00:35.675|1974-11-22 00:00:37.600|DISAPPEARANCE,1974-11-22 00:00:37.600,DISAPPEARANCE,Mars,1,3,3,"1,2,3",0.507890826353256,1.540218162852332,1.0255271860782535
1974-11-22 00:02:35.074|1974-11-22 00:02:36.627|DISAPPEARANCE,1974-11-22 00:02:36.627,DISAPPEARANCE,Mars,2,4,3,"2,3,4",0.8495176942944775,1.165265268027493,1.0163808141088124
1974-11-22 00:06:59.996|1974-11-22 00:07:01.590|DISAPPEARANCE,1974-11-22 00:07:01.590,DISAPPEARANCE,Mars,3,5,3,"3,4,5",0.8113274763311813,1.3059180802218575,1.0020553468792592
1974-11-22 00:09:18.233|1974-11-22 00:09:19.827|DISAPPEARANCE,1974-11-22 00:09:19.827,DISAPPEARANCE,Mars,3,5,3,"3,4,5",1.0069571831963096,1.2960055275239755,1.1789185191722975
1974-11-22 00:11:36.469|1974-11-22 00:11:38.064|DISAPPEARANCE,1974-11-22 00:11:38.064,DISAPPEARANCE,Mars,3,5,3,"3,4,5",1.0790817369884884,1.5601631072678388,1.334235627162802
1974-11-22 00:13:54.375|1974-11-22 00:13:54.706|DISAPPEARANCE,1974-11-22 00:13:54.706,DISAPPEARANCE,Mars,3,5,3,"3,4,5",0.9531883289888022,1.9582687631539035,1.429879804691809
1974-11-22 00:16:12.612|1974-11-22 00:16:12.942|DISAPPEARANCE,1974-11-22 00:16:12.942,DISAPPEARANCE,Mars,1,5,5,"1,2,3,4,5",0.5490160010484487,1.617985274844957,1.0157651088482764
1974-11-22 00:16:24.492|1974-11-22 00:16:26.046|DISAPPEARANCE,1974-11-22 00:16:26.046,DISAPPEARANCE,Mars,1,4,4,"1,2,3,4",0.5490160010484487,1.617985274844957,1.1174382208189528
1974-11-22 00:16:27.971|1974-11-22 00:16:28.302|DISAPPEARANCE,1974-11-22 00:16:28.302,DISAPPEARANCE,Mars,1,4,4,"1,2,3,4",0.5490160010484487,1.617985274844957,1.166906999108552
1974-11-22 00:16:39.852|1974-11-22 00:16:41.406|DISAPPEARANCE,1974-11-22 00:16:41.406,DISAPPEARANCE,Mars,1,3,3,"1,2,3",0.5490160010484487,1.4922488595057564,1.1218651096861352
1974-12-18 10:12:23.118|1974-12-18 10:12:26.927|DISAPPEARANCE,1974-12-18 10:12:26.927,DISAPPEARANCE,Mars,1,3,3,"1,2,3",0.7378748533430861,6.1921169825234585,2.722197153520808
1974-12-23 23:42:32.679|1974-12-23 23:42:34.604|REAPPEARANCE,1974-12-23 23:42:34.604,REAPPEARANCE,Mars,2,4,3,"2,3,4",1.079635296431872,11.992099816020389,4.797581500184113
1974-12-24 07:06:37.698|1974-12-24 07:06:39.623|REAPPEARANCE,1974-12-24 07:06:39.623,REAPPEARANCE,Mars,1,3,3,"1,2,3",1.192837643771523,13.36242740117134,6.955734717944765
1975-01-11 11:03:29.929|1975-01-11 11:03:33.739|DISAPPEARANCE,1975-01-11 11:03:33.739,DISAPPEARANCE,Mars,3,5,3,"3,4,5",1.2257846283249365,2.7086376482717522,2.00986934401327
1975-01-11 22:09:17.674|1975-01-11 22:09:19.599|DISAPPEARANCE,1975-01-11 22:09:19.599,DISAPPEARANCE,Mars,2,4,3,"2,3,4",0.7263102318985961,2.186676124029827,1.2389793053932916
1975-01-12 05:33:10.457|1975-01-12 05:33:12.382|DISAPPEARANCE,1975-01-12 05:33:12.382,DISAPPEARANCE,Mars,2,5,4,"2,3,4,5",0.530272931888893,1.5666662628134223,0.935687991473745
1975-01-16 23:59:56.675|1975-01-16 23:59:58.600|REAPPEARANCE,1975-01-16 23:59:58.600,REAPPEARANCE,Mars,2,4,3,"2,3,4",2.1389185554433814,6.858945116786157,4.445210046244809
