event_key,event_time,event_type,planet,channel_id,frequency_mhz,delta_db,sign_bit
1974-09-09 23:59:57.272|1974-09-09 23:59:59.197|DISAPPEARANCE,1974-09-09 23:59:59.197,DISAPPEARANCE,Mars,1,0.45,-5.813466964817335,-1
1974-09-09 23:59:57.272|1974-09-09 23:59:59.197|DISAPPEARANCE,1974-09-09 23:59:59.197,DISAPPEARANCE,Mars,2,0.7,-1.4640833353217282,-1
1974-09-09 23:59:57.272|1974-09-09 23:59:59.197|DISAPPEARANCE,1974-09-09 23:59:59.197,DISAPPEARANCE,Mars,4,1.31,1.8087473025617973,1
1974-09-09 23:59:57.272|1974-09-09 23:59:59.197|DISAPPEARANCE,1974-09-09 23:59:59.197,DISAPPEARANCE,Mars,5,2.2,3.0687088316350035,1
1974-09-09 23:59:57.272|1974-09-09 23:59:59.197|DISAPPEARANCE,1974-09-09 23:59:59.197,DISAPPEARANCE,Mars,6,3.93,1.0542710544936449,1
1974-09-09 23:59:57.272|1974-09-09 23:59:59.197|DISAPPEARANCE,1974-09-09 23:59:59.197,DISAPPEARANCE,Mars,7,4.7,3.8878974807990363,1
1974-09-09 23:59:57.272|1974-09-09 23:59:59.197|DISAPPEARANCE,1974-09-09 23:59:59.197,DISAPPEARANCE,Mars,8,6.55,-0.6496423093952068,-1
1974-09-09 23:59:57.272|1974-09-09 23:59:59.197|DISAPPEARANCE,1974-09-09 23:59:59.197,DISAPPEARANCE,Mars,9,9.18,-2.48634815670858,-1
1974-09-13 23:59:50.602|1974-09-13 23:59:52.527|DISAPPEARANCE,1974-09-13 23:59:52.527,DISAPPEARANCE,Mars,1,0.45,-5.942172712904363,-1
1974-09-13 23:59:50.602|1974-09-13 23:59:52.527|DISAPPEARANCE,1974-09-13 23:59:52.527,DISAPPEARANCE,Mars,2,0.7,-3.57304157687581,-1
1974-09-13 23:59:50.602|1974-09-13 23:59:52.527|DISAPPEARANCE,1974-09-13 23:59:52.527,DISAPPEARANCE,Mars,3,0.9,-1.7964989597736822,-1
1974-09-13 23:59:50.602|1974-09-13 23:59:52.527|DISAPPEARANCE,1974-09-13 23:59:52.527,DISAPPEARANCE,Mars,4,1.31,2.8640487896188245,1
1974-09-13 23:59:50.602|1974-09-13 23:59:52.527|DISAPPEARANCE,1974-09-13 23:59:52.527,DISAPPEARANCE,Mars,5,2.2,-0.16997684743845148,-1
1974-09-13 23:59:50.602|1974-09-13 23:59:52.527|DISAPPEARANCE,1974-09-13 23:59:52.527,DISAPPEARANCE,Mars,6,3.93,-2.68680641934121,-1
1974-09-13 23:59:50.602|1974-09-13 23:59:52.527|DISAPPEARANCE,1974-09-13 23:59:52.527,DISAPPEARANCE,Mars,7,4.7,-0.07685841466226655,-1
1974-09-13 23:59:50.602|1974-09-13 23:59:52.527|DISAPPEARANCE,1974-09-13 23:59:52.527,DISAPPEARANCE,Mars,8,6.55,-2.758545310262343,-1
1974-09-13 23:59:50.602|1974-09-13 23:59:52.527|DISAPPEARANCE,1974-09-13 23:59:52.527,DISAPPEARANCE,Mars,9,9.18,-3.69252961394611,-1
1974-09-18 00:00:05.960|1974-09-18 00:00:07.885|REAPPEARANCE,1974-09-18 00:00:07.885,REAPPEARANCE,Mars,1,0.45,-6.085341341392473,-1
1974-09-18 00:00:05.960|1974-09-18 00:00:07.885|REAPPEARANCE,1974-09-18 00:00:07.885,REAPPEARANCE,Mars,2,0.7,-2.3070073620719227,-1
1974-09-18 00:00:05.960|1974-09-18 00:00:07.885|REAPPEARANCE,1974-09-18 00:00:07.885,REAPPEARANCE,Mars,3,0.9,-1.9838901941551375,-1
1974-09-18 00:00:05.960|1974-09-18 00:00:07.885|REAPPEARANCE,1974-09-18 00:00:07.885,REAPPEARANCE,Mars,4,1.31,-2.351785430168634,-1
1974-09-18 00:00:05.960|1974-09-18 00:00:07.885|REAPPEARANCE,1974-09-18 00:00:07.885,REAPPEARANCE,Mars,5,2.2,-1.9734594613584264,-1
1974-09-18 00:00:05.960|1974-09-18 00:00:07.885|REAPPEARANCE,1974-09-18 00:00:07.885,REAPPEARANCE,Mars,6,3.93,-0.12321736494998349,-1
1974-09-18 00:00:05.960|1974-09-18 00:00:07.885|REAPPEARANCE,1974-09-18 00:00:07.885,REAPPEARANCE,Mars,7,4.7,-0.373970757473157,-1
1974-09-18 00:00:05.960|1974-09-18 00:00:07.885|REAPPEARANCE,1974-09-18 00:00:07.885,REAPPEARANCE,Mars,8,6.55,2.4480132004017254,1
