event_type,pre_event_time,post_event_time,event_time,event_key,planet,sun_sep_deg,mercury_sep_deg,venus_sep_deg,earth_sep_deg,mars_sep_deg,jupiter_sep_deg,saturn_sep_deg,uranus_sep_deg,neptune_sep_deg
DISAPPEARANCE,1974-09-09 23:59:57.272,1974-09-09 23:59:59.197,1974-09-09 23:59:59.197,1974-09-09 23:59:57.272|1974-09-09 23:59:59.197|DISAPPEARANCE,mars,27.722349934258506,46.5910204554937,54.17608756658524,81.82822706989111,0.0,158.082465998521,84.12413772952095,22.494785534508885,63.68500958619051
DISAPPEARANCE,1974-09-13 23:59:50.602,1974-09-13 23:59:52.527,1974-09-13 23:59:52.527,1974-09-13 23:59:50.602|1974-09-13 23:59:52.527|DISAPPEARANCE,mars,43.852199653949405,56.26198160294451,49.63872805623699,137.8484381242775,0.0,156.69958368553117,85.75315589209445,20.781569203217064,61.94891935387654
REAPPEARANCE,1974-09-18 00:00:05.960,1974-09-18 00:00:07.885,1974-09-18 00:00:07.885,1974-09-18 00:00:05.960|1974-09-18 00:00:07.885|REAPPEARANCE,mars,81.5075570562437,65.52344279037918,45.03672366280965,158.59615838659363,0.0,155.38309465479566,87.3156650700013,19.116140047850518,60.26376773014985
DISAPPEARANCE,1974-09-29 23:59:44.543,1974-09-29 23:59:50.278,1974-09-29 23:59:50.278,1974-09-29 23:59:44.543|1974-09-29 23:59:50.278|DISAPPEARANCE,mars,23.064372847062373,93.37886996067638,30.87845346086506,21.59957669353548,0.0,151.00760469695427,92.2705165078384,13.826589227717001,54.895606261745215
REAPPEARANCE,1974-09-29 23:59:57.978,1974-09-29 23:59:59.903,1974-09-29 23:59:59.903,1974-09-29 23:59:57.978|1974-09-29 23:59:59.903|REAPPEARANCE,mars,19.218969727252354,93.35118615662736,30.86269092085242,13.85424684546761,0.0,150.99116950387506,92.28229096416672,13.815241674455095,54.88348602084831
DISAPPEARANCE,1974-10-02 00:03:52.590,1974-10-02 00:03:53.800,1974-10-02 00:03:53.800,1974-10-02 00:03:52.590|1974-10-02 00:03:53.800|DISAPPEARANCE,mars,12.477308524457646,98.42953813106212,28.531188669726582,5.733810508621637,0.0,150.22821515028716,93.1437731057156,12.905796054765434,53.959966938715866
DISAPPEARANCE,1974-10-02 00:04:07.950,1974-10-02 00:04:09.160,1974-10-02 00:04:09.160,1974-10-02 00:04:07.950|1974-10-02 00:04:09.160|DISAPPEARANCE,mars,12.476058704512187,98.42999093455339,28.530979527797104,5.733185973019706,0.0,150.22814536792694,93.14385094852946,12.905713996306947,53.95988339363913
DISAPPEARANCE,1974-10-02 00:04:23.310,1974-10-02 00:04:24.520,1974-10-02 00:04:24.520,1974-10-02 00:04:23.310|1974-10-02 00:04:24.520|DISAPPEARANCE,mars,12.474790998155155,98.43044366967875,28.530770332541934,5.732582273042611,0.0,150.22807550670117,93.14392885549495,12.905631881031178,53.95979978865871
DISAPPEARANCE,1974-10-02 00:04:38.670,1974-10-02 00:04:39.879,1974-10-02 00:04:39.879,1974-10-02 00:04:38.670|1974-10-02 00:04:39.879|DISAPPEARANCE,mars,12.473521971172364,98.43089635535468,28.530561142752703,5.7319802251453265,0.0,150.2280056445942,93.14400676033902,12.90554976767591,53.95971618534392
DISAPPEARANCE,1974-10-02 00:04:53.314,1974-10-02 00:04:55.239,1974-10-02 00:04:55.239,1974-10-02 00:04:53.314|1974-10-02 00:04:55.239|DISAPPEARANCE,mars,12.472256655398054,98.43134908845212,28.530351951035925,5.7313756437567545,0.0,150.22793579432243,93.14408465711864,12.905467660709407,53.959632588984746
