event_key,event_time,event_type,planet,channel_start,channel_end,run_length,channels,min_delta_db,max_delta_db,mean_delta_db
1974-09-09 23:59:57.272|1974-09-09 23:59:59.197|DISAPPEARANCE,1974-09-09 23:59:59.197,DISAPPEARANCE,Mercury,4,7,4,"4,5,6,7",1.0542710544936449,3.8878974807990363,2.4549061673723704
1974-09-14 23:05:09.805|1974-09-14 23:05:11.730|DISAPPEARANCE,1974-09-14 23:05:11.730,DISAPPEARANCE,Mercury,2,4,3,"2,3,4",1.9726420558475755,4.257194116464536,3.350639751015955
1974-09-15 02:45:07.702|1974-09-15 02:45:11.511|DISAPPEARANCE,1974-09-15 02:45:11.511,DISAPPEARANCE,Mercury,1,4,4,"1,2,3,4",1.1157597677124933,4.09364468886685,2.6388697283743676
1974-09-15 02:53:03.853|1974-09-15 02:53:09.588|REAPPEARANCE,1974-09-15 02:53:09.588,REAPPEARANCE,Mercury,2,5,4,"2,3,4,5",1.8273130390178294,5.363937920529374,2.892025270298995
1974-09-15 14:02:39.234|1974-09-15 14:02:41.159|REAPPEARANCE,1974-09-15 14:02:41.159,REAPPEARANCE,Mercury,3,9,7,"3,4,5,6,7,8,9",1.298865201631891,10.353838330346699,5.640976460009795
1974-09-15 21:28:26.232|1974-09-15 21:28:30.042|REAPPEARANCE,1974-09-15 21:28:30.042,REAPPEARANCE,Mercury,3,9,7,"3,4,5,6,7,8,9",2.5559412782889046,21.482719387161218,10.587748081813462
1974-09-16 00:52:58.641|1974-09-16 00:53:02.451|DISAPPEARANCE,1974-09-16 00:53:02.451,DISAPPEARANCE,Mercury,4,8,5,"4,5,6,7,8",0.5034345260789785,4.10600335572462,1.6891111235540852
1974-09-16 08:16:06.382|1974-09-16 08:16:17.892|DISAPPEARANCE,1974-09-16 08:16:17.892,DISAPPEARANCE,Mercury,3,5,3,"3,4,5",2.5974438777312208,8.082425204078664,5.700724143291258
1974-09-16 08:36:35.164|1974-09-16 08:36:38.974|REAPPEARANCE,1974-09-16 08:36:38.974,REAPPEARANCE,Mercury,2,4,3,"2,3,4",0.8186075406953636,1.0219861802708134,0.8914155604281339
1974-09-16 16:01:53.564|1974-09-16 16:01:55.489|REAPPEARANCE,1974-09-16 16:01:55.489,REAPPEARANCE,Mercury,7,9,3,"7,8,9",0.5324058628287006,0.7519354103488476,0.6170247641612587
1974-09-16 19:44:26.832|1974-09-16 19:44:28.757|REAPPEARANCE,1974-09-16 19:44:28.757,REAPPEARANCE,Mercury,1,4,4,"1,2,3,4",1.6206150247369822,18.924573005192833,10.524002755234676
1974-09-16 23:02:58.231|1974-09-16 23:03:00.156|DISAPPEARANCE,1974-09-16 23:03:00.156,DISAPPEARANCE,Mercury,2,4,3,"2,3,4",2.3196032312200336,5.144788361729801,3.7352540660541975
1974-09-16 23:27:03.977|1974-09-16 23:27:05.902|REAPPEARANCE,1974-09-16 23:27:05.902,REAPPEARANCE,Mercury,6,8,3,"6,7,8",1.6597586177224808,2.240677197692193,2.0229091871090783
1974-09-17 06:26:29.044|1974-09-17 06:26:30.969|DISAPPEARANCE,1974-09-17 06:26:30.969,DISAPPEARANCE,Mercury,1,3,3,"1,2,3",2.4660506883197413,3.6312260444778817,3.1231303826219716
1974-09-17 06:52:06.945|1974-09-17 06:52:12.680|REAPPEARANCE,1974-09-17 06:52:12.680,REAPPEARANCE,Mercury,3,7,5,"3,4,5,6,7",0.5884853220133387,0.9267709610971037,0.762326412563899
1974-09-17 17:59:39.418|1974-09-17 17:59:41.343|REAPPEARANCE,1974-09-17 17:59:41.343,REAPPEARANCE,Mercury,1,4,4,"1,2,3,4",3.8536683835670598,11.451646692296942,8.358144411429405
1974-09-17 17:59:39.418|1974-09-17 17:59:41.343|REAPPEARANCE,1974-09-17 17:59:41.343,REAPPEARANCE,Mercury,6,8,3,"6,7,8",1.5115365152091367,4.024595320682816,2.485330407913677
1974-09-18 00:55:21.607|1974-09-18 00:55:23.532|DISAPPEARANCE,1974-09-18 00:55:23.532,DISAPPEARANCE,Mercury,4,7,4,"4,5,6,7",0.5045348985285959,1.5368537804021685,0.9781501136201373
