event_key,event_time,event_type,planet,channel_start,channel_end,run_length,channels,min_delta_db,max_delta_db,mean_delta_db
1974-09-09 23:59:57.272|1974-09-09 23:59:59.197|DISAPPEARANCE,1974-09-09 23:59:59.197,DISAPPEARANCE,Neptune,4,7,4,"4,5,6,7",1.0542710544936449,3.8878974807990363,2.4549061673723704
1974-09-12 08:00:39.315|1974-09-12 08:00:41.240|DISAPPEARANCE,1974-09-12 08:00:41.240,DISAPPEARANCE,Neptune,3,8,6,"3,4,5,6,7,8",1.0098840100119324,4.029968131741953,2.440034052997317
1974-09-12 15:24:29.281|1974-09-12 15:24:33.091|DISAPPEARANCE,1974-09-12 15:24:33.091,DISAPPEARANCE,Neptune,4,9,6,"4,5,6,7,8,9",4.823787261709845,14.222985235961037,8.519080543625092
1974-09-13 02:30:12.484|1974-09-13 02:30:14.409|DISAPPEARANCE,1974-09-13 02:30:14.409,DISAPPEARANCE,Neptune,2,5,4,"2,3,4,5",0.9270255907146575,3.163107853711245,1.7124087273038673
1974-09-14 19:35:26.337|1974-09-14 19:35:28.262|REAPPEARANCE,1974-09-14 19:35:28.262,REAPPEARANCE,Neptune,7,9,3,"7,8,9",0.8550283151775634,4.788362380271181,2.927110915727921
1974-09-15 06:17:41.973|1974-09-15 06:17:43.898|DISAPPEARANCE,1974-09-15 06:17:43.898,DISAPPEARANCE,Neptune,1,3,3,"1,2,3",1.0806998016100466,6.0253469617583,2.7372215273617893
1974-09-15 09:59:36.910|1974-09-15 09:59:38.835|DISAPPEARANCE,1974-09-15 09:59:38.835,DISAPPEARANCE,Neptune,2,7,6,"2,3,4,5,6,7",0.9013874134449856,5.7183073014279975,3.3103832122843073
1974-09-15 13:41:30.159|1974-09-15 13:41:33.969|DISAPPEARANCE,1974-09-15 13:41:33.969,DISAPPEARANCE,Neptune,3,6,4,"3,4,5,6",2.801084365881187,5.782952603781837,4.303002201966276
1974-09-15 21:05:23.855|1974-09-15 21:05:27.664|DISAPPEARANCE,1974-09-15 21:05:27.664,DISAPPEARANCE,Neptune,1,4,4,"1,2,3,4",1.1794008518504389,5.122323246335812,2.980068212722142
1974-09-15 21:29:56.466|1974-09-15 21:30:02.200|REAPPEARANCE,1974-09-15 21:30:02.200,REAPPEARANCE,Neptune,3,9,7,"3,4,5,6,7,8,9",2.0968356280445226,20.353591677839855,8.679194389799402
1974-09-16 00:47:18.801|1974-09-16 00:47:20.726|DISAPPEARANCE,1974-09-16 00:47:20.726,DISAPPEARANCE,Neptune,2,4,3,"2,3,4",0.6526753215261678,3.722803236516679,2.6342903940560833
1974-09-16 00:47:18.801|1974-09-16 00:47:20.726|DISAPPEARANCE,1974-09-16 00:47:20.726,DISAPPEARANCE,Neptune,7,9,3,"7,8,9",1.1613936258877957,1.7185593191524227,1.5226679904670535
1974-09-16 08:11:10.696|1974-09-16 08:11:12.621|DISAPPEARANCE,1974-09-16 08:11:12.621,DISAPPEARANCE,Neptune,2,5,4,"2,3,4,5",1.335525117922899,11.747089472204152,4.820245359937026
1974-09-16 08:35:54.820|1974-09-16 08:35:56.745|REAPPEARANCE,1974-09-16 08:35:56.745,REAPPEARANCE,Neptune,5,7,3,"5,6,7",0.5717121977026816,3.218061215892492,2.0833487870000598
