event_key,event_time,event_type,planet,channel_id,frequency_mhz,delta_db,sign_bit
1974-09-07 20:45:08.398|1974-09-07 20:45:12.208|DISAPPEARANCE,1974-09-07 20:45:12.208,DISAPPEARANCE,Neptune,1,0.45,-0.2179639507312731,-1
1974-09-07 20:45:08.398|1974-09-07 20:45:12.208|DISAPPEARANCE,1974-09-07 20:45:12.208,DISAPPEARANCE,Neptune,4,1.31,0.0,-1
1974-09-07 20:45:08.398|1974-09-07 20:45:12.208|DISAPPEARANCE,1974-09-07 20:45:12.208,DISAPPEARANCE,Neptune,5,2.2,0.0,-1
1974-09-07 20:45:08.398|1974-09-07 20:45:12.208|DISAPPEARANCE,1974-09-07 20:45:12.208,DISAPPEARANCE,Neptune,6,3.93,-0.33052440877640277,-1
1974-09-07 20:45:08.398|1974-09-07 20:45:12.208|DISAPPEARANCE,1974-09-07 20:45:12.208,DISAPPEARANCE,Neptune,7,4.7,-0.21547578797515954,-1
1974-09-07 20:45:08.398|1974-09-07 20:45:12.208|DISAPPEARANCE,1974-09-07 20:45:12.208,DISAPPEARANCE,Neptune,8,6.55,-0.5122067636640619,-1
1974-09-07 20:45:08.398|1974-09-07 20:45:12.208|DISAPPEARANCE,1974-09-07 20:45:12.208,DISAPPEARANCE,Neptune,9,9.18,0.7409698843718142,1
1974-09-07 21:07:28.505|1974-09-07 21:07:30.430|REAPPEARANCE,1974-09-07 21:07:30.430,REAPPEARANCE,Neptune,1,0.45,15.607892944986752,1
1974-09-07 21:07:28.505|1974-09-07 21:07:30.430|REAPPEARANCE,1974-09-07 21:07:30.430,REAPPEARANCE,Neptune,2,0.7,-0.33710276576276627,-1
1974-09-07 21:07:28.505|1974-09-07 21:07:30.430|REAPPEARANCE,1974-09-07 21:07:30.430,REAPPEARANCE,Neptune,3,0.9,-0.28757068461570323,-1
1974-09-07 21:07:28.505|1974-09-07 21:07:30.430|REAPPEARANCE,1974-09-07 21:07:30.430,REAPPEARANCE,Neptune,4,1.31,-0.4812499871184518,-1
1974-09-07 21:07:28.505|1974-09-07 21:07:30.430|REAPPEARANCE,1974-09-07 21:07:30.430,REAPPEARANCE,Neptune,5,2.2,0.31476129328068825,1
1974-09-07 21:07:28.505|1974-09-07 21:07:30.430|REAPPEARANCE,1974-09-07 21:07:30.430,REAPPEARANCE,Neptune,6,3.93,0.954151563719159,1
1974-09-07 21:07:28.505|1974-09-07 21:07:30.430|REAPPEARANCE,1974-09-07 21:07:30.430,REAPPEARANCE,Neptune,7,4.7,-0.07566054156034961,-1
1974-09-07 21:07:28.505|1974-09-07 21:07:30.430|REAPPEARANCE,1974-09-07 21:07:30.430,REAPPEARANCE,Neptune,8,6.55,-2.1691891743497456,-1
1974-09-07 21:07:28.505|1974-09-07 21:07:30.430|REAPPEARANCE,1974-09-07 21:07:30.430,REAPPEARANCE,Neptune,9,9.18,-1.2960483929078395,-1
1974-09-08 00:27:05.267|1974-09-08 00:27:09.077|DISAPPEARANCE,1974-09-08 00:27:09.077,DISAPPEARANCE,Neptune,1,0.45,2.5049441936089156,1
1974-09-08 00:27:05.267|1974-09-08 00:27:09.077|DISAPPEARANCE,1974-09-08 00:27:09.077,DISAPPEARANCE,Neptune,2,0.7,0.23277488522511883,1
1974-09-08 00:27:05.267|1974-09-08 00:27:09.077|DISAPPEARANCE,1974-09-08 00:27:09.077,DISAPPEARANCE,Neptune,3,0.9,-0.7946957832370016,-1
1974-09-08 00:27:05.267|1974-09-08 00:27:09.077|DISAPPEARANCE,1974-09-08 00:27:09.077,DISAPPEARANCE,Neptune,4,1.31,-0.42172562991589047,-1
1974-09-08 00:27:05.267|1974-09-08 00:27:09.077|DISAPPEARANCE,1974-09-08 00:27:09.077,DISAPPEARANCE,Neptune,5,2.2,-0.3370188871488168,-1
1974-09-08 00:27:05.267|1974-09-08 00:27:09.077|DISAPPEARANCE,1974-09-08 00:27:09.077,DISAPPEARANCE,Neptune,6,3.93,0.26741652861170606,1
1974-09-08 00:27:05.267|1974-09-08 00:27:09.077|DISAPPEARANCE,1974-09-08 00:27:09.077,DISAPPEARANCE,Neptune,7,4.7,0.664271668685224,1
1974-09-08 00:27:05.267|1974-09-08 00:27:09.077|DISAPPEARANCE,1974-09-08 00:27:09.077,DISAPPEARANCE,Neptune,8,6.55,-1.064833929731549,-1
1974-09-08 00:27:05.267|1974-09-08 00:27:09.077|DISAPPEARANCE,1974-09-08 00:27:09.077,DISAPPEARANCE,Neptune,9,9.18,-0.30082182852908,-1
1974-09-08 00:49:29.215|1974-09-08 00:49:31.140|REAPPEARANCE,1974-09-08 00:49:31.140,REAPPEARANCE,Neptune,1,0.45,25.349881202824708,1
1974-09-08 00:49:29.215|1974-09-08 00:49:31.140|REAPPEARANCE,1974-09-08 00:49:31.140,REAPPEARANCE,Neptune,2,0.7,4.1177345160797305,1
1974-09-08 00:49:29.215|1974-09-08 00:49:31.140|REAPPEARANCE,1974-09-08 00:49:31.140,REAPPEARANCE,Neptune,3,0.9,-4.112927967621837,-1
1974-09-08 00:49:29.215|1974-09-08 00:49:31.140|REAPPEARANCE,1974-09-08 00:49:31.140,REAPPEARANCE,Neptune,4,1.31,-0.41206365551330293,-1
1974-09-08 00:49:29.215|1974-09-08 00:49:31.140|REAPPEARANCE,1974-09-08 00:49:31.140,REAPPEARANCE,Neptune,5,2.2,0.0,-1
1974-09-08 00:49:29.215|1974-09-08 00:49:31.140|REAPPEARANCE,1974-09-08 00:49:31.140,REAPPEARANCE,Neptune,6,3.93,0.9524509633423777,1
1974-09-08 00:49:29.215|1974-09-08 00:49:31.140|REAPPEARANCE,1974-09-08 00:49:31.140,REAPPEARANCE,Neptune,7,4.7,0.03330594569479488,1
1974-09-08 00:49:29.215|1974-09-08 00:49:31.140|REAPPEARANCE,1974-09-08 00:49:31.140,REAPPEARANCE,Neptune,8,6.55,-2.0748709172966597,-1
1974-09-08 00:49:29.215|1974-09-08 00:49:31.140|REAPPEARANCE,1974-09-08 00:49:31.140,REAPPEARANCE,Neptune,9,9.18,-2.366408119884033,-1
1974-09-08 04:31:27.933|1974-09-08 04:31:29.858|REAPPEARANCE,1974-09-08 04:31:29.858,REAPPEARANCE,Neptune,1,0.45,4.191646847249112,1
1974-09-08 04:31:27.933|1974-09-08 04:31:29.858|REAPPEARANCE,1974-09-08 04:31:29.858,REAPPEARANCE,Neptune,2,0.7,-0.2268187331542745,-1
1974-09-08 04:31:27.933|1974-09-08 04:31:29.858|REAPPEARANCE,1974-09-08 04:31:29.858,REAPPEARANCE,Neptune,3,0.9,0.0,-1
1974-09-08 04:31:27.933|1974-09-08 04:31:29.858|REAPPEARANCE,1974-09-08 04:31:29.858,REAPPEARANCE,Neptune,4,1.31,0.13632718244133946,1
1974-09-08 04:31:27.933|1974-09-08 04:31:29.858|REAPPEARANCE,1974-09-08 04:31:29.858,REAPPEARANCE,Neptune,5,2.2,-0.29240747251430266,-1
1974-09-08 04:31:27.933|1974-09-08 04:31:29.858|REAPPEARANCE,1974-09-08 04:31:29.858,REAPPEARANCE,Neptune,6,3.93,-2.4983702345387373,-1
1974-09-08 04:31:27.933|1974-09-08 04:31:29.858|REAPPEARANCE,1974-09-08 04:31:29.858,REAPPEARANCE,Neptune,7,4.7,0.0,-1
1974-09-08 04:31:27.933|1974-09-08 04:31:29.858|REAPPEARANCE,1974-09-08 04:31:29.858,REAPPEARANCE,Neptune,8,6.55,-6.124570876172274,-1
1974-09-08 04:31:27.933|1974-09-08 04:31:29.858|REAPPEARANCE,1974-09-08 04:31:29.858,REAPPEARANCE,Neptune,9,9.18,0.920931534303634,1
1974-09-08 07:50:58.904|1974-09-08 07:51:02.714|DISAPPEARANCE,1974-09-08 07:51:02.714,DISAPPEARANCE,Neptune,1,0.45,2.9737803046566507,1
1974-09-08 07:50:58.904|1974-09-08 07:51:02.714|DISAPPEARANCE,1974-09-08 07:51:02.714,DISAPPEARANCE,Neptune,2,0.7,-0.9341115673590159,-1
1974-09-08 07:50:58.904|1974-09-08 07:51:02.714|DISAPPEARANCE,1974-09-08 07:51:02.714,DISAPPEARANCE,Neptune,3,0.9,-0.5279536615493639,-1
1974-09-08 07:50:58.904|1974-09-08 07:51:02.714|DISAPPEARANCE,1974-09-08 07:51:02.714,DISAPPEARANCE,Neptune,4,1.31,-0.28892442580426414,-1
1974-09-08 07:50:58.904|1974-09-08 07:51:02.714|DISAPPEARANCE,1974-09-08 07:51:02.714,DISAPPEARANCE,Neptune,5,2.2,-0.3687773540989206,-1
1974-09-08 07:50:58.904|1974-09-08 07:51:02.714|DISAPPEARANCE,1974-09-08 07:51:02.714,DISAPPEARANCE,Neptune,6,3.93,0.0,-1
1974-09-08 07:50:58.904|1974-09-08 07:51:02.714|DISAPPEARANCE,1974-09-08 07:51:02.714,DISAPPEARANCE,Neptune,9,9.18,2.6285900672350486,1
1974-09-08 08:13:24.783|1974-09-08 08:13:26.708|REAPPEARANCE,1974-09-08 08:13:26.708,REAPPEARANCE,Neptune,2,0.7,1.4216820448795446,1
1974-09-08 08:13:24.783|1974-09-08 08:13:26.708|REAPPEARANCE,1974-09-08 08:13:26.708,REAPPEARANCE,Neptune,3,0.9,0.3535658590489618,1
1974-09-08 08:13:24.783|1974-09-08 08:13:26.708|REAPPEARANCE,1974-09-08 08:13:26.708,REAPPEARANCE,Neptune,4,1.31,-0.391160914458967,-1
1974-09-08 08:13:24.783|1974-09-08 08:13:26.708|REAPPEARANCE,1974-09-08 08:13:26.708,REAPPEARANCE,Neptune,5,2.2,-0.3230651850580397,-1
1974-09-08 08:13:24.783|1974-09-08 08:13:26.708|REAPPEARANCE,1974-09-08 08:13:26.708,REAPPEARANCE,Neptune,6,3.93,0.7276691565434912,1
1974-09-08 08:13:24.783|1974-09-08 08:13:26.708|REAPPEARANCE,1974-09-08 08:13:26.708,REAPPEARANCE,Neptune,7,4.7,-0.19814563486116094,-1
1974-09-08 08:13:24.783|1974-09-08 08:13:26.708|REAPPEARANCE,1974-09-08 08:13:26.708,REAPPEARANCE,Neptune,8,6.55,-0.14137450557481884,-1
1974-09-08 11:55:23.527|1974-09-08 11:55:25.452|REAPPEARANCE,1974-09-08 11:55:25.452,REAPPEARANCE,Neptune,1,0.45,-5.609238744671252,-1
1974-09-08 11:55:23.527|1974-09-08 11:55:25.452|REAPPEARANCE,1974-09-08 11:55:25.452,REAPPEARANCE,Neptune,2,0.7,0.0,-1
