event_type,pre_event_time,post_event_time,event_time,event_key,planet,sun_sep_deg,mercury_sep_deg,venus_sep_deg,earth_sep_deg,mars_sep_deg,jupiter_sep_deg,saturn_sep_deg,uranus_sep_deg,neptune_sep_deg
DISAPPEARANCE,1974-09-07 20:45:08.398,1974-09-07 20:45:12.208,1974-09-07 20:45:12.208,1974-09-07 20:45:08.398|1974-09-07 20:45:12.208|DISAPPEARANCE,neptune,50.20846217430001,23.486218929035132,121.15654498018081,14.031721393038321,64.64241174111471,94.22307867417541,147.86301046996692,41.24031299547073,0.0
REAPPEARANCE,1974-09-07 21:07:28.505,1974-09-07 21:07:30.430,1974-09-07 21:07:30.430,1974-09-07 21:07:28.505|1974-09-07 21:07:30.430|REAPPEARANCE,neptune,50.06098497048179,23.43960595103285,121.13208439719956,13.736643668630878,64.63532332318866,94.22431995866135,147.8626305577171,41.240196755881485,0.0
DISAPPEARANCE,1974-09-08 00:27:05.267,1974-09-08 00:27:09.077,1974-09-08 00:27:09.077,1974-09-08 00:27:05.267|1974-09-08 00:27:09.077|DISAPPEARANCE,neptune,49.26292934179424,23.02994544862021,120.90999717155914,12.03635545446413,64.57276275345362,94.23562342942934,147.858729626721,41.23918619303335,0.0
REAPPEARANCE,1974-09-08 00:49:29.215,1974-09-08 00:49:31.140,1974-09-08 00:49:31.140,1974-09-08 00:49:29.215|1974-09-08 00:49:31.140|REAPPEARANCE,neptune,49.11319982731587,22.983322791791927,120.88548402997463,11.745803351796923,64.56566093000231,94.23687157121003,147.85835034156915,41.23907021928767,0.0
REAPPEARANCE,1974-09-08 04:31:27.933,1974-09-08 04:31:29.858,1974-09-08 04:31:29.858,1974-09-08 04:31:27.933|1974-09-08 04:31:29.858|REAPPEARANCE,neptune,48.164316273653476,22.52830761742767,120.63911790426963,9.76015528349461,64.49607923767714,94.24945384867895,147.8540880469369,41.23794974705003,0.0
DISAPPEARANCE,1974-09-08 07:50:58.904,1974-09-08 07:51:02.714,1974-09-08 07:51:02.714,1974-09-08 07:50:58.904|1974-09-08 07:51:02.714|DISAPPEARANCE,neptune,47.368392957000815,22.121002433498486,120.41749737929335,8.056943182088787,64.43367809450503,94.26081113212564,147.85021962080708,41.23695040180116,0.0
REAPPEARANCE,1974-09-08 08:13:24.783,1974-09-08 08:13:26.708,1974-09-08 08:13:26.708,1974-09-08 08:13:24.783|1974-09-08 08:13:26.708|REAPPEARANCE,neptune,47.21443839269344,22.074562311617633,120.3929839644972,7.788400805934418,64.42658031318653,94.26206778107047,147.84984308816544,41.23683548138862,0.0
REAPPEARANCE,1974-09-08 11:55:23.527,1974-09-08 11:55:25.452,1974-09-08 11:55:25.452,1974-09-08 11:55:23.527|1974-09-08 11:55:25.452|REAPPEARANCE,neptune,46.26339240569757,21.621965968371207,120.14701401229541,5.850659456467534,64.35714732183692,94.2747178553744,147.84561382393346,41.235727270038986,0.0
DISAPPEARANCE,1974-09-09 23:59:57.272,1974-09-09 23:59:59.197,1974-09-09 23:59:59.197,1974-09-09 23:59:57.272|1974-09-09 23:59:59.197|DISAPPEARANCE,neptune,35.967365251856755,17.26237424985672,117.76867835272559,18.143257428794787,63.68500958619051,94.40046892192558,147.8062575168117,41.225358273107304,0.0
DISAPPEARANCE,1974-09-11 00:00:01.332,1974-09-11 00:00:03.257,1974-09-11 00:00:03.257,1974-09-11 00:00:01.332|1974-09-11 00:00:03.257|DISAPPEARANCE,neptune,28.104781946862023,14.429379592490525,116.20885754904751,37.61714735171298,63.24582947179438,94.48754420453763,147.78166375658904,41.21907635673269,0.0
