event_key,event_time,event_type,planet,channel_start,channel_end,run_length,channels,min_delta_db,max_delta_db,mean_delta_db
1974-09-09 23:59:57.272|1974-09-09 23:59:59.197|DISAPPEARANCE,1974-09-09 23:59:59.197,DISAPPEARANCE,Sag-A,4,7,4,"4,5,6,7",1.0542710544936449,3.8878974807990363,2.4549061673723704
1974-09-13 06:15:11.560|1974-09-13 06:15:13.485|DISAPPEARANCE,1974-09-13 06:15:13.485,DISAPPEARANCE,Sag-A,3,9,7,"3,4,5,6,7,8,9",0.894645834878764,9.562633109104663,4.588662406902704
1974-09-15 02:38:43.709|1974-09-15 02:38:47.518|DISAPPEARANCE,1974-09-15 02:38:47.518,DISAPPEARANCE,Sag-A,1,4,4,"1,2,3,4",0.9249691788000383,4.760455659813384,3.2939709296369104
1974-09-15 03:18:09.105|1974-09-15 03:18:12.915|REAPPEARANCE,1974-09-15 03:18:12.915,REAPPEARANCE,Sag-A,1,6,6,"1,2,3,4,5,6",0.75663227846511,3.414827045502238,1.9040860721943158
1974-09-15 06:20:38.631|1974-09-15 06:20:40.556|DISAPPEARANCE,1974-09-15 06:20:40.556,DISAPPEARANCE,Sag-A,6,9,4,"6,7,8,9",0.5398884727893893,3.183961687814026,1.555178061580812
1974-09-16 16:17:47.785|1974-09-16 16:17:49.710|REAPPEARANCE,1974-09-16 16:17:49.710,REAPPEARANCE,Sag-A,6,8,3,"6,7,8",0.9150416792869922,3.1739004033611917,2.086666713685155
1974-09-16 23:02:02.566|1974-09-16 23:02:04.491|DISAPPEARANCE,1974-09-16 23:02:04.491,DISAPPEARANCE,Sag-A,2,4,3,"2,3,4",1.3101655110242993,4.746782140314716,3.2661060855172575
1974-09-17 06:25:56.400|1974-09-17 06:25:58.325|DISAPPEARANCE,1974-09-17 06:25:58.325,DISAPPEARANCE,Sag-A,1,3,3,"1,2,3",2.673224864836204,3.6312260444778817,3.1921884414607926
1974-09-17 10:47:37.919|1974-09-17 10:47:41.729|REAPPEARANCE,1974-09-17 10:47:41.729,REAPPEARANCE,Sag-A,2,5,4,"2,3,4,5",0.7267482577191459,1.4286469946965172,1.032087862717198
1974-09-18 00:55:29.307|1974-09-18 00:55:33.117|DISAPPEARANCE,1974-09-18 00:55:33.117,DISAPPEARANCE,Sag-A,4,7,4,"4,5,6,7",0.5045348985285959,2.227596931985198,1.1508359015158947
1974-09-18 01:35:23.518|1974-09-18 01:35:25.443|REAPPEARANCE,1974-09-18 01:35:25.443,REAPPEARANCE,Sag-A,5,8,4,"5,6,7,8",0.8767682476614376,4.906004248381205,2.226109364715424
1974-09-18 08:19:23.260|1974-09-18 08:19:27.070|DISAPPEARANCE,1974-09-18 08:19:27.070,DISAPPEARANCE,Sag-A,2,4,3,"2,3,4",1.0149412017897057,2.749831089084578,1.7315904991354116
1974-09-18 23:47:07.108|1974-09-18 23:47:10.917|REAPPEARANCE,1974-09-18 23:47:10.917,REAPPEARANCE,Sag-A,1,3,3,"1,2,3",1.8655293374897362,6.528785417990867,3.9771963263281442
1974-09-19 06:31:04.802|1974-09-19 06:31:08.612|DISAPPEARANCE,1974-09-19 06:31:08.612,DISAPPEARANCE,Sag-A,5,8,4,"5,6,7,8",0.5100514146182973,4.7614240958853715,2.779577176639614
1974-09-29 14:20:44.318|1974-09-29 14:20:46.243|DISAPPEARANCE,1974-09-29 14:20:46.243,DISAPPEARANCE,Sag-A,2,4,3,"2,3,4",1.0366525379954363,6.778049309310656,4.0263408928104205
1974-10-01 03:19:55.201|1974-10-01 03:19:59.010|DISAPPEARANCE,1974-10-01 03:19:59.010,DISAPPEARANCE,Sag-A,5,7,3,"5,6,7",0.5658135150775876,1.4643091414734881,0.9640845720145482
1974-10-01 18:48:48.493|1974-10-01 18:48:50.418|REAPPEARANCE,1974-10-01 18:48:50.418,REAPPEARANCE,Sag-A,6,8,3,"6,7,8",0.8569500934879903,2.0456862658660375,1.454684586479716
1974-10-02 00:10:12.780|1974-10-02 00:10:15.872|REAPPEARANCE,1974-10-02 00:10:15.872,REAPPEARANCE,Sag-A,6,8,3,"6,7,8",0.6336879465247635,0.8317352774793928,0.7319085463158003
1974-10-02 00:10:28.140|1974-10-02 00:10:31.950|REAPPEARANCE,1974-10-02 00:10:31.950,REAPPEARANCE,Sag-A,6,8,3,"6,7,8",0.6336879465247635,1.3804762755477853,0.9148222123385977
1974-10-05 22:41:31.463|1974-10-05 22:41:33.388|REAPPEARANCE,1974-10-05 22:41:33.388,REAPPEARANCE,Sag-A,7,9,3,"7,8,9",0.5359172098715105,1.3333568670543157,1.0499284182538224
1974-10-09 00:02:11.821|1974-10-09 00:02:14.995|DISAPPEARANCE,1974-10-09 00:02:14.995,DISAPPEARANCE,Sag-A,1,4,4,"1,2,3,4",0.5544457317184016,4.267336459386977,1.9443435375994633
1974-10-09 00:02:27.181|1974-10-09 00:02:30.354|DISAPPEARANCE,1974-10-09 00:02:30.354,DISAPPEARANCE,Sag-A,1,3,3,"1,2,3",0.5544457317184016,1.9664167946513598,1.2485514041969978
1974-10-09 00:03:43.981|1974-10-09 00:03:47.154|DISAPPEARANCE,1974-10-09 00:03:47.154,DISAPPEARANCE,Sag-A,3,5,3,"3,4,5",0.769394263692753,1.710236259272545,1.1368109086136677
1974-10-09 00:03:43.981|1974-10-09 00:03:47.154|DISAPPEARANCE,1974-10-09 00:03:47.154,DISAPPEARANCE,Sag-A,7,9,3,"7,8,9",0.6023507261175489,3.811381362495129,1.8066419182440938
1974-10-09 00:03:59.341|1974-10-09 00:04:02.513|DISAPPEARANCE,1974-10-09 00:04:02.513,DISAPPEARANCE,Sag-A,1,5,5,"1,2,3,4,5",0.5914658488687226,5.619715432768513,1.924322801495648
