event_key,event_time,event_type,planet,channel_id,frequency_mhz,delta_db,sign_bit
1974-09-07 14:02:27.716|1974-09-07 14:02:31.525|REAPPEARANCE,1974-09-07 14:02:31.525,REAPPEARANCE,Sag-A,1,0.45,0.5785576073160772,1
1974-09-07 14:02:27.716|1974-09-07 14:02:31.525|REAPPEARANCE,1974-09-07 14:02:31.525,REAPPEARANCE,Sag-A,2,0.7,0.3550434892717396,1
1974-09-07 14:02:27.716|1974-09-07 14:02:31.525|REAPPEARANCE,1974-09-07 14:02:31.525,REAPPEARANCE,Sag-A,3,0.9,-0.4082776217407803,-1
1974-09-07 14:02:27.716|1974-09-07 14:02:31.525|REAPPEARANCE,1974-09-07 14:02:31.525,REAPPEARANCE,Sag-A,4,1.31,-0.3424666543522595,-1
1974-09-07 14:02:27.716|1974-09-07 14:02:31.525|REAPPEARANCE,1974-09-07 14:02:31.525,REAPPEARANCE,Sag-A,5,2.2,0.0,-1
1974-09-07 14:02:27.716|1974-09-07 14:02:31.525|REAPPEARANCE,1974-09-07 14:02:31.525,REAPPEARANCE,Sag-A,6,3.93,-0.5000138099053854,-1
1974-09-07 14:02:27.716|1974-09-07 14:02:31.525|REAPPEARANCE,1974-09-07 14:02:31.525,REAPPEARANCE,Sag-A,7,4.7,0.0,-1
1974-09-07 14:02:27.716|1974-09-07 14:02:31.525|REAPPEARANCE,1974-09-07 14:02:31.525,REAPPEARANCE,Sag-A,8,6.55,-0.3972358416265507,-1
1974-09-07 14:02:27.716|1974-09-07 14:02:31.525|REAPPEARANCE,1974-09-07 14:02:31.525,REAPPEARANCE,Sag-A,9,9.18,-0.021871203429883454,-1
1974-09-07 20:47:34.295|1974-09-07 20:47:36.220|DISAPPEARANCE,1974-09-07 20:47:36.220,DISAPPEARANCE,Sag-A,1,0.45,0.655718295688225,1
1974-09-07 20:47:34.295|1974-09-07 20:47:36.220|DISAPPEARANCE,1974-09-07 20:47:36.220,DISAPPEARANCE,Sag-A,2,0.7,0.6979098582274954,1
1974-09-07 20:47:34.295|1974-09-07 20:47:36.220|DISAPPEARANCE,1974-09-07 20:47:36.220,DISAPPEARANCE,Sag-A,3,0.9,-0.1499647691670768,-1
1974-09-07 20:47:34.295|1974-09-07 20:47:36.220|DISAPPEARANCE,1974-09-07 20:47:36.220,DISAPPEARANCE,Sag-A,4,1.31,0.140583602824822,1
1974-09-07 20:47:34.295|1974-09-07 20:47:36.220|DISAPPEARANCE,1974-09-07 20:47:36.220,DISAPPEARANCE,Sag-A,5,2.2,0.0,-1
1974-09-07 20:47:34.295|1974-09-07 20:47:36.220|DISAPPEARANCE,1974-09-07 20:47:36.220,DISAPPEARANCE,Sag-A,6,3.93,0.26351907709769207,1
1974-09-07 20:47:34.295|1974-09-07 20:47:36.220|DISAPPEARANCE,1974-09-07 20:47:36.220,DISAPPEARANCE,Sag-A,7,4.7,-2.2292627140790917,-1
1974-09-07 20:47:34.295|1974-09-07 20:47:36.220|DISAPPEARANCE,1974-09-07 20:47:36.220,DISAPPEARANCE,Sag-A,8,6.55,1.9024819393091286,1
1974-09-07 20:47:34.295|1974-09-07 20:47:36.220|DISAPPEARANCE,1974-09-07 20:47:36.220,DISAPPEARANCE,Sag-A,9,9.18,-2.2713690552796146,-1
1974-09-07 21:26:21.316|1974-09-07 21:26:25.126|REAPPEARANCE,1974-09-07 21:26:25.126,REAPPEARANCE,Sag-A,1,0.45,2.2465707506346364,1
1974-09-07 21:26:21.316|1974-09-07 21:26:25.126|REAPPEARANCE,1974-09-07 21:26:25.126,REAPPEARANCE,Sag-A,2,0.7,0.2219771376587121,1
1974-09-07 21:26:21.316|1974-09-07 21:26:25.126|REAPPEARANCE,1974-09-07 21:26:25.126,REAPPEARANCE,Sag-A,3,0.9,-0.40788952361141634,-1
1974-09-07 21:26:21.316|1974-09-07 21:26:25.126|REAPPEARANCE,1974-09-07 21:26:25.126,REAPPEARANCE,Sag-A,4,1.31,-0.41307299016174137,-1
1974-09-07 21:26:21.316|1974-09-07 21:26:25.126|REAPPEARANCE,1974-09-07 21:26:25.126,REAPPEARANCE,Sag-A,5,2.2,0.3425603246523443,1
1974-09-07 21:26:21.316|1974-09-07 21:26:25.126|REAPPEARANCE,1974-09-07 21:26:25.126,REAPPEARANCE,Sag-A,6,3.93,1.139729733995123,1
1974-09-07 21:26:21.316|1974-09-07 21:26:25.126|REAPPEARANCE,1974-09-07 21:26:25.126,REAPPEARANCE,Sag-A,7,4.7,-0.860735329792443,-1
1974-09-07 21:26:21.316|1974-09-07 21:26:25.126|REAPPEARANCE,1974-09-07 21:26:25.126,REAPPEARANCE,Sag-A,8,6.55,1.3953983803299586,1
1974-09-07 21:26:21.316|1974-09-07 21:26:25.126|REAPPEARANCE,1974-09-07 21:26:25.126,REAPPEARANCE,Sag-A,9,9.18,-1.9174589763509147,-1
1974-09-08 00:29:31.163|1974-09-08 00:29:33.088|DISAPPEARANCE,1974-09-08 00:29:33.088,DISAPPEARANCE,Sag-A,1,0.45,-2.0716328158259083,-1
1974-09-08 00:29:31.163|1974-09-08 00:29:33.088|DISAPPEARANCE,1974-09-08 00:29:33.088,DISAPPEARANCE,Sag-A,2,0.7,-0.23277488522511858,-1
1974-09-08 00:29:31.163|1974-09-08 00:29:33.088|DISAPPEARANCE,1974-09-08 00:29:33.088,DISAPPEARANCE,Sag-A,3,0.9,-0.4936647680436356,-1
1974-09-08 00:29:31.163|1974-09-08 00:29:33.088|DISAPPEARANCE,1974-09-08 00:29:33.088,DISAPPEARANCE,Sag-A,4,1.31,-0.41729797742370967,-1
1974-09-08 00:29:31.163|1974-09-08 00:29:33.088|DISAPPEARANCE,1974-09-08 00:29:33.088,DISAPPEARANCE,Sag-A,5,2.2,-0.30711110944845027,-1
1974-09-08 00:29:31.163|1974-09-08 00:29:33.088|DISAPPEARANCE,1974-09-08 00:29:33.088,DISAPPEARANCE,Sag-A,6,3.93,-0.8540423451383866,-1
1974-09-08 00:29:31.163|1974-09-08 00:29:33.088|DISAPPEARANCE,1974-09-08 00:29:33.088,DISAPPEARANCE,Sag-A,7,4.7,-3.158856251910743,-1
1974-09-08 00:29:31.163|1974-09-08 00:29:33.088|DISAPPEARANCE,1974-09-08 00:29:33.088,DISAPPEARANCE,Sag-A,8,6.55,5.49801753665794,1
1974-09-08 00:29:31.163|1974-09-08 00:29:33.088|DISAPPEARANCE,1974-09-08 00:29:33.088,DISAPPEARANCE,Sag-A,9,9.18,0.14905725351249363,1
1974-09-08 01:08:21.979|1974-09-08 01:08:23.904|REAPPEARANCE,1974-09-08 01:08:23.904,REAPPEARANCE,Sag-A,1,0.45,-0.5044089368766415,-1
1974-09-08 01:08:21.979|1974-09-08 01:08:23.904|REAPPEARANCE,1974-09-08 01:08:23.904,REAPPEARANCE,Sag-A,2,0.7,-0.4617136243867708,-1
1974-09-08 01:08:21.979|1974-09-08 01:08:23.904|REAPPEARANCE,1974-09-08 01:08:23.904,REAPPEARANCE,Sag-A,3,0.9,-0.1323496109305334,-1
1974-09-08 01:08:21.979|1974-09-08 01:08:23.904|REAPPEARANCE,1974-09-08 01:08:23.904,REAPPEARANCE,Sag-A,4,1.31,-0.4597457589395435,-1
1974-09-08 01:08:21.979|1974-09-08 01:08:23.904|REAPPEARANCE,1974-09-08 01:08:23.904,REAPPEARANCE,Sag-A,5,2.2,-0.1795174823113914,-1
1974-09-08 01:08:21.979|1974-09-08 01:08:23.904|REAPPEARANCE,1974-09-08 01:08:23.904,REAPPEARANCE,Sag-A,6,3.93,-0.7766909704126389,-1
1974-09-08 01:08:21.979|1974-09-08 01:08:23.904|REAPPEARANCE,1974-09-08 01:08:23.904,REAPPEARANCE,Sag-A,7,4.7,-2.2322069895143155,-1
1974-09-08 01:08:21.979|1974-09-08 01:08:23.904|REAPPEARANCE,1974-09-08 01:08:23.904,REAPPEARANCE,Sag-A,8,6.55,-1.0890743133097183,-1
1974-09-08 01:08:21.979|1974-09-08 01:08:23.904|REAPPEARANCE,1974-09-08 01:08:23.904,REAPPEARANCE,Sag-A,9,9.18,0.1381104637028757,1
1974-09-08 04:50:20.705|1974-09-08 04:50:22.630|REAPPEARANCE,1974-09-08 04:50:22.630,REAPPEARANCE,Sag-A,1,0.45,-0.13715465988852776,-1
1974-09-08 04:50:20.705|1974-09-08 04:50:22.630|REAPPEARANCE,1974-09-08 04:50:22.630,REAPPEARANCE,Sag-A,2,0.7,-0.22532324163500872,-1
1974-09-08 04:50:20.705|1974-09-08 04:50:22.630|REAPPEARANCE,1974-09-08 04:50:22.630,REAPPEARANCE,Sag-A,3,0.9,-0.43878549080224993,-1
1974-09-08 04:50:20.705|1974-09-08 04:50:22.630|REAPPEARANCE,1974-09-08 04:50:22.630,REAPPEARANCE,Sag-A,4,1.31,-0.34841532650733537,-1
1974-09-08 04:50:20.705|1974-09-08 04:50:22.630|REAPPEARANCE,1974-09-08 04:50:22.630,REAPPEARANCE,Sag-A,5,2.2,0.3481681841488067,1
1974-09-08 04:50:20.705|1974-09-08 04:50:22.630|REAPPEARANCE,1974-09-08 04:50:22.630,REAPPEARANCE,Sag-A,6,3.93,0.23250531636153843,1
1974-09-08 04:50:20.705|1974-09-08 04:50:22.630|REAPPEARANCE,1974-09-08 04:50:22.630,REAPPEARANCE,Sag-A,8,6.55,0.0,-1
1974-09-08 04:50:20.705|1974-09-08 04:50:22.630|REAPPEARANCE,1974-09-08 04:50:22.630,REAPPEARANCE,Sag-A,9,9.18,-0.7629168749361972,-1
1974-09-08 08:31:35.321|1974-09-08 08:31:37.246|REAPPEARANCE,1974-09-08 08:31:37.246,REAPPEARANCE,Sag-A,2,0.7,-0.33943161317575876,-1
1974-09-08 08:31:35.321|1974-09-08 08:31:37.246|REAPPEARANCE,1974-09-08 08:31:37.246,REAPPEARANCE,Sag-A,4,1.31,-0.20088515640811,-1
1974-09-08 08:31:35.321|1974-09-08 08:31:37.246|REAPPEARANCE,1974-09-08 08:31:37.246,REAPPEARANCE,Sag-A,5,2.2,-0.5021470179481614,-1
1974-09-08 08:31:35.321|1974-09-08 08:31:37.246|REAPPEARANCE,1974-09-08 08:31:37.246,REAPPEARANCE,Sag-A,6,3.93,0.006030433350039539,1
1974-09-08 08:31:35.321|1974-09-08 08:31:37.246|REAPPEARANCE,1974-09-08 08:31:37.246,REAPPEARANCE,Sag-A,7,4.7,-0.31077243775357877,-1
1974-09-08 08:31:35.321|1974-09-08 08:31:37.246|REAPPEARANCE,1974-09-08 08:31:37.246,REAPPEARANCE,Sag-A,8,6.55,-0.037926089755091666,-1
1974-09-08 08:31:35.321|1974-09-08 08:31:37.246|REAPPEARANCE,1974-09-08 08:31:37.246,REAPPEARANCE,Sag-A,9,9.18,1.4653587435220328,1
1974-09-08 12:14:16.298|1974-09-08 12:14:18.223|REAPPEARANCE,1974-09-08 12:14:18.223,REAPPEARANCE,Sag-A,1,0.45,-22.9057896899055,-1
1974-09-08 12:14:16.298|1974-09-08 12:14:18.223|REAPPEARANCE,1974-09-08 12:14:18.223,REAPPEARANCE,Sag-A,2,0.7,0.23796146910057742,1
1974-09-08 12:14:16.298|1974-09-08 12:14:18.223|REAPPEARANCE,1974-09-08 12:14:18.223,REAPPEARANCE,Sag-A,3,0.9,0.0,-1
1974-09-08 12:14:16.298|1974-09-08 12:14:18.223|REAPPEARANCE,1974-09-08 12:14:18.223,REAPPEARANCE,Sag-A,4,1.31,-0.49773375835766676,-1
1974-09-08 12:14:16.298|1974-09-08 12:14:18.223|REAPPEARANCE,1974-09-08 12:14:18.223,REAPPEARANCE,Sag-A,5,2.2,0.0,-1
1974-09-08 12:14:16.298|1974-09-08 12:14:18.223|REAPPEARANCE,1974-09-08 12:14:18.223,REAPPEARANCE,Sag-A,6,3.93,0.0,-1
1974-09-08 12:14:16.298|1974-09-08 12:14:18.223|REAPPEARANCE,1974-09-08 12:14:18.223,REAPPEARANCE,Sag-A,7,4.7,0.0,-1
1974-09-08 12:14:16.298|1974-09-08 12:14:18.223|REAPPEARANCE,1974-09-08 12:14:18.223,REAPPEARANCE,Sag-A,8,6.55,0.0,-1
1974-09-08 12:14:16.298|1974-09-08 12:14:18.223|REAPPEARANCE,1974-09-08 12:14:18.223,REAPPEARANCE,Sag-A,9,9.18,-3.7891820768132334,-1
1974-09-08 19:38:10.003|1974-09-08 19:38:11.928|REAPPEARANCE,1974-09-08 19:38:11.928,REAPPEARANCE,Sag-A,1,0.45,5.976912983426433,1
1974-09-08 19:38:10.003|1974-09-08 19:38:11.928|REAPPEARANCE,1974-09-08 19:38:11.928,REAPPEARANCE,Sag-A,2,0.7,0.46880879516800467,1
1974-09-08 19:38:10.003|1974-09-08 19:38:11.928|REAPPEARANCE,1974-09-08 19:38:11.928,REAPPEARANCE,Sag-A,3,0.9,0.15121441343457617,1
1974-09-08 19:38:10.003|1974-09-08 19:38:11.928|REAPPEARANCE,1974-09-08 19:38:11.928,REAPPEARANCE,Sag-A,4,1.31,-0.41133804132088364,-1
1974-09-08 19:38:10.003|1974-09-08 19:38:11.928|REAPPEARANCE,1974-09-08 19:38:11.928,REAPPEARANCE,Sag-A,5,2.2,-0.35565254558793774,-1
1974-09-08 19:38:10.003|1974-09-08 19:38:11.928|REAPPEARANCE,1974-09-08 19:38:11.928,REAPPEARANCE,Sag-A,6,3.93,0.32234777376168566,1
1974-09-08 19:38:10.003|1974-09-08 19:38:11.928|REAPPEARANCE,1974-09-08 19:38:11.928,REAPPEARANCE,Sag-A,7,4.7,0.6743980810199336,1
1974-09-08 19:38:10.003|1974-09-08 19:38:11.928|REAPPEARANCE,1974-09-08 19:38:11.928,REAPPEARANCE,Sag-A,8,6.55,-0.4745001897492176,-1
