event_type,pre_event_time,post_event_time,event_time,event_key,planet,sun_sep_deg,mercury_sep_deg,venus_sep_deg,earth_sep_deg,mars_sep_deg,jupiter_sep_deg,saturn_sep_deg,uranus_sep_deg,neptune_sep_deg
REAPPEARANCE,1974-09-07 14:02:27.716,1974-09-07 14:02:31.525,1974-09-07 14:02:31.525,1974-09-07 14:02:27.716|1974-09-07 14:02:31.525|REAPPEARANCE,Sag-A,69.61057473361355,42.32663469628251,139.41503402030526,34.92010729406027,82.6324948517582,76.44923444852664,164.32170176113988,59.141578861016384,19.0548874715381
DISAPPEARANCE,1974-09-07 20:47:34.295,1974-09-07 20:47:36.220,1974-09-07 20:47:36.220,1974-09-07 20:47:34.295|1974-09-07 20:47:36.220|DISAPPEARANCE,Sag-A,67.95826539736186,41.478013839474585,138.9663230241574,31.528599096838615,82.50365743325602,76.47386481270966,164.31289317883758,59.1375974449659,19.053104222061435
REAPPEARANCE,1974-09-07 21:26:21.316,1974-09-07 21:26:25.126,1974-09-07 21:26:25.126,1974-09-07 21:26:21.316|1974-09-07 21:26:25.126|REAPPEARANCE,Sag-A,67.75018264234463,41.39572606674875,138.92391355390788,30.979507148900236,82.49127975266607,76.47625896176936,164.31206344816357,59.13719896243297,19.052904009103678
DISAPPEARANCE,1974-09-08 00:29:31.163,1974-09-08 00:29:33.088,1974-09-08 00:29:33.088,1974-09-08 00:29:31.163|1974-09-08 00:29:33.088|DISAPPEARANCE,Sag-A,67.02999612315752,41.0138291657705,138.72099250669606,29.56596058351823,82.43313618859663,76.4874216079791,164.30809354437147,59.135412348447346,19.052110158548984
REAPPEARANCE,1974-09-08 01:08:21.979,1974-09-08 01:08:23.904,1974-09-08 01:08:23.904,1974-09-08 01:08:21.979|1974-09-08 01:08:23.904|REAPPEARANCE,Sag-A,66.81897137756407,40.93163359537366,138.67857735651282,29.00738790370422,82.42075988795312,76.48982366818686,164.30726561990775,59.13501425493214,19.051909517063418
REAPPEARANCE,1974-09-08 04:50:20.705,1974-09-08 04:50:22.630,1974-09-08 04:50:22.630,1974-09-08 04:50:20.705|1974-09-08 04:50:22.630|REAPPEARANCE,Sag-A,65.88728571897167,40.468484371483626,138.43341662023292,27.03567730093923,82.35030941038092,76.50342282047485,164.30248208949735,59.13283370354617,19.05091351258312
REAPPEARANCE,1974-09-08 08:31:35.321,1974-09-08 08:31:37.246,1974-09-08 08:31:37.246,1974-09-08 08:31:35.321|1974-09-08 08:31:37.246|REAPPEARANCE,Sag-A,64.95524591392518,40.00775847202599,138.18925399829703,25.065361487316324,82.28015843730095,76.51701143884708,164.29772981179963,59.13066404430421,19.049918900129335
REAPPEARANCE,1974-09-08 12:14:16.298,1974-09-08 12:14:18.223,1974-09-08 12:14:18.223,1974-09-08 12:14:16.298|1974-09-08 12:14:18.223|REAPPEARANCE,Sag-A,64.02317125108046,39.545038821903084,137.94365489207203,23.100695275114873,82.20963683290935,76.53072529511353,164.29295712302007,59.12848669055181,19.048917794245934
REAPPEARANCE,1974-09-08 19:38:10.003,1974-09-08 19:38:11.928,1974-09-08 19:38:11.928,1974-09-08 19:38:10.003|1974-09-08 19:38:11.928|REAPPEARANCE,Sag-A,62.15929757206334,38.625319097457925,137.45463113602125,19.19617073482441,82.0692844378187,76.55817143417053,164.28348548280673,59.12416063830909,19.04691828316593
REAPPEARANCE,1974-09-09 03:02:05.577,1974-09-09 03:02:07.502,1974-09-09 03:02:07.502,1974-09-09 03:02:05.577|1974-09-09 03:02:07.502|REAPPEARANCE,Sag-A,60.29742605023325,37.70913125695516,136.96627758661398,15.366126866972351,81.92925498697859,76.58576986461019,164.27406238177014,59.119857703583754,19.044916189540782
REAPPEARANCE,1974-09-09 17:49:49.032,1974-09-09 17:49:50.957,1974-09-09 17:49:50.957,1974-09-09 17:49:49.032|1974-09-09 17:49:50.957|REAPPEARANCE,Sag-A,56.59022478164118,35.88756600753532,135.99180537260108,8.520944123212782,81.65031745557035,76.641424680275,164.25535077287122,59.11133412327508,19.040911678130332
DISAPPEARANCE,1974-09-09 23:59:57.272,1974-09-09 23:59:59.197,1974-09-09 23:59:59.197,1974-09-09 23:59:57.272|1974-09-09 23:59:59.197|DISAPPEARANCE,Sag-A,54.11779725405747,35.12007272681507,135.5958875659761,6.871301844664034,81.53467078491151,76.6654920255822,164.24850039270788,59.10766555473804,19.039043370806205
DISAPPEARANCE,1974-09-13 02:33:14.873,1974-09-13 02:33:16.798,1974-09-13 02:33:16.798,1974-09-13 02:33:14.873|1974-09-13 02:33:16.798|DISAPPEARANCE,Sag-A,39.81107797402582,26.183395366903916,130.71604913453098,42.50363349612781,80.15874165664353,76.9561729200718,164.15449021108347,59.06754736767165,19.019670989468494
DISAPPEARANCE,1974-09-13 06:15:11.560,1974-09-13 06:15:13.485,1974-09-13 06:15:13.485,1974-09-13 06:15:11.560|1974-09-13 06:15:13.485|DISAPPEARANCE,Sag-A,39.47824201092469,25.74762435525668,130.47542187750008,44.743854824456214,80.0916808679224,76.97100104226499,164.1498286542068,59.065672211274936,19.018744275017497
DISAPPEARANCE,1974-09-13 09:57:06.366,1974-09-13 09:57:08.291,1974-09-13 09:57:08.291,1974-09-13 09:57:06.366|1974-09-13 09:57:08.291|DISAPPEARANCE,Sag-A,39.24897208804074,25.312664776736234,130.2348592381727,46.991389695249644,80.02473527298807,76.98585415784801,164.1451562540543,59.063809657314394,19.01782365816608
DISAPPEARANCE,1974-09-13 13:38:59.461,1974-09-13 13:39:03.271,1974-09-13 13:39:03.271,1974-09-13 13:38:59.461|1974-09-13 13:39:03.271|DISAPPEARANCE,Sag-A,39.14324750065772,24.87844160518995,129.99431366295087,49.24583532615535,79.95789143828624,77.00073287487804,164.14047129597077,59.06195930706584,19.01690913744477
REAPPEARANCE,1974-09-14 23:36:12.188,1974-09-14 23:36:15.998,1974-09-14 23:36:15.998,1974-09-14 23:36:12.188|1974-09-14 23:36:15.998|REAPPEARANCE,Sag-A,52.04319856885659,20.924269305049897,127.78557966421738,70.20152906423489,79.34836648801863,77.13821414969624,164.0967271721818,59.04549962542687,19.00879466240705
DISAPPEARANCE,1974-09-15 02:38:43.709,1974-09-15 02:38:47.518,1974-09-15 02:38:47.518,1974-09-15 02:38:43.709|1974-09-15 02:38:47.518|DISAPPEARANCE,Sag-A,57.45933738682471,20.574274040561324,127.58694247650942,72.02752808945093,79.29412073856598,77.15055067731305,164.09271671378093,59.04408667775759,19.00812529532539
REAPPEARANCE,1974-09-15 03:18:09.105,1974-09-15 03:18:12.915,1974-09-15 03:18:12.915,1974-09-15 03:18:09.105|1974-09-15 03:18:12.915|REAPPEARANCE,Sag-A,57.642003212876496,20.49708776570972,127.54457704415326,72.48342645677813,79.28233705527273,77.15324607255305,164.09186262328228,59.04376256700991,19.00794868152257
DISAPPEARANCE,1974-09-15 06:20:38.631,1974-09-15 06:20:40.556,1974-09-15 06:20:40.556,1974-09-15 06:20:38.631|1974-09-15 06:20:40.556|DISAPPEARANCE,Sag-A,64.57853206625099,20.14775646496907,127.34592801418377,74.3137610213034,79.22815624072587,77.16558113147188,164.08783563152937,59.04235797939729,19.0072853909777
REAPPEARANCE,1974-09-15 07:00:05.962,1974-09-15 07:00:09.772,1974-09-15 07:00:09.772,1974-09-15 07:00:05.962|1974-09-15 07:00:09.772|REAPPEARANCE,Sag-A,65.23033371157427,20.0705512002993,127.30347270814188,74.76467721036504,79.21636166480594,77.16828110733091,164.08697631111306,59.04203493167101,19.007109716109312
DISAPPEARANCE,1974-09-15 10:02:35.493,1974-09-15 10:02:37.418,1974-09-15 10:02:37.418,1974-09-15 10:02:35.493|1974-09-15 10:02:37.418|DISAPPEARANCE,Sag-A,73.9290796929588,19.72174602371629,127.10473297550428,76.59955994018507,79.16222121649159,77.18061716855117,164.08293094191964,59.04063777933143,19.006452178882057
REAPPEARANCE,1974-09-15 10:42:02.830,1974-09-15 10:42:06.640,1974-09-15 10:42:06.640,1974-09-15 10:42:02.830|1974-09-15 10:42:06.640|REAPPEARANCE,Sag-A,75.28904121902167,19.644644585314175,127.06226406327984,77.04735351741678,79.15043806733246,77.18331855734583,164.08206787800262,59.040316538555366,19.006277699299424
DISAPPEARANCE,1974-09-15 13:44:32.550,1974-09-15 13:44:34.475,1974-09-15 13:44:34.475,1974-09-15 13:44:32.550|1974-09-15 13:44:34.475|DISAPPEARANCE,Sag-A,85.6319987655948,19.29634966116219,126.8634129669814,78.8839076816139,79.09632854987915,77.1956526452344,164.07800343972133,59.03892618680337,19.005625904256718
REAPPEARANCE,1974-09-15 14:23:59.859,1974-09-15 14:24:03.669,1974-09-15 14:24:03.669,1974-09-15 14:23:59.859|1974-09-15 14:24:03.669|REAPPEARANCE,Sag-A,87.85041569302537,19.219351949162522,126.82091127610201,79.3229671043942,79.08454851340443,77.19835225194983,164.0771361276444,59.03860618831858,19.005452688269656
DISAPPEARANCE,1974-09-15 21:08:26.247,1974-09-15 21:08:28.172,1974-09-15 21:08:28.172,1974-09-15 21:08:26.247|1974-09-15 21:08:28.172|DISAPPEARANCE,Sag-A,112.62568378243543,18.447378896198575,126.38037743438494,83.44576117839833,78.96465186729577,77.22571221291291,164.06807866617828,59.035527123402304,19.003993994293747
REAPPEARANCE,1974-09-15 21:47:57.311,1974-09-15 21:47:59.236,1974-09-15 21:47:59.236,1974-09-15 21:47:57.311|1974-09-15 21:47:59.236|REAPPEARANCE,Sag-A,116.04093608581199,18.37051836644379,126.33778862570962,83.8721211582481,78.95287298373694,77.228412130986,164.06720236280617,59.035209609586374,19.00382306333452
DISAPPEARANCE,1974-09-16 00:49:46.623,1974-09-16 00:49:48.548,1974-09-16 00:49:48.548,1974-09-16 00:49:46.623|1974-09-16 00:49:48.548|DISAPPEARANCE,Sag-A,124.76394870337795,18.02493577346207,126.13932205950385,85.72234277940106,78.89904467040878,77.24069448407383,164.0630949274871,59.03384398077375,19.00319046648066
REAPPEARANCE,1974-09-16 01:29:13.954,1974-09-16 01:29:15.879,1974-09-16 01:29:15.879,1974-09-16 01:29:13.954|1974-09-16 01:29:15.879|REAPPEARANCE,Sag-A,128.13085782279546,17.948291079463495,126.0967795097458,86.14359623715141,78.8872916178083,77.24339000547072,164.06221592909452,59.03352845290022,19.003020964707833
REAPPEARANCE,1974-09-16 05:11:53.075,1974-09-16 05:11:55.000,1974-09-16 05:11:55.000,1974-09-16 05:11:53.075|1974-09-16 05:11:55.000|REAPPEARANCE,Sag-A,137.64432815344347,17.52398668781087,125.8540576078087,88.40715755203902,78.82129429344495,77.2584420776053,164.05717286189363,59.03184148346889,19.002220248787772
DISAPPEARANCE,1974-09-16 08:14:15.014,1974-09-16 08:14:16.939,1974-09-16 08:14:16.939,1974-09-16 08:14:15.014|1974-09-16 08:14:16.939|DISAPPEARANCE,Sag-A,142.2089138513293,17.17829129665606,125.6547134632462,90.26265960135203,78.76732229165671,77.27074074020686,164.05301261711892,59.030481572348634,19.001596402708522
REAPPEARANCE,1974-09-16 08:53:51.930,1974-09-16 08:53:53.855,1974-09-16 08:53:53.855,1974-09-16 08:53:51.930|1974-09-16 08:53:53.855|REAPPEARANCE,Sag-A,144.82088020707968,17.10151901250162,125.6119269350464,90.66823648092218,78.75552184610206,77.27344176299907,164.05212130217848,59.03016670738456,19.001428549555442
REAPPEARANCE,1974-09-16 12:35:48.857,1974-09-16 12:35:50.782,1974-09-16 12:35:50.782,1974-09-16 12:35:48.857|1974-09-16 12:35:50.782|REAPPEARANCE,Sag-A,150.12961565832632,16.679645686814048,125.36965514618929,92.92362222518403,78.68976499929045,77.28842558372637,164.04704600359582,59.0284977237591,19.000643304605752
DISAPPEARANCE,1974-09-16 15:36:56.024,1974-09-16 15:38:16.631,1974-09-16 15:38:16.631,1974-09-16 15:36:56.024|1974-09-16 15:38:16.631|DISAPPEARANCE,Sag-A,152.16977754950182,16.33470171850682,125.16994966107946,94.78405140991552,78.63577966228772,77.30070476301597,164.04284397440492,59.02714599270807,19.00002946224385
REAPPEARANCE,1974-09-16 16:17:47.785,1974-09-16 16:17:49.710,1974-09-16 16:17:49.710,1974-09-16 16:17:47.785|1974-09-16 16:17:49.710|REAPPEARANCE,Sag-A,154.0355454336154,16.25822625257538,125.12716518550052,95.17385119752014,78.62399891865265,77.30339627563343,164.04194541860733,59.02683353661441,18.999864106109047
REAPPEARANCE,1974-09-16 19:59:44.558,1974-09-16 19:59:46.483,1974-09-16 19:59:46.483,1974-09-16 19:59:44.558|1974-09-16 19:59:46.483|REAPPEARANCE,Sag-A,156.88988183984728,15.837377794522645,124.88452464736022,97.41732132364848,78.55823764512354,77.31834710741347,164.03682113999815,59.02517409180923,18.999091050447678
DISAPPEARANCE,1974-09-16 23:02:02.566,1974-09-16 23:02:04.491,1974-09-16 23:02:04.491,1974-09-16 23:02:02.566|1974-09-16 23:02:04.491|DISAPPEARANCE,Sag-A,157.62409050768167,15.493516928373207,124.6846511171964,99.28077938986098,78.50427975151162,77.33058799706609,164.0325817689182,59.02383047034787,18.99848751848268
