event_key,event_time,event_type,planet,channel_start,channel_end,run_length,channels,min_delta_db,max_delta_db,mean_delta_db
1974-09-10 10:32:40.611|1974-09-10 10:32:42.536|REAPPEARANCE,1974-09-10 10:32:42.536,REAPPEARANCE,Saturn,1,3,3,"1,2,3",1.051889458072622,27.83162625239055,10.138523922635102
1974-09-10 17:56:30.520|1974-09-10 17:56:32.445|REAPPEARANCE,1974-09-10 17:56:32.445,REAPPEARANCE,Saturn,1,4,4,"1,2,3,4",1.9529527251845422,6.018023908599588,3.4822657038008
1974-09-11 04:15:39.879|1974-09-11 04:15:41.804|DISAPPEARANCE,1974-09-11 04:15:41.804,DISAPPEARANCE,Saturn,2,9,8,"2,3,4,5,6,7,8,9",0.9370714694961058,12.576844778280424,6.869188264865258
1974-09-11 08:44:15.961|1974-09-11 08:44:17.886|REAPPEARANCE,1974-09-11 08:44:17.886,REAPPEARANCE,Saturn,3,7,5,"3,4,5,6,7",0.5360876499360129,2.601195118588189,1.392424807610567
1974-09-11 11:39:29.751|1974-09-11 11:39:33.561|DISAPPEARANCE,1974-09-11 11:39:33.561,DISAPPEARANCE,Saturn,2,7,6,"2,3,4,5,6,7",1.508199190662992,5.5160300764815755,3.494776112994875
1974-09-12 02:27:17.221|1974-09-12 02:27:21.031|DISAPPEARANCE,1974-09-12 02:27:21.031,DISAPPEARANCE,Saturn,1,5,5,"1,2,3,4,5",0.7772163768495401,3.0176076137929257,2.002197011387777
1974-09-12 06:55:55.221|1974-09-12 06:55:57.146|REAPPEARANCE,1974-09-12 06:55:57.146,REAPPEARANCE,Saturn,1,3,3,"1,2,3",0.5578329262896917,2.14199130205286,1.296312971001343
1974-09-12 13:33:05.846|1974-09-12 13:33:07.771|DISAPPEARANCE,1974-09-12 13:33:07.771,DISAPPEARANCE,Saturn,5,7,3,"5,6,7",1.0583963572104622,4.056477291743427,2.5655031141743976
1974-09-12 20:56:23.100|1974-09-12 20:56:25.025|DISAPPEARANCE,1974-09-12 20:56:25.025,DISAPPEARANCE,Saturn,5,7,3,"5,6,7",0.6804654002599985,1.0889835790757723,0.8230730133077168
1974-09-13 04:20:53.563|1974-09-13 04:20:55.488|DISAPPEARANCE,1974-09-13 04:20:55.488,DISAPPEARANCE,Saturn,6,8,3,"6,7,8",0.6135555694731814,2.4808542613750952,1.4352937111927748
1974-09-13 08:02:50.250|1974-09-13 08:02:52.175|DISAPPEARANCE,1974-09-13 08:02:52.175,DISAPPEARANCE,Saturn,1,3,3,"1,2,3",2.6906161650603595,4.394649403381029,3.638091170993995
1974-09-13 16:13:29.044|1974-09-13 16:13:30.969|REAPPEARANCE,1974-09-13 16:13:30.969,REAPPEARANCE,Saturn,3,7,5,"3,4,5,6,7",0.656017072678651,5.411503712572542,2.3829033865859657
1974-09-13 22:50:35.827|1974-09-13 22:50:37.752|DISAPPEARANCE,1974-09-13 22:50:37.752,DISAPPEARANCE,Saturn,2,5,4,"2,3,4,5",0.5656003513989807,3.4012905296547484,2.257106546928485
1974-09-13 23:37:22.813|1974-09-13 23:37:24.738|REAPPEARANCE,1974-09-13 23:37:24.738,REAPPEARANCE,Saturn,1,6,6,"1,2,3,4,5,6",0.8808279729277158,4.599475705156795,2.7083119816391417
1974-09-14 02:32:36.569|1974-09-14 02:32:40.379|DISAPPEARANCE,1974-09-14 02:32:40.379,DISAPPEARANCE,Saturn,1,4,4,"1,2,3,4",0.5238728733751076,1.8062268846072813,1.1985635778410382
1974-09-14 03:19:25.480|1974-09-14 03:19:27.405|REAPPEARANCE,1974-09-14 03:19:27.405,REAPPEARANCE,Saturn,7,9,3,"7,8,9",1.318158916819947,2.2777233829825505,1.8416874186284364
1974-09-14 09:56:30.340|1974-09-14 09:56:34.150|DISAPPEARANCE,1974-09-14 09:56:34.150,DISAPPEARANCE,Saturn,4,6,3,"4,5,6",0.5794981116334307,1.956582254990305,1.4296015899403363
1974-09-14 13:38:27.226|1974-09-14 13:38:31.036|DISAPPEARANCE,1974-09-14 13:38:31.036,DISAPPEARANCE,Saturn,2,5,4,"2,3,4,5",0.892648747483195,3.707774104292775,1.9858933002916732
1974-09-14 13:38:27.226|1974-09-14 13:38:31.036|DISAPPEARANCE,1974-09-14 13:38:31.036,DISAPPEARANCE,Saturn,7,9,3,"7,8,9",1.4550313444453533,3.194503431978701,2.412419613924726
1974-09-14 14:25:16.145|1974-09-14 14:25:18.070|REAPPEARANCE,1974-09-14 14:25:18.070,REAPPEARANCE,Saturn,4,7,4,"4,5,6,7",1.9582317797323332,2.8092488451739555,2.388630269907496
1974-09-14 17:20:24.173|1974-09-14 17:20:27.983|DISAPPEARANCE,1974-09-14 17:20:27.983,DISAPPEARANCE,Saturn,7,9,3,"7,8,9",0.957639954526784,1.5571177787270698,1.2878774353851579
1974-09-14 21:02:21.003|1974-09-14 21:02:24.813|DISAPPEARANCE,1974-09-14 21:02:24.813,DISAPPEARANCE,Saturn,3,5,3,"3,4,5",1.9408716283492442,3.4577952689211293,2.8541127540698152
1974-09-14 21:49:09.917|1974-09-14 21:49:11.842|REAPPEARANCE,1974-09-14 21:49:11.842,REAPPEARANCE,Saturn,2,6,5,"2,3,4,5,6",0.6935822679319535,3.305559727613937,2.2459079084526907
1974-09-15 05:13:03.695|1974-09-15 05:13:05.620|REAPPEARANCE,1974-09-15 05:13:05.620,REAPPEARANCE,Saturn,1,9,9,"1,2,3,4,5,6,7,8,9",0.7534153001990604,3.3215455433159002,2.237553374013333
1974-09-15 12:36:57.464|1974-09-15 12:36:59.389|REAPPEARANCE,1974-09-15 12:36:59.389,REAPPEARANCE,Saturn,1,3,3,"1,2,3",2.409374774003876,10.60136820916988,6.321577384413118
1974-09-15 15:32:03.598|1974-09-15 15:32:05.523|DISAPPEARANCE,1974-09-15 15:32:05.523,DISAPPEARANCE,Saturn,2,5,4,"2,3,4,5",0.6133094755231403,1.707268700257768,1.1440540209437933
1974-09-16 02:37:52.301|1974-09-16 02:37:54.226|DISAPPEARANCE,1974-09-16 02:37:54.226,DISAPPEARANCE,Saturn,1,8,8,"1,2,3,4,5,6,7,8",1.4255593722445945,20.340391801821806,12.944401231232252
1974-09-17 04:31:24.807|1974-09-17 04:31:26.732|DISAPPEARANCE,1974-09-17 04:31:26.732,DISAPPEARANCE,Saturn,2,4,3,"2,3,4",0.7222901109922282,1.0628487833425024,0.9079944173672686
1974-09-17 23:01:07.445|1974-09-17 23:01:09.370|DISAPPEARANCE,1974-09-17 23:01:09.370,DISAPPEARANCE,Saturn,1,5,5,"1,2,3,4,5",0.700176336662487,2.2238111156550637,1.1936869593063126
1974-09-18 02:43:04.250|1974-09-18 02:43:06.175|DISAPPEARANCE,1974-09-18 02:43:06.175,DISAPPEARANCE,Saturn,5,7,3,"5,6,7",1.5162558488858529,2.8993318957269345,2.0286608686838554
1974-09-19 12:00:32.843|1974-09-19 12:00:36.652|DISAPPEARANCE,1974-09-19 12:00:36.652,DISAPPEARANCE,Saturn,2,4,3,"2,3,4",0.6172468482264292,1.5464490089302927,0.9447888248929429
