event_key,event_time,event_type,planet,channel_id,frequency_mhz,delta_db,sign_bit
1974-09-07 18:52:51.207|1974-09-07 18:52:53.132|DISAPPEARANCE,1974-09-07 18:52:53.132,DISAPPEARANCE,Saturn,1,0.45,-3.79755168748714,-1
1974-09-07 18:52:51.207|1974-09-07 18:52:53.132|DISAPPEARANCE,1974-09-07 18:52:53.132,DISAPPEARANCE,Saturn,2,0.7,-0.49368883770436256,-1
1974-09-07 18:52:51.207|1974-09-07 18:52:53.132|DISAPPEARANCE,1974-09-07 18:52:53.132,DISAPPEARANCE,Saturn,7,4.7,0.0,-1
1974-09-07 18:52:51.207|1974-09-07 18:52:53.132|DISAPPEARANCE,1974-09-07 18:52:53.132,DISAPPEARANCE,Saturn,8,6.55,1.7195205784889604,1
1974-09-07 18:52:51.207|1974-09-07 18:52:53.132|DISAPPEARANCE,1974-09-07 18:52:53.132,DISAPPEARANCE,Saturn,9,9.18,-0.9813021464522252,-1
1974-09-07 19:39:26.680|1974-09-07 19:39:28.605|REAPPEARANCE,1974-09-07 19:39:28.605,REAPPEARANCE,Saturn,1,0.45,-10.645609024697816,-1
1974-09-07 19:39:26.680|1974-09-07 19:39:28.605|REAPPEARANCE,1974-09-07 19:39:28.605,REAPPEARANCE,Saturn,2,0.7,0.2031691314295569,1
1974-09-07 19:39:26.680|1974-09-07 19:39:28.605|REAPPEARANCE,1974-09-07 19:39:28.605,REAPPEARANCE,Saturn,3,0.9,0.1457969204084228,1
1974-09-07 19:39:26.680|1974-09-07 19:39:28.605|REAPPEARANCE,1974-09-07 19:39:28.605,REAPPEARANCE,Saturn,4,1.31,0.052591802816421826,1
1974-09-07 19:39:26.680|1974-09-07 19:39:28.605|REAPPEARANCE,1974-09-07 19:39:28.605,REAPPEARANCE,Saturn,5,2.2,0.37812924326486475,1
1974-09-07 19:39:26.680|1974-09-07 19:39:28.605|REAPPEARANCE,1974-09-07 19:39:28.605,REAPPEARANCE,Saturn,6,3.93,-0.16257212002122612,-1
1974-09-07 19:39:26.680|1974-09-07 19:39:28.605|REAPPEARANCE,1974-09-07 19:39:28.605,REAPPEARANCE,Saturn,7,4.7,-0.9896944445301697,-1
1974-09-07 19:39:26.680|1974-09-07 19:39:28.605|REAPPEARANCE,1974-09-07 19:39:28.605,REAPPEARANCE,Saturn,8,6.55,2.9351203726550685,1
1974-09-07 19:39:26.680|1974-09-07 19:39:28.605|REAPPEARANCE,1974-09-07 19:39:28.605,REAPPEARANCE,Saturn,9,9.18,-2.2698691137361315,-1
1974-09-07 23:21:25.499|1974-09-07 23:21:27.424|REAPPEARANCE,1974-09-07 23:21:27.424,REAPPEARANCE,Saturn,1,0.45,-3.645803454872554,-1
1974-09-07 23:21:25.499|1974-09-07 23:21:27.424|REAPPEARANCE,1974-09-07 23:21:27.424,REAPPEARANCE,Saturn,2,0.7,-2.81107338026019,-1
1974-09-07 23:21:25.499|1974-09-07 23:21:27.424|REAPPEARANCE,1974-09-07 23:21:27.424,REAPPEARANCE,Saturn,3,0.9,-5.385892799094555,-1
1974-09-07 23:21:25.499|1974-09-07 23:21:27.424|REAPPEARANCE,1974-09-07 23:21:27.424,REAPPEARANCE,Saturn,4,1.31,-0.726184234288006,-1
1974-09-07 23:21:25.499|1974-09-07 23:21:27.424|REAPPEARANCE,1974-09-07 23:21:27.424,REAPPEARANCE,Saturn,5,2.2,-0.018728933809759804,-1
1974-09-07 23:21:25.499|1974-09-07 23:21:27.424|REAPPEARANCE,1974-09-07 23:21:27.424,REAPPEARANCE,Saturn,6,3.93,2.0655094221869046,1
