event_key,event_time,event_type,planet,channel_start,channel_end,run_length,channels,min_delta_db,max_delta_db,mean_delta_db
1974-09-09 23:59:57.272|1974-09-09 23:59:59.197|DISAPPEARANCE,1974-09-09 23:59:59.197,DISAPPEARANCE,Uranus,4,7,4,"4,5,6,7",1.0542710544936449,3.8878974807990363,2.4549061673723704
1974-09-14 23:59:54.873|1974-09-14 23:59:56.798|DISAPPEARANCE,1974-09-14 23:59:56.798,DISAPPEARANCE,Uranus,6,9,4,"6,7,8,9",1.068017641108999,4.296241116373825,2.8901684193444375
1974-09-29 23:59:57.978|1974-09-29 23:59:59.903|REAPPEARANCE,1974-09-29 23:59:59.903,REAPPEARANCE,Uranus,2,5,4,"2,3,4,5",0.6663881981309528,1.9065282131198533,1.3922397128242936
1974-10-10 00:00:00.606|1974-10-10 00:00:02.531|DISAPPEARANCE,1974-10-10 00:00:02.531,DISAPPEARANCE,Uranus,7,9,3,"7,8,9",0.7917423570918967,5.391720475998742,2.6838676215353883
1974-11-10 23:59:51.755|1974-11-10 23:59:53.680|DISAPPEARANCE,1974-11-10 23:59:53.680,DISAPPEARANCE,Uranus,2,5,4,"2,3,4,5",0.5689035840154274,1.048482786392888,0.7669336923783607
1974-11-11 23:59:58.368|1974-11-12 00:00:00.293|REAPPEARANCE,1974-11-12 00:00:00.293,REAPPEARANCE,Uranus,1,5,5,"1,2,3,4,5",0.5681805817419223,2.5354168314679777,1.335497877010497
1974-11-13 00:00:01.092|1974-11-13 00:00:03.017|DISAPPEARANCE,1974-11-13 00:00:03.017,DISAPPEARANCE,Uranus,2,5,4,"2,3,4,5",0.9508218422396797,1.6619971649323515,1.3113949113049284
1974-11-15 23:59:59.279|1974-11-16 00:00:01.204|REAPPEARANCE,1974-11-16 00:00:01.204,REAPPEARANCE,Uranus,1,5,5,"1,2,3,4,5",1.9667623912930963,2.5372769553018544,2.2765930538484698
1974-11-16 23:59:48.297|1974-11-16 23:59:50.222|DISAPPEARANCE,1974-11-16 23:59:50.222,DISAPPEARANCE,Uranus,3,5,3,"3,4,5",0.6731388545364375,1.9549359456409015,1.4809998144082515
1974-11-18 00:00:08.074|1974-11-18 00:00:09.999|REAPPEARANCE,1974-11-18 00:00:09.999,REAPPEARANCE,Uranus,3,5,3,"3,4,5",1.0462693614217853,2.2678587313606573,1.7171105576032233
1974-11-22 00:00:29.940|1974-11-22 00:00:33.750|DISAPPEARANCE,1974-11-22 00:00:33.750,DISAPPEARANCE,Uranus,1,3,3,"1,2,3",0.507890826353256,1.0284725690291732,0.8462020317554245
1974-11-22 00:00:35.675|1974-11-22 00:00:37.600|DISAPPEARANCE,1974-11-22 00:00:37.600,DISAPPEARANCE,Uranus,1,3,3,"1,2,3",0.507890826353256,1.540218162852332,1.0255271860782535
1974-11-22 00:02:35.074|1974-11-22 00:02:36.627|DISAPPEARANCE,1974-11-22 00:02:36.627,DISAPPEARANCE,Uranus,2,4,3,"2,3,4",0.8495176942944775,1.165265268027493,1.0163808141088124
1974-11-22 00:06:59.996|1974-11-22 00:07:01.590|DISAPPEARANCE,1974-11-22 00:07:01.590,DISAPPEARANCE,Uranus,3,5,3,"3,4,5",0.8113274763311813,1.3059180802218575,1.0020553468792592
1974-11-22 00:09:18.233|1974-11-22 00:09:19.827|DISAPPEARANCE,1974-11-22 00:09:19.827,DISAPPEARANCE,Uranus,3,5,3,"3,4,5",1.0069571831963096,1.2960055275239755,1.1789185191722975
1974-11-22 00:11:36.139|1974-11-22 00:11:36.469|DISAPPEARANCE,1974-11-22 00:11:36.469,DISAPPEARANCE,Uranus,3,5,3,"3,4,5",1.2047739926215175,1.5601631072678388,1.3556257341795284
1974-11-22 00:13:54.375|1974-11-22 00:13:54.706|DISAPPEARANCE,1974-11-22 00:13:54.706,DISAPPEARANCE,Uranus,3,5,3,"3,4,5",0.9531883289888022,1.9582687631539035,1.429879804691809
1974-11-22 00:16:12.612|1974-11-22 00:16:12.942|DISAPPEARANCE,1974-11-22 00:16:12.942,DISAPPEARANCE,Uranus,1,5,5,"1,2,3,4,5",0.5490160010484487,1.617985274844957,1.0157651088482764
1974-11-22 00:16:24.492|1974-11-22 00:16:26.046|DISAPPEARANCE,1974-11-22 00:16:26.046,DISAPPEARANCE,Uranus,1,4,4,"1,2,3,4",0.5490160010484487,1.617985274844957,1.1174382208189528
1974-11-22 00:16:27.971|1974-11-22 00:16:28.302|DISAPPEARANCE,1974-11-22 00:16:28.302,DISAPPEARANCE,Uranus,1,4,4,"1,2,3,4",0.5490160010484487,1.617985274844957,1.166906999108552
1974-11-22 00:16:39.852|1974-11-22 00:16:41.406|DISAPPEARANCE,1974-11-22 00:16:41.406,DISAPPEARANCE,Uranus,1,3,3,"1,2,3",0.5490160010484487,1.4922488595057564,1.1218651096861352
1975-01-01 02:23:00.988|1975-01-01 02:23:02.309|DISAPPEARANCE,1975-01-01 02:23:02.309,DISAPPEARANCE,Uranus,1,3,3,"1,2,3",0.6424688324814829,1.1692495777247427,0.9415608748577164
1975-01-01 02:35:48.364|1975-01-01 02:35:48.961|DISAPPEARANCE,1975-01-01 02:35:48.961,DISAPPEARANCE,Uranus,1,3,3,"1,2,3",0.9902484079889788,2.952602738386748,1.7859503417708502
1975-01-01 02:36:03.724|1975-01-01 02:36:04.320|DISAPPEARANCE,1975-01-01 02:36:04.320,DISAPPEARANCE,Uranus,1,3,3,"1,2,3",0.9902484079889788,2.906492544844524,2.114016031536981
1975-01-01 02:38:21.960|1975-01-01 02:38:22.555|DISAPPEARANCE,1975-01-01 02:38:22.555,DISAPPEARANCE,Uranus,1,3,3,"1,2,3",0.7592514175966416,2.8265321912715042,1.4686639434045234
1975-01-01 02:40:24.837|1975-01-01 02:40:25.431|DISAPPEARANCE,1975-01-01 02:40:25.431,DISAPPEARANCE,Uranus,1,3,3,"1,2,3",0.599068896261667,3.953986629737764,2.5775434799449415
1975-01-01 02:40:40.197|1975-01-01 02:40:40.791|DISAPPEARANCE,1975-01-01 02:40:40.791,DISAPPEARANCE,Uranus,1,3,3,"1,2,3",0.599068896261667,4.7380345625293545,2.5171345915334857
1975-01-01 02:45:01.310|1975-01-01 02:45:01.901|DISAPPEARANCE,1975-01-01 02:45:01.901,DISAPPEARANCE,Uranus,1,3,3,"1,2,3",0.988033406186609,3.872174563014335,2.525435209233613
1975-01-04 00:00:08.346|1975-01-04 00:00:10.271|REAPPEARANCE,1975-01-04 00:00:10.271,REAPPEARANCE,Uranus,2,5,4,"2,3,4,5",1.443331776206346,1.7287670007416365,1.5735553909001574
1975-01-16 23:59:56.675|1975-01-16 23:59:58.600|REAPPEARANCE,1975-01-16 23:59:58.600,REAPPEARANCE,Uranus,2,4,3,"2,3,4",2.1389185554433814,6.858945116786157,4.445210046244809
1975-02-01 23:59:57.916|1975-02-01 23:59:59.841|REAPPEARANCE,1975-02-01 23:59:59.841,REAPPEARANCE,Uranus,1,3,3,"1,2,3",1.4212852191724192,8.584728587610691,4.40644496672109
1975-02-06 00:00:01.473|1975-02-06 00:00:03.398|REAPPEARANCE,1975-02-06 00:00:03.398,REAPPEARANCE,Uranus,2,5,4,"2,3,4,5",0.8808591450930501,2.321734996018258,1.682156274402944
1975-02-06 23:59:49.946|1975-02-06 23:59:51.871|DISAPPEARANCE,1975-02-06 23:59:51.871,DISAPPEARANCE,Uranus,2,9,8,"2,3,4,5,6,7,8,9",0.5613200116590553,3.6615949861665635,1.5772797500278077
1975-02-08 00:00:05.264|1975-02-08 00:00:07.189|REAPPEARANCE,1975-02-08 00:00:07.189,REAPPEARANCE,Uranus,2,7,6,"2,3,4,5,6,7",1.4372894672308003,12.848191644420965,5.07234180339574
1975-02-12 23:59:56.915|1975-02-13 00:00:02.649|DISAPPEARANCE,1975-02-13 00:00:02.649,DISAPPEARANCE,Uranus,1,5,5,"1,2,3,4,5",1.2701384670560165,4.805446450697657,2.3106203915572303
1975-03-20 23:59:53.395|1975-03-20 23:59:57.245|DISAPPEARANCE,1975-03-20 23:59:57.245,DISAPPEARANCE,Uranus,1,5,5,"1,2,3,4,5",1.14972060739754,29.074339183710322,8.161741128626577
1975-03-27 23:59:50.178|1975-03-27 23:59:53.987|DISAPPEARANCE,1975-03-27 23:59:53.987,DISAPPEARANCE,Uranus,3,5,3,"3,4,5",0.9367867692806909,1.8644347759868816,1.408135709422193
1975-03-28 23:59:59.595|1975-03-29 00:00:12.825|REAPPEARANCE,1975-03-29 00:00:12.825,REAPPEARANCE,Uranus,2,5,4,"2,3,4,5",0.8614935969148003,8.05594032893944,3.4798327915622305
1975-03-29 23:59:53.657|1975-03-29 23:59:57.466|DISAPPEARANCE,1975-03-29 23:59:57.466,DISAPPEARANCE,Uranus,2,5,4,"2,3,4,5",1.256981736844798,4.900028472830841,2.8029886308609346
1975-04-02 00:00:00.698|1975-04-02 00:00:02.623|REAPPEARANCE,1975-04-02 00:00:02.623,REAPPEARANCE,Uranus,1,4,4,"1,2,3,4",0.7084378622900247,23.512925763513323,6.6388172704281025
1975-04-08 13:00:15.218|1975-04-08 13:00:19.026|REAPPEARANCE,1975-04-08 13:00:19.026,REAPPEARANCE,Uranus,1,4,4,"1,2,3,4",0.5100809226817979,0.9681723207844904,0.6419962631975056
1975-04-16 23:59:52.447|1975-04-16 23:59:56.253|DISAPPEARANCE,1975-04-16 23:59:56.253,DISAPPEARANCE,Uranus,7,9,3,"7,8,9",0.6375116909253113,1.0696620403564239,0.9013956916708188
1975-04-18 23:59:56.061|1975-04-18 23:59:59.870|DISAPPEARANCE,1975-04-18 23:59:59.870,DISAPPEARANCE,Uranus,7,9,3,"7,8,9",0.6463035705125129,2.710646349453537,1.4091634766482903
1975-04-22 00:00:03.126|1975-04-22 00:00:05.051|REAPPEARANCE,1975-04-22 00:00:05.051,REAPPEARANCE,Uranus,4,9,6,"4,5,6,7,8,9",0.5151169613909918,8.24216607094125,2.227584836465662
1975-04-27 08:27:02.689|1975-04-27 08:27:04.614|REAPPEARANCE,1975-04-27 08:27:04.614,REAPPEARANCE,Uranus,1,3,3,"1,2,3",0.5459999016380661,4.715263484413973,2.8963070720026534
1975-04-27 23:14:59.986|1975-04-27 23:15:01.911|REAPPEARANCE,1975-04-27 23:15:01.911,REAPPEARANCE,Uranus,1,3,3,"1,2,3",0.5323033909686234,11.100587135074145,7.143549723495298
1975-04-28 14:03:02.239|1975-04-28 14:03:04.164|REAPPEARANCE,1975-04-28 14:03:04.164,REAPPEARANCE,Uranus,1,3,3,"1,2,3",0.9558587646367234,26.337585263266252,10.870886660963889
1975-05-01 15:48:46.933|1975-05-01 15:48:48.858|DISAPPEARANCE,1975-05-01 15:48:48.858,DISAPPEARANCE,Uranus,2,4,3,"2,3,4",1.5944170304603864,5.342921823228518,3.6211757410665153
1975-05-01 19:30:41.638|1975-05-01 19:30:43.563|DISAPPEARANCE,1975-05-01 19:30:43.563,DISAPPEARANCE,Uranus,4,9,6,"4,5,6,7,8,9",0.7892239640714809,3.7016233146685495,1.9495737184714523
1975-05-01 23:59:53.825|1975-05-01 23:59:55.750|DISAPPEARANCE,1975-05-01 23:59:55.750,DISAPPEARANCE,Uranus,2,4,3,"2,3,4",0.6989952007285521,1.9765254441203384,1.3373737176364662
1975-05-04 00:02:23.675|1975-05-04 00:02:23.780|REAPPEARANCE,1975-05-04 00:02:23.780,REAPPEARANCE,Uranus,1,3,3,"1,2,3",0.5361237829833461,4.045582827072742,1.9782106390371161
1975-05-04 00:02:31.440|1975-05-04 00:02:33.365|REAPPEARANCE,1975-05-04 00:02:33.365,REAPPEARANCE,Uranus,1,3,3,"1,2,3",0.5361237829833461,4.83306367947436,2.356840705695133
1975-05-04 00:06:37.189|1975-05-04 00:06:39.114|REAPPEARANCE,1975-05-04 00:06:39.114,REAPPEARANCE,Uranus,1,3,3,"1,2,3",0.5493850479033336,5.545433373982682,2.351109120913871
1975-05-04 00:06:42.964|1975-05-04 00:06:44.783|REAPPEARANCE,1975-05-04 00:06:44.783,REAPPEARANCE,Uranus,1,3,3,"1,2,3",0.6918256158905756,5.545433373982682,2.3985893102429516
1975-05-04 00:06:52.549|1975-05-04 00:06:54.474|REAPPEARANCE,1975-05-04 00:06:54.474,REAPPEARANCE,Uranus,1,3,3,"1,2,3",0.8142296552621442,5.545433373982682,2.6507831301557165
1975-05-04 00:06:58.324|1975-05-04 00:07:00.142|REAPPEARANCE,1975-05-04 00:07:00.142,REAPPEARANCE,Uranus,1,3,3,"1,2,3",0.8142296552621442,5.545433373982682,2.7736923616334033
1975-05-04 00:07:07.908|1975-05-04 00:07:09.833|REAPPEARANCE,1975-05-04 00:07:09.833,REAPPEARANCE,Uranus,1,3,3,"1,2,3",0.8142296552621442,4.782232634173664,2.4489236635584617
1975-05-04 00:07:53.986|1975-05-04 00:07:55.911|REAPPEARANCE,1975-05-04 00:07:55.911,REAPPEARANCE,Uranus,1,3,3,"1,2,3",0.5845756984938676,4.845390142037526,2.0085883428701625
1975-05-04 00:07:59.761|1975-05-04 00:08:01.579|REAPPEARANCE,1975-05-04 00:08:01.579,REAPPEARANCE,Uranus,1,3,3,"1,2,3",0.5957991880790943,4.703895376462961,1.984088520282807
1975-05-04 00:08:09.345|1975-05-04 00:08:11.270|REAPPEARANCE,1975-05-04 00:08:11.270,REAPPEARANCE,Uranus,1,3,3,"1,2,3",0.6576878193941694,4.566865478645719,2.004060487361615
1975-05-04 00:08:15.120|1975-05-04 00:08:16.939|REAPPEARANCE,1975-05-04 00:08:16.939,REAPPEARANCE,Uranus,1,3,3,"1,2,3",0.7204711526762133,4.566865478645719,2.0764758058922412
1975-05-04 00:08:24.705|1975-05-04 00:08:26.630|REAPPEARANCE,1975-05-04 00:08:26.630,REAPPEARANCE,Uranus,1,3,3,"1,2,3",1.0704974877002444,4.566865478645719,2.259622102743427
1975-05-04 00:08:30.480|1975-05-04 00:08:32.298|REAPPEARANCE,1975-05-04 00:08:32.298,REAPPEARANCE,Uranus,1,3,3,"1,2,3",1.0704974877002444,4.288407867598509,2.144056256507629
1975-05-04 00:08:40.064|1975-05-04 00:08:41.989|REAPPEARANCE,1975-05-04 00:08:41.989,REAPPEARANCE,Uranus,1,3,3,"1,2,3",1.0704974877002444,3.53626077353724,1.9097228174038066
1975-05-04 00:08:45.839|1975-05-04 00:08:47.657|REAPPEARANCE,1975-05-04 00:08:47.657,REAPPEARANCE,Uranus,1,3,3,"1,2,3",1.0704974877002444,3.7408606649402776,1.9779227812048192
1975-05-04 00:08:55.423|1975-05-04 00:08:57.348|REAPPEARANCE,1975-05-04 00:08:57.348,REAPPEARANCE,Uranus,1,3,3,"1,2,3",0.5547035684922652,4.810131207957836,2.1624149891413453
1975-05-04 00:09:01.198|1975-05-04 00:09:03.016|REAPPEARANCE,1975-05-04 00:09:03.016,REAPPEARANCE,Uranus,1,3,3,"1,2,3",0.5155260811220341,4.810131207957836,2.149355826684602
1975-05-04 18:03:48.974|1975-05-04 18:03:52.783|REAPPEARANCE,1975-05-04 18:03:52.783,REAPPEARANCE,Uranus,1,3,3,"1,2,3",0.539757727542006,10.543537658051081,3.935403190452115
1975-05-05 00:00:05.546|1975-05-05 00:00:07.471|REAPPEARANCE,1975-05-05 00:00:07.471,REAPPEARANCE,Uranus,2,5,4,"2,3,4,5",0.9570320926923636,1.3671660379557562,1.1250666716683873
1975-05-05 23:59:49.575|1975-05-05 23:59:53.384|DISAPPEARANCE,1975-05-05 23:59:53.384,DISAPPEARANCE,Uranus,1,5,5,"1,2,3,4,5",0.6069538798269454,1.578095403717275,1.2064345956033131
1975-05-29 17:03:39.456|1975-05-29 17:03:41.381|DISAPPEARANCE,1975-05-29 17:03:41.381,DISAPPEARANCE,Uranus,2,6,5,"2,3,4,5,6",0.8977932559255251,5.67084163352749,3.428563450378384
1975-06-20 14:49:38.489|1975-06-20 14:52:31.257|REAPPEARANCE,1975-06-20 14:52:31.257,REAPPEARANCE,Uranus,5,7,3,"5,6,7",0.5389724198799811,3.4948255195220703,2.4449452964972895
