event_key,event_time,event_type,planet,channel_id,frequency_mhz,delta_db,sign_bit
1974-09-09 23:59:57.272|1974-09-09 23:59:59.197|DISAPPEARANCE,1974-09-09 23:59:59.197,DISAPPEARANCE,Uranus,1,0.45,-5.813466964817335,-1
1974-09-09 23:59:57.272|1974-09-09 23:59:59.197|DISAPPEARANCE,1974-09-09 23:59:59.197,DISAPPEARANCE,Uranus,2,0.7,-1.4640833353217282,-1
1974-09-09 23:59:57.272|1974-09-09 23:59:59.197|DISAPPEARANCE,1974-09-09 23:59:59.197,DISAPPEARANCE,Uranus,4,1.31,1.8087473025617973,1
1974-09-09 23:59:57.272|1974-09-09 23:59:59.197|DISAPPEARANCE,1974-09-09 23:59:59.197,DISAPPEARANCE,Uranus,5,2.2,3.0687088316350035,1
1974-09-09 23:59:57.272|1974-09-09 23:59:59.197|DISAPPEARANCE,1974-09-09 23:59:59.197,DISAPPEARANCE,Uranus,6,3.93,1.0542710544936449,1
1974-09-09 23:59:57.272|1974-09-09 23:59:59.197|DISAPPEARANCE,1974-09-09 23:59:59.197,DISAPPEARANCE,Uranus,7,4.7,3.8878974807990363,1
1974-09-09 23:59:57.272|1974-09-09 23:59:59.197|DISAPPEARANCE,1974-09-09 23:59:59.197,DISAPPEARANCE,Uranus,8,6.55,-0.6496423093952068,-1
1974-09-09 23:59:57.272|1974-09-09 23:59:59.197|DISAPPEARANCE,1974-09-09 23:59:59.197,DISAPPEARANCE,Uranus,9,9.18,-2.48634815670858,-1
1974-09-11 00:00:01.332|1974-09-11 00:00:03.257|DISAPPEARANCE,1974-09-11 00:00:03.257,DISAPPEARANCE,Uranus,1,0.45,10.544461286732593,1
1974-09-11 00:00:01.332|1974-09-11 00:00:03.257|DISAPPEARANCE,1974-09-11 00:00:03.257,DISAPPEARANCE,Uranus,2,0.7,-1.067914608906168,-1
1974-09-11 00:00:01.332|1974-09-11 00:00:03.257|DISAPPEARANCE,1974-09-11 00:00:03.257,DISAPPEARANCE,Uranus,3,0.9,-2.430310523941372,-1
1974-09-11 00:00:01.332|1974-09-11 00:00:03.257|DISAPPEARANCE,1974-09-11 00:00:03.257,DISAPPEARANCE,Uranus,4,1.31,-3.4001038664233842,-1
1974-09-11 00:00:01.332|1974-09-11 00:00:03.257|DISAPPEARANCE,1974-09-11 00:00:03.257,DISAPPEARANCE,Uranus,5,2.2,-3.716355512188975,-1
1974-09-11 00:00:01.332|1974-09-11 00:00:03.257|DISAPPEARANCE,1974-09-11 00:00:03.257,DISAPPEARANCE,Uranus,6,3.93,-1.6432372952862635,-1
1974-09-11 00:00:01.332|1974-09-11 00:00:03.257|DISAPPEARANCE,1974-09-11 00:00:03.257,DISAPPEARANCE,Uranus,7,4.7,-1.291817559211263,-1
1974-09-11 00:00:01.332|1974-09-11 00:00:03.257|DISAPPEARANCE,1974-09-11 00:00:03.257,DISAPPEARANCE,Uranus,8,6.55,4.213001612967188,1
1974-09-11 00:00:01.332|1974-09-11 00:00:03.257|DISAPPEARANCE,1974-09-11 00:00:03.257,DISAPPEARANCE,Uranus,9,9.18,2.420313335247389,1
1974-09-13 23:59:50.602|1974-09-13 23:59:52.527|DISAPPEARANCE,1974-09-13 23:59:52.527,DISAPPEARANCE,Uranus,1,0.45,-5.942172712904363,-1
1974-09-13 23:59:50.602|1974-09-13 23:59:52.527|DISAPPEARANCE,1974-09-13 23:59:52.527,DISAPPEARANCE,Uranus,2,0.7,-3.57304157687581,-1
1974-09-13 23:59:50.602|1974-09-13 23:59:52.527|DISAPPEARANCE,1974-09-13 23:59:52.527,DISAPPEARANCE,Uranus,3,0.9,-1.7964989597736822,-1
1974-09-13 23:59:50.602|1974-09-13 23:59:52.527|DISAPPEARANCE,1974-09-13 23:59:52.527,DISAPPEARANCE,Uranus,4,1.31,2.8640487896188245,1
1974-09-13 23:59:50.602|1974-09-13 23:59:52.527|DISAPPEARANCE,1974-09-13 23:59:52.527,DISAPPEARANCE,Uranus,5,2.2,-0.16997684743845148,-1
1974-09-13 23:59:50.602|1974-09-13 23:59:52.527|DISAPPEARANCE,1974-09-13 23:59:52.527,DISAPPEARANCE,Uranus,6,3.93,-2.68680641934121,-1
1974-09-13 23:59:50.602|1974-09-13 23:59:52.527|DISAPPEARANCE,1974-09-13 23:59:52.527,DISAPPEARANCE,Uranus,7,4.7,-0.07685841466226655,-1
1974-09-13 23:59:50.602|1974-09-13 23:59:52.527|DISAPPEARANCE,1974-09-13 23:59:52.527,DISAPPEARANCE,Uranus,8,6.55,-2.758545310262343,-1
1974-09-13 23:59:50.602|1974-09-13 23:59:52.527|DISAPPEARANCE,1974-09-13 23:59:52.527,DISAPPEARANCE,Uranus,9,9.18,-3.69252961394611,-1
1974-09-14 23:59:54.873|1974-09-14 23:59:56.798|DISAPPEARANCE,1974-09-14 23:59:56.798,DISAPPEARANCE,Uranus,1,0.45,-1.493417367462462,-1
1974-09-14 23:59:54.873|1974-09-14 23:59:56.798|DISAPPEARANCE,1974-09-14 23:59:56.798,DISAPPEARANCE,Uranus,2,0.7,-4.5117960825975425,-1
1974-09-14 23:59:54.873|1974-09-14 23:59:56.798|DISAPPEARANCE,1974-09-14 23:59:56.798,DISAPPEARANCE,Uranus,3,0.9,-1.11692108454782,-1
1974-09-14 23:59:54.873|1974-09-14 23:59:56.798|DISAPPEARANCE,1974-09-14 23:59:56.798,DISAPPEARANCE,Uranus,4,1.31,-2.280754772889711,-1
1974-09-14 23:59:54.873|1974-09-14 23:59:56.798|DISAPPEARANCE,1974-09-14 23:59:56.798,DISAPPEARANCE,Uranus,5,2.2,-0.6320648804265916,-1
1974-09-14 23:59:54.873|1974-09-14 23:59:56.798|DISAPPEARANCE,1974-09-14 23:59:56.798,DISAPPEARANCE,Uranus,6,3.93,4.296241116373825,1
1974-09-14 23:59:54.873|1974-09-14 23:59:56.798|DISAPPEARANCE,1974-09-14 23:59:56.798,DISAPPEARANCE,Uranus,7,4.7,1.068017641108999,1
1974-09-14 23:59:54.873|1974-09-14 23:59:56.798|DISAPPEARANCE,1974-09-14 23:59:56.798,DISAPPEARANCE,Uranus,8,6.55,2.0861318276471126,1
1974-09-14 23:59:54.873|1974-09-14 23:59:56.798|DISAPPEARANCE,1974-09-14 23:59:56.798,DISAPPEARANCE,Uranus,9,9.18,4.110283092247812,1
1974-09-18 00:00:05.960|1974-09-18 00:00:07.885|REAPPEARANCE,1974-09-18 00:00:07.885,REAPPEARANCE,Uranus,1,0.45,-6.085341341392473,-1
1974-09-18 00:00:05.960|1974-09-18 00:00:07.885|REAPPEARANCE,1974-09-18 00:00:07.885,REAPPEARANCE,Uranus,2,0.7,-2.3070073620719227,-1
1974-09-18 00:00:05.960|1974-09-18 00:00:07.885|REAPPEARANCE,1974-09-18 00:00:07.885,REAPPEARANCE,Uranus,3,0.9,-1.9838901941551375,-1
1974-09-18 00:00:05.960|1974-09-18 00:00:07.885|REAPPEARANCE,1974-09-18 00:00:07.885,REAPPEARANCE,Uranus,4,1.31,-2.351785430168634,-1
