event_type,pre_event_time,post_event_time,event_time,event_key,planet,sun_sep_deg,mercury_sep_deg,venus_sep_deg,earth_sep_deg,mars_sep_deg,jupiter_sep_deg,saturn_sep_deg,uranus_sep_deg,neptune_sep_deg
DISAPPEARANCE,1974-09-09 23:59:57.272,1974-09-09 23:59:59.197,1974-09-09 23:59:59.197,1974-09-09 23:59:57.272|1974-09-09 23:59:59.197|DISAPPEARANCE,uranus,5.450208765589605,24.096421789628415,76.6690510086712,59.36230269847313,22.494785534508885,135.59324071917356,106.6000056379899,0.0,41.225358273107304
DISAPPEARANCE,1974-09-11 00:00:01.332,1974-09-11 00:00:03.257,1974-09-11 00:00:03.257,1974-09-11 00:00:01.332|1974-09-11 00:00:03.257|DISAPPEARANCE,uranus,13.614708351376667,27.011567536068725,75.11667280383759,78.82829238124084,22.061623571591095,135.67406334939363,106.58173940080816,0.0,41.21907635673269
DISAPPEARANCE,1974-09-13 23:59:50.602,1974-09-13 23:59:52.527,1974-09-13 23:59:52.527,1974-09-13 23:59:50.602|1974-09-13 23:59:52.527|DISAPPEARANCE,uranus,25.635179541566856,35.48738981065455,70.41724865142291,117.32302524927101,20.781569203217064,135.923258368638,106.51668200506224,0.0,41.201210714965875
DISAPPEARANCE,1974-09-14 23:59:54.873,1974-09-14 23:59:56.798,1974-09-14 23:59:56.798,1974-09-14 23:59:54.873|1974-09-14 23:59:56.798|DISAPPEARANCE,uranus,49.74953958727838,38.25620652045819,68.87461126324528,137.89727214909382,20.369846573760324,136.01310538149357,106.493636044003,0.0,41.196270663178424
REAPPEARANCE,1974-09-18 00:00:05.960,1974-09-18 00:00:07.885,1974-09-18 00:00:07.885,1974-09-18 00:00:05.960|1974-09-18 00:00:07.885|REAPPEARANCE,uranus,100.56227929688093,46.42374561162621,64.14827420292072,175.60783243020808,19.116140047850518,136.27160506479828,106.4149760788619,0.0,41.17971889845764
REAPPEARANCE,1974-09-29 23:59:57.978,1974-09-29 23:59:59.903,1974-09-29 23:59:59.903,1974-09-29 23:59:57.978|1974-09-29 23:59:59.903|REAPPEARANCE,uranus,32.91607590041146,79.57116926495866,44.666152593513374,26.890498736319632,13.815241674455095,137.17906064045553,106.08456437023305,0.0,41.0941368256479
DISAPPEARANCE,1974-10-10 00:00:00.606,1974-10-10 00:00:02.531,1974-10-10 00:00:02.531,1974-10-10 00:00:00.606|1974-10-10 00:00:02.531|DISAPPEARANCE,uranus,24.682957949720848,112.17322148560851,28.613852110931848,101.19710939432446,9.269909479954562,137.93730092882112,105.87260097695687,0.0,41.02368656533138
DISAPPEARANCE,1974-10-18 23:59:48.451,1974-10-18 23:59:50.376,1974-10-18 23:59:50.376,1974-10-18 23:59:48.451|1974-10-18 23:59:50.376|DISAPPEARANCE,uranus,82.4420399248447,149.67785872428402,14.628962183324537,135.41737444860695,5.358371572846088,138.69861733955025,105.63815838921674,0.0,40.9715246195734
REAPPEARANCE,1974-10-18 23:59:54.226,1974-10-18 23:59:56.151,1974-10-18 23:59:56.151,1974-10-18 23:59:54.226|1974-10-18 23:59:56.151|REAPPEARANCE,uranus,80.3986396872717,149.68542146373488,14.635937647562258,130.72453648541742,5.3624555351050605,138.69917179258536,105.6365352524324,0.0,40.97158190948988
DISAPPEARANCE,1974-11-10 23:59:51.755,1974-11-10 23:59:53.680,1974-11-10 23:59:53.680,1974-11-10 23:59:51.755|1974-11-10 23:59:53.680|DISAPPEARANCE,uranus,97.04519347645086,77.07596365798891,22.40646470885599,164.40491662634156,5.304496174106495,140.46828808821078,105.08705602497773,0.0,40.81237056852872
REAPPEARANCE,1974-11-11 23:59:58.368,1974-11-12 00:00:00.293,1974-11-12 00:00:00.293,1974-11-11 23:59:58.368|1974-11-12 00:00:00.293|REAPPEARANCE,uranus,95.59635386005462,71.76766042989543,23.92226057908669,172.01761965920747,5.74067022422636,140.5584712155881,105.0582383719571,0.0,40.807308315681844
DISAPPEARANCE,1974-11-13 00:00:01.092,1974-11-13 00:00:03.017,1974-11-13 00:00:03.017,1974-11-13 00:00:01.092|1974-11-13 00:00:03.017|DISAPPEARANCE,uranus,93.60687820317715,66.57798626431256,25.48550584482669,166.78296931230759,6.200733218973018,140.63916750345652,105.03212820051843,0.0,40.80089252388778
REAPPEARANCE,1974-11-13 00:00:04.942,1974-11-13 00:00:06.867,1974-11-13 00:00:06.867,1974-11-13 00:00:04.942|1974-11-13 00:00:06.867|REAPPEARANCE,uranus,92.24015988700641,66.58205006903589,25.471971034867426,162.8299995972695,6.194789687160016,140.6409719738672,105.03101916468809,0.0,40.80113478770019
