event_key,event_time,event_type,planet,channel_start,channel_end,run_length,channels,min_delta_db,max_delta_db,mean_delta_db
1974-09-07 19:03:19.031|1974-09-07 19:03:20.956|DISAPPEARANCE,1974-09-07 19:03:20.956,DISAPPEARANCE,Venus,6,9,4,"6,7,8,9",4.977433464313085,25.09581633686534,14.838695503724802
1974-09-08 20:58:06.067|1974-09-08 20:58:07.992|DISAPPEARANCE,1974-09-08 20:58:07.992,DISAPPEARANCE,Venus,6,8,3,"6,7,8",1.8249018284389407,4.519925027031069,3.42294170028026
1974-09-09 19:53:21.970|1974-09-09 19:53:25.779|REAPPEARANCE,1974-09-09 19:53:25.779,REAPPEARANCE,Venus,2,5,4,"2,3,4,5",0.5009075926777844,1.448264058746544,0.9370023581333932
1974-09-09 23:59:57.272|1974-09-09 23:59:59.197|DISAPPEARANCE,1974-09-09 23:59:59.197,DISAPPEARANCE,Venus,4,7,4,"4,5,6,7",1.0542710544936449,3.8878974807990363,2.4549061673723704
1974-09-10 18:05:33.886|1974-09-10 18:05:37.696|REAPPEARANCE,1974-09-10 18:05:37.696,REAPPEARANCE,Venus,3,7,5,"3,4,5,6,7",1.4186384070175238,6.59605924508925,3.3618459827925067
1974-09-11 08:11:41.505|1974-09-11 08:11:43.430|DISAPPEARANCE,1974-09-11 08:11:43.430,DISAPPEARANCE,Venus,4,8,5,"4,5,6,7,8",1.014092168204726,10.69018624200102,6.191197685825665
1974-09-12 07:05:08.172|1974-09-12 07:05:10.097|REAPPEARANCE,1974-09-12 07:05:10.097,REAPPEARANCE,Venus,2,6,5,"2,3,4,5,6",0.7390039700470599,4.753750345278075,1.9937029565938371
1974-09-12 13:48:35.094|1974-09-12 13:48:37.019|DISAPPEARANCE,1974-09-12 13:48:37.019,DISAPPEARANCE,Venus,1,4,4,"1,2,3,4",1.2046143637072628,6.463065545802074,3.9891422002227235
1974-09-12 21:12:49.973|1974-09-12 21:12:51.898|DISAPPEARANCE,1974-09-12 21:12:51.898,DISAPPEARANCE,Venus,2,4,3,"2,3,4",2.9880610156336473,5.662192999310054,4.659490741844092
1974-09-12 21:52:57.603|1974-09-12 21:52:59.528|REAPPEARANCE,1974-09-12 21:52:59.528,REAPPEARANCE,Venus,2,4,3,"2,3,4",2.9654333750747153,4.793472985217868,3.854060263315
