event_key,event_time,event_type,planet,channel_id,frequency_mhz,delta_db,sign_bit
1974-09-07 19:03:19.031|1974-09-07 19:03:20.956|DISAPPEARANCE,1974-09-07 19:03:20.956,DISAPPEARANCE,Venus,1,0.45,-29.167661221129183,-1
1974-09-07 19:03:19.031|1974-09-07 19:03:20.956|DISAPPEARANCE,1974-09-07 19:03:20.956,DISAPPEARANCE,Venus,6,3.93,12.935868179922718,1
1974-09-07 19:03:19.031|1974-09-07 19:03:20.956|DISAPPEARANCE,1974-09-07 19:03:20.956,DISAPPEARANCE,Venus,7,4.7,25.09581633686534,1
1974-09-07 19:03:19.031|1974-09-07 19:03:20.956|DISAPPEARANCE,1974-09-07 19:03:20.956,DISAPPEARANCE,Venus,8,6.55,16.34566403379806,1
1974-09-07 19:03:19.031|1974-09-07 19:03:20.956|DISAPPEARANCE,1974-09-07 19:03:20.956,DISAPPEARANCE,Venus,9,9.18,4.977433464313085,1
1974-09-07 19:47:55.476|1974-09-07 19:47:57.401|REAPPEARANCE,1974-09-07 19:47:57.401,REAPPEARANCE,Venus,1,0.45,0.20713738177243585,1
1974-09-07 19:47:55.476|1974-09-07 19:47:57.401|REAPPEARANCE,1974-09-07 19:47:57.401,REAPPEARANCE,Venus,2,0.7,-0.41055919629488374,-1
1974-09-07 19:47:55.476|1974-09-07 19:47:57.401|REAPPEARANCE,1974-09-07 19:47:57.401,REAPPEARANCE,Venus,3,0.9,-0.4338302734197147,-1
1974-09-07 19:47:55.476|1974-09-07 19:47:57.401|REAPPEARANCE,1974-09-07 19:47:57.401,REAPPEARANCE,Venus,4,1.31,-0.21555562867620343,-1
1974-09-07 19:47:55.476|1974-09-07 19:47:57.401|REAPPEARANCE,1974-09-07 19:47:57.401,REAPPEARANCE,Venus,5,2.2,0.0,-1
1974-09-07 19:47:55.476|1974-09-07 19:47:57.401|REAPPEARANCE,1974-09-07 19:47:57.401,REAPPEARANCE,Venus,6,3.93,-0.1632305689962295,-1
1974-09-07 19:47:55.476|1974-09-07 19:47:57.401|REAPPEARANCE,1974-09-07 19:47:57.401,REAPPEARANCE,Venus,7,4.7,-0.4518574756785916,-1
1974-09-07 19:47:55.476|1974-09-07 19:47:57.401|REAPPEARANCE,1974-09-07 19:47:57.401,REAPPEARANCE,Venus,8,6.55,-0.5871764211854363,-1
1974-09-07 19:47:55.476|1974-09-07 19:47:57.401|REAPPEARANCE,1974-09-07 19:47:57.401,REAPPEARANCE,Venus,9,9.18,0.0,-1
1974-09-07 23:29:52.367|1974-09-07 23:29:54.292|REAPPEARANCE,1974-09-07 23:29:54.292,REAPPEARANCE,Venus,1,0.45,-6.234169490723537,-1
1974-09-07 23:29:52.367|1974-09-07 23:29:54.292|REAPPEARANCE,1974-09-07 23:29:54.292,REAPPEARANCE,Venus,2,0.7,-4.25020230388295,-1
1974-09-07 23:29:52.367|1974-09-07 23:29:54.292|REAPPEARANCE,1974-09-07 23:29:54.292,REAPPEARANCE,Venus,3,0.9,-0.5342389250955907,-1
1974-09-07 23:29:52.367|1974-09-07 23:29:54.292|REAPPEARANCE,1974-09-07 23:29:54.292,REAPPEARANCE,Venus,4,1.31,0.10624804641483758,1
1974-09-07 23:29:52.367|1974-09-07 23:29:54.292|REAPPEARANCE,1974-09-07 23:29:54.292,REAPPEARANCE,Venus,5,2.2,0.18495057602097745,1
1974-09-07 23:29:52.367|1974-09-07 23:29:54.292|REAPPEARANCE,1974-09-07 23:29:54.292,REAPPEARANCE,Venus,6,3.93,2.551366217219087,1
1974-09-07 23:29:52.367|1974-09-07 23:29:54.292|REAPPEARANCE,1974-09-07 23:29:54.292,REAPPEARANCE,Venus,7,4.7,-1.3232409635306495,-1
1974-09-07 23:29:52.367|1974-09-07 23:29:54.292|REAPPEARANCE,1974-09-07 23:29:54.292,REAPPEARANCE,Venus,8,6.55,-0.7585996776904463,-1
1974-09-07 23:29:52.367|1974-09-07 23:29:54.292|REAPPEARANCE,1974-09-07 23:29:54.292,REAPPEARANCE,Venus,9,9.18,5.132586207339829,1
1974-09-08 02:27:39.584|1974-09-08 02:27:43.394|DISAPPEARANCE,1974-09-08 02:27:43.394,DISAPPEARANCE,Venus,1,0.45,-0.8984329048940725,-1
