event_type,pre_event_time,post_event_time,event_time,event_key,planet,sun_sep_deg,mercury_sep_deg,venus_sep_deg,earth_sep_deg,mars_sep_deg,jupiter_sep_deg,saturn_sep_deg,uranus_sep_deg,neptune_sep_deg
DISAPPEARANCE,1974-09-07 19:03:19.031,1974-09-07 19:03:20.956,1974-09-07 19:03:20.956,1974-09-07 19:03:19.031|1974-09-07 19:03:20.956|DISAPPEARANCE,venus,70.4168404915788,97.71299023246857,0.0,106.401388465125,56.6846487433907,144.39784709229409,26.650457555926113,80.1537187024314,121.27129422376207
REAPPEARANCE,1974-09-07 19:47:55.476,1974-09-07 19:47:57.401,1974-09-07 19:47:57.401,1974-09-07 19:47:55.476|1974-09-07 19:47:57.401|REAPPEARANCE,venus,70.59605924162227,97.75541082833863,0.0,106.6847750648389,56.64846446003946,144.44571414736376,26.700014142952654,80.1035339149055,121.2207484879613
REAPPEARANCE,1974-09-07 23:29:52.367,1974-09-07 23:29:54.292,1974-09-07 23:29:54.292,1974-09-07 23:29:52.367|1974-09-07 23:29:54.292|REAPPEARANCE,venus,71.28213637557889,97.97144878695613,0.0,108.45044805277266,56.47177243324023,144.6792054173297,26.941750959350244,79.8582224324102,120.97415911035618
DISAPPEARANCE,1974-09-08 02:27:39.584,1974-09-08 02:27:43.394,1974-09-08 02:27:43.394,1974-09-08 02:27:39.584|1974-09-08 02:27:43.394|DISAPPEARANCE,venus,71.79210789600849,98.14508218983262,0.0,109.95367330931542,56.33095402463321,144.86519518744197,27.13435581316724,79.66267801661384,120.77769763819339
REAPPEARANCE,1974-09-08 03:11:51.047,1974-09-08 03:11:52.972,1974-09-08 03:11:52.972,1974-09-08 03:11:51.047|1974-09-08 03:11:52.972|REAPPEARANCE,venus,71.9695272980219,98.18678213894741,0.0,110.22349404310705,56.29518643380551,144.91249067436274,27.183351612686703,79.61307058368556,120.72773364554934
REAPPEARANCE,1974-09-08 06:53:01.837,1974-09-08 06:53:03.762,1974-09-08 06:53:03.762,1974-09-08 06:53:01.837|1974-09-08 06:53:03.762|REAPPEARANCE,venus,72.658810170745,98.40067115207874,0.0,112.00463006656814,56.11937862621807,145.14468982966875,27.42390596760679,79.36900329433387,120.48240157849678
REAPPEARANCE,1974-09-08 10:35:46.648,1974-09-08 10:35:48.573,1974-09-08 10:35:48.573,1974-09-08 10:35:46.648|1974-09-08 10:35:48.573|REAPPEARANCE,venus,73.34688639407466,98.61525619890504,0.0,113.79058476760392,55.94241803037096,145.37831039654088,27.66600755597575,79.12337981521122,120.2355103044698
REAPPEARANCE,1974-09-08 17:59:42.309,1974-09-08 17:59:44.234,1974-09-08 17:59:44.234,1974-09-08 17:59:42.309|1974-09-08 17:59:44.234|REAPPEARANCE,venus,74.72706999492571,99.04090434533988,0.0,117.38659582765452,55.59013734675689,145.84316626157207,28.147974699762095,78.63445986556363,119.74407841827548
DISAPPEARANCE,1974-09-08 20:58:06.067,1974-09-08 20:58:07.992,1974-09-08 20:58:07.992,1974-09-08 20:58:06.067|1974-09-08 20:58:07.992|DISAPPEARANCE,venus,75.24646446961155,99.2122625242226,0.0,118.96139106540784,55.449340455972646,146.02880372870283,28.340526621129914,78.43904506662972,119.54776294137424
REAPPEARANCE,1974-09-08 21:41:39.130,1974-09-08 21:41:41.055,1974-09-08 21:41:41.055,1974-09-08 21:41:39.130|1974-09-08 21:41:41.055|REAPPEARANCE,venus,75.41766673380349,99.25267239071373,0.0,119.19539094289203,55.414186279951394,146.07521291237424,28.38867921193516,78.39030702963043,119.49867800931753
REAPPEARANCE,1974-09-09 01:23:37.867,1974-09-09 01:23:41.677,1974-09-09 01:23:41.677,1974-09-09 01:23:37.867|1974-09-09 01:23:41.677|REAPPEARANCE,venus,76.1089237973749,99.46381766037833,0.0,121.01219225178905,55.2382973711257,146.30708495151444,28.62927980366498,78.14627430513444,119.25340298639436
REAPPEARANCE,1974-09-09 16:11:25.126,1974-09-09 16:11:28.936,1974-09-09 16:11:28.936,1974-09-09 16:11:25.126|1974-09-09 16:11:28.936|REAPPEARANCE,venus,78.8681136714398,100.30144808387422,0.0,128.34992207632231,54.53600231365592,147.23188394015887,29.589660281117634,77.17231369289885,118.2745369190027
DISAPPEARANCE,1974-09-09 19:10:35.075,1974-09-09 19:10:37.000,1974-09-09 19:10:37.000,1974-09-09 19:10:35.075|1974-09-09 19:10:37.000|DISAPPEARANCE,venus,79.39418725606686,100.47028277859988,0.0,130.01356762060377,54.39511189428337,147.4171362638367,29.782183945562807,76.97698694604978,118.0783343406192
REAPPEARANCE,1974-09-09 19:53:21.970,1974-09-09 19:53:25.779,1974-09-09 19:53:25.779,1974-09-09 19:53:21.970|1974-09-09 19:53:25.779|REAPPEARANCE,venus,79.55531217544524,100.50920641591655,0.0,130.20235681349703,54.3606728905934,147.4624841875226,29.829322984097356,76.92928589074927,118.03029911429877
DISAPPEARANCE,1974-09-09 23:59:57.272,1974-09-09 23:59:59.197,1974-09-09 23:59:59.197,1974-09-09 23:59:57.272|1974-09-09 23:59:59.197|DISAPPEARANCE,venus,81.83227129379394,100.76501856864732,0.0,135.87739279325456,54.17608756658524,147.7086229448459,30.0872430839569,76.6690510086712,117.76867835272559
REAPPEARANCE,1974-09-10 10:41:40.128,1974-09-10 10:41:43.938,1974-09-10 10:41:43.938,1974-09-10 10:41:40.128|1974-09-10 10:41:43.938|REAPPEARANCE,venus,82.28260825157045,101.33420876748112,0.0,137.67947940622764,53.659780796864624,148.38309195508552,30.78684764472102,75.95837169256946,117.05461243173347
DISAPPEARANCE,1974-09-10 13:41:14.994,1974-09-10 13:41:16.919,1974-09-10 13:41:16.919,1974-09-10 13:41:14.994|1974-09-10 13:41:16.919|DISAPPEARANCE,venus,82.80462291854519,101.50085853061643,0.0,139.41907339756818,53.51889345474336,148.56781865511348,30.97912841050474,75.76331341360827,116.85870425735092
REAPPEARANCE,1974-09-10 14:23:37.043,1974-09-10 14:23:40.852,1974-09-10 14:23:40.852,1974-09-10 14:23:37.043|1974-09-10 14:23:40.852|REAPPEARANCE,venus,82.95485141951266,101.53874091282445,0.0,139.56399728526324,53.48484860480285,148.61253222278955,31.025671433486007,75.71621594485164,116.81128272088395
REAPPEARANCE,1974-09-10 18:05:33.886,1974-09-10 18:05:37.696,1974-09-10 18:05:37.696,1974-09-10 18:05:33.886|1974-09-10 18:05:37.696|REAPPEARANCE,venus,83.62195546571995,101.74263274055971,0.0,141.45380779889445,53.309981314908775,148.84174833772892,31.264332454737,75.47422538714007,116.56812585324913
DISAPPEARANCE,1974-09-10 21:05:26.008,1974-09-10 21:05:27.933,1974-09-10 21:05:27.933,1974-09-10 21:05:26.008|1974-09-10 21:05:27.933|DISAPPEARANCE,venus,84.13918431652516,101.90851463379337,0.0,143.22174681960817,53.168963199526026,149.02641717768552,31.456666723299037,75.27911330012155,116.3721743244088
DISAPPEARANCE,1974-09-11 00:47:32.457,1974-09-11 00:47:34.382,1974-09-11 00:47:34.382,1974-09-11 00:47:32.457|1974-09-11 00:47:34.382|DISAPPEARANCE,venus,84.79671358651584,102.11139743797462,0.0,145.12994470215838,52.9940687565171,149.25540737271595,31.695217210289197,75.03723209414986,116.12913983358736
DISAPPEARANCE,1974-09-11 04:29:37.003,1974-09-11 04:29:38.928,1974-09-11 04:29:38.928,1974-09-11 04:29:37.003|1974-09-11 04:29:38.928|DISAPPEARANCE,venus,85.44630444698934,102.31361340265516,0.0,147.04156932211012,52.81924719531641,149.48415411629037,31.9335808334584,74.79553651706469,115.88629915260744
