target,kind,data_col,frequency_band,frequency_mhz,n_blocked,n_visible,mean_blocked,mean_visible,diff_visible_minus_blocked,z_score,p_value
Random-00,random,rv2_coarse,1,0.45,86426,476477,3188556366.5619216,3774844706.310648,586288339.7487264,2.6499454701040546,0.008050476326195488
Random-00,random,rv2_coarse,2,0.7,88212,488267,136041594.48307246,290821524.5746684,154779930.09159595,3.974244882551178,7.060289348959081e-05
Random-00,random,rv2_coarse,3,0.9,88449,488073,4876626.015438981,12353727.07725089,7477101.061811909,1.882692446212271,0.059742059729051444
Random-00,random,rv2_coarse,4,1.31,88527,488472,3848635.6826801426,2627033.776484657,-1221601.9061954855,-1.6563797228549042,0.09764494480819663
Random-00,random,rv2_coarse,5,2.2,88412,487602,3126402.606517639,21025388.209207404,17898985.602689765,3.4194172198712303,0.0006275542354523544
Random-00,random,rv2_coarse,6,3.93,88161,486854,2071542.0297379403,6045502.994042841,3973960.9643049007,1.6408332411101856,0.10083203597128887
Random-00,random,rv2_coarse,7,4.7,86121,480362,31884576.588489473,87335999.00323698,55451422.41474751,3.4649359573752334,0.0005303577605599852
Random-00,random,rv2_coarse,8,6.55,86484,479703,226595015.72485328,262104451.9173609,35509436.192507625,0.915165663003695,0.3601046677149289
Random-00,random,rv2_coarse,9,9.18,79444,436104,235712843.0488828,252054168.45001468,16341325.401131868,0.44904492451620864,0.653399249406212
Random-01,random,rv2_coarse,1,0.45,116878,446025,3305698545.4046745,3784176714.4789023,478478169.0742278,2.4028770260524444,0.016266656587541117
Random-01,random,rv2_coarse,2,0.7,119944,456535,130051536.95888248,303153433.8507327,173101896.8918502,4.624571108131256,3.753742970236118e-06
Random-01,random,rv2_coarse,3,0.9,119906,456616,33316780.067213587,5400536.7737340005,-27916243.293479588,-1.959676565318014,0.050033605937278125
Random-01,random,rv2_coarse,4,1.31,119783,457216,2832909.3265869324,2809626.601171166,-23282.72541576624,-0.06135373177547351,0.9510774995940179
Random-01,random,rv2_coarse,5,2.2,119776,456238,37410687.10524594,13255209.759194652,-24155477.34605129,-1.549103146051286,0.12135692675666165
Random-01,random,rv2_coarse,6,3.93,119687,455328,4962203.542831119,5560816.106443337,598612.563612218,0.174431339039506,0.8615264868417136
Random-01,random,rv2_coarse,7,4.7,117317,449166,43850658.09837904,88061872.7095165,44211214.61113746,2.379349012465429,0.017343246431587467
Random-01,random,rv2_coarse,8,6.55,117780,448407,241481528.18006316,260672649.73342115,19191121.55335799,0.5164797899044241,0.6055193507218748
