target,kind,data_col,frequency_band,frequency_mhz,n_blocked,n_visible,mean_blocked,mean_visible,diff_visible_minus_blocked,z_score,p_value
Fornax-A,fixed,rv2_coarse,1,0.45,137655,425248,4287805282.128169,3489641379.9804053,-798163902.1477637,-3.9114833177572295,9.173099344761404e-05
Fornax-A,fixed,rv2_coarse,2,0.7,140780,435699,321234476.60137427,249657825.37049425,-71576651.23088002,-1.3854677656785366,0.16590948237141223
Fornax-A,fixed,rv2_coarse,3,0.9,140624,435898,3230232.939570681,13779840.81899997,10549607.879429288,2.398401356839459,0.016466811078553745
Fornax-A,fixed,rv2_coarse,4,1.31,140864,436135,1910937.2852774365,3106282.1011712374,1195344.815893801,6.246654979060853,4.1933589933762505e-10
Fornax-A,fixed,rv2_coarse,5,2.2,140663,435351,25857959.083922293,15829008.6624623,-10028950.421459993,-0.7744758494574989,0.4386494444771545
Fornax-A,fixed,rv2_coarse,6,3.93,140398,434617,2646225.264247596,6337492.083594581,3691266.8193469853,1.362220586866954,0.17312828070203246
Fornax-A,fixed,rv2_coarse,7,4.7,138765,427718,92461499.33761705,74507986.1450437,-17953513.192573354,-0.7303802153684212,0.4651578083811261
Fornax-A,fixed,rv2_coarse,8,6.55,138469,427718,211900069.4309058,271177608.90127116,59277539.470365375,1.7808833414921632,0.07493151056902048
Fornax-A,fixed,rv2_coarse,9,9.18,125516,390032,229135783.45205417,256101025.51875907,26965242.0667049,0.9035622777617401,0.3662275512286097
Cygnus-A,fixed,rv2_coarse,1,0.45,2852,560051,232699178.20303735,3702407808.5906906,3469708630.3876534,14.641394452654515,0.0
Cygnus-A,fixed,rv2_coarse,2,0.7,2852,573627,6138254.643758765,268434972.84785485,262296718.20409608,12.628722831643705,0.0
Cygnus-A,fixed,rv2_coarse,3,0.9,2827,573695,3074269.3930624337,11246677.015906448,8172407.622844014,2.45359769391834,0.014143511542682674
Cygnus-A,fixed,rv2_coarse,4,1.31,2835,574164,2644556.937962963,2815298.9303204543,170741.99235749152,0.9694166903250223,0.3323373281837707
