target,kind,data_col,n_blocked,n_visible,mean_blocked,mean_visible,diff_visible_minus_blocked,z_score,p_value
Fornax-A,fixed,rv2_coarse,1243734,3848416,571766677.4186395,482663295.4654021,-89103381.95323741,-3.7049175702631643,0.0002114594877580256
Cygnus-A,fixed,rv2_coarse,24954,5067196,28993684.15667625,506767706.88560873,477774022.7289325,17.561613275957402,0.0
Sag-A,fixed,rv2_coarse,754163,4337987,421023548.56589186,518926041.77865815,97902493.21276629,3.559042137371971,0.00037220981675689657
Random-00,random,rv2_coarse,780236,4311914,422788106.8320018,519198737.34313804,96410630.51113623,3.7612155503273113,0.00016908963629802543
Random-01,random,rv2_coarse,1058187,4033963,450872989.777593,518474480.1131277,67601490.33553469,2.8972544652338503,0.0037644427977838735
Random-02,random,rv2_coarse,896045,4196105,541818930.4191302,496441500.42645854,-45377429.99267167,-1.5618072632867266,0.11833340021702154
Random-03,random,rv2_coarse,519816,4572334,488423730.1417626,506245680.2033718,17821950.06160921,0.5039463815711396,0.6142990561369008
Random-04,random,rv2_coarse,955356,4136794,452892363.8987216,516327708.9576004,63435345.05887884,2.6406762123194794,0.00827407526252677
Random-05,random,rv2_coarse,102512,4989638,506775173.9800823,504378127.0343316,-2397046.9457506537,-0.034195144869732845,0.9727215381112411
Random-06,random,rv2_coarse,1315250,3776900,516275614.5333294,500300061.8601003,-15975552.673229098,-0.7067888977414306,0.4796976749715065
Random-07,random,rv2_coarse,817018,4275132,420252129.51457447,520512875.6966184,100260746.18204391,4.000644865783616,6.317010103429332e-05
Random-08,random,rv2_coarse,1028788,4063362,506602650.7991197,503875381.4560578,-2727269.343061924,-0.11328378898563217,0.9098055690174782
Random-09,random,rv2_coarse,1102008,3990142,569066261.8478838,486573969.6902795,-82492292.15760434,-3.1340123368518453,0.0017243360620251558
Random-10,random,rv2_coarse,806393,4285757,390519861.19164544,525858634.3622515,135338773.17060608,5.569440089517067,2.5555924265674435e-08
Random-11,random,rv2_coarse,19619,5072531,35234871.31148695,506241072.2998272,471006200.98834026,13.980104384278949,0.0
Random-12,random,rv2_coarse,1091661,4000489,456152327.39066076,517599498.40700924,61447171.01634848,2.6441261682925217,0.00819021210969928
Random-13,random,rv2_coarse,757484,4334666,587884923.723352,489841981.3874275,-98042942.33592445,-3.3213123424268534,0.0008959520984626046
Random-14,random,rv2_coarse,20352,5071798,16180271.478767252,506385606.20301497,490205334.7242477,43.7242031777399,0.0
Random-15,random,rv2_coarse,22264,5069886,31468071.880962715,506503341.59427184,475035269.7133091,15.799409487901794,0.0
Random-16,random,rv2_coarse,824608,4267542,427097028.0158856,519368568.5053014,92271540.48941582,3.695570632031275,0.00021939347528876496
Random-17,random,rv2_coarse,274409,4817741,446121362.1473044,507747321.5743427,61625959.42703831,1.522668258630829,0.12784172300851182
Random-18,random,rv2_coarse,844515,4247635,426497152.2254553,519920276.3756053,93423124.15015,3.81332905337584,0.0001371073711600168
Random-19,random,rv2_coarse,860060,4232090,398942449.818877,525863193.42527014,126920743.60639316,5.295297996002419,1.1882248052152988e-07
Random-20,random,rv2_coarse,1309018,3783132,634450808.4597408,459436064.42123127,-175014744.0385095,-6.984472275098122,2.859268377619628e-12
Random-21,random,rv2_coarse,1167178,3924972,619297092.9464254,470267014.2114011,-149030078.73502433,-5.698273682530336,1.2102665758462194e-08
Random-22,random,rv2_coarse,810206,4281944,447550785.36151063,515188072.0648765,67637286.70336586,2.643008459978666,0.008217298207679802
Random-23,random,rv2_coarse,2806,5089344,238051585.57591432,504573248.1249545,266521662.5490402,1.1841892389080853,0.23633816094539517
Random-24,random,rv2_coarse,750636,4341514,362078401.0383312,529037963.0268533,166959561.9885221,6.877532932269958,6.089795334673909e-12
Random-25,random,rv2_coarse,224303,4867847,466982488.5943179,506151740.70080745,39169252.10648954,0.8978220225743301,0.36928044183195574
Random-26,random,rv2_coarse,680283,4411867,392077131.6436511,521749952.6410103,129672820.99735916,4.935445651477544,7.996794761933046e-07
Random-27,random,rv2_coarse,1117687,3974463,588323174.5828701,480833169.568913,-107490005.01395714,-4.215873000498022,2.4881376307295255e-05
Random-28,random,rv2_coarse,653288,4438862,599427261.7486451,490444660.9696644,-108982600.77898067,-3.4664808074400515,0.0005273193802350917
Random-29,random,rv2_coarse,141105,4951045,443459334.43708754,506163946.4534516,62704612.01636404,1.0155051345526513,0.30986510024410663
Random-30,random,rv2_coarse,941723,4150427,523729842.99696714,500046469.1266084,-23683373.870358765,-0.8611752973876213,0.38914150314820395
Random-31,random,rv2_coarse,738776,4353374,557385662.9773371,495439090.4853634,-61946572.4919737,-2.171866020919591,0.029865770094450017
Random-32,random,rv2_coarse,1167,5090983,549186162.7572937,504416122.6628407,-44770040.09445298,-0.0828341638937809,0.9339834036053039
Random-33,random,rv2_coarse,958538,4133612,483115730.9772936,509368082.71189,26252351.73459637,1.0800389433085276,0.28012483881442996
Random-34,random,rv2_coarse,608462,4483688,525323864.061177,501590475.67091703,-23733388.39025998,-0.6850759042684504,0.49329602444217
Random-35,random,rv2_coarse,443,5091707,284585575.1282626,504445509.97231245,219859934.84404987,1.145618188977679,0.2519531678851932
Random-36,random,rv2_coarse,1717,5090433,79091012.82732874,504569848.2595391,425478835.4322104,8.421169354901958,0.0
Random-37,random,rv2_coarse,598,5091552,214929967.8245323,504460384.0898837,289530416.2653514,2.0325216058004885,0.042100878770420014
Random-38,random,rv2_coarse,398728,4693422,578092197.571883,498168129.75712234,-79924067.81476063,-2.0281076925277364,0.042549257983867106
Random-39,random,rv2_coarse,850344,4241806,430366000.1987615,519273078.3966448,88907078.19788325,3.565361835788558,0.00036335454137326195
Random-40,random,rv2_coarse,1161340,3930810,466255139.6328707,515703903.72293144,49448764.09006077,2.168552796411609,0.030116652185311565
Random-41,random,rv2_coarse,512462,4579688,401277924.8270424,515968580.77267677,114690655.94563437,3.566884407178063,0.0003612507342725113
Random-42,random,rv2_coarse,186269,4905881,502956276.7319177,504482200.63711226,1525923.9051945806,0.028400532127969825,0.9773426997969232
Random-43,random,rv2_coarse,592,5091558,216986628.6417995,504459803.77130497,287473175.12950546,1.997964219063038,0.04572053943358889
Random-44,random,rv2_coarse,810798,4281352,387206087.7103841,526625440.7838858,139419353.0735017,5.765539887427153,8.139684704033812e-09
Random-45,random,rv2_coarse,129730,4962420,588464991.4277886,502229404.66878,-86235586.75900859,-1.264953153632829,0.20588812149237867
Random-46,random,rv2_coarse,821330,4270820,451464841.7900025,514611523.5825887,63146681.79258615,2.443846050160224,0.01453162595788382
Random-47,random,rv2_coarse,401504,4690646,390636704.82722324,514166408.2344789,123529703.40725565,3.858651772569493,0.00011401425477064464
Random-48,random,rv2_coarse,59819,5032331,503500001.8148618,504437394.72737616,937392.9125143886,0.009292130158786742,0.9925860595006415
Random-49,random,rv2_coarse,1017383,4074767,508591425.73766416,503386459.9284113,-5204965.809252858,-0.21783032524783544,0.827561315734417
