target,kind,data_col,frequency_band,frequency_mhz,n_blocked,n_visible,mean_blocked,mean_visible,diff_visible_minus_blocked,z_score,p_value
Fornax-A,fixed,rv1_coarse,1,0.45,137655,425248,60038547.79916238,67436726.38024414,7398178.581081755,11.984787962410763,0.0
Fornax-A,fixed,rv1_coarse,2,0.7,140780,435699,23181175.27419278,22315792.08290909,-865383.1912836917,-2.875036277017579,0.004039810794653098
Fornax-A,fixed,rv1_coarse,3,0.9,140624,435898,2616088.7155288085,2896999.0647765547,280910.34924774617,2.720320511391537,0.006521866754799266
Fornax-A,fixed,rv1_coarse,4,1.31,140864,436135,2555715.181844384,2356076.03238621,-199639.14945817413,-3.3174368592163312,0.0009084744689029645
Fornax-A,fixed,rv1_coarse,5,2.2,140663,435351,1835379.9625920586,1475332.9516100434,-360047.01098201517,-4.21979721472852,2.4452216390358217e-05
Fornax-A,fixed,rv1_coarse,6,3.93,140398,434617,2818334.893530078,2971085.3467000765,152750.45316999825,1.5304954195991554,0.125894146373988
Fornax-A,fixed,rv1_coarse,7,4.7,138765,427718,713908.0447590372,645526.9922978524,-68381.0524611848,-1.9518430074863016,0.050956846442690384
Fornax-A,fixed,rv1_coarse,8,6.55,138469,427718,1264556.5662254503,1512366.3753153335,247809.80908988323,6.076343734180259,1.2295371387693876e-09
Fornax-A,fixed,rv1_coarse,9,9.18,125516,390032,1422099.7951055854,1976946.5064158197,554846.7113102344,6.918237039956984,4.57300863843102e-12
Cygnus-A,fixed,rv1_coarse,1,0.45,2852,560051,11538114.938778857,65902984.930362344,54364869.99158349,41.83559805858107,0.0
Cygnus-A,fixed,rv1_coarse,2,0.7,2852,573627,11823810.6151624,22580339.91070473,10756529.295542328,10.015457307821782,0.0
Cygnus-A,fixed,rv1_coarse,3,0.9,2827,573695,2967325.288844181,2827795.831023332,-139529.45782084903,-0.8120435863146415,0.4167666218328241
Cygnus-A,fixed,rv1_coarse,4,1.31,2835,574164,2250718.5883597885,2405575.2303559384,154856.6419961499,1.964186598381751,0.04950845639743995
Cygnus-A,fixed,rv1_coarse,5,2.2,2816,573198,1489992.3987424157,1563616.601766949,73624.20302453334,1.3448177155001224,0.1786841078513759
Cygnus-A,fixed,rv1_coarse,6,3.93,2782,572233,1445009.0102668942,2941027.112106468,1496018.1018395738,3.4808931933303953,0.0004997447272012678
Cygnus-A,fixed,rv1_coarse,7,4.7,2759,563724,471172.99791591155,663212.8446214648,192039.8467055533,10.246315097463583,0.0
Cygnus-A,fixed,rv1_coarse,8,6.55,2773,563414,553232.7353498016,1456183.3573725016,902950.6220227,31.910777592864616,0.0
Cygnus-A,fixed,rv1_coarse,9,9.18,2458,513090,1441715.1827705451,1843779.7301713105,402064.54740076535,0.7987374148787075,0.4244426870280251
Sag-A,fixed,rv1_coarse,1,0.45,83094,479809,69345092.297142,64983729.39586591,-4361362.901276089,-5.477151268934082,4.3222770473860805e-08
Sag-A,fixed,rv1_coarse,2,0.7,85530,490949,19619646.847775068,23033646.58028036,3413999.7325052917,10.459225103164728,0.0
Sag-A,fixed,rv1_coarse,3,0.9,85641,490881,3802665.4365964117,2658519.8596298094,-1144145.5769666024,-8.815930521409133,0.0
Sag-A,fixed,rv1_coarse,4,1.31,85791,491208,2918563.119593882,2315086.552269117,-603476.567324765,-7.212607729060809,5.488942633746774e-13
Sag-A,fixed,rv1_coarse,5,2.2,85405,490609,1565033.0163580244,1562947.4443648874,-2085.5719931370113,-0.05022100767133812,0.9599462709745468
Sag-A,fixed,rv1_coarse,6,3.93,85033,489982,2802843.880802297,2956513.828655586,153669.94785328908,1.4093238629835452,0.1587394258045065
Sag-A,fixed,rv1_coarse,7,4.7,83811,482672,540477.4373760435,683426.8601010977,142949.4227250542,4.044105307283834,5.252330906957425e-05
Sag-A,fixed,rv1_coarse,8,6.55,83401,482786,1388024.1665093834,1462771.4991212392,74747.33261185582,1.5068321491003602,0.13185368673593767
Sag-A,fixed,rv1_coarse,9,9.18,76457,439091,2463652.7024820223,1733593.2255481887,-730059.4769338337,-4.808962439832156,1.5171570715288851e-06
Random-00,random,rv1_coarse,1,0.45,86426,476477,64560082.77065513,65821161.57443719,1261078.8037820607,1.678567627674271,0.09323634007826631
Random-00,random,rv1_coarse,2,0.7,88212,488267,22459650.433273062,22539314.48533771,79664.05206464604,0.21917876552958168,0.8265107959917672
Random-00,random,rv1_coarse,3,0.9,88449,488073,2263312.168430001,2930900.213461979,667588.0450319778,8.05881887578338,6.661338147750939e-16
Random-00,random,rv1_coarse,4,1.31,88527,488472,2273646.1229503606,2428586.312897485,154940.18994712457,3.289671519425656,0.001003044029977307
Random-00,random,rv1_coarse,5,2.2,88412,487602,1505352.8877555842,1573755.7843942882,68402.896638704,2.4161116019516857,0.015687252369942284
Random-00,random,rv1_coarse,6,3.93,88161,486854,4243599.894710787,2696604.6744834906,-1546995.220227296,-12.169177828149126,0.0
Random-00,random,rv1_coarse,7,4.7,86121,480362,801343.5907780703,637345.2782302564,-163998.31254781387,-4.95957165745953,7.064878448925782e-07
Random-00,random,rv1_coarse,8,6.55,86484,479703,2567821.9292831593,1250550.2211861734,-1317271.708096986,-19.27261102844861,0.0
Random-00,random,rv1_coarse,9,9.18,79444,436104,2984105.7545196437,1633783.180412904,-1350322.5741067398,-10.421810321899875,0.0
Random-01,random,rv1_coarse,1,0.45,116878,446025,69334184.98267919,64656237.754910976,-4677947.227768213,-6.651266531132831,2.9058089268119147e-11
Random-01,random,rv1_coarse,2,0.7,119944,456535,20429384.60642116,23078256.96299229,2648872.3565711267,8.221306748778206,2.220446049250313e-16
Random-01,random,rv1_coarse,3,0.9,119906,456616,1970237.261016666,3053852.00880177,1083614.747785104,14.583555410120963,0.0
Random-01,random,rv1_coarse,4,1.31,119783,457216,1745166.8964488972,2577631.048350777,832464.1519018798,22.164450776973574,0.0
Random-01,random,rv1_coarse,5,2.2,119776,456238,1318868.1528397992,1627415.9005166837,308547.7476768845,10.517119634382386,0.0
Random-01,random,rv1_coarse,6,3.93,119687,455328,2904274.17983502,2941547.453147333,37273.27331231302,0.37853902501617287,0.7050302089264966
Random-01,random,rv1_coarse,7,4.7,117317,449166,771314.0163468024,633798.4563989323,-137515.5599478701,-1.806289626737459,0.07087311130802743
Random-01,random,rv1_coarse,8,6.55,117780,448407,1533127.7013943275,1430388.9631865064,-102738.73820782104,-2.362405838351744,0.018156753293053995
Random-01,random,rv1_coarse,9,9.18,107116,408432,1862962.3403564463,1836329.1897383814,-26633.150618064916,-0.26928842068564796,0.787707742135108
Random-02,random,rv1_coarse,1,0.45,98717,464186,70652249.40608422,64558950.964525715,-6093298.44155851,-8.154246167905923,4.440892098500626e-16
Random-02,random,rv1_coarse,2,0.7,101307,475172,20073644.421194695,23050208.039308492,2976563.618113797,9.421175215798472,0.0
Random-02,random,rv1_coarse,3,0.9,101441,475081,3321143.0674477434,2723284.8376708967,-597858.2297768467,-5.383112512220684,7.32087452881558e-08
Random-02,random,rv1_coarse,4,1.31,101681,475318,2787433.086485926,2322963.7844413877,-464469.3020445383,-6.506528888518055,7.690714731722892e-11
Random-02,random,rv1_coarse,5,2.2,101477,474537,1645739.1211472224,1545618.273596819,-100120.84755040333,-2.6042558128310223,0.009207400527651677
Random-02,random,rv1_coarse,6,3.93,101158,473857,2604000.3400662513,3004191.8049288313,400191.46486257995,4.008854049071397,6.1014110022350465e-05
Random-02,random,rv1_coarse,7,4.7,99838,466645,541909.5821250054,688030.0765302196,146120.4944052142,4.668625449663731,3.032216033149737e-06
Random-02,random,rv1_coarse,8,6.55,99480,466707,1285282.3648690206,1487246.4197636321,201964.05489461147,4.639587157696792,3.491058800264568e-06
Random-02,random,rv1_coarse,9,9.18,90946,424602,1883347.1378359136,1832977.208951495,-50369.92888441868,-0.433091615311165,0.6649482138905287
Random-03,random,rv1_coarse,1,0.45,57287,505616,71378109.17597069,64975992.80219756,-6402116.373773128,-6.65123388127348,2.9064528561661973e-11
Random-03,random,rv1_coarse,2,0.7,58713,517766,19872182.454997152,22828186.28753532,2956003.832538169,7.489109035310821,6.927791673660977e-14
Random-03,random,rv1_coarse,3,0.9,58959,517563,2159994.943118609,2904631.544409402,744636.6012907932,13.813777879961142,0.0
Random-03,random,rv1_coarse,4,1.31,58930,518069,1871577.5793575633,2465469.690347321,593892.1109897576,20.519905324163805,0.0
Random-03,random,rv1_coarse,5,2.2,58802,517212,1297005.1892302185,1593526.8871514096,296521.6979211911,10.05100165318053,0.0
Random-03,random,rv1_coarse,6,3.93,58734,516281,2849042.807350858,2943430.229393756,94387.4220428979,0.7599447667562412,0.44728760095302134
