frequency_band,frequency_mhz,n_events,combined_z,mean_z,target,data_col,kind
1,0.45,1381,0.06974084207107976,0.0018766805266916867,Fornax-A,rv2_coarse,fixed
2,0.7,1390,7.692277792716427,0.2063229598712009,Fornax-A,rv2_coarse,fixed
3,0.9,1398,13.465814530786483,0.360146370833532,Fornax-A,rv2_coarse,fixed
4,1.31,1411,14.601266825013417,0.3887111787778955,Fornax-A,rv2_coarse,fixed
5,2.2,1413,14.91468653619646,0.3967738570161408,Fornax-A,rv2_coarse,fixed
6,3.93,1416,4.237122225329442,0.11260025273294508,Fornax-A,rv2_coarse,fixed
7,4.7,1403,2.770976078279539,0.07397823082545135,Fornax-A,rv2_coarse,fixed
8,6.55,1385,-1.305846711587972,-0.035088702802741914,Fornax-A,rv2_coarse,fixed
9,9.18,1368,1.1652007347425362,0.031503419848757146,Fornax-A,rv2_coarse,fixed
1,0.45,1400,-5.817783449115365,-0.15548680297881204,Cygnus-A,rv2_coarse,fixed
2,0.7,1411,-2.97645638513162,-0.07923845813593937,Cygnus-A,rv2_coarse,fixed
3,0.9,1417,1.952916647027693,0.051879858431034646,Cygnus-A,rv2_coarse,fixed
4,1.31,1429,-4.452170460352078,-0.1177756932963789,Cygnus-A,rv2_coarse,fixed
5,2.2,1445,-4.889935038737181,-0.12863796649616943,Cygnus-A,rv2_coarse,fixed
6,3.93,1444,-2.7595882057595893,-0.0726207422568313,Cygnus-A,rv2_coarse,fixed
7,4.7,1427,-4.1932249639011365,-0.11100337311201426,Cygnus-A,rv2_coarse,fixed
8,6.55,1415,-0.15286225346330684,-0.004063703730565181,Cygnus-A,rv2_coarse,fixed
9,9.18,1388,-2.3039838072826844,-0.06184216560604072,Cygnus-A,rv2_coarse,fixed
1,0.45,1826,1.9252907570260909,0.045055305548844356,Sag-A,rv2_coarse,fixed
2,0.7,1825,-12.219354477530906,-0.28603345320927837,Sag-A,rv2_coarse,fixed
3,0.9,1817,-25.271736216675155,-0.5928674623902381,Sag-A,rv2_coarse,fixed
4,1.31,1849,-34.138485593605616,-0.7939182696187352,Sag-A,rv2_coarse,fixed
5,2.2,1868,-24.50683251960545,-0.5670204820443536,Sag-A,rv2_coarse,fixed
6,3.93,1869,0.9945603300661198,0.02300522482517709,Sag-A,rv2_coarse,fixed
7,4.7,1859,4.0795544974421,0.09461784321554079,Sag-A,rv2_coarse,fixed
8,6.55,1845,5.582193241155269,0.1299590958821005,Sag-A,rv2_coarse,fixed
9,9.18,1819,10.239273579816516,0.2400782393113437,Sag-A,rv2_coarse,fixed
1,0.45,2545,40.014644734660415,0.793186058299676,Earth,rv2_coarse,earth
2,0.7,2541,11.475277988593184,0.22764645023112062,Earth,rv2_coarse,earth
3,0.9,2544,1.062185447801636,0.02105919634264561,Earth,rv2_coarse,earth
4,1.31,2579,-6.417729786280049,-0.1263734251272983,Earth,rv2_coarse,earth
5,2.2,2600,-7.918518838862671,-0.15529493106966477,Earth,rv2_coarse,earth
6,3.93,2590,49.86957288864463,0.9799090455183793,Earth,rv2_coarse,earth
7,4.7,2574,32.642465876021944,0.6433964902714135,Earth,rv2_coarse,earth
8,6.55,2567,15.36213082928439,0.30320651242427166,Earth,rv2_coarse,earth
9,9.18,2552,53.16942276256838,1.0524988024670818,Earth,rv2_coarse,earth
1,0.45,143,-2.8839032595346925,-0.2411641058419292,Random-000,rv2_coarse,random
2,0.7,146,-5.442580360477436,-0.4504311555522724,Random-000,rv2_coarse,random
3,0.9,146,-5.3042330683380605,-0.43898145218759854,Random-000,rv2_coarse,random
4,1.31,143,-0.9098600350926321,-0.07608631845709848,Random-000,rv2_coarse,random
5,2.2,146,6.924109095661604,0.573043346089476,Random-000,rv2_coarse,random
6,3.93,145,2.4222706581754943,0.20115862914381846,Random-000,rv2_coarse,random
7,4.7,149,-1.2165870765392433,-0.0996666967191889,Random-000,rv2_coarse,random
8,6.55,146,-0.21521156749196285,-0.01781103605516944,Random-000,rv2_coarse,random
9,9.18,144,-1.6165353150614303,-0.1347112762551192,Random-000,rv2_coarse,random
1,0.45,117,1.671750066694125,0.1545533483391285,Random-001,rv2_coarse,random
2,0.7,116,-1.955666098635723,-0.18157903877377812,Random-001,rv2_coarse,random
3,0.9,113,-0.23834004517241608,-0.02242114542651811,Random-001,rv2_coarse,random
4,1.31,114,5.25317855746043,0.49200525026226294,Random-001,rv2_coarse,random
5,2.2,118,8.853758726515666,0.8150545556626105,Random-001,rv2_coarse,random
6,3.93,118,0.4537121927488472,0.04176759284755805,Random-001,rv2_coarse,random
7,4.7,117,2.400904209925148,0.22196367272724307,Random-001,rv2_coarse,random
8,6.55,116,3.7449061808902324,0.3477058098508717,Random-001,rv2_coarse,random
9,9.18,115,-1.1943893089607436,-0.1113773773516719,Random-001,rv2_coarse,random
1,0.45,134,0.1394482623084259,0.012046495081043641,Random-002,rv2_coarse,random
2,0.7,136,-2.946343113354922,-0.25264683764237184,Random-002,rv2_coarse,random
3,0.9,138,1.6358974618915285,0.13925683980868248,Random-002,rv2_coarse,random
4,1.31,138,1.850616954715313,0.15753497686342774,Random-002,rv2_coarse,random
5,2.2,138,5.706234137278337,0.4857469075396698,Random-002,rv2_coarse,random
6,3.93,140,-0.14734188603769593,-0.012452662188448293,Random-002,rv2_coarse,random
7,4.7,138,-1.2995727126793772,-0.11062697588641826,Random-002,rv2_coarse,random
8,6.55,136,2.4128058660149665,0.20689639612255625,Random-002,rv2_coarse,random
9,9.18,137,-1.8044877714407224,-0.15416779457866336,Random-002,rv2_coarse,random
1,0.45,189,1.5408298488472463,0.11207887960936304,Random-003,rv2_coarse,random
2,0.7,189,3.9045343258585103,0.2840130809809523,Random-003,rv2_coarse,random
3,0.9,184,4.729788404374345,0.3486846272698515,Random-003,rv2_coarse,random
4,1.31,187,-4.477408179098279,-0.32742051329358407,Random-003,rv2_coarse,random
5,2.2,188,-5.519659384943769,-0.4025625346280484,Random-003,rv2_coarse,random
6,3.93,190,0.3800629312012419,0.02757266301336963,Random-003,rv2_coarse,random
7,4.7,191,5.405826716780799,0.3911518932873894,Random-003,rv2_coarse,random
8,6.55,192,0.5369230418263276,0.03874908284156786,Random-003,rv2_coarse,random
9,9.18,189,1.8470732658405664,0.13435481039434424,Random-003,rv2_coarse,random
1,0.45,139,1.4012866564260746,0.11885558292888573,Random-004,rv2_coarse,random
2,0.7,140,-6.345399592671574,-0.5362841463698976,Random-004,rv2_coarse,random
3,0.9,138,0.9485530467932057,0.08074619758538253,Random-004,rv2_coarse,random
4,1.31,141,-1.6293179600805232,-0.13721332501099942,Random-004,rv2_coarse,random
5,2.2,142,-2.1069778777962758,-0.1768136557390154,Random-004,rv2_coarse,random
6,3.93,140,1.2355393590244637,0.10442213461640698,Random-004,rv2_coarse,random
7,4.7,138,0.2646177083942741,0.022525755242503998,Random-004,rv2_coarse,random
8,6.55,138,2.3429309621102954,0.1994435282613267,Random-004,rv2_coarse,random
9,9.18,139,-0.07052351357964184,-0.00598172635003873,Random-004,rv2_coarse,random
1,0.45,124,-2.3618765607315924,-0.21210277652007897,Random-005,rv2_coarse,random
2,0.7,120,9.684601428064893,0.8840791104329813,Random-005,rv2_coarse,random
3,0.9,120,7.579781694474909,0.6919362358381065,Random-005,rv2_coarse,random
4,1.31,121,8.539750687268189,0.7763409715698354,Random-005,rv2_coarse,random
5,2.2,124,8.913555010358222,0.8004608698838306,Random-005,rv2_coarse,random
6,3.93,125,2.7744498107430062,0.24815433507931153,Random-005,rv2_coarse,random
7,4.7,123,1.1129061181709594,0.10034736529903591,Random-005,rv2_coarse,random
8,6.55,124,-2.962627455328401,-0.2660517994535365,Random-005,rv2_coarse,random
9,9.18,123,-0.11836662375294307,-0.01067275903961336,Random-005,rv2_coarse,random
1,0.45,138,-3.3954115922929784,-0.2890366292553359,Random-006,rv2_coarse,random
2,0.7,137,-1.7769260076275275,-0.151813034181265,Random-006,rv2_coarse,random
3,0.9,136,0.5521206871485482,0.04734395833694289,Random-006,rv2_coarse,random
4,1.31,141,0.29288080956402046,0.02466501364178571,Random-006,rv2_coarse,random
5,2.2,143,-4.943311907620155,-0.4133805085720264,Random-006,rv2_coarse,random
6,3.93,144,3.132543396874437,0.2610452830728697,Random-006,rv2_coarse,random
7,4.7,142,0.05179563622066459,0.0043465932357498495,Random-006,rv2_coarse,random
8,6.55,141,0.1756395565895809,0.01479151899971871,Random-006,rv2_coarse,random
9,9.18,139,1.9242540360644091,0.16321309712818355,Random-006,rv2_coarse,random
1,0.45,147,5.511119084530472,0.454549440998536,Random-007,rv2_coarse,random
2,0.7,148,2.9028751740108105,0.23861486944062002,Random-007,rv2_coarse,random
3,0.9,146,7.367534743882712,0.6097415138519872,Random-007,rv2_coarse,random
4,1.31,145,2.0632439264398896,0.1713430819265152,Random-007,rv2_coarse,random
5,2.2,145,-0.26175797167025466,-0.021737816362897976,Random-007,rv2_coarse,random
6,3.93,147,-1.968398906861695,-0.16235080553559494,Random-007,rv2_coarse,random
7,4.7,145,-0.5319687051263361,-0.044177596384389284,Random-007,rv2_coarse,random
8,6.55,143,0.8016545588307734,0.06703772196079935,Random-007,rv2_coarse,random
9,9.18,143,0.20688132688234265,0.01730028566250242,Random-007,rv2_coarse,random
1,0.45,186,5.9039184985487765,0.4328963075666889,Random-008,rv2_coarse,random
2,0.7,185,-5.2391834816711365,-0.38519243035569645,Random-008,rv2_coarse,random
3,0.9,183,-8.239165639976646,-0.6090566495988783,Random-008,rv2_coarse,random
4,1.31,185,-7.57803269821672,-0.5571480446433924,Random-008,rv2_coarse,random
5,2.2,186,-4.450653040270375,-0.3263377141583326,Random-008,rv2_coarse,random
6,3.93,191,0.344714405240658,0.0249426589710621,Random-008,rv2_coarse,random
7,4.7,186,-1.413682811178532,-0.10365625290730412,Random-008,rv2_coarse,random
8,6.55,187,0.21806382925453754,0.01594640650334104,Random-008,rv2_coarse,random
9,9.18,184,2.5393707188341934,0.1872048930936904,Random-008,rv2_coarse,random
1,0.45,132,4.08385176199436,0.35545367099926234,Random-009,rv2_coarse,random
2,0.7,136,0.776883280173331,0.06661719168529878,Random-009,rv2_coarse,random
3,0.9,137,-0.02952738043930261,-0.0025226943590634285,Random-009,rv2_coarse,random
4,1.31,137,6.241316743302891,0.533231675387666,Random-009,rv2_coarse,random
5,2.2,138,3.8732448853591164,0.3297125003889868,Random-009,rv2_coarse,random
6,3.93,138,-7.332924304076865,-0.6242199703404984,Random-009,rv2_coarse,random
7,4.7,139,-1.6242449619783983,-0.13776665958385426,Random-009,rv2_coarse,random
8,6.55,134,0.4825791687627705,0.0416884906737456,Random-009,rv2_coarse,random
9,9.18,135,-1.2586050661658765,-0.10832347690472718,Random-009,rv2_coarse,random
1,0.45,110,-0.6088248826494512,-0.058049174900808964,Random-010,rv2_coarse,random
2,0.7,108,11.316850851634097,1.0889644809282986,Random-010,rv2_coarse,random
3,0.9,109,7.836783097327531,0.7506276842197139,Random-010,rv2_coarse,random
4,1.31,110,3.0629574913564994,0.2920415380457952,Random-010,rv2_coarse,random
5,2.2,111,0.8774283818888601,0.08328181643699886,Random-010,rv2_coarse,random
6,3.93,113,2.1863470123561584,0.2056742260051569,Random-010,rv2_coarse,random
7,4.7,113,-2.447964315692788,-0.23028511168305785,Random-010,rv2_coarse,random
8,6.55,113,-1.358710304573194,-0.1278167137599837,Random-010,rv2_coarse,random
9,9.18,109,-2.6721190740107277,-0.2559425886328278,Random-010,rv2_coarse,random
1,0.45,151,1.3703605472215432,0.11151835976842224,Random-011,rv2_coarse,random
2,0.7,152,2.7687204947822788,0.22457288668872463,Random-011,rv2_coarse,random
3,0.9,152,-6.483560486571186,-0.5258861980594179,Random-011,rv2_coarse,random
4,1.31,154,-8.199342537766524,-0.6607218506842405,Random-011,rv2_coarse,random
5,2.2,157,-2.0562854736129483,-0.1641094467211787,Random-011,rv2_coarse,random
6,3.93,155,0.7448685873039584,0.05982928468148379,Random-011,rv2_coarse,random
7,4.7,153,0.03950612659404641,0.003193881035417181,Random-011,rv2_coarse,random
8,6.55,151,4.38484243231547,0.35683341649483885,Random-011,rv2_coarse,random
9,9.18,151,2.7889967099516415,0.22696533341093805,Random-011,rv2_coarse,random
1,0.45,144,2.5696021019930995,0.21413350849942495,Random-012,rv2_coarse,random
2,0.7,143,-9.182950718970506,-0.7679169167027955,Random-012,rv2_coarse,random
3,0.9,143,-5.720458870307086,-0.478368802386849,Random-012,rv2_coarse,random
4,1.31,146,2.8753720646939978,0.23796748526635017,Random-012,rv2_coarse,random
5,2.2,146,2.233769699654566,0.18486809572156615,Random-012,rv2_coarse,random
6,3.93,147,-2.3024634765854635,-0.18990398685798554,Random-012,rv2_coarse,random
7,4.7,146,-0.9068521310987657,-0.07505161637889451,Random-012,rv2_coarse,random
8,6.55,146,-0.44385092840311213,-0.03673336420080436,Random-012,rv2_coarse,random
9,9.18,144,-2.5808837389821107,-0.2150736449151759,Random-012,rv2_coarse,random
1,0.45,147,7.446684090643901,0.6141921520433371,Random-013,rv2_coarse,random
2,0.7,151,1.3086353646813431,0.10649523565174644,Random-013,rv2_coarse,random
3,0.9,150,3.4667563938929757,0.2830594742522948,Random-013,rv2_coarse,random
4,1.31,148,-0.5208651786364888,-0.04281485394523139,Random-013,rv2_coarse,random
5,2.2,151,-0.42301315327181677,-0.0344243222041,Random-013,rv2_coarse,random
