frequency_band,event_type,n_events,combined_z,mean_z,target,data_col,analysis_mode
1,Egress,885,-1.4838763369866685,-0.04987995740587996,Fornax-A,rv2_coarse,per_band
1,Ingress,496,2.0984840173718275,0.09422471393460675,Fornax-A,rv2_coarse,per_band
2,Egress,889,7.092533608626718,0.23787594244203825,Fornax-A,rv2_coarse,per_band
2,Ingress,501,3.36492440004331,0.15033373530937597,Fornax-A,rv2_coarse,per_band
3,Egress,898,15.81480573838704,0.5277469028593524,Fornax-A,rv2_coarse,per_band
3,Ingress,500,1.3223170294956659,0.05913581531515807,Fornax-A,rv2_coarse,per_band
4,Egress,904,7.733826907136287,0.2572232567124223,Fornax-A,rv2_coarse,per_band
4,Ingress,507,14.031461246666472,0.6231590713758992,Fornax-A,rv2_coarse,per_band
5,Egress,906,14.468978954021003,0.4806996280623885,Fornax-A,rv2_coarse,per_band
5,Ingress,507,5.557111675072776,0.24679999396308303,Fornax-A,rv2_coarse,per_band
6,Egress,906,2.8030101695676373,0.09312377537129563,Fornax-A,rv2_coarse,per_band
6,Ingress,510,3.324235947966834,0.1471996419283459,Fornax-A,rv2_coarse,per_band
7,Egress,899,2.621313358099572,0.08742569526647619,Fornax-A,rv2_coarse,per_band
7,Ingress,504,1.1223082535834001,0.04999158294354394,Fornax-A,rv2_coarse,per_band
8,Egress,886,-0.6761414613355268,-0.02271541664161073,Fornax-A,rv2_coarse,per_band
8,Ingress,499,-1.2745815108327396,-0.05705810468402894,Fornax-A,rv2_coarse,per_band
9,Egress,882,6.60226489502833,0.22230982278402003,Fornax-A,rv2_coarse,per_band
9,Ingress,486,-6.9393402711331476,-0.314774866959683,Fornax-A,rv2_coarse,per_band
