event_type,pre_event_time,post_event_time,gap_seconds
Ingress,1974-09-10 00:00:03.047,1974-09-10 00:00:04.972,1.925
Egress,1974-09-11 00:00:01.332,1974-09-11 00:00:03.257,1.925
Ingress,1974-09-13 23:59:56.377,1974-09-13 23:59:58.302,1.925
Egress,1974-09-14 23:59:54.873,1974-09-14 23:59:56.798,1.925
Ingress,1974-09-15 23:59:53.394,1974-09-15 23:59:55.319,1.925
Egress,1974-09-17 00:00:07.316,1974-09-17 00:00:09.241,1.925
Ingress,1974-09-18 00:00:05.960,1974-09-18 00:00:07.885,1.925
Egress,1974-09-21 04:40:42.265,1974-09-21 04:40:46.075,3.81
Egress,1974-09-21 12:04:34.310,1974-09-21 12:04:36.235,1.925
Egress,1974-09-21 15:46:31.336,1974-09-21 15:46:33.261,1.925
Egress,1974-09-21 19:28:05.168,1974-09-21 19:28:07.093,1.925
Egress,1974-09-21 23:10:23.316,1974-09-21 23:10:25.241,1.925
Egress,1974-09-22 02:52:12.503,1974-09-22 02:52:14.428,1.925
Egress,1974-09-22 06:34:05.633,1974-09-22 06:34:11.368,5.735
Egress,1974-09-22 10:15:12.638,1974-09-22 10:15:14.563,1.925
Egress,1974-09-22 13:57:59.688,1974-09-22 13:58:03.498,3.81
Egress,1974-09-22 21:21:53.928,1974-09-22 21:21:57.738,3.81
Egress,1974-09-23 00:00:00.076,1974-09-23 00:00:02.001,1.925
Egress,1974-09-23 01:03:50.491,1974-09-23 01:03:56.226,5.735
Egress,1974-09-23 04:45:47.611,1974-09-23 04:45:51.421,3.81
Egress,1974-09-23 08:27:44.451,1974-09-23 08:27:48.261,3.81
Egress,1974-09-23 15:51:17.274,1974-09-23 15:51:57.578,40.304
Egress,1974-09-23 23:15:24.657,1974-09-23 23:15:26.582,1.925
Egress,1974-09-24 02:57:27.378,1974-09-24 02:57:29.303,1.925
Egress,1974-09-24 06:39:24.325,1974-09-24 06:39:26.250,1.925
Egress,1974-09-24 10:21:21.542,1974-09-24 10:21:23.467,1.925
Egress,1974-09-24 14:03:18.402,1974-09-24 14:03:20.327,1.925
Egress,1974-09-24 21:27:14.255,1974-09-24 21:27:19.990,5.735
Egress,1974-09-25 01:08:46.238,1974-09-25 01:08:48.163,1.925
