frequency_band,event_type,n_events,combined_z,mean_z,target,data_col,analysis_mode
1,Egress,885,-1.4838763369866685,-0.04987995740587996,Fornax-A,rv2_coarse,per_band
1,Ingress,496,2.0984840173718275,0.09422471393460675,Fornax-A,rv2_coarse,per_band
2,Egress,889,7.092533608626718,0.23787594244203825,Fornax-A,rv2_coarse,per_band
2,Ingress,501,3.36492440004331,0.15033373530937597,Fornax-A,rv2_coarse,per_band
3,Egress,898,15.81480573838704,0.5277469028593524,Fornax-A,rv2_coarse,per_band
3,Ingress,500,1.3223170294956659,0.05913581531515807,Fornax-A,rv2_coarse,per_band
4,Egress,904,7.733826907136287,0.2572232567124223,Fornax-A,rv2_coarse,per_band
4,Ingress,507,14.031461246666472,0.6231590713758992,Fornax-A,rv2_coarse,per_band
5,Egress,906,14.468978954021003,0.4806996280623885,Fornax-A,rv2_coarse,per_band
5,Ingress,507,5.557111675072776,0.24679999396308303,Fornax-A,rv2_coarse,per_band
6,Egress,906,2.8030101695676373,0.09312377537129563,Fornax-A,rv2_coarse,per_band
6,Ingress,510,3.324235947966834,0.1471996419283459,Fornax-A,rv2_coarse,per_band
7,Egress,899,2.621313358099572,0.08742569526647619,Fornax-A,rv2_coarse,per_band
7,Ingress,504,1.1223082535834001,0.04999158294354394,Fornax-A,rv2_coarse,per_band
8,Egress,886,-0.6761414613355268,-0.02271541664161073,Fornax-A,rv2_coarse,per_band
8,Ingress,499,-1.2745815108327396,-0.05705810468402894,Fornax-A,rv2_coarse,per_band
9,Egress,882,6.60226489502833,0.22230982278402003,Fornax-A,rv2_coarse,per_band
9,Ingress,486,-6.9393402711331476,-0.314774866959683,Fornax-A,rv2_coarse,per_band
all,Egress,965,-1.9928476989730386,-0.06415203728144357,Fornax-A,rv2_coarse,combined
all,Ingress,522,4.6617173264148555,0.2040378243772992,Fornax-A,rv2_coarse,combined
1,Egress,901,-2.5267790743058036,-0.08417921589588126,Cygnus-A,rv2_coarse,per_band
1,Ingress,499,-6.349453649742504,-0.2842405824612182,Cygnus-A,rv2_coarse,per_band
2,Egress,906,-1.1900720597760839,-0.03953749592971961,Cygnus-A,rv2_coarse,per_band
2,Ingress,505,-3.381265564908758,-0.15046434280690013,Cygnus-A,rv2_coarse,per_band
3,Egress,908,2.910430064156561,0.09658601401810557,Cygnus-A,rv2_coarse,per_band
3,Ingress,509,-0.6287985243626226,-0.027871004580871817,Cygnus-A,rv2_coarse,per_band
4,Egress,919,-6.732182847114171,-0.22207422096196394,Cygnus-A,rv2_coarse,per_band
4,Ingress,510,1.5845750690126308,0.07016616341866548,Cygnus-A,rv2_coarse,per_band
5,Egress,928,-2.3252461808545575,-0.07632994538217631,Cygnus-A,rv2_coarse,per_band
5,Ingress,517,-5.059790841174442,-0.22252934675494235,Cygnus-A,rv2_coarse,per_band
6,Egress,926,-4.915952152962827,-0.16154821134840908,Cygnus-A,rv2_coarse,per_band
6,Ingress,518,1.9652922567297957,0.08634998434317066,Cygnus-A,rv2_coarse,per_band
7,Egress,916,-3.580944977303876,-0.11831775241043153,Cygnus-A,rv2_coarse,per_band
7,Ingress,511,-2.212876275101956,-0.0978918830193524,Cygnus-A,rv2_coarse,per_band
8,Egress,909,1.4803711829607593,0.049100812745370384,Cygnus-A,rv2_coarse,per_band
8,Ingress,506,-2.2397877496067573,-0.09957071060136645,Cygnus-A,rv2_coarse,per_band
9,Egress,892,5.289474101889434,0.1771046923621182,Cygnus-A,rv2_coarse,per_band
9,Ingress,496,-10.947585761525762,-0.4915611117907137,Cygnus-A,rv2_coarse,per_band
all,Egress,945,-2.870892078682664,-0.09339012630045926,Cygnus-A,rv2_coarse,combined
all,Ingress,527,-1.474789626111913,-0.06424284514518212,Cygnus-A,rv2_coarse,combined
1,Egress,1023,0.4638750052507561,0.014503177273372313,Sag-A,rv2_coarse,per_band
1,Ingress,803,2.379702566835407,0.08397787992718551,Sag-A,rv2_coarse,per_band
2,Egress,1017,-6.496061821721023,-0.20369936393343113,Sag-A,rv2_coarse,per_band
2,Ingress,808,-11.07634209641383,-0.38966435518147724,Sag-A,rv2_coarse,per_band
3,Egress,1014,-14.52789909630446,-0.45622999769983047,Sag-A,rv2_coarse,per_band
3,Ingress,803,-21.68957330226081,-0.7654084202931937,Sag-A,rv2_coarse,per_band
4,Egress,1035,-28.650532552711645,-0.890558645468308,Sag-A,rv2_coarse,per_band
4,Ingress,814,-19.14523531275355,-0.6710401504488238,Sag-A,rv2_coarse,per_band
5,Egress,1041,-14.188608373747797,-0.43975869680490526,Sag-A,rv2_coarse,per_band
5,Ingress,827,-20.9129168040276,-0.7272133701148077,Sag-A,rv2_coarse,per_band
6,Egress,1037,0.7794696650824946,0.024205264909882427,Sag-A,rv2_coarse,per_band
6,Ingress,832,0.6204288928190643,0.02150950178690854,Sag-A,rv2_coarse,per_band
7,Egress,1037,2.2493333610232407,0.06984968410341091,Sag-A,rv2_coarse,per_band
7,Ingress,822,3.608597520551032,0.1258642921197728,Sag-A,rv2_coarse,per_band
8,Egress,1033,4.124128386959848,0.12831635545999714,Sag-A,rv2_coarse,per_band
8,Ingress,812,3.762815493302297,0.13204893683780586,Sag-A,rv2_coarse,per_band
9,Egress,1018,11.392524040664748,0.35706399906379593,Sag-A,rv2_coarse,per_band
9,Ingress,801,2.586789367626881,0.09139970819024955,Sag-A,rv2_coarse,per_band
all,Egress,1080,-0.43879712508123875,-0.013352171309745019,Sag-A,rv2_coarse,combined
all,Ingress,867,-0.37062686783448334,-0.012587148347832165,Sag-A,rv2_coarse,combined
1,Egress,1592,24.970344746804457,0.6258251421336062,Earth,rv2_coarse,per_band
1,Ingress,953,33.11699947367327,1.0727648395550624,Earth,rv2_coarse,per_band
2,Egress,1595,5.544767186773778,0.1388362811017757,Earth,rv2_coarse,per_band
2,Ingress,946,11.607258512781335,0.37738452608873707,Earth,rv2_coarse,per_band
3,Egress,1592,1.1863633062462524,0.029733509580346124,Earth,rv2_coarse,per_band
3,Ingress,952,0.2022022331147377,0.006553412020776786,Earth,rv2_coarse,per_band
4,Egress,1617,-6.860441677035474,-0.1706070865655874,Earth,rv2_coarse,per_band
4,Ingress,962,-1.6135285980200689,-0.05202224992385399,Earth,rv2_coarse,per_band
5,Egress,1627,-5.230867880573528,-0.12968208202954642,Earth,rv2_coarse,per_band
5,Ingress,973,-6.180053062233822,-0.19812340526110628,Earth,rv2_coarse,per_band
6,Egress,1621,26.883768777802107,0.6677265486702558,Earth,rv2_coarse,per_band
6,Ingress,969,46.75995659732162,1.5021462254882538,Earth,rv2_coarse,per_band
7,Egress,1614,17.712518448690094,0.4408882760882413,Earth,rv2_coarse,per_band
7,Ingress,960,30.48389329110782,0.9838634253668717,Earth,rv2_coarse,per_band
8,Egress,1602,11.246081947467555,0.2809764932223741,Earth,rv2_coarse,per_band
8,Ingress,965,10.565349922508322,0.34011064792835455,Earth,rv2_coarse,per_band
9,Egress,1593,37.725638411207676,0.9452108755218399,Earth,rv2_coarse,per_band
9,Ingress,959,38.112454630336394,1.2307153484772702,Earth,rv2_coarse,per_band
