frequency_band,event_type,n_events,combined_z,mean_z,target,data_col,analysis_mode
1,Egress,901,-2.5267790743058036,-0.08417921589588126,Cygnus-A,rv2_coarse,per_band
1,Ingress,499,-6.349453649742504,-0.2842405824612182,Cygnus-A,rv2_coarse,per_band
2,Egress,906,-1.1900720597760839,-0.03953749592971961,Cygnus-A,rv2_coarse,per_band
2,Ingress,505,-3.381265564908758,-0.15046434280690013,Cygnus-A,rv2_coarse,per_band
3,Egress,908,2.910430064156561,0.09658601401810557,Cygnus-A,rv2_coarse,per_band
3,Ingress,509,-0.6287985243626226,-0.027871004580871817,Cygnus-A,rv2_coarse,per_band
4,Egress,919,-6.732182847114171,-0.22207422096196394,Cygnus-A,rv2_coarse,per_band
4,Ingress,510,1.5845750690126308,0.07016616341866548,Cygnus-A,rv2_coarse,per_band
5,Egress,928,-2.3252461808545575,-0.07632994538217631,Cygnus-A,rv2_coarse,per_band
5,Ingress,517,-5.059790841174442,-0.22252934675494235,Cygnus-A,rv2_coarse,per_band
6,Egress,926,-4.915952152962827,-0.16154821134840908,Cygnus-A,rv2_coarse,per_band
6,Ingress,518,1.9652922567297957,0.08634998434317066,Cygnus-A,rv2_coarse,per_band
7,Egress,916,-3.580944977303876,-0.11831775241043153,Cygnus-A,rv2_coarse,per_band
7,Ingress,511,-2.212876275101956,-0.0978918830193524,Cygnus-A,rv2_coarse,per_band
8,Egress,909,1.4803711829607593,0.049100812745370384,Cygnus-A,rv2_coarse,per_band
8,Ingress,506,-2.2397877496067573,-0.09957071060136645,Cygnus-A,rv2_coarse,per_band
9,Egress,892,5.289474101889434,0.1771046923621182,Cygnus-A,rv2_coarse,per_band
9,Ingress,496,-10.947585761525762,-0.4915611117907137,Cygnus-A,rv2_coarse,per_band
