event_type,pre_event_time,post_event_time,frequency_band,pre_median,post_median,dip_z_score,ttest_pvalue,target,data_col,analysis_mode
Egress,1974-09-08 22:34:50.093,1974-09-08 22:34:52.018,all,2881332.0,2298133.0,-0.6521379227636844,0.878864348365856,Cygnus-A,rv2_coarse,combined
Egress,1974-09-09 02:16:00.831,1974-09-09 02:16:02.756,all,2144665.0,645997.0,-3.5995408057155367,0.40953860319225976,Cygnus-A,rv2_coarse,combined
Egress,1974-09-09 17:03:07.810,1974-09-09 17:04:28.418,all,3697008.0,1167699.0,-5.495557203747875,0.0031154364190631723,Cygnus-A,rv2_coarse,combined
Egress,1974-09-09 20:46:21.456,1974-09-09 20:46:25.266,all,3044828.0,3167591.0,0.16191347842827455,0.11502941167887251,Cygnus-A,rv2_coarse,combined
Egress,1974-09-10 00:00:03.047,1974-09-10 00:00:04.972,all,1040301.90625,932436.9375,-0.2037339673011913,0.3853687022518043,Cygnus-A,rv2_coarse,combined
Egress,1974-09-10 00:26:25.096,1974-09-10 00:26:27.021,all,2526142.0,3297545.0,1.286960151498318,0.6146157046312252,Cygnus-A,rv2_coarse,combined
Ingress,1974-09-11 00:00:01.332,1974-09-11 00:00:03.257,all,1299796.0,2046034.5,-1.740351533085978,0.7126538363434185,Cygnus-A,rv2_coarse,combined
Egress,1974-09-11 00:00:05.182,1974-09-11 00:00:07.107,all,1175573.0,2210556.5,2.440417214974975,0.4949612564115595,Cygnus-A,rv2_coarse,combined
Ingress,1974-09-13 23:59:50.602,1974-09-13 23:59:52.527,all,729351.0,2836490.0,-1.5128384497123266,0.001890590086779001,Cygnus-A,rv2_coarse,combined
Egress,1974-09-13 23:59:56.377,1974-09-13 23:59:58.302,all,808550.0,2836490.0,1.4561327827886292,0.0019985339049976725,Cygnus-A,rv2_coarse,combined
Ingress,1974-09-14 23:59:54.873,1974-09-14 23:59:56.798,all,3582225.0,4609712.5,-0.5457544628042075,0.07909106444187666,Cygnus-A,rv2_coarse,combined
Egress,1974-09-14 23:59:58.723,1974-09-15 00:00:00.648,all,4136465.0,4481929.0,0.1826244398975324,0.37787075688290184,Cygnus-A,rv2_coarse,combined
