target,kind,data_col,frequency_band,frequency_mhz,combined_z,random_percentile,random_n
Fornax-A,fixed,rv2_coarse,1,0.45,0.06974084207107976,0.4,100
Cygnus-A,fixed,rv2_coarse,1,0.45,-5.817783449115365,0.02,100
Sag-A,fixed,rv2_coarse,1,0.45,1.9252907570260909,0.6,100
Earth,earth,rv2_coarse,1,0.45,40.014644734660415,1.0,100
Fornax-A,fixed,rv2_coarse,2,0.7,7.692277792716427,0.92,100
Cygnus-A,fixed,rv2_coarse,2,0.7,-2.97645638513162,0.19,100
Sag-A,fixed,rv2_coarse,2,0.7,-12.219354477530906,0.0,100
Earth,earth,rv2_coarse,2,0.7,11.475277988593184,1.0,100
Fornax-A,fixed,rv2_coarse,3,0.9,13.465814530786483,0.99,100
Cygnus-A,fixed,rv2_coarse,3,0.9,1.952916647027693,0.67,100
Sag-A,fixed,rv2_coarse,3,0.9,-25.271736216675155,0.0,100
Earth,earth,rv2_coarse,3,0.9,1.062185447801636,0.52,100
Fornax-A,fixed,rv2_coarse,4,1.31,14.601266825013417,1.0,100
Cygnus-A,fixed,rv2_coarse,4,1.31,-4.452170460352078,0.13,100
Sag-A,fixed,rv2_coarse,4,1.31,-34.138485593605616,0.0,100
Earth,earth,rv2_coarse,4,1.31,-6.417729786280049,0.08,100
Fornax-A,fixed,rv2_coarse,5,2.2,14.91468653619646,1.0,100
Cygnus-A,fixed,rv2_coarse,5,2.2,-4.889935038737181,0.16,100
Sag-A,fixed,rv2_coarse,5,2.2,-24.50683251960545,0.0,100
Earth,earth,rv2_coarse,5,2.2,-7.918518838862671,0.04,100
Fornax-A,fixed,rv2_coarse,6,3.93,4.237122225329442,0.96,100
Cygnus-A,fixed,rv2_coarse,6,3.93,-2.7595882057595893,0.2,100
Sag-A,fixed,rv2_coarse,6,3.93,0.9945603300661198,0.65,100
Earth,earth,rv2_coarse,6,3.93,49.86957288864463,1.0,100
Fornax-A,fixed,rv2_coarse,7,4.7,2.770976078279539,0.86,100
Cygnus-A,fixed,rv2_coarse,7,4.7,-4.1932249639011365,0.03,100
Sag-A,fixed,rv2_coarse,7,4.7,4.0795544974421,0.96,100
Earth,earth,rv2_coarse,7,4.7,32.642465876021944,1.0,100
Fornax-A,fixed,rv2_coarse,8,6.55,-1.305846711587972,0.29,100
Cygnus-A,fixed,rv2_coarse,8,6.55,-0.15286225346330684,0.46,100
Sag-A,fixed,rv2_coarse,8,6.55,5.582193241155269,1.0,100
Earth,earth,rv2_coarse,8,6.55,15.36213082928439,1.0,100
Fornax-A,fixed,rv2_coarse,9,9.18,1.1652007347425362,0.69,100
Cygnus-A,fixed,rv2_coarse,9,9.18,-2.3039838072826844,0.05,100
Sag-A,fixed,rv2_coarse,9,9.18,10.239273579816516,1.0,100
Earth,earth,rv2_coarse,9,9.18,53.16942276256838,1.0,100
