frequency_band,event_type,n_events,combined_z,mean_z,target,data_col,analysis_mode
1,Egress,1023,0.4638750052507561,0.014503177273372313,Sag-A,rv2_coarse,per_band
1,Ingress,803,2.379702566835407,0.08397787992718551,Sag-A,rv2_coarse,per_band
2,Egress,1017,-6.496061821721023,-0.20369936393343113,Sag-A,rv2_coarse,per_band
2,Ingress,808,-11.07634209641383,-0.38966435518147724,Sag-A,rv2_coarse,per_band
3,Egress,1014,-14.52789909630446,-0.45622999769983047,Sag-A,rv2_coarse,per_band
3,Ingress,803,-21.68957330226081,-0.7654084202931937,Sag-A,rv2_coarse,per_band
4,Egress,1035,-28.650532552711645,-0.890558645468308,Sag-A,rv2_coarse,per_band
4,Ingress,814,-19.14523531275355,-0.6710401504488238,Sag-A,rv2_coarse,per_band
5,Egress,1041,-14.188608373747797,-0.43975869680490526,Sag-A,rv2_coarse,per_band
5,Ingress,827,-20.9129168040276,-0.7272133701148077,Sag-A,rv2_coarse,per_band
6,Egress,1037,0.7794696650824946,0.024205264909882427,Sag-A,rv2_coarse,per_band
6,Ingress,832,0.6204288928190643,0.02150950178690854,Sag-A,rv2_coarse,per_band
7,Egress,1037,2.2493333610232407,0.06984968410341091,Sag-A,rv2_coarse,per_band
7,Ingress,822,3.608597520551032,0.1258642921197728,Sag-A,rv2_coarse,per_band
8,Egress,1033,4.124128386959848,0.12831635545999714,Sag-A,rv2_coarse,per_band
8,Ingress,812,3.762815493302297,0.13204893683780586,Sag-A,rv2_coarse,per_band
9,Egress,1018,11.392524040664748,0.35706399906379593,Sag-A,rv2_coarse,per_band
9,Ingress,801,2.586789367626881,0.09139970819024955,Sag-A,rv2_coarse,per_band
