event_type,pre_event_time,post_event_time,gap_seconds
Egress,1974-09-08 22:34:50.093,1974-09-08 22:34:52.018,1.925
Egress,1974-09-09 02:16:00.831,1974-09-09 02:16:02.756,1.925
Egress,1974-09-09 17:03:07.810,1974-09-09 17:04:28.418,80.608
Egress,1974-09-09 20:46:21.456,1974-09-09 20:46:25.266,3.81
Egress,1974-09-10 00:00:03.047,1974-09-10 00:00:04.972,1.925
Egress,1974-09-10 00:26:25.096,1974-09-10 00:26:27.021,1.925
Ingress,1974-09-11 00:00:01.332,1974-09-11 00:00:03.257,1.925
Egress,1974-09-11 00:00:05.182,1974-09-11 00:00:07.107,1.925
Ingress,1974-09-13 23:59:50.602,1974-09-13 23:59:52.527,1.925
Egress,1974-09-13 23:59:56.377,1974-09-13 23:59:58.302,1.925
Ingress,1974-09-14 23:59:54.873,1974-09-14 23:59:56.798,1.925
Egress,1974-09-14 23:59:58.723,1974-09-15 00:00:00.648,1.925
Ingress,1974-09-15 23:59:47.619,1974-09-15 23:59:49.544,1.925
Egress,1974-09-15 23:59:53.394,1974-09-15 23:59:55.319,1.925
Ingress,1974-09-17 00:00:07.316,1974-09-17 00:00:09.241,1.925
Egress,1974-09-17 00:00:11.166,1974-09-17 00:00:13.091,1.925
Ingress,1974-09-18 00:00:00.185,1974-09-18 00:00:02.110,1.925
Egress,1974-09-18 00:00:05.960,1974-09-18 00:00:07.885,1.925
Ingress,1974-09-23 23:59:26.542,1974-09-23 23:59:28.467,1.925
Egress,1974-09-23 23:59:28.467,1974-09-24 00:00:07.887,39.42
Ingress,1974-09-29 23:59:52.203,1974-09-29 23:59:54.128,1.925
Ingress,1974-10-02 00:03:57.650,1974-10-02 00:03:58.365,0.715
Egress,1974-10-02 00:04:02.215,1974-10-02 00:04:03.425,1.21
Ingress,1974-10-02 00:04:13.010,1974-10-02 00:04:13.725,0.715
Egress,1974-10-02 00:04:17.575,1974-10-02 00:04:18.785,1.21
Ingress,1974-10-02 00:04:28.370,1974-10-02 00:04:29.085,0.715
Egress,1974-10-02 00:04:32.935,1974-10-02 00:04:34.145,1.21
Ingress,1974-10-02 00:04:43.729,1974-10-02 00:04:44.445,0.716
Egress,1974-10-02 00:04:48.295,1974-10-02 00:04:49.504,1.209
Ingress,1974-10-02 00:04:59.089,1974-10-02 00:04:59.805,0.716
Egress,1974-10-02 00:05:03.655,1974-10-02 00:05:04.864,1.209
Ingress,1974-10-02 00:05:14.449,1974-10-02 00:05:15.165,0.716
Egress,1974-10-02 00:05:19.015,1974-10-02 00:05:20.224,1.209
Ingress,1974-10-02 00:05:29.809,1974-10-02 00:05:30.525,0.716
Egress,1974-10-02 00:05:34.375,1974-10-02 00:05:35.584,1.209
Ingress,1974-10-02 00:05:45.169,1974-10-02 00:05:45.885,0.716
Egress,1974-10-02 00:05:49.735,1974-10-02 00:05:50.944,1.209
Ingress,1974-10-02 00:06:00.529,1974-10-02 00:06:01.245,0.716
Egress,1974-10-02 00:06:05.095,1974-10-02 00:06:06.304,1.209
Ingress,1974-10-02 00:06:15.889,1974-10-02 00:06:16.605,0.716
Egress,1974-10-02 00:06:20.455,1974-10-02 00:06:21.664,1.209
Ingress,1974-10-02 00:06:31.249,1974-10-02 00:06:31.965,0.716
