frequency_band,frequency_mhz,n_events,combined_z,mean_z,target,data_col,kind
1,0.45,1381,0.06974084207107976,0.0018766805266916867,Fornax-A,rv2_coarse,fixed
2,0.7,1390,7.692277792716427,0.2063229598712009,Fornax-A,rv2_coarse,fixed
3,0.9,1398,13.465814530786483,0.360146370833532,Fornax-A,rv2_coarse,fixed
4,1.31,1411,14.601266825013417,0.3887111787778955,Fornax-A,rv2_coarse,fixed
5,2.2,1413,14.91468653619646,0.3967738570161408,Fornax-A,rv2_coarse,fixed
6,3.93,1416,4.237122225329442,0.11260025273294508,Fornax-A,rv2_coarse,fixed
7,4.7,1403,2.770976078279539,0.07397823082545135,Fornax-A,rv2_coarse,fixed
8,6.55,1385,-1.305846711587972,-0.035088702802741914,Fornax-A,rv2_coarse,fixed
9,9.18,1368,1.1652007347425362,0.031503419848757146,Fornax-A,rv2_coarse,fixed
1,0.45,1400,-5.817783449115365,-0.15548680297881204,Cygnus-A,rv2_coarse,fixed
2,0.7,1411,-2.97645638513162,-0.07923845813593937,Cygnus-A,rv2_coarse,fixed
3,0.9,1417,1.952916647027693,0.051879858431034646,Cygnus-A,rv2_coarse,fixed
4,1.31,1429,-4.452170460352078,-0.1177756932963789,Cygnus-A,rv2_coarse,fixed
5,2.2,1445,-4.889935038737181,-0.12863796649616943,Cygnus-A,rv2_coarse,fixed
6,3.93,1444,-2.7595882057595893,-0.0726207422568313,Cygnus-A,rv2_coarse,fixed
7,4.7,1427,-4.1932249639011365,-0.11100337311201426,Cygnus-A,rv2_coarse,fixed
8,6.55,1415,-0.15286225346330684,-0.004063703730565181,Cygnus-A,rv2_coarse,fixed
9,9.18,1388,-2.3039838072826844,-0.06184216560604072,Cygnus-A,rv2_coarse,fixed
1,0.45,1826,1.9252907570260909,0.045055305548844356,Sag-A,rv2_coarse,fixed
2,0.7,1825,-12.219354477530906,-0.28603345320927837,Sag-A,rv2_coarse,fixed
3,0.9,1817,-25.271736216675155,-0.5928674623902381,Sag-A,rv2_coarse,fixed
4,1.31,1849,-34.138485593605616,-0.7939182696187352,Sag-A,rv2_coarse,fixed
5,2.2,1868,-24.50683251960545,-0.5670204820443536,Sag-A,rv2_coarse,fixed
6,3.93,1869,0.9945603300661198,0.02300522482517709,Sag-A,rv2_coarse,fixed
7,4.7,1859,4.0795544974421,0.09461784321554079,Sag-A,rv2_coarse,fixed
8,6.55,1845,5.582193241155269,0.1299590958821005,Sag-A,rv2_coarse,fixed
9,9.18,1819,10.239273579816516,0.2400782393113437,Sag-A,rv2_coarse,fixed
1,0.45,2545,40.014644734660415,0.793186058299676,Earth,rv2_coarse,earth
2,0.7,2541,11.475277988593184,0.22764645023112062,Earth,rv2_coarse,earth
3,0.9,2544,1.062185447801636,0.02105919634264561,Earth,rv2_coarse,earth
4,1.31,2579,-6.417729786280049,-0.1263734251272983,Earth,rv2_coarse,earth
5,2.2,2600,-7.918518838862671,-0.15529493106966477,Earth,rv2_coarse,earth
6,3.93,2590,49.86957288864463,0.9799090455183793,Earth,rv2_coarse,earth
7,4.7,2574,32.642465876021944,0.6433964902714135,Earth,rv2_coarse,earth
8,6.55,2567,15.36213082928439,0.30320651242427166,Earth,rv2_coarse,earth
9,9.18,2552,53.16942276256838,1.0524988024670818,Earth,rv2_coarse,earth
1,0.45,152,2.7227607093583197,0.22084505583555486,Random-000,rv2_coarse,random
2,0.7,155,5.922957678467641,0.4757434091616682,Random-000,rv2_coarse,random
3,0.9,154,-3.734391561900379,-0.30092584772419334,Random-000,rv2_coarse,random
4,1.31,156,5.89262856316088,0.4717878664390375,Random-000,rv2_coarse,random
5,2.2,161,2.4565505726480548,0.19360330697565536,Random-000,rv2_coarse,random
6,3.93,158,3.942090061963173,0.3136158463671557,Random-000,rv2_coarse,random
7,4.7,156,2.5981515267215745,0.2080186036398971,Random-000,rv2_coarse,random
8,6.55,156,0.3432838903778665,0.027484707798617836,Random-000,rv2_coarse,random
9,9.18,154,1.5231402512662846,0.12273813919017601,Random-000,rv2_coarse,random
1,0.45,152,-3.5029714240086576,-0.2841285012915677,Random-001,rv2_coarse,random
2,0.7,148,2.4105166231316137,0.19814324586278345,Random-001,rv2_coarse,random
3,0.9,144,3.667401803621812,0.3056168169684843,Random-001,rv2_coarse,random
4,1.31,147,-0.737224977984383,-0.06080529135608564,Random-001,rv2_coarse,random
5,2.2,150,-0.8916145580253141,-0.07280002381330544,Random-001,rv2_coarse,random
6,3.93,151,0.31634817345372085,0.02574404925099749,Random-001,rv2_coarse,random
7,4.7,147,-3.1183664424226043,-0.2571985292806552,Random-001,rv2_coarse,random
8,6.55,146,-3.1138317713330395,-0.25770255100723655,Random-001,rv2_coarse,random
9,9.18,147,0.8910610305556507,0.07349347512224147,Random-001,rv2_coarse,random
1,0.45,159,5.515860571815104,0.4374361973078157,Random-002,rv2_coarse,random
2,0.7,160,-3.2667078378364773,-0.25825593044718104,Random-002,rv2_coarse,random
3,0.9,160,-6.260108844173299,-0.494905058703793,Random-002,rv2_coarse,random
4,1.31,164,-6.452508288888253,-0.5038562465465455,Random-002,rv2_coarse,random
5,2.2,163,-2.7705523060951815,-0.2170064045987285,Random-002,rv2_coarse,random
6,3.93,161,-1.8221557646528928,-0.14360599199115104,Random-002,rv2_coarse,random
7,4.7,162,-0.5162909303986762,-0.04056364643889064,Random-002,rv2_coarse,random
8,6.55,162,0.39281218460563916,0.030862239940816598,Random-002,rv2_coarse,random
9,9.18,156,0.8799910953420673,0.07045567473102082,Random-002,rv2_coarse,random
1,0.45,167,1.3767626310795038,0.1065370909614145,Random-003,rv2_coarse,random
2,0.7,166,0.3361341874215706,0.026089072627512304,Random-003,rv2_coarse,random
3,0.9,162,-5.650373860520318,-0.44393529700145873,Random-003,rv2_coarse,random
4,1.31,166,-2.11021490677732,-0.16378444092485572,Random-003,rv2_coarse,random
5,2.2,169,0.25051295638538973,0.019270227414260748,Random-003,rv2_coarse,random
6,3.93,167,1.3183801605921286,0.10201931975782753,Random-003,rv2_coarse,random
7,4.7,163,0.19814238336623732,0.01551970923571254,Random-003,rv2_coarse,random
8,6.55,162,-0.6043337355122024,-0.047480942497830636,Random-003,rv2_coarse,random
9,9.18,163,1.2197772291878564,0.09554032614187441,Random-003,rv2_coarse,random
1,0.45,152,6.740564472504776,0.5467319739766267,Random-004,rv2_coarse,random
2,0.7,150,6.160739346305897,0.503022261224568,Random-004,rv2_coarse,random
3,0.9,150,2.898883318130138,0.2366928317761679,Random-004,rv2_coarse,random
4,1.31,151,2.3750045680703105,0.19327513070244012,Random-004,rv2_coarse,random
5,2.2,155,-2.2374540941592937,-0.17971663759607762,Random-004,rv2_coarse,random
6,3.93,155,-2.1627717350597226,-0.17371800616039634,Random-004,rv2_coarse,random
7,4.7,155,-1.3554916018905214,-0.10887570548034779,Random-004,rv2_coarse,random
8,6.55,155,-1.5041359547393456,-0.12081510721438567,Random-004,rv2_coarse,random
9,9.18,153,0.18613508446529595,0.015048129683993727,Random-004,rv2_coarse,random
1,0.45,117,2.210583390738235,0.20436850676912188,Random-005,rv2_coarse,random
2,0.7,117,-3.837578389839675,-0.35478424764562777,Random-005,rv2_coarse,random
3,0.9,115,-6.446368652125095,-0.6011269763796281,Random-005,rv2_coarse,random
4,1.31,119,-9.447966968096305,-0.8660937119626069,Random-005,rv2_coarse,random
5,2.2,118,-2.912730039547246,-0.26813853431971746,Random-005,rv2_coarse,random
6,3.93,117,0.5305938185813754,0.0490534158804971,Random-005,rv2_coarse,random
7,4.7,119,-2.1128633855796086,-0.1936858689986765,Random-005,rv2_coarse,random
8,6.55,120,-3.10210931691826,-0.2831825414538455,Random-005,rv2_coarse,random
9,9.18,119,0.5768776548486138,0.05288228791688834,Random-005,rv2_coarse,random
1,0.45,120,-2.9488883966753123,-0.26919544907071846,Random-006,rv2_coarse,random
2,0.7,116,0.09653802158993348,0.008963330283043115,Random-006,rv2_coarse,random
3,0.9,117,2.8556552316044623,0.2640054195537662,Random-006,rv2_coarse,random
4,1.31,120,1.8424139537678952,0.1681886137901594,Random-006,rv2_coarse,random
5,2.2,122,-2.1561005579523735,-0.19520417255690858,Random-006,rv2_coarse,random
6,3.93,123,-2.4444405429310594,-0.22040778113109083,Random-006,rv2_coarse,random
7,4.7,123,-0.9552156169785972,-0.08612889163897178,Random-006,rv2_coarse,random
8,6.55,123,-1.506888307305631,-0.13587154295328938,Random-006,rv2_coarse,random
9,9.18,119,-0.7298376225256736,-0.0669041051643928,Random-006,rv2_coarse,random
1,0.45,133,2.6588792031319364,0.230554066479605,Random-007,rv2_coarse,random
2,0.7,132,3.8350919679206235,0.33380191007507326,Random-007,rv2_coarse,random
3,0.9,133,5.297732538435746,0.4593716699949958,Random-007,rv2_coarse,random
4,1.31,130,7.426971536528251,0.6513884945277151,Random-007,rv2_coarse,random
5,2.2,134,6.067019091951502,0.5241106230936197,Random-007,rv2_coarse,random
6,3.93,135,-1.365249689890398,-0.11750198471911893,Random-007,rv2_coarse,random
7,4.7,128,-0.03886630083225052,-0.0034353281097650873,Random-007,rv2_coarse,random
8,6.55,130,-2.3643332432044986,-0.2073657431266702,Random-007,rv2_coarse,random
9,9.18,129,-1.1663534889191127,-0.10269169864148862,Random-007,rv2_coarse,random
1,0.45,145,1.995871639900729,0.16574811806202694,Random-008,rv2_coarse,random
2,0.7,151,-0.30957831533046676,-0.025193126010175256,Random-008,rv2_coarse,random
3,0.9,150,2.8479537106237705,0.2325344467364739,Random-008,rv2_coarse,random
4,1.31,150,3.81110318885194,0.31117527232603626,Random-008,rv2_coarse,random
5,2.2,148,-0.5727761419507965,-0.047081908844690254,Random-008,rv2_coarse,random
6,3.93,148,-2.024836039177685,-0.1664404971501011,Random-008,rv2_coarse,random
7,4.7,146,-2.0833750765133354,-0.17242134814898452,Random-008,rv2_coarse,random
8,6.55,148,-1.7403136749340877,-0.1430529028764144,Random-008,rv2_coarse,random
9,9.18,144,-0.914814840828944,-0.07623457006907867,Random-008,rv2_coarse,random
1,0.45,141,1.6567778972859828,0.13952586889799382,Random-009,rv2_coarse,random
2,0.7,137,-2.4639789374419827,-0.2105119273656366,Random-009,rv2_coarse,random
3,0.9,138,-0.7657626362878073,-0.06518604451510322,Random-009,rv2_coarse,random
4,1.31,138,2.5346100446175677,0.21576033534074276,Random-009,rv2_coarse,random
5,2.2,138,-0.46486452603737427,-0.03957189637073851,Random-009,rv2_coarse,random
6,3.93,138,-2.4169986120216045,-0.20574858533182214,Random-009,rv2_coarse,random
7,4.7,137,-1.6683219991248324,-0.1425343675489636,Random-009,rv2_coarse,random
8,6.55,138,-2.3565276402464277,-0.20060095436732742,Random-009,rv2_coarse,random
9,9.18,140,-0.5948488855970402,-0.05027390665828551,Random-009,rv2_coarse,random
1,0.45,153,-5.350303484929189,-0.43254639995045707,Random-010,rv2_coarse,random
2,0.7,158,6.424523289851614,0.5111076300598076,Random-010,rv2_coarse,random
3,0.9,154,8.412280353751934,0.6778808688872858,Random-010,rv2_coarse,random
4,1.31,158,4.402769346060197,0.3502655223803805,Random-010,rv2_coarse,random
5,2.2,159,2.570337512202601,0.20384102398831025,Random-010,rv2_coarse,random
6,3.93,161,-1.9437453277337347,-0.15318859198655874,Random-010,rv2_coarse,random
7,4.7,161,-0.6054249429903178,-0.04771416977673837,Random-010,rv2_coarse,random
8,6.55,158,0.4009913528049965,0.0319011591615495,Random-010,rv2_coarse,random
9,9.18,156,-1.6829990946872622,-0.13474776894395216,Random-010,rv2_coarse,random
1,0.45,161,0.5877383920770392,0.04632027429421511,Random-011,rv2_coarse,random
2,0.7,157,6.833535578852385,0.5453755120024949,Random-011,rv2_coarse,random
3,0.9,157,4.4100065385879255,0.351956837886348,Random-011,rv2_coarse,random
4,1.31,162,1.2483339916198837,0.0980783811844545,Random-011,rv2_coarse,random
5,2.2,164,-0.6313367745140626,-0.049299119547239895,Random-011,rv2_coarse,random
6,3.93,164,3.053201645788756,0.23841499341365666,Random-011,rv2_coarse,random
7,4.7,164,0.09697343531840186,0.007572353098468116,Random-011,rv2_coarse,random
8,6.55,164,0.15743839971981757,0.012293873574982987,Random-011,rv2_coarse,random
9,9.18,161,1.7152976215575801,0.13518439053467077,Random-011,rv2_coarse,random
1,0.45,131,-0.8742868657657651,-0.07638679813050132,Random-012,rv2_coarse,random
2,0.7,127,0.5452857950986509,0.04838628997729291,Random-012,rv2_coarse,random
3,0.9,127,-0.9791838614492743,-0.08688851733722196,Random-012,rv2_coarse,random
4,1.31,131,-3.946423082670444,-0.3448005856629926,Random-012,rv2_coarse,random
5,2.2,131,-5.748156087004418,-0.5022187291536598,Random-012,rv2_coarse,random
6,3.93,129,-5.839452197433267,-0.5141350979675275,Random-012,rv2_coarse,random
7,4.7,130,-4.3226228672226235,-0.37911910501375456,Random-012,rv2_coarse,random
8,6.55,130,1.601780781664786,0.14048546797309822,Random-012,rv2_coarse,random
9,9.18,130,2.080653699295479,0.18248540123679363,Random-012,rv2_coarse,random
1,0.45,140,-2.914126646992744,-0.24628865345236634,Random-013,rv2_coarse,random
2,0.7,140,6.431538280292183,0.5435641942038265,Random-013,rv2_coarse,random
3,0.9,140,12.578558938242352,1.0630822605008936,Random-013,rv2_coarse,random
4,1.31,141,8.631233903160632,0.7268810212721195,Random-013,rv2_coarse,random
