frequency_band,event_type,n_events,combined_z,mean_z,target,data_col,analysis_mode
1,Egress,179,20.43102876810649,1.5270867882307144,Cygnus-A,rv2_coarse,per_band
1,Ingress,665,-2.6562188051779767,-0.103003747219822,Cygnus-A,rv2_coarse,per_band
2,Egress,177,-2.696924564593759,-0.20271326368001574,Cygnus-A,rv2_coarse,per_band
2,Ingress,667,5.88553023885322,0.22788864094629044,Cygnus-A,rv2_coarse,per_band
3,Egress,177,5.540577505517345,0.4164553074863934,Cygnus-A,rv2_coarse,per_band
3,Ingress,665,-2.8888382590344763,-0.11202434272827165,Cygnus-A,rv2_coarse,per_band
4,Egress,177,4.757987068724717,0.35763220814957564,Cygnus-A,rv2_coarse,per_band
4,Ingress,671,6.3141931973985805,0.24375672480027488,Cygnus-A,rv2_coarse,per_band
5,Egress,181,-1.7843982987287783,-0.13263328100185032,Cygnus-A,rv2_coarse,per_band
5,Ingress,675,2.002319067564659,0.07706929684413176,Cygnus-A,rv2_coarse,per_band
6,Egress,177,6.009704554501002,0.4517170557861188,Cygnus-A,rv2_coarse,per_band
6,Ingress,675,1.9685215205091444,0.07576842865143507,Cygnus-A,rv2_coarse,per_band
7,Egress,173,4.738336954845018,0.36024908770006353,Cygnus-A,rv2_coarse,per_band
7,Ingress,670,-2.5458467802491005,-0.0983546418067414,Cygnus-A,rv2_coarse,per_band
8,Egress,171,2.5584594128792717,0.19565028126124825,Cygnus-A,rv2_coarse,per_band
8,Ingress,667,-1.8128260639384248,-0.07019290551864303,Cygnus-A,rv2_coarse,per_band
9,Egress,168,5.998262770559957,0.46277601972515003,Cygnus-A,rv2_coarse,per_band
9,Ingress,660,-1.7963444527582089,-0.06992261299113371,Cygnus-A,rv2_coarse,per_band
