event_type,pre_event_time,post_event_time,gap_seconds
Ingress,1974-09-08 00:14:01.925,1974-09-08 00:14:05.735,3.81
Egress,1974-09-08 00:23:12.947,1974-09-08 00:23:14.872,1.925
Ingress,1974-09-08 07:37:53.634,1974-09-08 07:37:55.559,1.925
Egress,1974-09-08 07:47:04.659,1974-09-08 07:47:06.584,1.925
Ingress,1974-09-08 11:19:48.524,1974-09-08 11:19:50.449,1.925
Ingress,1974-09-08 18:42:40.807,1974-09-08 18:42:42.732,1.925
Egress,1974-09-08 18:52:53.268,1974-09-08 18:52:55.193,1.925
Ingress,1974-09-08 22:25:33.295,1974-09-08 22:25:35.220,1.925
Ingress,1974-09-09 02:07:28.186,1974-09-09 02:07:30.111,1.925
Ingress,1974-09-09 16:55:11.655,1974-09-09 16:55:15.465,3.81
Ingress,1974-09-09 20:37:08.502,1974-09-09 20:37:12.312,3.81
Ingress,1974-09-09 23:59:53.463,1974-09-09 23:59:57.272,3.809
Ingress,1974-09-10 00:22:02.056,1974-09-10 00:22:03.981,1.925
Ingress,1974-09-10 11:26:54.959,1974-09-10 11:26:56.884,1.925
Egress,1974-09-10 11:31:56.380,1974-09-10 11:31:58.305,1.925
Ingress,1974-09-10 15:09:57.152,1974-09-10 15:10:02.887,5.735
Egress,1974-09-10 15:13:45.623,1974-09-10 15:13:47.548,1.925
Ingress,1974-09-10 18:51:57.808,1974-09-10 18:51:59.733,1.925
Egress,1974-09-10 18:55:36.695,1974-09-10 18:55:38.620,1.925
Ingress,1974-09-11 00:00:01.332,1974-09-11 00:00:03.257,1.925
Ingress,1974-09-11 09:40:12.094,1974-09-11 09:40:15.903,3.809
Egress,1974-09-11 09:42:43.766,1974-09-11 09:42:45.691,1.925
Ingress,1974-09-11 13:22:18.589,1974-09-11 13:22:20.514,1.925
Ingress,1974-09-13 23:59:50.602,1974-09-13 23:59:52.527,1.925
Ingress,1974-09-14 23:59:54.873,1974-09-14 23:59:56.798,1.925
Ingress,1974-09-15 13:31:56.077,1974-09-15 13:31:58.002,1.925
Egress,1974-09-15 13:35:33.037,1974-09-15 13:35:34.962,1.925
Ingress,1974-09-15 20:56:26.263,1974-09-15 20:56:30.073,3.81
Egress,1974-09-15 20:58:44.501,1974-09-15 20:58:48.311,3.81
Egress,1974-09-18 00:00:05.960,1974-09-18 00:00:07.885,1.925
Ingress,1974-09-22 23:59:54.301,1974-09-22 23:59:56.226,1.925
Egress,1974-09-22 23:59:56.226,1974-09-22 23:59:58.151,1.925
Ingress,1974-09-23 02:48:07.746,1974-09-23 02:48:09.671,1.925
Egress,1974-09-23 02:48:40.391,1974-09-23 02:48:42.316,1.925
Ingress,1974-09-23 06:30:04.659,1974-09-23 06:30:06.584,1.925
Egress,1974-09-23 06:30:37.304,1974-09-23 06:30:39.229,1.925
Ingress,1974-09-23 10:12:07.305,1974-09-23 10:12:09.230,1.925
Egress,1974-09-23 10:12:30.325,1974-09-23 10:12:32.250,1.925
Egress,1974-09-29 23:59:57.978,1974-09-29 23:59:59.903,1.925
Ingress,1974-10-04 23:59:56.245,1974-10-05 00:00:00.055,3.81
Ingress,1974-10-06 00:00:03.133,1974-10-06 00:00:05.058,1.925
Ingress,1974-10-09 00:00:54.386,1974-10-09 00:00:58.832,4.446
Ingress,1974-10-09 00:01:10.382,1974-10-09 00:01:14.192,3.81
Ingress,1974-10-09 00:01:25.742,1974-10-09 00:01:28.915,3.173
Ingress,1974-10-09 00:01:41.102,1974-10-09 00:01:44.275,3.173
Ingress,1974-10-09 00:01:56.461,1974-10-09 00:01:59.635,3.174
Ingress,1974-10-09 00:02:11.821,1974-10-09 00:02:14.995,3.174
Ingress,1974-10-09 00:03:28.621,1974-10-09 00:03:32.431,3.81
Ingress,1974-10-10 00:00:00.606,1974-10-10 00:00:02.531,1.925
Ingress,1974-10-18 23:59:44.641,1974-10-18 23:59:48.451,3.81
Egress,1974-10-18 23:59:54.226,1974-10-18 23:59:56.151,1.925
Egress,1974-10-19 23:59:58.957,1974-10-20 00:00:16.987,18.03
Ingress,1974-10-24 23:59:56.611,1974-10-24 23:59:58.536,1.925
Egress,1974-10-25 00:00:02.386,1974-10-25 00:00:04.311,1.925
Ingress,1974-11-03 23:58:37.660,1974-11-03 23:58:39.585,1.925
Ingress,1974-11-04 00:00:09.818,1974-11-04 00:00:11.436,1.6179999999999999
Ingress,1974-11-04 00:00:25.177,1974-11-04 00:00:26.795,1.6179999999999999
Ingress,1974-11-04 00:00:40.537,1974-11-04 00:00:42.155,1.6179999999999999
Ingress,1974-11-04 00:00:55.589,1974-11-04 00:00:57.514,1.925
Ingress,1974-11-04 00:01:11.256,1974-11-04 00:01:12.874,1.6179999999999999
Ingress,1974-11-04 00:01:26.616,1974-11-04 00:01:28.234,1.6179999999999999
Ingress,1974-11-04 00:01:41.668,1974-11-04 00:01:43.593,1.925
Ingress,1974-11-04 00:01:57.335,1974-11-04 00:01:58.953,1.6179999999999999
Ingress,1974-11-04 00:02:28.054,1974-11-04 00:02:29.672,1.6179999999999999
Ingress,1974-11-04 00:02:43.414,1974-11-04 00:02:45.031,1.617
