event_type,pre_event_time,post_event_time,gap_seconds
Ingress,1974-09-09 23:59:57.272,1974-09-09 23:59:59.197,1.925
Ingress,1974-09-17 00:00:01.541,1974-09-17 00:00:03.466,1.925
Ingress,1974-09-18 00:00:05.960,1974-09-18 00:00:07.885,1.925
Ingress,1974-09-22 23:59:58.151,1974-09-23 00:00:00.076,1.925
Ingress,1974-09-29 23:59:44.543,1974-09-29 23:59:50.278,5.735
Ingress,1974-10-02 00:04:23.310,1974-10-02 00:04:24.520,1.21
Ingress,1974-10-02 00:04:38.670,1974-10-02 00:04:39.879,1.209
Ingress,1974-10-02 00:04:53.314,1974-10-02 00:04:55.239,1.925
Ingress,1974-10-02 00:05:09.390,1974-10-02 00:05:10.599,1.209
Ingress,1974-10-02 00:05:24.750,1974-10-02 00:05:25.959,1.209
Ingress,1974-10-02 00:05:40.110,1974-10-02 00:05:41.319,1.209
Ingress,1974-10-02 00:05:55.470,1974-10-02 00:05:56.679,1.209
Ingress,1974-10-02 00:06:10.830,1974-10-02 00:06:12.039,1.209
Ingress,1974-10-02 00:06:26.190,1974-10-02 00:06:27.399,1.209
Ingress,1974-10-02 00:06:41.550,1974-10-02 00:06:42.759,1.209
Ingress,1974-10-02 00:06:56.194,1974-10-02 00:06:58.119,1.925
Ingress,1974-10-02 00:07:11.553,1974-10-02 00:07:13.478,1.925
Ingress,1974-10-02 00:07:27.630,1974-10-02 00:07:28.838,1.208
Ingress,1974-10-02 00:07:42.990,1974-10-02 00:07:44.198,1.208
Ingress,1974-10-02 00:07:58.350,1974-10-02 00:07:59.558,1.208
Ingress,1974-10-02 00:08:13.710,1974-10-02 00:08:14.918,1.208
Ingress,1974-10-02 00:08:29.070,1974-10-02 00:08:30.278,1.208
Ingress,1974-10-02 00:08:59.790,1974-10-02 00:09:01.715,1.925
Ingress,1974-10-02 00:09:15.150,1974-10-02 00:09:16.358,1.208
Ingress,1974-10-02 00:09:29.793,1974-10-02 00:09:31.718,1.925
Ingress,1974-10-02 00:09:45.870,1974-10-02 00:09:47.077,1.207
Ingress,1974-10-02 00:10:01.230,1974-10-02 00:10:02.437,1.207
Ingress,1974-10-02 00:10:16.590,1974-10-02 00:10:17.797,1.207
