event_type,pre_event_time,post_event_time,frequency_band,pre_median,post_median,dip_z_score,ttest_pvalue,target,data_col,analysis_mode
Ingress,1974-09-09 23:59:57.272,1974-09-09 23:59:59.197,1,1204234.0,4592589.0,-9.153337348407403,9.982276290491907e-05,Earth,rv2_coarse,per_band
Ingress,1974-09-09 23:59:57.272,1974-09-09 23:59:59.197,2,4199409.5,5882969.0,,,Earth,rv2_coarse,per_band
Ingress,1974-09-09 23:59:57.272,1974-09-09 23:59:59.197,3,,1482844.0,,,Earth,rv2_coarse,per_band
Ingress,1974-09-09 23:59:57.272,1974-09-09 23:59:59.197,4,2000244.0,1318889.0,,,Earth,rv2_coarse,per_band
Ingress,1974-09-09 23:59:57.272,1974-09-09 23:59:59.197,5,9440902.0,4657390.0,12.56487001787383,2.945931492613772e-06,Earth,rv2_coarse,per_band
Ingress,1974-09-09 23:59:57.272,1974-09-09 23:59:59.197,6,654269.375,513250.625,6.151484391337748,0.004292597172054795,Earth,rv2_coarse,per_band
Ingress,1974-09-09 23:59:57.272,1974-09-09 23:59:59.197,7,1186987.0,484904.5,6.594372550543361,0.0006022369897078615,Earth,rv2_coarse,per_band
Ingress,1974-09-09 23:59:57.272,1974-09-09 23:59:59.197,8,722998.4375,839656.375,-1.298806816046046,0.0997763250049416,Earth,rv2_coarse,per_band
Ingress,1974-09-09 23:59:57.272,1974-09-09 23:59:59.197,9,347186.0625,615456.125,-6.4855676022874915,0.0006186104740489178,Earth,rv2_coarse,per_band
Ingress,1974-09-17 00:00:01.541,1974-09-17 00:00:03.466,1,6507042.0,1896766.0,5.04117367880274,0.007230062513339947,Earth,rv2_coarse,per_band
Ingress,1974-09-17 00:00:01.541,1974-09-17 00:00:03.466,2,50585024.0,4503562.0,7.230528855089257,0.003134186155915196,Earth,rv2_coarse,per_band
Ingress,1974-09-17 00:00:01.541,1974-09-17 00:00:03.466,3,1804382.0,2010510.0,-3.339412761289755,0.19793693215327057,Earth,rv2_coarse,per_band
Ingress,1974-09-17 00:00:01.541,1974-09-17 00:00:03.466,4,1203530.5,1759181.0,-13.4290063341188,3.387003300463765e-07,Earth,rv2_coarse,per_band
Ingress,1974-09-17 00:00:01.541,1974-09-17 00:00:03.466,5,4920395.0,7188105.0,-11.127357443877044,1.953234161864756e-08,Earth,rv2_coarse,per_band
Ingress,1974-09-17 00:00:01.541,1974-09-17 00:00:03.466,6,480527.9375,456441.875,2.9093749562419045,0.027633971260469275,Earth,rv2_coarse,per_band
Ingress,1974-09-17 00:00:01.541,1974-09-17 00:00:03.466,7,449296.8125,432100.1875,1.0202542755337416,0.5637773568642912,Earth,rv2_coarse,per_band
Ingress,1974-09-17 00:00:01.541,1974-09-17 00:00:03.466,8,620769.1875,409458.625,6.18672615019848,0.0007456838578668333,Earth,rv2_coarse,per_band
Ingress,1974-09-17 00:00:01.541,1974-09-17 00:00:03.466,9,267288.875,271364.875,-0.1264465048436125,0.9378770498112481,Earth,rv2_coarse,per_band
Ingress,1974-09-18 00:00:05.960,1974-09-18 00:00:07.885,1,2678156.0,659632.03125,4.351001609359585,0.0010831940492528748,Earth,rv2_coarse,per_band
Ingress,1974-09-18 00:00:05.960,1974-09-18 00:00:07.885,2,5067307.0,2979041.0,9.779447422075108,1.3283500859719648e-05,Earth,rv2_coarse,per_band
Ingress,1974-09-18 00:00:05.960,1974-09-18 00:00:07.885,3,2324797.0,1472299.0,14.089726693742218,1.146832577102819e-06,Earth,rv2_coarse,per_band
Ingress,1974-09-18 00:00:05.960,1974-09-18 00:00:07.885,4,2095959.0,1219563.0,13.200755459796083,3.170482435421496e-07,Earth,rv2_coarse,per_band
Ingress,1974-09-18 00:00:05.960,1974-09-18 00:00:07.885,5,7759708.0,4926057.0,12.380426545515546,2.2862562977102733e-07,Earth,rv2_coarse,per_band
Ingress,1974-09-18 00:00:05.960,1974-09-18 00:00:07.885,6,495540.0,481678.1875,1.4537269239224537,0.4704200403410276,Earth,rv2_coarse,per_band
Ingress,1974-09-18 00:00:05.960,1974-09-18 00:00:07.885,7,478103.875,438657.125,2.4548455244987215,0.004601010876224108,Earth,rv2_coarse,per_band
Ingress,1974-09-18 00:00:05.960,1974-09-18 00:00:07.885,8,444552.625,781132.125,-11.161642158633377,4.6047552035588243e-07,Earth,rv2_coarse,per_band
Ingress,1974-09-18 00:00:05.960,1974-09-18 00:00:07.885,9,235444.8125,321925.625,-2.4211366022257303,0.02448002589433388,Earth,rv2_coarse,per_band
Ingress,1974-09-22 23:59:58.151,1974-09-23 00:00:00.076,1,54902832.0,,,,Earth,rv2_coarse,per_band
Ingress,1974-09-22 23:59:58.151,1974-09-23 00:00:00.076,2,2650077.0,,,,Earth,rv2_coarse,per_band
Ingress,1974-09-22 23:59:58.151,1974-09-23 00:00:00.076,3,2049688.0,,,,Earth,rv2_coarse,per_band
Ingress,1974-09-22 23:59:58.151,1974-09-23 00:00:00.076,4,1632875.0,,,,Earth,rv2_coarse,per_band
Ingress,1974-09-22 23:59:58.151,1974-09-23 00:00:00.076,5,5744887.0,5265851.0,,,Earth,rv2_coarse,per_band
Ingress,1974-09-22 23:59:58.151,1974-09-23 00:00:00.076,6,437413.0,,,,Earth,rv2_coarse,per_band
Ingress,1974-09-22 23:59:58.151,1974-09-23 00:00:00.076,7,436177.5,,,,Earth,rv2_coarse,per_band
Ingress,1974-09-22 23:59:58.151,1974-09-23 00:00:00.076,8,722998.4375,,,,Earth,rv2_coarse,per_band
Ingress,1974-09-22 23:59:58.151,1974-09-23 00:00:00.076,9,472550.0,289789.96875,4.144566620255345,0.02827564844812313,Earth,rv2_coarse,per_band
Ingress,1974-09-29 23:59:44.543,1974-09-29 23:59:50.278,1,450963.3125,319887.3125,5.72076388384142,1.1963639111902114e-05,Earth,rv2_coarse,per_band
Ingress,1974-09-29 23:59:44.543,1974-09-29 23:59:50.278,2,2524119.0,2773305.0,-1.6547879882994938,0.02037045443645963,Earth,rv2_coarse,per_band
Ingress,1974-09-29 23:59:44.543,1974-09-29 23:59:50.278,3,1650693.0,2548423.0,-18.349802550430613,3.8879233606301924e-13,Earth,rv2_coarse,per_band
Ingress,1974-09-29 23:59:44.543,1974-09-29 23:59:50.278,4,1423968.0,2208783.0,-21.048780029512663,1.7493444830677776e-14,Earth,rv2_coarse,per_band
Ingress,1974-09-29 23:59:44.543,1974-09-29 23:59:50.278,5,5260174.0,6792023.0,-14.92751340069395,3.500576052219653e-08,Earth,rv2_coarse,per_band
Ingress,1974-09-29 23:59:44.543,1974-09-29 23:59:50.278,6,470289.0625,470289.0625,0.0,0.20355441780396943,Earth,rv2_coarse,per_band
Ingress,1974-09-29 23:59:44.543,1974-09-29 23:59:50.278,7,487751.75,541750.8125,-1.890949431547071,0.19833903435069056,Earth,rv2_coarse,per_band
Ingress,1974-09-29 23:59:44.543,1974-09-29 23:59:50.278,8,1099010.0,1261829.0,-1.0409314964293028,0.6005226510066809,Earth,rv2_coarse,per_band
