frequency_band,frequency_mhz,n_events,combined_z,mean_z,target,data_col,kind
1,0.45,2181,0.3114087305705583,0.006668113007099882,Fornax-A,rv2_coarse,fixed
2,0.7,2205,30.495451888995586,0.6494276516987476,Fornax-A,rv2_coarse,fixed
3,0.9,2191,59.88929591664407,1.2794638463395822,Fornax-A,rv2_coarse,fixed
4,1.31,2205,53.56715581588342,1.140760016815605,Fornax-A,rv2_coarse,fixed
5,2.2,2232,34.240565382938826,0.7247593586985929,Fornax-A,rv2_coarse,fixed
6,3.93,2230,6.411426112543519,0.13576949735133287,Fornax-A,rv2_coarse,fixed
7,4.7,2233,3.8115222646960305,0.080659235145049,Fornax-A,rv2_coarse,fixed
8,6.55,2217,-1.6265976024991138,-0.0345459612296829,Fornax-A,rv2_coarse,fixed
9,9.18,2231,2.6379888321861227,0.05584999872087541,Fornax-A,rv2_coarse,fixed
1,0.45,844,7.0512637011428545,0.2427145061517965,Cygnus-A,rv2_coarse,fixed
2,0.7,844,3.997066037611089,0.1375846870139964,Cygnus-A,rv2_coarse,fixed
3,0.9,842,-0.027004587282754,-0.0009306395358776533,Cygnus-A,rv2_coarse,fixed
4,1.31,848,7.790461498304379,0.26752554620690955,Cygnus-A,rv2_coarse,fixed
5,2.2,856,0.9575381657321486,0.03272798073417532,Cygnus-A,rv2_coarse,fixed
6,3.93,852,4.491330051676556,0.153870432175894,Cygnus-A,rv2_coarse,fixed
7,4.7,843,-0.1231129339919668,-0.0042402346837553595,Cygnus-A,rv2_coarse,fixed
8,6.55,838,-0.46159886272071615,-0.01594566812083705,Cygnus-A,rv2_coarse,fixed
9,9.18,828,1.0980871821038942,0.038161167559996316,Cygnus-A,rv2_coarse,fixed
1,0.45,2051,1.166251603101505,0.025751908675994632,Sag-A,rv2_coarse,fixed
2,0.7,2072,-23.564378450311803,-0.5176796741739594,Sag-A,rv2_coarse,fixed
3,0.9,2048,-54.54585201179788,-1.2053044325981301,Sag-A,rv2_coarse,fixed
