target,kind,data_col,frequency_band,frequency_mhz,combined_z,random_percentile,random_n
Fornax-A,fixed,rv2_coarse,1,0.45,0.3114087305705583,0.495,200
Cygnus-A,fixed,rv2_coarse,1,0.45,7.0512637011428545,0.795,200
Sag-A,fixed,rv2_coarse,1,0.45,1.166251603101505,0.545,200
Mercury,planet,rv2_coarse,1,0.45,1.5471718803770729,0.55,200
Venus,planet,rv2_coarse,1,0.45,-1.6562219898710857,0.425,200
Mars,planet,rv2_coarse,1,0.45,3.460367117719877,0.62,200
Jupiter,planet,rv2_coarse,1,0.45,-12.981905323555571,0.03,200
Saturn,planet,rv2_coarse,1,0.45,-0.7198118781361043,0.46,200
Uranus,planet,rv2_coarse,1,0.45,9.213482599190566,0.89,200
Neptune,planet,rv2_coarse,1,0.45,8.154327025642464,0.865,200
Earth,earth,rv2_coarse,1,0.45,-12.897895307510455,0.03,200
Fornax-A,fixed,rv2_coarse,2,0.7,30.495451888995586,0.98,200
Cygnus-A,fixed,rv2_coarse,2,0.7,3.997066037611089,0.74,200
Sag-A,fixed,rv2_coarse,2,0.7,-23.564378450311803,0.055,200
Mercury,planet,rv2_coarse,2,0.7,-5.330000213474135,0.38,200
Venus,planet,rv2_coarse,2,0.7,0.6461880543856291,0.625,200
Mars,planet,rv2_coarse,2,0.7,-17.27181715501766,0.095,200
Jupiter,planet,rv2_coarse,2,0.7,-7.146462476334894,0.34,200
Saturn,planet,rv2_coarse,2,0.7,-12.59005862884077,0.16,200
Uranus,planet,rv2_coarse,2,0.7,2.132035261699135,0.685,200
Neptune,planet,rv2_coarse,2,0.7,-16.719892872206692,0.095,200
Earth,earth,rv2_coarse,2,0.7,-8.582925579025378,0.29,200
Fornax-A,fixed,rv2_coarse,3,0.9,59.88929591664407,0.975,200
Cygnus-A,fixed,rv2_coarse,3,0.9,-0.027004587282754,0.555,200
Sag-A,fixed,rv2_coarse,3,0.9,-54.54585201179788,0.015,200
Mercury,planet,rv2_coarse,3,0.9,-24.763458286879455,0.17,200
Venus,planet,rv2_coarse,3,0.9,-14.628820430046092,0.245,200
Mars,planet,rv2_coarse,3,0.9,-25.01161395580903,0.17,200
Jupiter,planet,rv2_coarse,3,0.9,1.9196537646163163,0.605,200
Saturn,planet,rv2_coarse,3,0.9,-21.652515093270754,0.185,200
Uranus,planet,rv2_coarse,3,0.9,5.238635340448523,0.665,200
Neptune,planet,rv2_coarse,3,0.9,-37.04526082955307,0.085,200
Earth,earth,rv2_coarse,3,0.9,-4.927671334381842,0.375,200
Fornax-A,fixed,rv2_coarse,4,1.31,53.56715581588342,0.945,200
Cygnus-A,fixed,rv2_coarse,4,1.31,7.790461498304379,0.695,200
Sag-A,fixed,rv2_coarse,4,1.31,-56.943328476765046,0.015,200
Mercury,planet,rv2_coarse,4,1.31,-19.86931840555513,0.15,200
Venus,planet,rv2_coarse,4,1.31,-7.6358796477115725,0.32,200
Mars,planet,rv2_coarse,4,1.31,-21.841518144730973,0.12,200
Jupiter,planet,rv2_coarse,4,1.31,-0.6709913305290349,0.48,200
Saturn,planet,rv2_coarse,4,1.31,5.833649513392481,0.615,200
Uranus,planet,rv2_coarse,4,1.31,13.948921541566701,0.795,200
Neptune,planet,rv2_coarse,4,1.31,-29.769277904767172,0.085,200
Earth,earth,rv2_coarse,4,1.31,5.861685272317296,0.615,200
Fornax-A,fixed,rv2_coarse,5,2.2,34.240565382938826,0.99,200
Cygnus-A,fixed,rv2_coarse,5,2.2,0.9575381657321486,0.405,200
Sag-A,fixed,rv2_coarse,5,2.2,-32.134600529171166,0.025,200
Mercury,planet,rv2_coarse,5,2.2,-7.537375861589403,0.18,200
Venus,planet,rv2_coarse,5,2.2,2.8743984719465163,0.46,200
Mars,planet,rv2_coarse,5,2.2,-13.112242668999697,0.135,200
Jupiter,planet,rv2_coarse,5,2.2,-2.0850528290159653,0.28,200
Saturn,planet,rv2_coarse,5,2.2,8.656594657723417,0.7,200
Uranus,planet,rv2_coarse,5,2.2,13.5110324945431,0.835,200
Neptune,planet,rv2_coarse,5,2.2,-19.216208491339387,0.12,200
Earth,earth,rv2_coarse,5,2.2,6.324098140617831,0.62,200
Fornax-A,fixed,rv2_coarse,6,3.93,6.411426112543519,0.84,200
Cygnus-A,fixed,rv2_coarse,6,3.93,4.491330051676556,0.71,200
Sag-A,fixed,rv2_coarse,6,3.93,-3.2587943201039096,0.2,200
Mercury,planet,rv2_coarse,6,3.93,0.6674585187939573,0.505,200
Venus,planet,rv2_coarse,6,3.93,1.0069349797187763,0.525,200
Mars,planet,rv2_coarse,6,3.93,3.430818526082148,0.635,200
Jupiter,planet,rv2_coarse,6,3.93,-2.002534309485582,0.285,200
Saturn,planet,rv2_coarse,6,3.93,4.595012246659351,0.72,200
Uranus,planet,rv2_coarse,6,3.93,4.717426600082905,0.73,200
Neptune,planet,rv2_coarse,6,3.93,-2.2111243296584453,0.275,200
Earth,earth,rv2_coarse,6,3.93,1.8326883385970592,0.555,200
Fornax-A,fixed,rv2_coarse,7,4.7,3.8115222646960305,0.815,200
Cygnus-A,fixed,rv2_coarse,7,4.7,-0.1231129339919668,0.445,200
Sag-A,fixed,rv2_coarse,7,4.7,0.014229053800672865,0.465,200
Mercury,planet,rv2_coarse,7,4.7,4.969009715009213,0.89,200
Venus,planet,rv2_coarse,7,4.7,-2.4029181282806267,0.24,200
Mars,planet,rv2_coarse,7,4.7,-3.151180781605044,0.195,200
Jupiter,planet,rv2_coarse,7,4.7,1.394435771809091,0.66,200
Saturn,planet,rv2_coarse,7,4.7,2.8253097676136996,0.755,200
Uranus,planet,rv2_coarse,7,4.7,-1.026273512630706,0.36,200
Neptune,planet,rv2_coarse,7,4.7,0.34915904589083363,0.52,200
Earth,earth,rv2_coarse,7,4.7,4.384802963253305,0.855,200
Fornax-A,fixed,rv2_coarse,8,6.55,-1.6265976024991138,0.58,200
Cygnus-A,fixed,rv2_coarse,8,6.55,-0.46159886272071615,0.755,200
Sag-A,fixed,rv2_coarse,8,6.55,1.852180928018568,0.885,200
Mercury,planet,rv2_coarse,8,6.55,-9.645409017654298,0.01,200
Venus,planet,rv2_coarse,8,6.55,1.3650807136365937,0.87,200
Mars,planet,rv2_coarse,8,6.55,-4.9508205728969665,0.1,200
Jupiter,planet,rv2_coarse,8,6.55,-1.8706722218425627,0.55,200
Saturn,planet,rv2_coarse,8,6.55,-3.593178231093783,0.285,200
Uranus,planet,rv2_coarse,8,6.55,-1.2322820210910992,0.65,200
Neptune,planet,rv2_coarse,8,6.55,0.14716868516576542,0.78,200
Earth,earth,rv2_coarse,8,6.55,-4.869663819030881,0.105,200
Fornax-A,fixed,rv2_coarse,9,9.18,2.6379888321861227,0.915,200
Cygnus-A,fixed,rv2_coarse,9,9.18,1.0980871821038942,0.82,200
Sag-A,fixed,rv2_coarse,9,9.18,-2.41115851457822,0.475,200
Mercury,planet,rv2_coarse,9,9.18,-4.635132422765814,0.195,200
Venus,planet,rv2_coarse,9,9.18,-6.74308973757219,0.06,200
Mars,planet,rv2_coarse,9,9.18,-4.382198091652948,0.2,200
