frequency_band,event_type,n_events,combined_z,mean_z,target,data_col,analysis_mode
1,Egress,975,-3.2842605491896455,-0.10518051567132389,Fornax-A,rv2_coarse,per_band
1,Ingress,1206,3.3717981755542694,0.0970929993764723,Fornax-A,rv2_coarse,per_band
2,Egress,981,19.373469512031836,0.6185472778184895,Fornax-A,rv2_coarse,per_band
2,Ingress,1224,23.586574637590207,0.6741773631174839,Fornax-A,rv2_coarse,per_band
3,Egress,969,36.51655592189827,1.1730807861582186,Fornax-A,rv2_coarse,per_band
3,Ingress,1222,47.67527096943321,1.3638216084637567,Fornax-A,rv2_coarse,per_band
4,Egress,975,26.472884367655578,0.8478108199376477,Fornax-A,rv2_coarse,per_band
4,Ingress,1230,48.152124362015364,1.3729758436091077,Fornax-A,rv2_coarse,per_band
5,Egress,995,23.70662502464883,0.7515505379646006,Fornax-A,rv2_coarse,per_band
5,Ingress,1237,24.73258754293169,0.7032094610674873,Fornax-A,rv2_coarse,per_band
6,Egress,990,9.0293506781098,0.2869716025585672,Fornax-A,rv2_coarse,per_band
6,Ingress,1240,0.5300246122606672,0.015051687548782892,Fornax-A,rv2_coarse,per_band
7,Egress,998,1.5242491980076032,0.04824926528796556,Fornax-A,rv2_coarse,per_band
7,Ingress,1235,3.754970607057486,0.10684963993644106,Fornax-A,rv2_coarse,per_band
8,Egress,990,-3.196100064016799,-0.10157872808418202,Fornax-A,rv2_coarse,per_band
8,Ingress,1227,0.6844285037768535,0.019539156281282215,Fornax-A,rv2_coarse,per_band
9,Egress,997,3.225074553649184,0.10213913591691014,Fornax-A,rv2_coarse,per_band
9,Ingress,1234,0.6481556241675501,0.01845107669134009,Fornax-A,rv2_coarse,per_band
