event_type,pre_event_time,post_event_time,frequency_band,pre_median,post_median,dip_z_score,ttest_pvalue,target,data_col,analysis_mode
Ingress,1974-09-07 14:23:11.847,1974-09-07 14:23:17.581,all,1063370.34375,773748.5,1.5128927713594018,0.4895853570184414,Fornax-A,rv2_coarse,combined
Ingress,1974-09-07 21:47:09.265,1974-09-07 21:47:11.190,all,1336058.0,1171487.0,0.8285269298685807,0.6815060610392438,Fornax-A,rv2_coarse,combined
Ingress,1974-09-08 01:29:06.109,1974-09-08 01:29:08.034,all,1400109.0,1225412.0,0.3210444713583997,0.2663512944662106,Fornax-A,rv2_coarse,combined
Egress,1974-09-08 02:15:12.770,1974-09-08 02:15:14.695,all,2220386.5,1705414.0,-1.0923845393338818,0.15156867143367156,Fornax-A,rv2_coarse,combined
Ingress,1974-09-08 05:11:04.846,1974-09-08 05:11:06.771,all,993021.1875,1044035.84375,-0.0036850788651662447,0.8844842961496049,Fornax-A,rv2_coarse,combined
Ingress,1974-09-08 08:53:01.686,1974-09-08 08:53:03.611,all,1583763.0,817939.6875,0.041114609553472285,0.1946623280177527,Fornax-A,rv2_coarse,combined
Egress,1974-09-08 09:39:06.432,1974-09-08 09:39:08.357,all,1611449.0,867017.4375,-3.2270578739972557,0.4870117511964466,Fornax-A,rv2_coarse,combined
Ingress,1974-09-08 12:34:58.512,1974-09-08 12:35:00.437,all,861947.1875,963597.5625,-0.06592015663299425,0.17696400289723724,Fornax-A,rv2_coarse,combined
Egress,1974-09-08 13:21:03.265,1974-09-08 13:21:05.190,all,1104735.0,830817.6875,-1.3092962388185747,0.3633004388609904,Fornax-A,rv2_coarse,combined
Ingress,1974-09-08 19:58:52.210,1974-09-08 19:58:54.135,all,1398060.0,1705420.0,-0.7359416891715377,0.6316825555315182,Fornax-A,rv2_coarse,combined
Egress,1974-09-08 20:44:56.949,1974-09-08 20:44:58.874,all,1551993.0,1203300.5,-0.1203593919662855,0.8010081822309385,Fornax-A,rv2_coarse,combined
Ingress,1974-09-09 03:22:45.862,1974-09-09 03:22:47.787,all,1356207.0,2084639.5,-0.24187102465254778,0.04740039280968796,Fornax-A,rv2_coarse,combined
Ingress,1974-09-09 18:10:33.177,1974-09-09 18:10:35.102,all,1631705.5,1132307.0,1.826506884405593,0.31647518888448184,Fornax-A,rv2_coarse,combined
Egress,1974-09-09 18:56:36.020,1974-09-09 18:56:37.945,all,3433889.0,2223508.0,-2.01005443278555,0.3743695885086711,Fornax-A,rv2_coarse,combined
Egress,1974-09-10 00:15:44.047,1974-09-10 00:18:07.811,all,1409671.0,1587668.0,0.7394774708043687,0.30855160069321563,Fornax-A,rv2_coarse,combined
Ingress,1974-09-10 01:34:34.627,1974-09-10 01:34:36.552,all,1299647.0,4948630.5,-3.415620654601748,0.026123113875217808,Fornax-A,rv2_coarse,combined
Egress,1974-09-10 02:20:47.032,1974-09-10 02:20:48.957,all,2704348.0,2292744.5,-1.310753879528497,0.2500433890317286,Fornax-A,rv2_coarse,combined
Ingress,1974-09-10 12:40:19.366,1974-09-10 12:40:21.291,all,1033291.5625,1793002.0,-0.7559210588564463,0.08216374382924742,Fornax-A,rv2_coarse,combined
Egress,1974-09-10 13:25:15.028,1974-09-10 13:26:35.636,all,3918484.0,3852388.0,-0.04251018590844616,0.03733668273951232,Fornax-A,rv2_coarse,combined
Ingress,1974-09-10 16:22:16.253,1974-09-10 16:22:18.178,all,15039401.0,1370225.0,3.636316920885146,0.001559156316807928,Fornax-A,rv2_coarse,combined
Egress,1974-09-10 17:08:28.702,1974-09-10 17:08:34.437,all,3895294.0,908325.0,-4.199165370864646,0.013718897048935778,Fornax-A,rv2_coarse,combined
Ingress,1974-09-10 20:04:11.180,1974-09-10 20:04:13.105,all,1284219.0,1384704.0,-0.24631479543348983,0.17603501326450338,Fornax-A,rv2_coarse,combined
Ingress,1974-09-10 23:46:06.134,1974-09-10 23:46:08.059,all,1289175.0,1530939.0,-0.8900806044325458,0.2541816961708865,Fornax-A,rv2_coarse,combined
