frequency_band,event_type,n_events,combined_z,mean_z,target,data_col,analysis_mode
1,Egress,298,2.42203672467561,0.14030482031257568,Jupiter,rv2_coarse,per_band
1,Ingress,519,-18.12321799721162,-0.7955209761266665,Jupiter,rv2_coarse,per_band
2,Egress,305,-0.7191596824735808,-0.04117896362900626,Jupiter,rv2_coarse,per_band
2,Ingress,516,-8.461516323188977,-0.37249748578203973,Jupiter,rv2_coarse,per_band
3,Egress,303,5.795362645974513,0.33293488495250684,Jupiter,rv2_coarse,per_band
3,Ingress,514,-2.0293876320639384,-0.08951245116066277,Jupiter,rv2_coarse,per_band
4,Egress,308,-3.7630304976504374,-0.2144185623737211,Jupiter,rv2_coarse,per_band
4,Ingress,521,2.0469057809496323,0.08967657044151318,Jupiter,rv2_coarse,per_band
5,Egress,310,-1.4437082883437817,-0.08199712075654247,Jupiter,rv2_coarse,per_band
5,Ingress,532,-1.5210566960096978,-0.06594617126607139,Jupiter,rv2_coarse,per_band
6,Egress,308,-3.170160077305322,-0.18063663493952245,Jupiter,rv2_coarse,per_band
6,Ingress,529,-0.09996265179923948,-0.004346202252140847,Jupiter,rv2_coarse,per_band
7,Egress,307,-0.653156658315004,-0.037277619465750485,Jupiter,rv2_coarse,per_band
7,Ingress,522,2.258178534380951,0.09883778936998634,Jupiter,rv2_coarse,per_band
8,Egress,303,2.1705948391757377,0.12469741536561947,Jupiter,rv2_coarse,per_band
8,Ingress,519,-4.0127391589382055,-0.17613969953632766,Jupiter,rv2_coarse,per_band
9,Egress,301,1.4378569367769127,0.08287669603877765,Jupiter,rv2_coarse,per_band
9,Ingress,512,-6.781496413820796,-0.29970263130030866,Jupiter,rv2_coarse,per_band
