event_type,pre_event_time,post_event_time,gap_seconds
Ingress,1974-09-10 00:00:01.122,1974-09-10 00:00:03.047,1.925
Egress,1974-09-10 00:00:06.897,1974-09-10 00:00:08.822,1.925
Ingress,1974-09-10 23:59:51.747,1974-09-10 23:59:57.482,5.735
Egress,1974-09-10 23:59:59.407,1974-09-11 00:00:01.332,1.925
Ingress,1974-09-13 23:59:54.452,1974-09-13 23:59:56.377,1.925
Egress,1974-09-14 00:00:02.152,1974-09-14 00:00:04.457,2.305
Ingress,1974-09-14 23:59:45.288,1974-09-14 23:59:49.098,3.81
Egress,1974-09-14 23:59:52.948,1974-09-14 23:59:54.873,1.925
Ingress,1974-09-15 23:59:51.469,1974-09-15 23:59:53.394,1.925
Egress,1974-09-15 23:59:59.169,1974-09-16 00:00:16.901,17.732
Ingress,1974-09-16 23:59:57.731,1974-09-17 00:00:01.541,3.81
Egress,1974-09-17 00:00:05.391,1974-09-17 00:00:07.316,1.925
Ingress,1974-09-18 00:00:04.035,1974-09-18 00:00:05.960,1.925
Egress,1974-09-18 00:00:11.735,1974-09-18 00:00:14.264,2.529
Ingress,1974-09-22 23:59:50.491,1974-09-22 23:59:54.301,3.81
Egress,1974-09-22 23:59:58.151,1974-09-23 00:00:00.076,1.925
Ingress,1974-09-29 23:59:54.128,1974-09-29 23:59:56.053,1.925
Egress,1974-09-29 23:59:57.978,1974-09-29 23:59:59.903,1.925
Ingress,1974-10-02 00:03:57.650,1974-10-02 00:03:58.365,0.715
Egress,1974-10-02 00:04:02.215,1974-10-02 00:04:03.425,1.21
Ingress,1974-10-02 00:04:13.010,1974-10-02 00:04:13.725,0.715
Egress,1974-10-02 00:04:17.575,1974-10-02 00:04:18.785,1.21
Ingress,1974-10-02 00:04:28.370,1974-10-02 00:04:29.085,0.715
Egress,1974-10-02 00:04:32.935,1974-10-02 00:04:34.145,1.21
Ingress,1974-10-02 00:04:43.729,1974-10-02 00:04:44.445,0.716
Egress,1974-10-02 00:04:48.295,1974-10-02 00:04:49.504,1.209
Ingress,1974-10-02 00:04:59.089,1974-10-02 00:04:59.805,0.716
Egress,1974-10-02 00:05:03.655,1974-10-02 00:05:04.864,1.209
Ingress,1974-10-02 00:05:14.449,1974-10-02 00:05:15.165,0.716
Egress,1974-10-02 00:05:19.015,1974-10-02 00:05:20.224,1.209
Ingress,1974-10-02 00:05:29.809,1974-10-02 00:05:30.525,0.716
Egress,1974-10-02 00:05:34.375,1974-10-02 00:05:35.584,1.209
Ingress,1974-10-02 00:05:45.169,1974-10-02 00:05:45.885,0.716
Egress,1974-10-02 00:05:49.735,1974-10-02 00:05:50.944,1.209
Ingress,1974-10-02 00:06:00.529,1974-10-02 00:06:01.245,0.716
Egress,1974-10-02 00:06:05.095,1974-10-02 00:06:06.304,1.209
Ingress,1974-10-02 00:06:15.889,1974-10-02 00:06:16.605,0.716
Egress,1974-10-02 00:06:20.455,1974-10-02 00:06:21.664,1.209
Ingress,1974-10-02 00:06:31.249,1974-10-02 00:06:31.965,0.716
Egress,1974-10-02 00:06:35.815,1974-10-02 00:06:37.024,1.209
Ingress,1974-10-02 00:06:46.609,1974-10-02 00:06:47.325,0.716
Egress,1974-10-02 00:06:51.175,1974-10-02 00:06:52.384,1.209
Ingress,1974-10-02 00:07:01.969,1974-10-02 00:07:03.894,1.925
Egress,1974-10-02 00:07:06.535,1974-10-02 00:07:07.744,1.209
Ingress,1974-10-02 00:07:17.328,1974-10-02 00:07:18.045,0.717
Egress,1974-10-02 00:07:21.895,1974-10-02 00:07:23.103,1.208
Ingress,1974-10-02 00:07:32.688,1974-10-02 00:07:33.405,0.717
Egress,1974-10-02 00:07:37.255,1974-10-02 00:07:38.463,1.208
Ingress,1974-10-02 00:07:48.048,1974-10-02 00:07:48.765,0.717
Egress,1974-10-02 00:07:52.615,1974-10-02 00:07:53.823,1.208
Ingress,1974-10-02 00:08:03.408,1974-10-02 00:08:04.125,0.717
Egress,1974-10-02 00:08:07.975,1974-10-02 00:08:09.183,1.208
Ingress,1974-10-02 00:08:18.768,1974-10-02 00:08:19.485,0.717
Egress,1974-10-02 00:08:24.543,1974-10-02 00:08:25.260,0.717
Ingress,1974-10-02 00:08:34.128,1974-10-02 00:08:34.845,0.717
Egress,1974-10-02 00:08:39.903,1974-10-02 00:08:40.620,0.717
Ingress,1974-10-02 00:09:05.565,1974-10-02 00:09:07.490,1.925
Egress,1974-10-02 00:09:09.415,1974-10-02 00:09:11.340,1.925
Ingress,1974-10-02 00:09:20.208,1974-10-02 00:09:22.133,1.925
Egress,1974-10-02 00:09:25.983,1974-10-02 00:09:26.700,0.717
Ingress,1974-10-02 00:09:35.568,1974-10-02 00:09:36.285,0.717
Egress,1974-10-02 00:09:41.343,1974-10-02 00:09:42.060,0.717
Ingress,1974-10-02 00:09:50.927,1974-10-02 00:09:51.645,0.718
Egress,1974-10-02 00:09:56.702,1974-10-02 00:09:57.420,0.718
Ingress,1974-10-02 00:10:06.287,1974-10-02 00:10:07.005,0.718
Egress,1974-10-02 00:10:12.062,1974-10-02 00:10:12.780,0.718
Ingress,1974-10-02 00:10:21.647,1974-10-02 00:10:22.365,0.718
Egress,1974-10-02 00:10:27.422,1974-10-02 00:10:28.140,0.718
Ingress,1974-10-02 00:10:37.007,1974-10-02 00:10:37.725,0.718
Egress,1974-10-02 00:10:42.782,1974-10-02 00:10:43.500,0.718
Ingress,1974-10-02 00:10:52.367,1974-10-02 00:10:53.085,0.718
Egress,1974-10-02 00:10:58.142,1974-10-02 00:10:58.860,0.718
Ingress,1974-10-02 00:11:07.727,1974-10-02 00:11:08.445,0.718
Egress,1974-10-02 00:11:13.502,1974-10-02 00:11:14.220,0.718
Ingress,1974-10-02 00:11:23.087,1974-10-02 00:11:23.805,0.718
Egress,1974-10-02 00:11:28.862,1974-10-02 00:11:29.580,0.718
Ingress,1974-10-02 00:11:38.447,1974-10-02 00:11:39.165,0.718
Egress,1974-10-02 00:11:44.222,1974-10-02 00:11:48.032,3.81
Ingress,1974-10-02 00:11:53.807,1974-10-02 00:11:54.525,0.718
Egress,1974-10-02 00:11:59.582,1974-10-02 00:12:00.300,0.718
Ingress,1974-10-02 00:12:09.167,1974-10-02 00:12:09.885,0.718
Egress,1974-10-02 00:12:14.942,1974-10-02 00:12:15.660,0.718
Ingress,1974-10-05 00:00:00.055,1974-10-05 00:00:01.980,1.925
Egress,1974-10-05 00:00:05.830,1974-10-05 00:00:07.755,1.925
Ingress,1974-10-06 00:00:05.058,1974-10-06 00:00:06.983,1.925
Egress,1974-10-06 00:00:08.908,1974-10-06 00:00:10.833,1.925
Ingress,1974-10-09 00:00:58.832,1974-10-09 00:01:00.121,1.289
Egress,1974-10-09 00:01:04.607,1974-10-09 00:01:05.896,1.289
Ingress,1974-10-09 00:01:14.192,1974-10-09 00:01:15.480,1.288
Egress,1974-10-09 00:01:19.967,1974-10-09 00:01:21.255,1.288
Ingress,1974-10-09 00:01:29.552,1974-10-09 00:01:30.840,1.288
Egress,1974-10-09 00:01:35.327,1974-10-09 00:01:36.615,1.288
Ingress,1974-10-09 00:01:44.911,1974-10-09 00:01:46.200,1.289
Egress,1974-10-09 00:01:50.686,1974-10-09 00:01:51.975,1.289
Ingress,1974-10-09 00:01:59.635,1974-10-09 00:02:01.560,1.925
