event_type,pre_event_time,post_event_time,gap_seconds
Ingress,1974-09-10 23:59:51.747,1974-09-10 23:59:57.482,5.735
Ingress,1974-09-14 23:59:45.288,1974-09-14 23:59:49.098,3.81
Egress,1974-09-15 23:59:59.169,1974-09-16 00:00:16.901,17.732
Ingress,1974-09-16 23:59:57.731,1974-09-17 00:00:01.541,3.81
Egress,1974-09-18 00:00:11.735,1974-09-18 00:00:14.264,2.529
Ingress,1974-09-22 23:59:50.491,1974-09-22 23:59:54.301,3.81
Egress,1974-09-22 23:59:58.151,1974-09-23 00:00:00.076,1.925
Egress,1974-09-29 23:59:57.978,1974-09-29 23:59:59.903,1.925
Egress,1974-10-02 00:08:24.543,1974-10-02 00:08:25.260,0.717
Egress,1974-10-02 00:08:39.903,1974-10-02 00:08:40.620,0.717
Egress,1974-10-02 00:09:25.983,1974-10-02 00:09:26.700,0.717
Egress,1974-10-02 00:09:41.343,1974-10-02 00:09:42.060,0.717
Egress,1974-10-02 00:09:56.702,1974-10-02 00:09:57.420,0.718
Egress,1974-10-02 00:10:12.062,1974-10-02 00:10:12.780,0.718
Egress,1974-10-02 00:10:27.422,1974-10-02 00:10:28.140,0.718
Egress,1974-10-02 00:10:42.782,1974-10-02 00:10:43.500,0.718
Egress,1974-10-02 00:10:58.142,1974-10-02 00:10:58.860,0.718
Egress,1974-10-02 00:11:13.502,1974-10-02 00:11:14.220,0.718
Egress,1974-10-02 00:11:28.862,1974-10-02 00:11:29.580,0.718
Egress,1974-10-02 00:11:44.222,1974-10-02 00:11:48.032,3.81
Egress,1974-10-02 00:11:59.582,1974-10-02 00:12:00.300,0.718
Egress,1974-10-02 00:12:14.942,1974-10-02 00:12:15.660,0.718
Egress,1974-10-05 00:00:05.830,1974-10-05 00:00:07.755,1.925
Egress,1974-10-09 00:01:04.607,1974-10-09 00:01:05.896,1.289
Egress,1974-10-09 00:01:19.967,1974-10-09 00:01:21.255,1.288
Egress,1974-10-09 00:01:35.327,1974-10-09 00:01:36.615,1.288
Egress,1974-10-09 00:01:50.686,1974-10-09 00:01:51.975,1.289
Egress,1974-10-09 00:02:06.046,1974-10-09 00:02:07.335,1.289
Egress,1974-10-09 00:02:21.406,1974-10-09 00:02:22.695,1.289
Egress,1974-10-09 00:02:36.766,1974-10-09 00:02:38.054,1.288
Egress,1974-10-09 00:02:52.126,1974-10-09 00:02:53.414,1.288
Egress,1974-10-09 00:03:07.486,1974-10-09 00:03:08.774,1.288
Egress,1974-10-09 00:03:22.846,1974-10-09 00:03:24.771,1.925
Egress,1974-10-09 00:03:38.206,1974-10-09 00:03:39.494,1.288
Egress,1974-10-09 00:03:53.566,1974-10-09 00:03:54.854,1.288
Egress,1974-10-09 00:04:08.926,1974-10-09 00:04:10.213,1.287
Egress,1974-10-09 00:04:24.286,1974-10-09 00:04:25.573,1.287
Egress,1974-10-09 00:04:39.646,1974-10-09 00:04:40.933,1.287
Ingress,1974-10-18 23:59:52.301,1974-10-18 23:59:54.226,1.925
Ingress,1974-10-19 23:59:47.407,1974-10-19 23:59:49.332,1.925
Egress,1974-10-25 00:00:06.236,1974-10-25 00:00:08.161,1.925
Ingress,1974-10-25 23:59:55.203,1974-10-25 23:59:57.128,1.925
Egress,1974-10-25 23:59:59.053,1974-10-26 00:00:00.978,1.925
Ingress,1974-11-04 00:09:32.388,1974-11-04 00:09:34.313,1.925
Ingress,1974-11-04 00:09:47.747,1974-11-04 00:09:49.672,1.925
Ingress,1974-11-04 00:10:03.107,1974-11-04 00:10:05.032,1.925
Ingress,1974-11-04 00:10:18.466,1974-11-04 00:10:20.391,1.925
Ingress,1974-11-04 00:10:33.826,1974-11-04 00:10:35.751,1.925
Ingress,1974-11-04 00:10:49.185,1974-11-04 00:10:51.110,1.925
Ingress,1974-11-04 00:11:04.545,1974-11-04 00:11:06.470,1.925
Ingress,1974-11-04 00:11:50.624,1974-11-04 00:11:52.549,1.925
Ingress,1974-11-04 00:12:05.983,1974-11-04 00:12:07.908,1.925
Ingress,1974-11-04 00:12:21.343,1974-11-04 00:12:23.268,1.925
Ingress,1974-11-04 00:12:52.062,1974-11-04 00:12:53.987,1.925
Ingress,1974-11-04 00:13:07.422,1974-11-04 00:13:09.347,1.925
Ingress,1974-11-04 00:13:22.781,1974-11-04 00:13:24.706,1.925
Ingress,1974-11-04 00:13:53.191,1974-11-04 00:13:57.001,3.81
Ingress,1974-11-04 00:14:08.860,1974-11-04 00:14:10.785,1.925
Ingress,1974-11-04 00:14:24.220,1974-11-04 00:14:26.145,1.925
Ingress,1974-11-04 00:14:39.579,1974-11-04 00:14:41.504,1.925
Ingress,1974-11-04 00:14:54.939,1974-11-04 00:14:56.864,1.925
Ingress,1974-11-04 00:15:10.298,1974-11-04 00:15:12.223,1.925
Ingress,1974-11-04 00:15:25.658,1974-11-04 00:15:27.583,1.925
Ingress,1974-11-04 00:15:41.018,1974-11-04 00:15:42.943,1.925
Ingress,1974-11-04 00:16:11.427,1974-11-04 00:16:15.237,3.81
Ingress,1974-11-04 00:16:27.096,1974-11-04 00:16:29.021,1.925
Ingress,1974-11-04 00:16:42.456,1974-11-04 00:16:44.381,1.925
Ingress,1974-11-04 00:16:57.815,1974-11-04 00:16:59.740,1.925
Ingress,1974-11-04 00:17:13.175,1974-11-04 00:17:15.100,1.925
Ingress,1974-11-10 23:59:51.755,1974-11-10 23:59:53.680,1.925
Egress,1974-11-11 23:59:58.368,1974-11-12 00:00:00.293,1.925
Ingress,1974-11-13 00:00:01.092,1974-11-13 00:00:03.017,1.925
Egress,1974-11-13 00:00:04.942,1974-11-13 00:00:06.867,1.925
Egress,1974-11-15 23:59:59.279,1974-11-16 00:00:01.204,1.925
Ingress,1974-11-16 23:59:48.297,1974-11-16 23:59:50.222,1.925
Egress,1974-11-18 00:00:08.074,1974-11-18 00:00:09.999,1.925
Egress,1974-11-21 23:59:13.474,1974-11-21 23:59:15.399,1.925
Ingress,1974-11-22 00:00:29.940,1974-11-22 00:00:33.750,3.81
Egress,1974-11-22 00:00:33.750,1974-11-22 00:00:35.675,1.925
Egress,1974-11-22 00:00:45.300,1974-11-22 00:00:45.631,0.331
Ingress,1974-11-22 00:00:45.631,1974-11-22 00:00:47.556,1.925
Egress,1974-11-22 00:00:47.556,1974-11-22 00:00:51.034,3.4779999999999998
Egress,1974-11-22 00:01:00.659,1974-11-22 00:01:00.991,0.332
Ingress,1974-11-22 00:01:00.991,1974-11-22 00:01:02.916,1.925
Egress,1974-11-22 00:01:02.916,1974-11-22 00:01:04.469,1.553
Egress,1974-11-22 00:01:16.019,1974-11-22 00:01:16.351,0.332
Ingress,1974-11-22 00:01:16.351,1974-11-22 00:01:18.276,1.925
Egress,1974-11-22 00:01:18.276,1974-11-22 00:01:19.829,1.553
Egress,1974-11-22 00:01:31.379,1974-11-22 00:01:31.710,0.331
Ingress,1974-11-22 00:01:31.710,1974-11-22 00:01:33.635,1.925
Egress,1974-11-22 00:01:33.635,1974-11-22 00:01:35.188,1.553
Egress,1974-11-22 00:01:46.738,1974-11-22 00:01:47.070,0.332
Ingress,1974-11-22 00:01:47.070,1974-11-22 00:01:48.995,1.925
Egress,1974-11-22 00:01:48.995,1974-11-22 00:01:50.548,1.553
Egress,1974-11-22 00:02:02.098,1974-11-22 00:02:02.429,0.331
Ingress,1974-11-22 00:02:02.429,1974-11-22 00:02:04.354,1.925
Egress,1974-11-22 00:02:04.354,1974-11-22 00:02:05.908,1.554
Egress,1974-11-22 00:02:17.458,1974-11-22 00:02:17.789,0.331
Ingress,1974-11-22 00:02:17.789,1974-11-22 00:02:19.714,1.925
Egress,1974-11-22 00:02:19.714,1974-11-22 00:02:21.267,1.553
Egress,1974-11-22 00:02:32.817,1974-11-22 00:02:33.149,0.332
Ingress,1974-11-22 00:02:33.149,1974-11-22 00:02:35.074,1.925
Egress,1974-11-22 00:02:35.074,1974-11-22 00:02:36.627,1.553
Egress,1974-11-22 00:02:48.177,1974-11-22 00:02:48.508,0.331
Ingress,1974-11-22 00:02:48.508,1974-11-22 00:02:50.433,1.925
Egress,1974-11-22 00:02:50.433,1974-11-22 00:02:51.986,1.553
Egress,1974-11-22 00:03:03.536,1974-11-22 00:03:03.868,0.332
Ingress,1974-11-22 00:03:03.868,1974-11-22 00:03:05.793,1.925
Egress,1974-11-22 00:03:05.793,1974-11-22 00:03:07.346,1.553
Egress,1974-11-22 00:03:18.896,1974-11-22 00:03:19.227,0.331
Ingress,1974-11-22 00:03:19.227,1974-11-22 00:03:21.152,1.925
Egress,1974-11-22 00:03:21.152,1974-11-22 00:03:22.706,1.554
Egress,1974-11-22 00:03:34.256,1974-11-22 00:03:34.587,0.331
Ingress,1974-11-22 00:03:34.587,1974-11-22 00:03:36.512,1.925
Egress,1974-11-22 00:03:36.512,1974-11-22 00:03:38.065,1.553
Egress,1974-11-22 00:03:49.615,1974-11-22 00:03:49.947,0.332
Ingress,1974-11-22 00:03:49.947,1974-11-22 00:03:51.872,1.925
Egress,1974-11-22 00:03:51.872,1974-11-22 00:03:53.425,1.553
Egress,1974-11-22 00:04:04.975,1974-11-22 00:04:05.306,0.331
Ingress,1974-11-22 00:04:05.306,1974-11-22 00:04:07.231,1.925
Egress,1974-11-22 00:04:07.231,1974-11-22 00:04:08.785,1.554
Egress,1974-11-22 00:04:20.335,1974-11-22 00:04:20.666,0.331
Ingress,1974-11-22 00:04:20.666,1974-11-22 00:04:22.591,1.925
Egress,1974-11-22 00:04:22.591,1974-11-22 00:04:24.144,1.553
Egress,1974-11-22 00:04:35.694,1974-11-22 00:04:36.025,0.331
Ingress,1974-11-22 00:04:36.025,1974-11-22 00:04:37.950,1.925
Egress,1974-11-22 00:04:37.950,1974-11-22 00:04:39.504,1.554
