event_type,pre_event_time,post_event_time,frequency_band,pre_median,post_median,dip_z_score,ttest_pvalue,target,data_col,analysis_mode
Ingress,1974-09-10 23:59:51.747,1974-09-10 23:59:57.482,all,1418036.0,1427693.9375,-0.022178068376563637,0.9112992633467185,Jupiter,rv2_coarse,combined
Ingress,1974-09-14 23:59:45.288,1974-09-14 23:59:49.098,all,4136465.0,9939679.0,-3.230937428170734,0.0003448573176233915,Jupiter,rv2_coarse,combined
Egress,1974-09-15 23:59:59.169,1974-09-16 00:00:16.901,all,647644.875,995802.375,0.20415847197161344,0.342468044214683,Jupiter,rv2_coarse,combined
Ingress,1974-09-16 23:59:57.731,1974-09-17 00:00:01.541,all,1324958.0,1761210.0,-0.20975374157804363,0.9114647149713919,Jupiter,rv2_coarse,combined
Egress,1974-09-18 00:00:11.735,1974-09-18 00:00:14.264,all,529007.375,700653.875,0.5589153173836049,0.09153116665138727,Jupiter,rv2_coarse,combined
Ingress,1974-09-22 23:59:50.491,1974-09-22 23:59:54.301,all,828273.0,4561871.0,-2.1751185337941594,0.10469679935615205,Jupiter,rv2_coarse,combined
Egress,1974-09-22 23:59:58.151,1974-09-23 00:00:00.076,all,948868.3125,348437.1875,-0.3422567423276731,0.035210368160910076,Jupiter,rv2_coarse,combined
Egress,1974-09-29 23:59:57.978,1974-09-29 23:59:59.903,all,810595.9375,2196668.0,5.316950168181868,0.21121718983223137,Jupiter,rv2_coarse,combined
Egress,1974-10-02 00:08:24.543,1974-10-02 00:08:25.260,all,1318555.0,1520242.0,1.07754472733658,0.3206975582245413,Jupiter,rv2_coarse,combined
Egress,1974-10-02 00:08:39.903,1974-10-02 00:08:40.620,all,1319257.0,1530519.0,1.0610576298051244,0.32140186287615147,Jupiter,rv2_coarse,combined
Egress,1974-10-02 00:09:25.983,1974-10-02 00:09:26.700,all,1379387.0,1555119.5,0.8957587773429923,0.32082862670110546,Jupiter,rv2_coarse,combined
Egress,1974-10-02 00:09:41.343,1974-10-02 00:09:42.060,all,1384671.0,1530519.0,0.7135682457161948,0.32099304487175,Jupiter,rv2_coarse,combined
Egress,1974-10-02 00:09:56.702,1974-10-02 00:09:57.420,all,1648697.0,1530519.0,-0.5708899279379059,0.3211825552899877,Jupiter,rv2_coarse,combined
Egress,1974-10-02 00:10:12.062,1974-10-02 00:10:12.780,all,1543858.0,1530519.0,-0.06849470817634526,0.32158210152746475,Jupiter,rv2_coarse,combined
Egress,1974-10-02 00:10:27.422,1974-10-02 00:10:28.140,all,1384671.0,1580136.0,0.9948411127032187,0.15653964192490374,Jupiter,rv2_coarse,combined
Egress,1974-10-02 00:10:42.782,1974-10-02 00:10:43.500,all,1384671.0,1721853.5,1.6693002969276387,0.2316623395713943,Jupiter,rv2_coarse,combined
Egress,1974-10-02 00:10:58.142,1974-10-02 00:10:58.860,all,1401627.5,1789364.5,1.8347293311240414,0.20261137273159457,Jupiter,rv2_coarse,combined
Egress,1974-10-02 00:11:13.502,1974-10-02 00:11:14.220,all,1499241.0,1682930.0,0.8470575118761341,0.6650601587097227,Jupiter,rv2_coarse,combined
Egress,1974-10-02 00:11:28.862,1974-10-02 00:11:29.580,all,1481581.0,2023216.0,2.326015231930309,0.8448143072746611,Jupiter,rv2_coarse,combined
Egress,1974-10-02 00:11:44.222,1974-10-02 00:11:48.032,all,1530519.0,1988108.5,2.058151227244924,0.20012722051661325,Jupiter,rv2_coarse,combined
Egress,1974-10-02 00:11:59.582,1974-10-02 00:12:00.300,all,1530519.0,2151253.0,2.608576271037487,0.22597760437695186,Jupiter,rv2_coarse,combined
Egress,1974-10-02 00:12:14.942,1974-10-02 00:12:15.660,all,1579720.0,1805411.0,0.9124281903928511,0.24454987114146498,Jupiter,rv2_coarse,combined
Egress,1974-10-05 00:00:05.830,1974-10-05 00:00:07.755,all,2153467.5,1578636.0,-1.5330453391074883,0.1206832294964937,Jupiter,rv2_coarse,combined
Egress,1974-10-09 00:01:04.607,1974-10-09 00:01:05.896,all,4781730.0,1706491.0,-4.19928566481144,0.004653023123701646,Jupiter,rv2_coarse,combined
Egress,1974-10-09 00:01:19.967,1974-10-09 00:01:21.255,all,4225814.0,1536473.0,-4.680451312799672,0.005431002866214475,Jupiter,rv2_coarse,combined
Egress,1974-10-09 00:01:35.327,1974-10-09 00:01:36.615,all,3659702.0,1536473.0,-4.32874143123742,0.02025318359090337,Jupiter,rv2_coarse,combined
Egress,1974-10-09 00:01:50.686,1974-10-09 00:01:51.975,all,2693419.0,1536473.0,-2.5865359125937117,0.1430599571874258,Jupiter,rv2_coarse,combined
Egress,1974-10-09 00:02:06.046,1974-10-09 00:02:07.335,all,2099495.5,1593813.0,-1.212224457735529,0.23289746793304478,Jupiter,rv2_coarse,combined
Egress,1974-10-09 00:02:21.406,1974-10-09 00:02:22.695,all,1843329.0,1699321.0,-0.36365504550714417,0.6745790522442398,Jupiter,rv2_coarse,combined
Egress,1974-10-09 00:02:36.766,1974-10-09 00:02:38.054,all,1814938.0,1990666.0,0.44556021954041103,0.28250656713824424,Jupiter,rv2_coarse,combined
Egress,1974-10-09 00:02:52.126,1974-10-09 00:02:53.414,all,1747250.0,2190779.0,1.1493532945126348,0.07120998031692936,Jupiter,rv2_coarse,combined
Egress,1974-10-09 00:03:07.486,1974-10-09 00:03:08.774,all,1843329.0,2190779.0,0.9006723086122422,0.6369998852278526,Jupiter,rv2_coarse,combined
Egress,1974-10-09 00:03:22.846,1974-10-09 00:03:24.771,all,2021806.0,2116891.0,0.25346718618770814,0.029356255461680195,Jupiter,rv2_coarse,combined
Egress,1974-10-09 00:03:38.206,1974-10-09 00:03:39.494,all,2021806.0,2116891.0,0.2504387924174638,0.04839244356519555,Jupiter,rv2_coarse,combined
Egress,1974-10-09 00:03:53.566,1974-10-09 00:03:54.854,all,1871720.0,1990666.0,0.324052362010938,0.4565046778286097,Jupiter,rv2_coarse,combined
Egress,1974-10-09 00:04:08.926,1974-10-09 00:04:10.213,all,1605798.0,2116891.0,1.324013716686792,0.7424011079423611,Jupiter,rv2_coarse,combined
Egress,1974-10-09 00:04:24.286,1974-10-09 00:04:25.573,all,1536473.0,2561433.0,2.520129245577864,0.5273678538171362,Jupiter,rv2_coarse,combined
Egress,1974-10-09 00:04:39.646,1974-10-09 00:04:40.933,all,1536473.0,3057894.0,3.4985052918425072,0.28842532869050386,Jupiter,rv2_coarse,combined
Ingress,1974-10-18 23:59:52.301,1974-10-18 23:59:54.226,all,2059470.0,1753191.0,0.9202194829058644,0.8400535148262087,Jupiter,rv2_coarse,combined
Ingress,1974-10-19 23:59:47.407,1974-10-19 23:59:49.332,all,1639257.0,1907956.5,-0.29516060189842813,0.5562231370184101,Jupiter,rv2_coarse,combined
Egress,1974-10-25 00:00:06.236,1974-10-25 00:00:08.161,all,1854790.0,900424.6875,-0.05857830682180098,0.2726011043494629,Jupiter,rv2_coarse,combined
Ingress,1974-10-25 23:59:55.203,1974-10-25 23:59:57.128,all,1512663.0,2046542.5,-0.12207789182494762,0.038665620363882866,Jupiter,rv2_coarse,combined
Egress,1974-10-25 23:59:59.053,1974-10-26 00:00:00.978,all,1512663.0,2055688.0,0.1240975923751389,0.04209803401934679,Jupiter,rv2_coarse,combined
Ingress,1974-11-04 00:09:32.388,1974-11-04 00:09:34.313,all,1263174.0,1282942.0,-0.10133215183857908,0.32282661825476844,Jupiter,rv2_coarse,combined
Ingress,1974-11-04 00:09:47.747,1974-11-04 00:09:49.672,all,1315184.0,1393449.0,-0.4135195986381655,0.3234308902192491,Jupiter,rv2_coarse,combined
Ingress,1974-11-04 00:10:03.107,1974-11-04 00:10:05.032,all,1325621.0,1389392.0,-0.34697259752627907,0.32028799953508674,Jupiter,rv2_coarse,combined
Ingress,1974-11-04 00:10:18.466,1974-11-04 00:10:20.391,all,1432288.0,1331481.0,0.5457722939032134,0.3171018844544278,Jupiter,rv2_coarse,combined
Ingress,1974-11-04 00:10:33.826,1974-11-04 00:10:35.751,all,1384173.0,1283371.0,0.55096606344305,0.3182215187750607,Jupiter,rv2_coarse,combined
Ingress,1974-11-04 00:10:49.185,1974-11-04 00:10:51.110,all,1341918.0,1283371.0,0.30667943780449813,0.3208135333459735,Jupiter,rv2_coarse,combined
Ingress,1974-11-04 00:11:04.545,1974-11-04 00:11:06.470,all,1325621.0,1308628.0,0.08958568841001854,0.32170841503185,Jupiter,rv2_coarse,combined
Ingress,1974-11-04 00:11:50.624,1974-11-04 00:11:52.549,all,1211164.0,1283371.0,-0.3619747036386229,0.3206798962493306,Jupiter,rv2_coarse,combined
Ingress,1974-11-04 00:12:05.983,1974-11-04 00:12:07.908,all,1211164.0,1311906.0,-0.5144430795570116,0.9755305862572432,Jupiter,rv2_coarse,combined
Ingress,1974-11-04 00:12:21.343,1974-11-04 00:12:23.268,all,1347778.0,1295999.5,0.26941086892241733,0.9989389124188173,Jupiter,rv2_coarse,combined
Ingress,1974-11-04 00:12:52.062,1974-11-04 00:12:53.987,all,1368585.0,1220447.0,0.7713305480095833,0.9982151325028621,Jupiter,rv2_coarse,combined
Ingress,1974-11-04 00:13:07.422,1974-11-04 00:13:09.347,all,1389392.0,1229730.0,0.805929203676578,0.9816406120998171,Jupiter,rv2_coarse,combined
Ingress,1974-11-04 00:13:22.781,1974-11-04 00:13:24.706,all,1331481.0,1143951.5,0.9529519244638113,0.31651683427267907,Jupiter,rv2_coarse,combined
Ingress,1974-11-04 00:13:53.191,1974-11-04 00:13:57.001,all,1283371.0,1168700.0,0.5724156764811147,0.3198872843471663,Jupiter,rv2_coarse,combined
Ingress,1974-11-04 00:14:08.860,1974-11-04 00:14:10.785,all,1315184.0,1199215.0,0.5664546309422991,0.3199710859654784,Jupiter,rv2_coarse,combined
Ingress,1974-11-04 00:14:24.220,1974-11-04 00:14:26.145,all,1311906.0,1229730.0,0.4157682236549972,0.2621729626286953,Jupiter,rv2_coarse,combined
Ingress,1974-11-04 00:14:39.579,1974-11-04 00:14:41.504,all,1308628.0,1328203.0,-0.09931837930417539,0.26221429723075945,Jupiter,rv2_coarse,combined
Ingress,1974-11-04 00:14:54.939,1974-11-04 00:14:56.864,all,1283371.0,1259896.0,0.11749083614414506,0.3848055070169035,Jupiter,rv2_coarse,combined
Ingress,1974-11-04 00:15:10.298,1974-11-04 00:15:12.223,all,1295999.5,1327420.5,-0.15502547956034754,0.3819394068809818,Jupiter,rv2_coarse,combined
Ingress,1974-11-04 00:15:25.658,1974-11-04 00:15:27.583,all,1295999.5,1372600.0,-0.35705852151860873,0.37615484709146574,Jupiter,rv2_coarse,combined
Ingress,1974-11-04 00:15:41.018,1974-11-04 00:15:42.943,all,1241609.0,1372600.0,-0.5835761827630741,0.36866272393867516,Jupiter,rv2_coarse,combined
Ingress,1974-11-04 00:16:11.427,1974-11-04 00:16:15.237,all,1229730.0,1510544.5,-1.1553401512844765,0.36125370198238016,Jupiter,rv2_coarse,combined
Ingress,1974-11-04 00:16:27.096,1974-11-04 00:16:29.021,all,1199215.0,1567544.0,-1.4016167447720218,0.3553214123716997,Jupiter,rv2_coarse,combined
