event_type,pre_event_time,post_event_time,frequency_band,pre_median,post_median,dip_z_score,ttest_pvalue,target,data_col,analysis_mode
Ingress,1974-09-10 23:59:51.747,1974-09-10 23:59:57.482,1,4924991.5,434469.5625,9.622858332830846,3.467589427162699e-08,Jupiter,rv2_coarse,per_band
Ingress,1974-09-10 23:59:51.747,1974-09-10 23:59:57.482,2,4564595.0,6360624.0,-9.833312786591458,0.00011633261398878139,Jupiter,rv2_coarse,per_band
Ingress,1974-09-10 23:59:51.747,1974-09-10 23:59:57.482,3,1578490.0,2762313.0,-6.985716746869976,2.064724565202752e-06,Jupiter,rv2_coarse,per_band
Ingress,1974-09-10 23:59:51.747,1974-09-10 23:59:57.482,4,1123596.0,2458219.0,-3.836193331155319,0.00025202868427054117,Jupiter,rv2_coarse,per_band
Ingress,1974-09-10 23:59:51.747,1974-09-10 23:59:57.482,5,4378076.0,10301936.0,-21.55970148837928,1.25014530893531e-09,Jupiter,rv2_coarse,per_band
Ingress,1974-09-10 23:59:51.747,1974-09-10 23:59:57.482,6,487475.5,711666.5,-4.004070820341019,0.004262594423137429,Jupiter,rv2_coarse,per_band
Ingress,1974-09-10 23:59:51.747,1974-09-10 23:59:57.482,7,600516.75,808550.0,-4.145631416573438,0.0031379196228870586,Jupiter,rv2_coarse,per_band
Ingress,1974-09-10 23:59:51.747,1974-09-10 23:59:57.482,8,932436.9375,353442.9375,7.105398711285673,0.00037142042941354635,Jupiter,rv2_coarse,per_band
Ingress,1974-09-10 23:59:51.747,1974-09-10 23:59:57.482,9,732477.25,423144.46875,5.325336965654876,0.0004482919919974572,Jupiter,rv2_coarse,per_band
Ingress,1974-09-14 23:59:45.288,1974-09-14 23:59:49.098,1,9336467.0,13168136.0,-7.736459195784271,4.9010358268336344e-05,Jupiter,rv2_coarse,per_band
Ingress,1974-09-14 23:59:45.288,1974-09-14 23:59:49.098,2,12079521.0,35977512.0,-12.432350155274214,2.1474650136142755e-08,Jupiter,rv2_coarse,per_band
Ingress,1974-09-14 23:59:45.288,1974-09-14 23:59:49.098,3,8247883.0,10666811.0,-2.072858106128148,0.20780646744752265,Jupiter,rv2_coarse,per_band
Ingress,1974-09-14 23:59:45.288,1974-09-14 23:59:49.098,4,2650876.5,4481929.0,-8.385183417068784,1.0891431214368769e-07,Jupiter,rv2_coarse,per_band
Ingress,1974-09-14 23:59:45.288,1974-09-14 23:59:49.098,5,18242016.0,25020784.0,-1.8655010454388186,0.002746216132396758,Jupiter,rv2_coarse,per_band
Ingress,1974-09-14 23:59:45.288,1974-09-14 23:59:49.098,6,1507447.0,560554.625,9.756763372825162,7.84197548995896e-05,Jupiter,rv2_coarse,per_band
Ingress,1974-09-14 23:59:45.288,1974-09-14 23:59:49.098,7,1121899.0,877307.8125,2.075706613369736,0.01827601169741711,Jupiter,rv2_coarse,per_band
Ingress,1974-09-14 23:59:45.288,1974-09-14 23:59:49.098,8,1123667.0,695063.4375,3.8888820790951937,0.005974489674868325,Jupiter,rv2_coarse,per_band
Ingress,1974-09-14 23:59:45.288,1974-09-14 23:59:49.098,9,704971.78125,273617.21875,8.378755827800681,5.9387254563232695e-05,Jupiter,rv2_coarse,per_band
Egress,1974-09-15 23:59:59.169,1974-09-16 00:00:16.901,1,9448541.0,3977417.0,-4.677890828844458,0.0007109353453091362,Jupiter,rv2_coarse,per_band
Egress,1974-09-15 23:59:59.169,1974-09-16 00:00:16.901,2,46261744.0,44759808.0,-0.11198279397739541,0.39522781789162265,Jupiter,rv2_coarse,per_band
Egress,1974-09-15 23:59:59.169,1974-09-16 00:00:16.901,3,4570140.0,1776256.0,-29.921166330410898,2.7037069813006527e-08,Jupiter,rv2_coarse,per_band
Egress,1974-09-15 23:59:59.169,1974-09-16 00:00:16.901,4,3498939.0,1161910.0,-24.767748351314733,1.791427073620279e-07,Jupiter,rv2_coarse,per_band
Egress,1974-09-15 23:59:59.169,1974-09-16 00:00:16.901,5,12235719.0,4920395.0,-11.355288498035545,1.266444921863526e-05,Jupiter,rv2_coarse,per_band
Egress,1974-09-15 23:59:59.169,1974-09-16 00:00:16.901,6,537985.625,480527.9375,-6.569404801621575,0.00019365581885561102,Jupiter,rv2_coarse,per_band
Egress,1974-09-15 23:59:59.169,1974-09-16 00:00:16.901,7,616485.21875,413214.3125,-6.70271138141084,1.5132821304015677e-06,Jupiter,rv2_coarse,per_band
Egress,1974-09-15 23:59:59.169,1974-09-16 00:00:16.901,8,485145.0,698618.125,3.9785186568067936,0.0003082704915500173,Jupiter,rv2_coarse,per_band
Egress,1974-09-15 23:59:59.169,1974-09-16 00:00:16.901,9,234072.9375,233771.75,-0.014922126680348683,0.27262275913899414,Jupiter,rv2_coarse,per_band
Ingress,1974-09-16 23:59:57.731,1974-09-17 00:00:01.541,1,6507042.0,1896766.0,5.04117367880274,0.007230062513339947,Jupiter,rv2_coarse,per_band
Ingress,1974-09-16 23:59:57.731,1974-09-17 00:00:01.541,2,50585024.0,25276661.0,4.069633697658085,0.004637370109402523,Jupiter,rv2_coarse,per_band
Ingress,1974-09-16 23:59:57.731,1974-09-17 00:00:01.541,3,1804382.0,2010510.0,-3.339412761289755,0.19793693215327057,Jupiter,rv2_coarse,per_band
Ingress,1974-09-16 23:59:57.731,1974-09-17 00:00:01.541,4,1203530.5,1759181.0,-13.4290063341188,3.387003300463765e-07,Jupiter,rv2_coarse,per_band
Ingress,1974-09-16 23:59:57.731,1974-09-17 00:00:01.541,5,4920395.0,7188105.0,-11.506417151752387,1.7278748650562981e-09,Jupiter,rv2_coarse,per_band
Ingress,1974-09-16 23:59:57.731,1974-09-17 00:00:01.541,6,480527.9375,456441.875,2.9093749562419045,0.027633971260469275,Jupiter,rv2_coarse,per_band
Ingress,1974-09-16 23:59:57.731,1974-09-17 00:00:01.541,7,449296.8125,432100.1875,1.0202542755337416,0.5637773568642912,Jupiter,rv2_coarse,per_band
Ingress,1974-09-16 23:59:57.731,1974-09-17 00:00:01.541,8,620769.1875,409458.625,6.18672615019848,0.0007456838578668333,Jupiter,rv2_coarse,per_band
Ingress,1974-09-16 23:59:57.731,1974-09-17 00:00:01.541,9,267288.875,271364.875,-0.1264465048436125,0.9378770498112481,Jupiter,rv2_coarse,per_band
Egress,1974-09-18 00:00:11.735,1974-09-18 00:00:14.264,1,2678156.0,659632.03125,-4.339850325808672,0.0012153273659269758,Jupiter,rv2_coarse,per_band
Egress,1974-09-18 00:00:11.735,1974-09-18 00:00:14.264,2,5067307.0,2979041.0,-9.779447422075108,1.3283500859719648e-05,Jupiter,rv2_coarse,per_band
Egress,1974-09-18 00:00:11.735,1974-09-18 00:00:14.264,3,2324797.0,1472299.0,-14.089726693742218,1.146832577102819e-06,Jupiter,rv2_coarse,per_band
