frequency_band,event_type,n_events,combined_z,mean_z,target,data_col,analysis_mode
1,Egress,484,8.77840048606911,0.3990182039122323,Mars,rv2_coarse,per_band
1,Ingress,732,-2.6781131406107272,-0.09898590997812022,Mars,rv2_coarse,per_band
2,Egress,494,-8.377722799765898,-0.3769315687356915,Mars,rv2_coarse,per_band
2,Ingress,730,-15.473191572678791,-0.5726885134923276,Mars,rv2_coarse,per_band
3,Egress,483,-21.116314926070057,-0.9608255982985111,Mars,rv2_coarse,per_band
3,Ingress,734,-15.07670246847549,-0.5564912426667301,Mars,rv2_coarse,per_band
4,Egress,498,-27.139289332736226,-1.2161406346079053,Mars,rv2_coarse,per_band
4,Ingress,743,-6.008918182250969,-0.2204458278492299,Mars,rv2_coarse,per_band
5,Egress,504,-6.121584729413745,-0.2726770562092083,Mars,rv2_coarse,per_band
5,Ingress,752,-11.934302662685631,-0.43519923910648495,Mars,rv2_coarse,per_band
6,Egress,503,-0.547836642772436,-0.024426828582538973,Mars,rv2_coarse,per_band
6,Ingress,749,4.884613744188832,0.17847990178265183,Mars,rv2_coarse,per_band
7,Egress,503,-6.1485131663068096,-0.27414865203393624,Mars,rv2_coarse,per_band
7,Ingress,743,0.9782112324450936,0.03588708955710782,Mars,rv2_coarse,per_band
8,Egress,488,-0.06050834679105218,-0.0027390841592636705,Mars,rv2_coarse,per_band
8,Ingress,733,-6.340366567880907,-0.23418678257714756,Mars,rv2_coarse,per_band
9,Egress,495,-0.5462718395976767,-0.024553093274953055,Mars,rv2_coarse,per_band
9,Ingress,734,-5.2218769767522035,-0.19274299628328873,Mars,rv2_coarse,per_band
