event_type,pre_event_time,post_event_time,gap_seconds
Ingress,1974-09-09 23:59:57.272,1974-09-09 23:59:59.197,1.925
Egress,1974-09-10 00:00:01.122,1974-09-10 00:00:03.047,1.925
Ingress,1974-09-10 23:59:59.407,1974-09-11 00:00:01.332,1.925
Egress,1974-09-11 00:00:05.182,1974-09-11 00:00:07.107,1.925
Ingress,1974-09-13 23:59:50.602,1974-09-13 23:59:52.527,1.925
Egress,1974-09-13 23:59:56.377,1974-09-13 23:59:58.302,1.925
Ingress,1974-09-14 23:59:52.948,1974-09-14 23:59:54.873,1.925
Egress,1974-09-14 23:59:58.723,1974-09-15 00:00:00.648,1.925
Ingress,1974-09-15 23:59:47.619,1974-09-15 23:59:49.544,1.925
Egress,1974-09-15 23:59:53.394,1974-09-15 23:59:55.319,1.925
Ingress,1974-09-17 00:00:07.316,1974-09-17 00:00:09.241,1.925
Egress,1974-09-17 00:00:11.166,1974-09-17 00:00:13.091,1.925
Ingress,1974-09-18 00:00:00.185,1974-09-18 00:00:02.110,1.925
Egress,1974-09-18 00:00:05.960,1974-09-18 00:00:07.885,1.925
Ingress,1974-09-23 00:00:00.076,1974-09-23 00:00:02.001,1.925
Egress,1974-09-23 00:00:03.926,1974-09-23 00:00:05.851,1.925
Ingress,1974-09-23 23:59:22.692,1974-09-23 23:59:24.617,1.925
Egress,1974-09-23 23:59:28.467,1974-09-24 00:00:07.887,39.42
Ingress,1974-09-29 23:59:44.543,1974-09-29 23:59:50.278,5.735
Egress,1974-09-29 23:59:57.978,1974-09-29 23:59:59.903,1.925
Ingress,1974-10-02 00:03:52.590,1974-10-02 00:03:53.800,1.21
Egress,1974-10-02 00:04:02.215,1974-10-02 00:04:03.425,1.21
Ingress,1974-10-02 00:04:07.950,1974-10-02 00:04:09.160,1.21
Egress,1974-10-02 00:04:17.575,1974-10-02 00:04:18.785,1.21
Ingress,1974-10-02 00:04:23.310,1974-10-02 00:04:24.520,1.21
Egress,1974-10-02 00:04:32.935,1974-10-02 00:04:34.145,1.21
Ingress,1974-10-02 00:04:38.670,1974-10-02 00:04:39.879,1.209
Egress,1974-10-02 00:04:48.295,1974-10-02 00:04:49.504,1.209
Ingress,1974-10-02 00:04:53.314,1974-10-02 00:04:55.239,1.925
Egress,1974-10-02 00:05:03.655,1974-10-02 00:05:04.864,1.209
Ingress,1974-10-02 00:05:09.390,1974-10-02 00:05:10.599,1.209
Egress,1974-10-02 00:05:19.015,1974-10-02 00:05:20.224,1.209
Ingress,1974-10-02 00:05:24.750,1974-10-02 00:05:25.959,1.209
Egress,1974-10-02 00:05:34.375,1974-10-02 00:05:35.584,1.209
Ingress,1974-10-02 00:05:40.110,1974-10-02 00:05:41.319,1.209
Egress,1974-10-02 00:05:49.735,1974-10-02 00:05:50.944,1.209
Ingress,1974-10-02 00:05:55.470,1974-10-02 00:05:56.679,1.209
Egress,1974-10-02 00:06:05.095,1974-10-02 00:06:06.304,1.209
Ingress,1974-10-02 00:06:10.830,1974-10-02 00:06:12.039,1.209
Egress,1974-10-02 00:06:19.739,1974-10-02 00:06:20.455,0.716
Ingress,1974-10-02 00:06:26.190,1974-10-02 00:06:27.399,1.209
Egress,1974-10-02 00:06:35.099,1974-10-02 00:06:35.815,0.716
Ingress,1974-10-02 00:06:41.550,1974-10-02 00:06:42.759,1.209
Egress,1974-10-02 00:06:50.459,1974-10-02 00:06:51.175,0.716
Ingress,1974-10-02 00:06:56.194,1974-10-02 00:06:58.119,1.925
Egress,1974-10-02 00:07:04.610,1974-10-02 00:07:05.819,1.209
Ingress,1974-10-02 00:07:11.553,1974-10-02 00:07:13.478,1.925
Egress,1974-10-02 00:07:19.970,1974-10-02 00:07:21.178,1.208
Ingress,1974-10-02 00:07:27.630,1974-10-02 00:07:28.838,1.208
Egress,1974-10-02 00:07:35.330,1974-10-02 00:07:36.538,1.208
Ingress,1974-10-02 00:07:42.990,1974-10-02 00:07:44.198,1.208
Egress,1974-10-02 00:07:50.690,1974-10-02 00:07:51.898,1.208
Ingress,1974-10-02 00:07:58.350,1974-10-02 00:07:59.558,1.208
Egress,1974-10-02 00:08:06.050,1974-10-02 00:08:07.258,1.208
Ingress,1974-10-02 00:08:13.710,1974-10-02 00:08:14.918,1.208
Egress,1974-10-02 00:08:20.693,1974-10-02 00:08:21.410,0.717
Ingress,1974-10-02 00:08:29.070,1974-10-02 00:08:30.278,1.208
Egress,1974-10-02 00:08:36.053,1974-10-02 00:08:36.770,0.717
Ingress,1974-10-02 00:08:59.790,1974-10-02 00:09:01.715,1.925
Egress,1974-10-02 00:09:07.490,1974-10-02 00:09:09.415,1.925
Ingress,1974-10-02 00:09:15.150,1974-10-02 00:09:16.358,1.208
Egress,1974-10-02 00:09:22.133,1974-10-02 00:09:24.058,1.925
Ingress,1974-10-02 00:09:29.793,1974-10-02 00:09:31.718,1.925
Egress,1974-10-02 00:09:37.493,1974-10-02 00:09:38.210,0.717
Ingress,1974-10-02 00:09:45.870,1974-10-02 00:09:47.077,1.207
Egress,1974-10-02 00:09:52.852,1974-10-02 00:09:53.570,0.718
Ingress,1974-10-02 00:10:01.230,1974-10-02 00:10:02.437,1.207
Egress,1974-10-02 00:10:08.212,1974-10-02 00:10:08.930,0.718
