event_type,pre_event_time,post_event_time,gap_seconds
Ingress,1974-09-09 23:59:57.272,1974-09-09 23:59:59.197,1.925
Ingress,1974-09-13 23:59:50.602,1974-09-13 23:59:52.527,1.925
Egress,1974-09-18 00:00:05.960,1974-09-18 00:00:07.885,1.925
Ingress,1974-09-29 23:59:44.543,1974-09-29 23:59:50.278,5.735
Egress,1974-09-29 23:59:57.978,1974-09-29 23:59:59.903,1.925
Ingress,1974-10-02 00:03:52.590,1974-10-02 00:03:53.800,1.21
Ingress,1974-10-02 00:04:07.950,1974-10-02 00:04:09.160,1.21
Ingress,1974-10-02 00:04:23.310,1974-10-02 00:04:24.520,1.21
Ingress,1974-10-02 00:04:38.670,1974-10-02 00:04:39.879,1.209
Ingress,1974-10-02 00:04:53.314,1974-10-02 00:04:55.239,1.925
Ingress,1974-10-02 00:05:09.390,1974-10-02 00:05:10.599,1.209
Ingress,1974-10-02 00:05:24.750,1974-10-02 00:05:25.959,1.209
Ingress,1974-10-02 00:05:40.110,1974-10-02 00:05:41.319,1.209
Ingress,1974-10-02 00:05:55.470,1974-10-02 00:05:56.679,1.209
Ingress,1974-10-02 00:06:10.830,1974-10-02 00:06:12.039,1.209
Ingress,1974-10-02 00:06:26.190,1974-10-02 00:06:27.399,1.209
Ingress,1974-10-02 00:06:41.550,1974-10-02 00:06:42.759,1.209
Ingress,1974-10-02 00:06:56.194,1974-10-02 00:06:58.119,1.925
Ingress,1974-10-02 00:07:11.553,1974-10-02 00:07:13.478,1.925
Ingress,1974-10-02 00:07:27.630,1974-10-02 00:07:28.838,1.208
Ingress,1974-10-02 00:07:42.990,1974-10-02 00:07:44.198,1.208
Ingress,1974-10-02 00:07:58.350,1974-10-02 00:07:59.558,1.208
Ingress,1974-10-02 00:08:13.710,1974-10-02 00:08:14.918,1.208
Ingress,1974-10-02 00:08:29.070,1974-10-02 00:08:30.278,1.208
Ingress,1974-10-02 00:08:59.790,1974-10-02 00:09:01.715,1.925
Ingress,1974-10-02 00:09:15.150,1974-10-02 00:09:16.358,1.208
Ingress,1974-10-02 00:09:29.793,1974-10-02 00:09:31.718,1.925
Ingress,1974-10-02 00:09:45.870,1974-10-02 00:09:47.077,1.207
Ingress,1974-10-02 00:10:01.230,1974-10-02 00:10:02.437,1.207
Ingress,1974-10-02 00:10:16.590,1974-10-02 00:10:17.797,1.207
Ingress,1974-10-02 00:10:31.950,1974-10-02 00:10:33.157,1.207
Ingress,1974-10-02 00:10:47.310,1974-10-02 00:10:48.517,1.207
Ingress,1974-10-02 00:11:02.670,1974-10-02 00:11:03.877,1.207
Ingress,1974-10-02 00:11:18.030,1974-10-02 00:11:19.237,1.207
Ingress,1974-10-02 00:11:33.390,1974-10-02 00:11:34.597,1.207
Ingress,1974-10-02 00:11:48.750,1974-10-02 00:11:49.957,1.207
Ingress,1974-10-02 00:12:04.110,1974-10-02 00:12:05.317,1.207
Ingress,1974-10-06 00:00:03.133,1974-10-06 00:00:05.058,1.925
Ingress,1974-10-10 00:00:00.606,1974-10-10 00:00:02.531,1.925
Ingress,1974-10-18 23:59:48.451,1974-10-18 23:59:50.376,1.925
Egress,1974-10-18 23:59:54.226,1974-10-18 23:59:56.151,1.925
Ingress,1974-10-24 23:59:56.611,1974-10-24 23:59:58.536,1.925
Egress,1974-10-25 00:00:02.386,1974-10-25 00:00:04.311,1.925
Ingress,1974-11-03 23:58:37.660,1974-11-03 23:58:39.585,1.925
Ingress,1974-11-04 00:00:09.818,1974-11-04 00:00:11.436,1.6179999999999999
Ingress,1974-11-04 00:00:25.177,1974-11-04 00:00:26.795,1.6179999999999999
Ingress,1974-11-04 00:00:40.537,1974-11-04 00:00:42.155,1.6179999999999999
Ingress,1974-11-04 00:00:55.589,1974-11-04 00:00:57.514,1.925
Ingress,1974-11-04 00:01:11.256,1974-11-04 00:01:12.874,1.6179999999999999
Ingress,1974-11-04 00:01:26.616,1974-11-04 00:01:28.234,1.6179999999999999
Ingress,1974-11-04 00:01:41.668,1974-11-04 00:01:43.593,1.925
Ingress,1974-11-04 00:01:57.335,1974-11-04 00:01:58.953,1.6179999999999999
Ingress,1974-11-04 00:02:28.054,1974-11-04 00:02:29.672,1.6179999999999999
Ingress,1974-11-04 00:02:43.414,1974-11-04 00:02:45.031,1.617
Ingress,1974-11-04 00:02:58.773,1974-11-04 00:03:00.391,1.6179999999999999
Ingress,1974-11-04 00:03:13.825,1974-11-04 00:03:15.750,1.925
Ingress,1974-11-04 00:03:29.185,1974-11-04 00:03:31.110,1.925
Ingress,1974-11-04 00:03:44.852,1974-11-04 00:03:46.469,1.617
Ingress,1974-11-04 00:04:00.211,1974-11-04 00:04:01.829,1.6179999999999999
Ingress,1974-11-04 00:04:15.571,1974-11-04 00:04:17.189,1.6179999999999999
Ingress,1974-11-04 00:04:46.290,1974-11-04 00:04:47.908,1.6179999999999999
Ingress,1974-11-04 00:05:01.650,1974-11-04 00:05:03.267,1.617
Ingress,1974-11-04 00:05:17.009,1974-11-04 00:05:18.627,1.6179999999999999
Ingress,1974-11-04 00:05:32.369,1974-11-04 00:05:33.986,1.617
Ingress,1974-11-04 00:05:47.421,1974-11-04 00:05:49.346,1.925
Ingress,1974-11-04 00:06:03.088,1974-11-04 00:06:04.705,1.617
Ingress,1974-11-04 00:06:18.448,1974-11-04 00:06:20.065,1.617
Ingress,1974-11-04 00:06:33.807,1974-11-04 00:06:35.424,1.617
Ingress,1974-11-04 00:06:58.484,1974-11-04 00:07:02.293,3.809
Ingress,1974-11-04 00:07:04.526,1974-11-04 00:07:06.143,1.617
Ingress,1974-11-04 00:07:19.886,1974-11-04 00:07:21.503,1.617
Ingress,1974-11-04 00:07:35.246,1974-11-04 00:07:36.863,1.617
Ingress,1974-11-04 00:07:50.605,1974-11-04 00:07:52.222,1.617
Ingress,1974-11-04 00:08:05.965,1974-11-04 00:08:07.582,1.617
Ingress,1974-11-04 00:08:21.324,1974-11-04 00:08:22.941,1.617
Ingress,1974-11-04 00:08:36.684,1974-11-04 00:08:38.301,1.617
Ingress,1974-11-04 00:08:52.043,1974-11-04 00:08:53.660,1.617
Ingress,1974-11-04 00:09:16.720,1974-11-04 00:09:20.529,3.809
Ingress,1974-11-04 00:09:22.763,1974-11-04 00:09:24.688,1.925
Ingress,1974-11-04 00:09:38.122,1974-11-04 00:09:39.739,1.617
Ingress,1974-11-04 00:09:53.482,1974-11-04 00:09:55.098,1.616
Ingress,1974-11-04 00:10:08.533,1974-11-04 00:10:10.458,1.925
Ingress,1974-11-04 00:10:24.201,1974-11-04 00:10:25.817,1.616
Ingress,1974-11-04 00:10:39.560,1974-11-04 00:10:41.177,1.617
Ingress,1974-11-04 00:10:54.920,1974-11-04 00:10:56.537,1.617
Ingress,1974-11-04 00:11:10.280,1974-11-04 00:11:11.896,1.616
