event_type,pre_event_time,post_event_time,frequency_band,pre_median,post_median,dip_z_score,ttest_pvalue,target,data_col,analysis_mode
Ingress,1974-09-09 23:59:57.272,1974-09-09 23:59:59.197,all,1040301.90625,1075497.5,-0.06609170591328774,0.3159289495933498,Mars,rv2_coarse,combined
Ingress,1974-09-13 23:59:50.602,1974-09-13 23:59:52.527,all,729351.0,2836490.0,-1.5128384497123266,0.001890590086779001,Mars,rv2_coarse,combined
Egress,1974-09-18 00:00:05.960,1974-09-18 00:00:07.885,all,539858.0,700653.875,0.5178328364102106,0.06916333299369684,Mars,rv2_coarse,combined
Ingress,1974-09-29 23:59:44.543,1974-09-29 23:59:50.278,all,890799.6875,2137955.0,-4.630001626037366,0.13587073604851785,Mars,rv2_coarse,combined
Egress,1974-09-29 23:59:57.978,1974-09-29 23:59:59.903,all,810595.9375,2196668.0,5.316950168181868,0.21121718983223137,Mars,rv2_coarse,combined
Ingress,1974-10-02 00:03:52.590,1974-10-02 00:03:53.800,all,894889.375,1356391.0,-1.8453799053404563,0.3186233892548076,Mars,rv2_coarse,combined
Ingress,1974-10-02 00:04:07.950,1974-10-02 00:04:09.160,all,894889.375,1394979.5,-2.040519975816594,0.31811446388877573,Mars,rv2_coarse,combined
Ingress,1974-10-02 00:04:23.310,1974-10-02 00:04:24.520,all,1022386.28125,1382029.0,-1.572965819235745,0.16237086010022753,Mars,rv2_coarse,combined
Ingress,1974-10-02 00:04:38.670,1974-10-02 00:04:39.879,all,1328111.0,1401627.5,-0.33522838234400104,0.16237343200364326,Mars,rv2_coarse,combined
Ingress,1974-10-02 00:04:53.314,1974-10-02 00:04:55.239,all,1613621.0,1318555.0,1.301729772049031,0.9092387358287957,Mars,rv2_coarse,combined
Ingress,1974-10-02 00:05:09.390,1974-10-02 00:05:10.599,all,1696753.0,1317853.0,1.6898838134273824,0.9458784049456765,Mars,rv2_coarse,combined
Ingress,1974-10-02 00:05:24.750,1974-10-02 00:05:25.959,all,1720778.0,1319257.0,1.9529134054010437,0.9844886697363362,Mars,rv2_coarse,combined
Ingress,1974-10-02 00:05:40.110,1974-10-02 00:05:41.319,all,1691121.0,1319257.0,1.9925749846193828,0.9823240754966214,Mars,rv2_coarse,combined
Ingress,1974-10-02 00:05:55.470,1974-10-02 00:05:56.679,all,1446518.0,1379387.0,0.35762548401386246,0.9591898366629443,Mars,rv2_coarse,combined
