event_type,pre_event_time,post_event_time,gap_seconds
Ingress,1974-09-09 23:59:57.272,1974-09-09 23:59:59.197,1.925
Ingress,1974-09-11 00:00:01.332,1974-09-11 00:00:03.257,1.925
Ingress,1974-09-13 23:59:50.602,1974-09-13 23:59:52.527,1.925
Ingress,1974-09-14 23:05:09.805,1974-09-14 23:05:11.730,1.925
Egress,1974-09-14 23:08:40.992,1974-09-14 23:08:42.917,1.925
Ingress,1974-09-15 02:45:07.702,1974-09-15 02:45:11.511,3.809
Egress,1974-09-15 02:53:03.853,1974-09-15 02:53:09.588,5.735
Ingress,1974-09-15 06:25:51.561,1974-09-15 06:25:53.486,1.925
Egress,1974-09-15 06:36:27.087,1974-09-15 06:36:29.012,1.925
Ingress,1974-09-15 10:07:13.894,1974-09-15 10:07:17.704,3.81
Egress,1974-09-15 10:19:42.676,1974-09-15 10:19:44.601,1.925
Ingress,1974-09-15 13:48:30.604,1974-09-15 13:48:32.529,1.925
Egress,1974-09-15 14:02:39.234,1974-09-15 14:02:41.159,1.925
Ingress,1974-09-15 21:11:26.714,1974-09-15 21:11:28.639,1.925
Egress,1974-09-15 21:28:26.232,1974-09-15 21:28:30.042,3.81
Ingress,1974-09-16 00:52:58.641,1974-09-16 00:53:02.451,3.81
Egress,1974-09-16 01:11:09.185,1974-09-16 01:11:14.920,5.735
Ingress,1974-09-16 04:34:34.397,1974-09-16 04:34:36.322,1.925
Egress,1974-09-16 04:53:57.891,1974-09-16 04:53:59.816,1.925
Ingress,1974-09-16 08:16:06.382,1974-09-16 08:16:17.892,11.51
Egress,1974-09-16 08:36:35.164,1974-09-16 08:36:38.974,3.81
Egress,1974-09-16 12:19:18.177,1974-09-16 12:19:21.986,3.809
Ingress,1974-09-16 15:39:29.620,1974-09-16 15:39:33.429,3.809
Egress,1974-09-16 16:01:53.564,1974-09-16 16:01:55.489,1.925
Egress,1974-09-16 19:44:26.832,1974-09-16 19:44:28.757,1.925
Ingress,1974-09-16 23:02:58.231,1974-09-16 23:03:00.156,1.925
Egress,1974-09-16 23:27:03.977,1974-09-16 23:27:05.902,1.925
Ingress,1974-09-17 00:00:01.541,1974-09-17 00:00:03.466,1.925
Ingress,1974-09-17 02:44:43.604,1974-09-17 02:44:45.529,1.925
Egress,1974-09-17 03:09:35.433,1974-09-17 03:09:37.358,1.925
Ingress,1974-09-17 06:26:29.044,1974-09-17 06:26:30.969,1.925
Egress,1974-09-17 06:52:06.945,1974-09-17 06:52:12.680,5.735
Ingress,1974-09-17 10:08:16.326,1974-09-17 10:08:18.251,1.925
Egress,1974-09-17 10:34:38.381,1974-09-17 10:34:40.306,1.925
Ingress,1974-09-17 13:50:03.633,1974-09-17 13:50:05.558,1.925
Egress,1974-09-17 14:16:52.560,1974-09-17 14:16:54.485,1.925
Ingress,1974-09-17 17:31:50.977,1974-09-17 17:31:54.787,3.81
Egress,1974-09-17 17:59:39.418,1974-09-17 17:59:41.343,1.925
Ingress,1974-09-17 21:13:42.129,1974-09-17 21:13:44.054,1.925
Egress,1974-09-17 21:42:05.135,1974-09-17 21:42:07.060,1.925
Ingress,1974-09-18 00:55:21.607,1974-09-18 00:55:23.532,1.925
Egress,1974-09-18 01:24:24.969,1974-09-18 01:24:28.779,3.81
Ingress,1974-09-18 04:37:10.929,1974-09-18 04:37:14.739,3.81
Egress,1974-09-18 05:06:50.745,1974-09-18 05:06:52.670,1.925
Ingress,1974-09-18 08:19:02.125,1974-09-18 08:19:04.050,1.925
Egress,1974-09-18 08:49:18.427,1974-09-18 08:49:20.352,1.925
Ingress,1974-09-18 12:00:53.245,1974-09-18 12:00:55.170,1.925
Egress,1974-09-18 12:31:42.196,1974-09-18 12:31:44.121,1.925
Ingress,1974-09-18 15:42:44.458,1974-09-18 15:42:46.383,1.925
Egress,1974-09-18 16:14:00.276,1974-09-18 16:14:04.085,3.809
Ingress,1974-09-18 19:24:37.502,1974-09-18 19:24:39.427,1.925
Egress,1974-09-18 19:56:27.895,1974-09-18 19:56:31.704,3.809
Ingress,1974-09-18 23:06:30.644,1974-09-18 23:06:32.569,1.925
Egress,1974-09-18 23:38:51.746,1974-09-18 23:38:53.671,1.925
Ingress,1974-09-19 02:48:21.749,1974-09-19 02:48:25.559,3.81
Egress,1974-09-19 03:21:15.468,1974-09-19 03:21:17.393,1.925
Ingress,1974-09-19 06:30:16.798,1974-09-19 06:30:18.723,1.925
Egress,1974-09-19 07:03:35.494,1974-09-19 07:03:39.304,3.81
Ingress,1974-09-19 10:12:11.806,1974-09-19 10:12:13.731,1.925
Egress,1974-09-19 10:45:59.297,1974-09-19 10:46:01.222,1.925
Egress,1974-09-19 14:28:19.182,1974-09-19 14:28:21.107,1.925
Ingress,1974-09-19 17:35:59.899,1974-09-19 17:36:01.824,1.925
Egress,1974-09-19 18:10:37.333,1974-09-19 18:10:39.258,1.925
Ingress,1974-09-20 04:41:45.212,1974-09-20 04:41:49.022,3.81
Egress,1974-09-20 05:17:35.596,1974-09-20 05:17:39.406,3.81
Ingress,1974-09-20 08:23:41.723,1974-09-20 08:23:45.533,3.81
Ingress,1974-09-20 12:05:36.959,1974-09-20 12:05:38.884,1.925
Egress,1974-09-20 12:42:11.479,1974-09-20 12:42:13.404,1.925
Ingress,1974-09-20 15:47:33.884,1974-09-20 15:47:35.809,1.925
Egress,1974-09-20 20:06:47.566,1974-09-20 20:06:49.491,1.925
Egress,1974-09-20 23:49:05.694,1974-09-20 23:49:07.619,1.925
Ingress,1974-09-21 02:53:22.781,1974-09-21 02:53:24.706,1.925
Egress,1974-09-21 07:13:32.302,1974-09-21 07:13:36.112,3.81
Egress,1974-09-21 10:55:32.937,1974-09-21 10:55:34.862,1.925
Egress,1974-09-21 14:38:04.495,1974-09-21 14:38:06.420,1.925
Egress,1974-09-21 18:20:20.575,1974-09-21 18:20:22.500,1.925
Ingress,1974-09-21 21:23:05.604,1974-09-21 21:23:07.529,1.925
Egress,1974-09-21 22:02:32.969,1974-09-21 22:02:34.894,1.925
Ingress,1974-09-22 04:46:57.580,1974-09-22 04:46:59.505,1.925
Egress,1974-09-22 05:27:05.144,1974-09-22 05:27:07.069,1.925
Ingress,1974-09-22 08:28:54.537,1974-09-22 08:28:56.462,1.925
Ingress,1974-09-22 12:10:53.433,1974-09-22 12:10:55.358,1.925
Egress,1974-09-22 12:51:31.823,1974-09-22 12:51:33.748,1.925
Ingress,1974-09-22 15:52:50.553,1974-09-22 15:52:52.478,1.925
Ingress,1974-09-22 19:34:47.673,1974-09-22 19:34:49.598,1.925
Egress,1974-09-22 20:15:56.783,1974-09-22 20:15:58.708,1.925
Egress,1974-09-22 23:58:06.781,1974-09-22 23:58:08.706,1.925
Ingress,1974-09-22 23:59:50.491,1974-09-22 23:59:54.301,3.81
Egress,1974-09-22 23:59:58.151,1974-09-23 00:00:00.076,1.925
Ingress,1974-09-23 02:58:43.281,1974-09-23 02:58:45.206,1.925
Egress,1974-09-23 03:39:50.466,1974-09-23 03:39:52.391,1.925
Egress,1974-09-23 07:22:27.692,1974-09-23 07:22:31.501,3.809
Ingress,1974-09-23 10:22:38.990,1974-09-23 10:22:40.915,1.925
Egress,1974-09-23 11:04:39.955,1974-09-23 11:04:43.765,3.81
Egress,1974-09-23 18:29:02.816,1974-09-23 18:29:04.741,1.925
Egress,1974-09-23 22:11:15.122,1974-09-23 22:11:17.047,1.925
Ingress,1974-09-24 01:10:34.642,1974-09-24 01:10:36.567,1.925
Egress,1974-09-24 01:53:27.428,1974-09-24 01:53:29.353,1.925
Ingress,1974-09-24 04:52:33.513,1974-09-24 04:52:35.438,1.925
Egress,1974-09-24 05:35:32.035,1974-09-24 05:35:33.960,1.925
Ingress,1974-09-24 08:34:23.113,1974-09-24 08:34:26.922,3.809
Egress,1974-09-24 09:17:50.412,1974-09-24 09:17:52.337,1.925
Egress,1974-09-24 13:00:00.706,1974-09-24 13:00:02.631,1.925
Ingress,1974-09-24 15:58:35.825,1974-09-24 15:58:37.750,1.925
Egress,1974-09-24 16:42:10.875,1974-09-24 16:42:12.800,1.925
Egress,1974-09-24 20:24:04.145,1974-09-24 20:24:06.070,1.925
Egress,1974-09-25 00:06:33.807,1974-09-25 00:06:35.732,1.925
Egress,1974-09-25 07:30:58.440,1974-09-25 07:31:00.365,1.925
Ingress,1974-09-25 10:28:43.972,1974-09-25 10:28:45.897,1.925
Egress,1974-09-25 11:13:08.891,1974-09-25 11:13:10.816,1.925
Ingress,1974-09-25 17:52:49.406,1974-09-25 17:52:51.331,1.925
Egress,1974-09-25 18:37:29.714,1974-09-25 18:37:33.524,3.81
Ingress,1974-09-25 21:34:52.145,1974-09-25 21:34:54.070,1.925
Egress,1974-09-25 22:19:42.135,1974-09-25 22:19:47.870,5.735
Ingress,1974-09-26 01:16:35.715,1974-09-26 01:16:39.525,3.81
Egress,1974-09-26 02:01:35.180,1974-09-26 02:01:37.105,1.925
Ingress,1974-09-26 04:58:38.490,1974-09-26 04:58:40.415,1.925
Egress,1974-09-26 05:43:45.658,1974-09-26 05:43:47.583,1.925
Egress,1974-09-26 09:25:56.062,1974-09-26 09:25:57.987,1.925
Ingress,1974-09-26 12:22:42.010,1974-09-26 12:22:45.820,3.81
Egress,1974-09-26 13:08:04.440,1974-09-26 13:08:06.365,1.925
Ingress,1974-09-26 19:46:47.579,1974-09-26 19:46:49.504,1.925
Egress,1974-09-26 20:32:23.545,1974-09-26 20:32:25.470,1.925
Egress,1974-09-27 00:14:31.984,1974-09-27 00:14:33.909,1.925
