event_type,pre_event_time,post_event_time,frequency_band,pre_median,post_median,dip_z_score,ttest_pvalue,target,data_col,analysis_mode
Ingress,1974-09-09 23:59:57.272,1974-09-09 23:59:59.197,all,1040301.90625,1075497.5,-0.06609170591328774,0.3159289495933498,Mercury,rv2_coarse,combined
Ingress,1974-09-11 00:00:01.332,1974-09-11 00:00:03.257,all,1299796.0,2046034.5,-1.740351533085978,0.7126538363434185,Mercury,rv2_coarse,combined
Ingress,1974-09-13 23:59:50.602,1974-09-13 23:59:52.527,all,729351.0,2836490.0,-1.5128384497123266,0.001890590086779001,Mercury,rv2_coarse,combined
Ingress,1974-09-14 23:05:09.805,1974-09-14 23:05:11.730,all,6843083.0,7265086.0,-0.18104053457882605,0.3426956292335581,Mercury,rv2_coarse,combined
Egress,1974-09-14 23:08:40.992,1974-09-14 23:08:42.917,all,883041.1875,3853607.0,2.368630379146012,0.32529444896946247,Mercury,rv2_coarse,combined
Ingress,1974-09-15 02:45:07.702,1974-09-15 02:45:11.511,all,5212266.5,633540.625,3.7344129644342385,0.00011369171176252363,Mercury,rv2_coarse,combined
Egress,1974-09-15 02:53:03.853,1974-09-15 02:53:09.588,all,3851179.0,622053.375,-1.4758875447158584,0.37328542623369865,Mercury,rv2_coarse,combined
Ingress,1974-09-15 06:25:51.561,1974-09-15 06:25:53.486,all,8178447.0,771025.0625,3.259018691225857,0.002157245050641348,Mercury,rv2_coarse,combined
Egress,1974-09-15 06:36:27.087,1974-09-15 06:36:29.012,all,5016819.0,3311064.0,-1.527252401571506,0.6618775620687143,Mercury,rv2_coarse,combined
Ingress,1974-09-15 10:07:13.894,1974-09-15 10:07:17.704,all,3849960.0,1017864.75,2.3463755664151433,0.038664689599229994,Mercury,rv2_coarse,combined
Egress,1974-09-15 10:19:42.676,1974-09-15 10:19:44.601,all,3429873.0,4480452.0,0.6523876937584162,0.0010094586391796595,Mercury,rv2_coarse,combined
Ingress,1974-09-15 13:48:30.604,1974-09-15 13:48:32.529,all,7621414.5,713757.25,1.4130046117724417,0.41913260517789364,Mercury,rv2_coarse,combined
Egress,1974-09-15 14:02:39.234,1974-09-15 14:02:41.159,all,4644053.0,45445952.0,6.604597358324848,1.2262498547662117e-09,Mercury,rv2_coarse,combined
Ingress,1974-09-15 21:11:26.714,1974-09-15 21:11:28.639,all,3349972.0,6553888.0,-1.8653411172260506,0.19617951564000535,Mercury,rv2_coarse,combined
Egress,1974-09-15 21:28:26.232,1974-09-15 21:28:30.042,all,12511936.0,11158272.0,-0.02036584177492672,0.0001709572546380912,Mercury,rv2_coarse,combined
Ingress,1974-09-16 00:52:58.641,1974-09-16 00:53:02.451,all,773954.28125,7265086.0,-5.751015096493044,9.08311749802406e-06,Mercury,rv2_coarse,combined
Egress,1974-09-16 01:11:09.185,1974-09-16 01:11:14.920,all,10096514.0,942712.3125,-4.463430086829617,1.3540657995169475e-05,Mercury,rv2_coarse,combined
Ingress,1974-09-16 04:34:34.397,1974-09-16 04:34:36.322,all,656237.8125,5205385.0,-3.5995186843333506,6.887778405643944e-05,Mercury,rv2_coarse,combined
Egress,1974-09-16 04:53:57.891,1974-09-16 04:53:59.816,all,3435893.0,8474562.0,4.016148657081424,0.0029332257097906115,Mercury,rv2_coarse,combined
Ingress,1974-09-16 08:16:06.382,1974-09-16 08:16:17.892,all,20245456.0,10862076.0,0.39721237960113276,0.3090762397492645,Mercury,rv2_coarse,combined
Egress,1974-09-16 08:36:35.164,1974-09-16 08:36:38.974,all,6648784.5,1225585.5,-2.1305111970344406,0.004038690846548349,Mercury,rv2_coarse,combined
Egress,1974-09-16 12:19:18.177,1974-09-16 12:19:21.986,all,8277633.0,761049.5625,-2.643820889800742,0.14077727858943911,Mercury,rv2_coarse,combined
Ingress,1974-09-16 15:39:29.620,1974-09-16 15:39:33.429,all,970072.28125,25218176.0,-2.2144120438645554,0.8311511255581915,Mercury,rv2_coarse,combined
Egress,1974-09-16 16:01:53.564,1974-09-16 16:01:55.489,all,7545614.5,5111763.0,-0.32118162876948486,0.0005719294115398073,Mercury,rv2_coarse,combined
Egress,1974-09-16 19:44:26.832,1974-09-16 19:44:28.757,all,3443954.0,847021.0625,-0.16903432939550853,0.002066940823957096,Mercury,rv2_coarse,combined
Ingress,1974-09-16 23:02:58.231,1974-09-16 23:03:00.156,all,3417857.0,3741494.0,-0.27847909580645663,0.04454508517498797,Mercury,rv2_coarse,combined
Egress,1974-09-16 23:27:03.977,1974-09-16 23:27:05.902,all,2928811.0,2567262.0,-0.6113752959991199,0.027595843078286806,Mercury,rv2_coarse,combined
Ingress,1974-09-17 00:00:01.541,1974-09-17 00:00:03.466,all,1308487.0,1761210.0,-0.2149871763450969,0.6596499763939097,Mercury,rv2_coarse,combined
Ingress,1974-09-17 02:44:43.604,1974-09-17 02:44:45.529,all,2446234.0,1759249.0,1.6347683206436325,0.928908430160446,Mercury,rv2_coarse,combined
Egress,1974-09-17 03:09:35.433,1974-09-17 03:09:37.358,all,761049.5625,2460412.0,0.6750147297889623,0.9575504175539349,Mercury,rv2_coarse,combined
Ingress,1974-09-17 06:26:29.044,1974-09-17 06:26:30.969,all,2133236.0,2989298.0,-1.1924143510541445,0.8774620680930606,Mercury,rv2_coarse,combined
Egress,1974-09-17 06:52:06.945,1974-09-17 06:52:12.680,all,2329678.5,761049.5625,-4.883623363659398,0.04989665632443247,Mercury,rv2_coarse,combined
Ingress,1974-09-17 10:08:16.326,1974-09-17 10:08:18.251,all,2748875.0,3493438.0,-0.9287164060285008,0.7272958390375313,Mercury,rv2_coarse,combined
Egress,1974-09-17 10:34:38.381,1974-09-17 10:34:40.306,all,622053.375,4069451.0,4.391603376868892,0.08240163897033526,Mercury,rv2_coarse,combined
Ingress,1974-09-17 13:50:03.633,1974-09-17 13:50:05.558,all,3999349.0,5429603.0,-0.91821186886532,0.4430454720080679,Mercury,rv2_coarse,combined
Egress,1974-09-17 14:16:52.560,1974-09-17 14:16:54.485,all,8443857.0,675060.0,-2.15320130211407,0.7279313875025195,Mercury,rv2_coarse,combined
Ingress,1974-09-17 17:31:50.977,1974-09-17 17:31:54.787,all,3036834.5,2340795.0,1.3027181322737824,0.13703751381640925,Mercury,rv2_coarse,combined
Egress,1974-09-17 17:59:39.418,1974-09-17 17:59:41.343,all,11567942.0,15720086.0,0.23947700411933232,6.062588782644345e-05,Mercury,rv2_coarse,combined
Ingress,1974-09-17 21:13:42.129,1974-09-17 21:13:44.054,all,620769.1875,2451540.0,-4.199898254874572,0.2981554470109137,Mercury,rv2_coarse,combined
Egress,1974-09-17 21:42:05.135,1974-09-17 21:42:07.060,all,953099.125,890471.0,-0.17046951306962677,0.19650668973228388,Mercury,rv2_coarse,combined
Ingress,1974-09-18 00:55:21.607,1974-09-18 00:55:23.532,all,2639622.0,2700668.0,-0.10598444484720737,0.004163771559382049,Mercury,rv2_coarse,combined
Egress,1974-09-18 01:24:24.969,1974-09-18 01:24:28.779,all,2123321.0,2413094.0,0.6561924926781614,0.7274015011765225,Mercury,rv2_coarse,combined
Ingress,1974-09-18 04:37:10.929,1974-09-18 04:37:14.739,all,2481065.5,1631194.0,2.108105864065008,0.3327540551507474,Mercury,rv2_coarse,combined
Egress,1974-09-18 05:06:50.745,1974-09-18 05:06:52.670,all,620769.1875,2300159.0,0.6919296947567138,0.009249899785437972,Mercury,rv2_coarse,combined
Ingress,1974-09-18 08:19:02.125,1974-09-18 08:19:04.050,all,3442043.0,2475992.0,2.0857890125314142,0.0339401619960668,Mercury,rv2_coarse,combined
Egress,1974-09-18 08:49:18.427,1974-09-18 08:49:20.352,all,2407004.0,1063127.0,-4.814117487036903,0.02099569989920223,Mercury,rv2_coarse,combined
Ingress,1974-09-18 12:00:53.245,1974-09-18 12:00:55.170,all,485699.75,2439180.0,-4.585742821884357,0.31745557030697924,Mercury,rv2_coarse,combined
Egress,1974-09-18 12:31:42.196,1974-09-18 12:31:44.121,all,801741.5,1821911.0,3.1898155624081244,0.04095111725554972,Mercury,rv2_coarse,combined
Ingress,1974-09-18 15:42:44.458,1974-09-18 15:42:46.383,all,2146902.0,1214096.0,2.9423298728939282,0.13419240862774484,Mercury,rv2_coarse,combined
Egress,1974-09-18 16:14:00.276,1974-09-18 16:14:04.085,all,2059720.5,683800.1875,-2.845677721111107,0.8071396689187004,Mercury,rv2_coarse,combined
Ingress,1974-09-18 19:24:37.502,1974-09-18 19:24:39.427,all,2272480.0,514104.96875,5.819009909132354,0.12161277364394919,Mercury,rv2_coarse,combined
Egress,1974-09-18 19:56:27.895,1974-09-18 19:56:31.704,all,1861409.0,1831754.5,-0.09310598588193209,0.39261320822462353,Mercury,rv2_coarse,combined
Ingress,1974-09-18 23:06:30.644,1974-09-18 23:06:32.569,all,564189.75,3920136.0,-7.679664700939471,0.007916241862849064,Mercury,rv2_coarse,combined
Egress,1974-09-18 23:38:51.746,1974-09-18 23:38:53.671,all,894895.5,638158.25,-0.8016730041549394,0.250081512210412,Mercury,rv2_coarse,combined
Ingress,1974-09-19 02:48:21.749,1974-09-19 02:48:25.559,all,520222.625,520222.625,0.0,0.3745738160865095,Mercury,rv2_coarse,combined
Egress,1974-09-19 03:21:15.468,1974-09-19 03:21:17.393,all,1700292.0,2824914.0,0.9482657785342518,0.09864061932989271,Mercury,rv2_coarse,combined
Ingress,1974-09-19 06:30:16.798,1974-09-19 06:30:18.723,all,26279232.0,547552.6875,0.49390442727678036,0.005583657459989279,Mercury,rv2_coarse,combined
Egress,1974-09-19 07:03:35.494,1974-09-19 07:03:39.304,all,1432624.0,1703768.0,0.5082809932534985,0.9442520812851146,Mercury,rv2_coarse,combined
Ingress,1974-09-19 10:12:11.806,1974-09-19 10:12:13.731,all,1338140.0,722998.4375,0.8730337468751854,0.0002866453226190806,Mercury,rv2_coarse,combined
Egress,1974-09-19 10:45:59.297,1974-09-19 10:46:01.222,all,2460412.0,2529160.0,0.11146183486381239,0.1468777898740652,Mercury,rv2_coarse,combined
Egress,1974-09-19 14:28:19.182,1974-09-19 14:28:21.107,all,1944532.0,861636.84375,-1.6418203989346623,0.005751457049929108,Mercury,rv2_coarse,combined
