frequency_band,event_type,n_events,combined_z,mean_z,target,data_col,analysis_mode
1,Egress,876,2.291174772288726,0.07741162170407115,Neptune,rv2_coarse,per_band
1,Ingress,1100,8.884495216707576,0.2678776098684211,Neptune,rv2_coarse,per_band
2,Egress,904,-23.309026582703055,-0.7752466922768754,Neptune,rv2_coarse,per_band
2,Ingress,1122,-1.5451847470034374,-0.04613005622883683,Neptune,rv2_coarse,per_band
3,Egress,899,-27.521146616433743,-0.9178816298470766,Neptune,rv2_coarse,per_band
3,Ingress,1114,-25.07485718567321,-0.7512696989605121,Neptune,rv2_coarse,per_band
4,Egress,895,-26.13490410285545,-0.8735934984419564,Neptune,rv2_coarse,per_band
4,Ingress,1133,-16.599589473650205,-0.49315380990512014,Neptune,rv2_coarse,per_band
5,Egress,906,-17.742294788178707,-0.5894482625728463,Neptune,rv2_coarse,per_band
5,Ingress,1139,-9.924688068186244,-0.2940728996042464,Neptune,rv2_coarse,per_band
6,Egress,904,-1.7596445806681003,-0.058524908189781566,Neptune,rv2_coarse,per_band
6,Ingress,1128,-1.39243458201608,-0.04145913634983699,Neptune,rv2_coarse,per_band
7,Egress,911,0.8775253357314382,0.029073711439584028,Neptune,rv2_coarse,per_band
7,Ingress,1110,-0.323847561493975,-0.009720288204565457,Neptune,rv2_coarse,per_band
8,Egress,885,1.9566350154486962,0.06577156653608061,Neptune,rv2_coarse,per_band
8,Ingress,1104,-1.554313095889619,-0.04677932700276369,Neptune,rv2_coarse,per_band
9,Egress,890,1.0079675601964122,0.03378714938227434,Neptune,rv2_coarse,per_band
9,Ingress,1105,-5.259061067946538,-0.15820750254329696,Neptune,rv2_coarse,per_band
