event_type,pre_event_time,post_event_time,gap_seconds
Ingress,1974-09-07 20:45:08.398,1974-09-07 20:45:12.208,3.81
Egress,1974-09-07 21:07:28.505,1974-09-07 21:07:30.430,1.925
Ingress,1974-09-08 00:27:05.267,1974-09-08 00:27:09.077,3.81
Egress,1974-09-08 00:49:29.215,1974-09-08 00:49:31.140,1.925
Egress,1974-09-08 04:31:27.933,1974-09-08 04:31:29.858,1.925
Ingress,1974-09-08 07:50:58.904,1974-09-08 07:51:02.714,3.81
Egress,1974-09-08 08:13:24.783,1974-09-08 08:13:26.708,1.925
Egress,1974-09-08 11:55:23.527,1974-09-08 11:55:25.452,1.925
Ingress,1974-09-09 23:59:57.272,1974-09-09 23:59:59.197,1.925
Ingress,1974-09-11 00:00:01.332,1974-09-11 00:00:03.257,1.925
Ingress,1974-09-12 08:00:39.315,1974-09-12 08:00:41.240,1.925
Ingress,1974-09-12 11:42:32.338,1974-09-12 11:42:38.073,5.735
Ingress,1974-09-12 15:24:29.281,1974-09-12 15:24:33.091,3.81
Ingress,1974-09-12 19:06:22.262,1974-09-12 19:06:24.187,1.925
Ingress,1974-09-13 02:30:12.484,1974-09-13 02:30:14.409,1.925
Ingress,1974-09-13 06:12:07.246,1974-09-13 06:12:09.171,1.925
Ingress,1974-09-13 09:54:02.049,1974-09-13 09:54:03.974,1.925
Ingress,1974-09-13 23:59:50.602,1974-09-13 23:59:52.527,1.925
Egress,1974-09-14 15:54:05.995,1974-09-14 15:54:07.920,1.925
Egress,1974-09-14 19:35:26.337,1974-09-14 19:35:28.262,1.925
Egress,1974-09-14 23:18:01.644,1974-09-14 23:18:05.453,3.809
Egress,1974-09-15 03:00:02.375,1974-09-15 03:00:04.300,1.925
Ingress,1974-09-15 06:17:41.973,1974-09-15 06:17:43.898,1.925
Egress,1974-09-15 06:42:01.152,1974-09-15 06:42:03.077,1.925
Ingress,1974-09-15 09:59:36.910,1974-09-15 09:59:38.835,1.925
Egress,1974-09-15 10:23:59.943,1974-09-15 10:24:01.868,1.925
Ingress,1974-09-15 13:41:30.159,1974-09-15 13:41:33.969,3.81
Egress,1974-09-15 14:05:58.909,1974-09-15 14:06:00.834,1.925
Ingress,1974-09-15 21:05:23.855,1974-09-15 21:05:27.664,3.809
Egress,1974-09-15 21:29:56.466,1974-09-15 21:30:02.200,5.734
Ingress,1974-09-16 00:47:18.801,1974-09-16 00:47:20.726,1.925
Egress,1974-09-16 01:11:55.264,1974-09-16 01:11:59.074,3.81
Egress,1974-09-16 04:53:55.966,1974-09-16 04:53:57.891,1.925
Ingress,1974-09-16 08:11:10.696,1974-09-16 08:11:12.621,1.925
Egress,1974-09-16 08:35:54.820,1974-09-16 08:35:56.745,1.925
Egress,1974-09-16 12:17:53.678,1974-09-16 12:17:55.603,1.925
Ingress,1974-09-16 15:35:02.731,1974-09-16 15:35:04.656,1.925
Egress,1974-09-16 15:59:54.538,1974-09-16 15:59:56.463,1.925
Egress,1974-09-16 19:41:53.236,1974-09-16 19:41:55.161,1.925
Ingress,1974-09-16 22:58:54.399,1974-09-16 22:58:56.324,1.925
Egress,1974-09-16 23:23:51.999,1974-09-16 23:23:55.809,3.81
Ingress,1974-09-17 00:00:01.541,1974-09-17 00:00:03.466,1.925
Ingress,1974-09-17 02:40:49.356,1974-09-17 02:40:51.281,1.925
Egress,1974-09-17 03:05:52.695,1974-09-17 03:05:54.620,1.925
Ingress,1974-09-17 06:22:44.383,1974-09-17 06:22:46.308,1.925
Egress,1974-09-17 06:47:51.564,1974-09-17 06:47:53.489,1.925
Ingress,1974-09-17 10:04:37.480,1974-09-17 10:04:43.214,5.734
Egress,1974-09-17 10:29:50.396,1974-09-17 10:29:52.321,1.925
Ingress,1974-09-17 13:46:34.371,1974-09-17 13:46:38.181,3.81
Egress,1974-09-17 14:11:51.139,1974-09-17 14:11:53.064,1.925
Ingress,1974-09-17 17:28:31.300,1974-09-17 17:28:35.110,3.81
Egress,1974-09-17 17:53:40.368,1974-09-17 17:53:42.293,1.925
Ingress,1974-09-17 21:10:28.228,1974-09-17 21:10:32.037,3.809
Egress,1974-09-17 21:35:48.842,1974-09-17 21:35:52.652,3.81
Ingress,1974-09-18 00:52:15.364,1974-09-18 00:52:17.289,1.925
Egress,1974-09-18 01:17:41.764,1974-09-18 01:17:43.689,1.925
Ingress,1974-09-18 04:34:10.421,1974-09-18 04:34:12.346,1.925
Egress,1974-09-18 04:59:38.745,1974-09-18 04:59:42.595,3.85
Ingress,1974-09-18 08:16:03.583,1974-09-18 08:16:07.393,3.81
Egress,1974-09-18 08:40:49.630,1974-09-18 08:40:51.555,1.925
Ingress,1974-09-18 11:57:48.928,1974-09-18 11:57:50.853,1.925
Egress,1974-09-18 12:23:40.268,1974-09-18 12:23:42.193,1.925
Ingress,1974-09-18 15:39:57.425,1974-09-18 15:40:01.235,3.81
Egress,1974-09-18 16:05:39.138,1974-09-18 16:05:41.063,1.925
Ingress,1974-09-18 19:21:54.319,1974-09-18 19:21:58.129,3.81
Egress,1974-09-18 19:47:37.961,1974-09-18 19:47:39.886,1.925
Ingress,1974-09-18 23:03:49.387,1974-09-18 23:03:51.312,1.925
Egress,1974-09-18 23:29:36.870,1974-09-18 23:29:38.795,1.925
Ingress,1974-09-19 02:44:56.296,1974-09-19 02:44:58.221,1.925
